[00:05] え、ちょっと
[05:27] 今日もまあとりあえずじゃ、バックアップデータの場所は大丈夫そうなのかな？
[05:32] 大丈夫だと思います。
[05:33] あの、箇所にも多分ローカルに入ってれば、最悪復帰できるので、はい。 大丈夫かなと思って。
[05:37] はーい。
[05:38] まあ、じゃ、ちょっと一応、えっと、保存できたら教えてくださいって感じかな。
[05:43] はい。
[05:43] はい。
[06:02] オッケーすね。
[06:03] オッケーです。
[06:14] 次ですかね。
[06:15] はい。
[06:16] よいしょ。
[06:20] よいしょ。
[06:23] 次ですかね？
[06:24] うん。 で、鈴木、あ、マイク不調、はい。
[06:31] 確かに何かさっきから途切れ途切れではありましたね。
[06:34] ちょっと、あとすいません。
[06:37] 僕が幕グリーン参加したことにより、えっと、Webカメラがないと言う。
[06:40] ああ、そういうことか。
[06:41] なるほど。
[06:43] すいません。
[06:45] で、今出かけてたんですけど、ギリギリでしたよ、マジで。
[06:48] 疲れ。
[06:49] 実は、まあ、僕もです。
[06:51] さっきまでこいでましたね、めっちゃ。
[06:52] なんなら頭がまだ濡れてます。
[07:01] よいしょ。
[07:02] 聞けるかな？
[07:04] 聞こえてますか？
[07:05] はい、聞こえてます。
[07:06] あ、はい、大丈夫です。
[07:07] お願いします。
[07:10] で、鈴木君。
[07:13] すいません。
[07:13] ちょっと次のご相談になってしまうんですけども、えっと、ちゃう。
[07:21] ちょっと現在、ま、中学生の鈴木大誠君と言うちょっと、ま、前、小学6年生の時に、多分プログラミング教室で一緒にいた子がいるんですけども、その子を、ま、先週までは、あのプログラミング教室と並行して別のスタッフ1名がマンツーマンでちょっとPythoを教えていたんですけども、ちょ、こちら、ちょ、スタッフの都合が合わなくなって継続が難しくなったと言うこともがまず1つと、で、あともう1つ、現在大誠君が、ちょ、中学校にちょ、投稿してないようなので、ちょ、その面でのサポートも必要と言うことで、ちょ、こちら、申し訳ないんですけども、プログラミングを教えていただくことって可能だったりしますかね？
[07:54] えっと、授業料いただければ。
[07:55] そうですね。
[07:57] って言うと、全然そこは受け入れられると言うところな。
[08:00] なので、多分不登校とか、そのあたりの心配感があると思うんで、一旦あの親御さんとかと繋いでいただいて、僕が1回親御さんの相談を受けて、うん。 うん。
[08:11] なんかそこからなんかあの体験授業とかしてもらって、ま、有料なんですけど、みたいな感じで納得してもらいながらやってくって感じ、はい。 になるんじゃないかなと思うんですけど、どうですか？
[08:20] そうですね。
[08:21] 先週一応保護者さんとお話した機会があって、ホームページの方は、熟さんのホームページの方はお見せして、ご案内はうさん臭いホームページ。
[08:27] はい。
[08:27] 臭い。臭いですね。
[08:28] そうだね。ここで言っちゃダメです。
[08:28] 裏でぎゅーぎゅー話です。
[08:29] これちょっと1個前のミーティングでIF塾のホームページはうさん臭いんじゃないかって話が出たばっかりです。
[08:39] いや、そこは止めましょう、1回。
[08:41] そうですね。
[08:42] え、なんかホームページ以外にご案内資料があったら、ちょっとこちらも必要かなって言うに考えてたんですけども。
[08:46] ホームページ以外にご案内資料か。
[08:49] なんか僕ら、僕らの人となりがわかるのはあのGPTz研究会って言うののライブの様子とかですけど。
[08:57] しかも明日僕なんで。
[08:58] あ、そうだ。
[08:58] 明日ちょうどじゃん。
[09:00] はい。
[09:00] しかもあれじゃん？AI開発にはダッシュボードが必要と言う素人からすると何のことか意味のわかんないテーマでしゃべる回じゃない。
[09:09] まあまあ叩かれるとするまでですけど。
[09:10] 叩かれるないと思うけどね。
[09:11] あの、めっちゃいいテーマだと僕は思うし、思うけどあの４歩ぐらい進んだ話だよね、それね。
[09:21] うん、でも君がうまく拾ってくれるよ、きっと。
[09:23] 広い野ひ君が。
[09:25] まあ、とりあえず一番その鈴木君へのご回答は、1回えっと、体験授業なり、えっと、そうだのまぼうけるなりいが1番、こっちとしては助かりますっていう風に。
[09:34] ラーナンド。
[09:35] や、それはそこで話しませんっていう。無料 で、無料 で親御さん相談しますんでとかで、あの全然あのえっと、僕のLINEとか教えちゃって大丈夫です。
[09:46] ま、ま、ま、ま、メールアドレスでも、メールアドレスでも。
[09:49] LINEでもでも。
[09:49] インフォ@IF塾にメールを送って頂ければと思います。
[09:55] ああ、わかりました。
[09:55] お問い合わせで、お問い合わせフォームがいいですね。
[09:57] あの、ホームページのお問い合わせフォームからがいいです。
[10:01] ホームページ、あ、分かりました。
[10:04] で、そこで、えっと、今言っていたた内容を、一応そのお父さんに協議して頂ければ、ええ、問題ないかなと言う風に僕は思います。
[10:11] うん、うん。
[10:11] はい、相談や無料体験です。
[10:13] うん。
[10:14] なんか流れ的には相談する、無料体験するって2回できる感じになってますんで。
[10:19] はい。 ありがとうございます。
[10:21] 東成瀬村で不登校って大変っすね。
[10:24] そうですね。なんか今までいなかったらしくて、ちょっとやっぱりまあ。
[10:28] おお。
[10:29] 村初の、今までもいたかもしんないけど。
[10:32] いや、いなかっただけ。
[10:33] これちょっと見所あるんじゃないすか？
[10:35] プログラミングやってるし。
[10:36] 確かにね。
[10:37] 確かにもうPythoをやってたんですか、最後は？
[10:40]  授業中はメインでPythonを教えてたと言う風には聞いています。
[10:43] まあ、でももうこれは多分AIプログラミングに舵切って変えちゃっていいと思うね。
[10:47] うん、むしろPhythonに興味があるならむしろ喜ぶんじゃないすか。
[10:48] Pythonやるって何だって言うところはありますしな。
[10:51] やっぱプログラミングを金に変えていかないといけませんから。
[10:56] え、あ、すいません。
[10:56] 最後料金の方なんですけども。
[10:59] あの、えっと、あの、入塾金とかかからないで、ポッキリ毎月1万1千円、えっと、通ってる時は、毎月発生して、辞めたい時は辞めてくれれば発生しませんし、また再度通うのも自由です。
[11:10] 1万。
[11:10] 1万1千円のNetflixだと思ってくださいって伝えください。
[11:15] Netflixを同じ仕組みです。
[11:18] 相当高級Netflix。
[11:20] うん。
[11:20] ただあの、直接のやり取り、やっぱり人間のやり取りがあるので、やっぱり1万1千円はあの、クローバーで安いじゃないか。
[11:30] そう。
[11:31] Python教室の方が月4回で、まあ、月2500円でちょっと実施させて頂いていた。
[11:34] ああ、なので、あの、多分我々は、あのPythonを教えるのではなくて、不登校とかをひっくるめて人生をどう設計していくかを考えていくので、1万1千円で大丈夫だと思います。
[11:42] 人生とか相談に言い過ぎるでうさん臭すぎるんで、そこやめましょう。
[11:44] 間違ってないかもしんないですけど。
[11:45] え、でも。
[11:45] まあ、それれるんで。
[11:47] これ以上またそれれるんで。
[11:47] それんで。
[11:48] そっから話し始めると、も1回それれるんすよ。
[11:49] はい、そうです。やめましょう。
[11:51] あ。
[11:51] ありがとうございます。
[11:52] はい。
[11:52] では、ま、そのようにご案内したいと、ありがとうございます。
[11:56] うん。
[11:56] え、結構ちょっとあれですか？ご家庭的に厳しそうですか？
[12:00] いや、ご家庭は全然厳しくなさそうで、親も普通に穏やかな方だったんですけど。
[12:04] て、あの、えっと、金銭面です。
[12:06] あ、金銭面はそうですね。
[12:07] やっぱ2500円から上がるか上がんないかって言うところを気にされてたので、ちょっと料金面で、ま、できるだるかじりを抑えたいみたいな。
[12:16] 4米だって。
[12:17] 4米カメハメハって言っといてください。
[12:20] まあ、後は僕らの術にかかるんじゃないですか。
[12:23] おお。
[12:24] じゃあ、あ、ありがとうございます。
[12:26] お願いします。
[12:27] それ連れてるんでそれ連れて止ましょう。
[12:28] それ。
[12:29] なんか都合良く使ってませんか？それ。
[12:32] いやいや。
[12:32] 自分に矛先が向きそりだったな、それれるんでって言う作戦に いや、でもどうすかね？IF塾をなんか2週間に1回とかにして値段下げるみたいなものもできたらどうすかね？
[12:39] ああ、まあ、なんかどうなの？
[12:40] なんかその色んな料金プランを作るのが結構正直トラブルの元になるって持ってて。
[12:44] うんうん。
[12:44] あんまりさ、そういうお金を管理する人を入れてないじゃない？うちは。
[12:48] そうすね。
[12:51] だからなんかそのややこしくしないようにしてるんですよ。
[12:54] あとまあ隔週ってちょっとなんか前の職場とかでもあったんだけど、なんか微妙だなと思っててやっぱ。
[13:00] なんか週間化しなくない？
[13:03] 忘れそうですね。
[13:04] うん、そうそうそうそうそう。
[13:06] で、結構元々なんか学校行きにくいなーみたいな子が多いからあの毎週とか、うーん。
[13:15] そう言う決められた時間にとか。
[13:17] 僕は結構そういうのが意外と大事だと思ってる。
[13:19] うんうんうん。
[13:21] という設計。
[13:25] そうだね。
[13:25] まあ、でもね、もちろんその隔週を作る事によってちょっと家が金銭的に余裕がない人も通えるようになるんじゃないか説はあります、確かに。
[13:36] 仰る通り。
[13:36] なので、良い意見だと思うんだけれどもまあ、ちょっとナー。
[13:43] まあ、あとねそこの絶妙なラインなんだけどそこの辺の教育費を5000円、1万円うんぬんのところをケチるぐらいの層の親は弾きたいっていうのはある。
[13:55] うーん。
[13:56] うーん。
[13:56] まあまあ、そのあたりでちまちま言ってくる親は急に客層が下がる。
[14:01] 正直言って。
[14:02] いや、まあまあ、子供もね、影響出るからね。
[14:05] うん。て言うね、あの嫌な話もある。
[14:09] でも実際そうで、めっちゃ多分そこの下の層にすると、めっちゃクレームとか多くなると思う、逆に。
[14:17] あのね、悪口書かれてる話。
[14:19] うん。
[14:20] なんかね、そういうのあるよね。
[14:22] だから意外と料金って、料金は1つのフィルターになるなあと思ってんですよね。
[14:28] だから自分らはどの層を生きたいかってところはある。
[14:34] うーん。
[14:37] えっと次ですかね？
[14:38] うん。
[14:39] はい、ありがとうございます。
[14:41] には、ま、サイトの方に移っていきたいと思います。
[14:44] 大、そうですね。
[14:46] 資料ホームページについては、ナルテック側では精査しまして、またいつものように、あのます。
[14:50] 掲載させて頂いたので、ご確認頂ければと思います。
[14:53] どんな感じだろう？
[14:55] ちょっと見てもいいですか？
[14:57] はい。
[15:01] 大、そうですね。
[15:01] ま、特に私、ま、細かいレイアウトぐらいで特に大きなところはないって感じですね。
[15:08] ま、気になったのは、やっぱ値段があったす。
[15:12] そうですね。
[15:13] で、黙々開発プラン、本開発が、ま、それだけで3万4800円って言うのがちょっと個人的には価格のバランス的に、どうなんだろうなって言う風には感じました。
[15:23] あ、でもどうなんだろう？
[15:24] それは結構、ま、確かにバランス悪いんですけど、ま、なんかでも、あの、高くはしたくて黙々会は結構。
[15:36] 要は黙々会出るとえっと作れない物を全部僕が解決するんでま、僕がと言うかクロードが解決するんであの、はい。
[15:50] 要は作りたい物がその黙々会の金額で大体全部できちゃうってことなんすよね。
[15:57] なるほど。
[15:58] ざわわ。
[16:00] ちょっとそれを書いて、その値段でも納得できるようなホームページにすれば良いんじゃない。
[16:05] なので、多分その、僕が思ってるその黙々会が、多分だからまだ伝わりきってないんです。
[16:10] 多分本当に黙々作業をするだけって感じになっちゃうと確かにそうなんだよ。
[16:17] けどなんで全部疑問には答えられるだけ答えますよ。
[16:24] 月。
[16:26] 見せ方ですよね。
[16:28] はい。
[16:28] 納得できるようにして欲しいって話じゃないですか。
[16:30] どんな感じだっけ？えっと、今サービスドットの方でもう、あの変わってるよね。
[16:35] はい。
[16:36] それは僕が全部えっと直したとこなんでえっと値段んとこだけは本当にわかんなくて、そこだけは本当に引き継いでそのままって感じなのでえっと、ちょっとここデザイデザインとか中身弄りましたけど、値段だけは、えっと本当に、それは多分本当に先生と相談、ま、ここでの相談になるかなと思って、そこだけはすいません手付けてないです。
[16:57] そうだよね。
[16:58] 黙々会が、えっと、口座の実際に手を動かしたアウトプット、懇親にリアルタイムで質問でき、他の受講者と交流しながらスキルを定着させます。
[17:06] ちょっとこの言い方だと開発費だけで5000円で講座ができちゃいますよね、言い方。
[17:10] まあ合ってるっちゃあってるけど、 わかんない、ちょっとバランスともあるんで。うっす、薄目な言い方にはやっぱどうしてもなっちゃうよね。
[17:19] ま、だからでも、も、1回だけだった1万円とかでも良いよな。
[17:22] それも良いか。
[17:23] え、だったらこれ黙々会だけ出るが超得になっちゃうのよ。
[17:27] ああ、そっかそっかそっか。そっかそっか。
[17:29] そうかそうか。
[17:30] そうそう。
[17:30] あのえっと、プロンプトさえ出せるって感じになって、それあ黙々会に出るをやったら、えっと月1万円で何でも作れる講座を、受け放題みたいな状態になるよ。
[17:41] 突きますよね。
[17:42] 2万ぐらいは必要だなと。
[17:43] 結構だからもうそうとなると、だから黙々会高くしたくなるだろう。
[17:47] ただでも上級講座が29800円なんでしょ。
[17:51] 何だけどそしてこのプレミアム会員は月額だといくらなんだ？口座に申し込むボタンで見えないっていう。
[17:57] あれ？ ああ。
[17:59] えっとね置いてるんですよ。
[18:00] ん？
[18:01] ちょっと待って、そう下の方にスクロールすると全部記載されてるんですよ。
[18:04] あ、そうなの？ちょっと待って。
[18:06] えっとね、あ、あ、そっちか。
[18:08] オッケーオッケー。
[18:09] 僕ここ丁寧に書て書けましたよ。
[18:10] ああ、そっか。
[18:12] だからえっと上級講座が29%でえっと黙々会が単ピンで34%で合わせて39%なのが意味不明ってことっすよね。
[18:21] そう、そう、そうです。そうです。
[18:23] そう、そう、そうです。
[18:24] あの5000円で講座受け見な数になっちゃうんで、これ。はい。
[18:27] うん、これはもうジェミニに相談だよ、もう。
[18:32] ジェミニに価格設定とその後ストライプの所だけは、ちょっと僕がやり、あの組み込んでテストはできるなってるんですけど。
