[00:00] （車の走行音）
[00:05] （物を動かす音）
[04:52] 話者B: それで困ったなと思ってですね、去年、一昨年、去年1年は、去年1年半ぐらいかな。それぐらいずっとそれでやってたんですけど、あまりに特に去年は読み込みが丸いので、それで人にちょっと相談したらですね、その人がクロードコードで、読み込んでて、すごいそのAIの認識率がいいっていうのを聞いたんですよ。
[05:14] 話者A: はい。
[05:15] 話者B: それで、それを聞いて、あれと思ってですね、たまたまそのネット検索してたら、そのクロードコードの勉強会みたいのがあって、インストールまでできたんですね。で、そこで、私、は、何て言うんですか、AIってめちゃくちゃこう進む、進みが早いので、とりあえず1、2年見てて、ほとぼりが冷めて落ち着いてからやろうかなと思ってたんです。
[05:43] 話者A: はい。
[05:44] 話者B: そしたら、ちょっとそれはまずいなということが。
[05:46] 話者A: ま、あとね、多分これほとぼりがずっと冷めないです。
[05:50] 話者B: 冷めないですよね。で、冷めるだろうっていう甘い考え持ってた。冷めないと思って。
[05:57] 話者A: なるほど、うん。
[05:58] 話者B: で、なんかこうちょっと始めていかないといけないなっていうのと、で、そのクロードコードの話とか、その勉強会の話とか聞いてると、めちゃくちゃ私のような人間には便利というか、やんないとやんないがためにですね、非常にこう、事務作業がやったらこの、何て言うんですか、この時代の変化で増えてきて。
[06:24] 話者A: はい。
[06:25] 話者B: で、もう、何やってるか分からない状態でもなるので、ちょっとこの、まずはそのOCRを、OCRのそのCSVをですね、AIに変えて、それでクロードコードだったらそれを、ファイルの中まで、その養子さえ決めとけば入れられるっていうので、そこからだと一途だし、そんなに大変じゃないだろうからやろうと思ったんです。
[06:52] 話者B: で、もう1点は、それと、もうなんせほとぼりが冷めるまで待ってよと思ってたぐらいだから、ちょこっとぐらいで何もできなくてですね、で、まあ、みんなの話聞くと、それこそノートブックLMのに統合して、っていうか、それはちょっと、やっぱりきちっと触ってくようなことしたいっていうのが現状なんですよ。
[07:15] 話者A: うん。
[07:16] 話者B: で、私、がやってることというのは、その、データベースはここ数年、やっぱやんなきゃいけないっていうことで、ま、そのデータの持ち方に着目してですね、この数年、自分のデータの持ち方の間違い、ひたすら正してきたんです。で、それはちょっと、ま、そのデータベース、の、ま、知り合いとかにもちょっと教えてもらいながら、だいぶできてるとような気がするんです。
[07:47] 話者A: データベースは何に作ってるんですか？
[07:50] 話者B: いや、それが、データベースは、いわゆる、一般の普及してるものではなくてですね、もう本当に50年ぐらい前の、その、ものなんですけれども、本当に軽いもので、自分で。
[08:06] 話者A: 50年ぐらい前のものってなんですか？パソコン、パソコンですか？
[08:14] 話者B: パソコンっていうか、そのソフト自体は、昔、それは私がもう一個の勉強会の先生からずっと進められたやつで、マイツールってやつなんですけど。
[08:24] 話者A: マイツール。
[08:26] 話者B: はい。それで、元々はですね、ピップスっていうので、それこそ本当に多分40、50年前。私がやり始めたのは、言ってもそんな10年とかですよ。借りるんで、本当になんて言うのかな、私が考える、思うには、データベースではすごい優れものだなと個人的に思うんですよ。
[08:44] 話者A: リコーのやつですか？もしかして。
[08:47] 話者B: そうそうそうそう、そうそうそう。
[08:49] 話者A: ほう。ははははは。
[08:51] 話者B: はい。で、それに、それを、使ってます。
[08:55] 話者A: 今も？
[08:56] 話者B: 今も。今もというか、最近というか、10年。
[09:00] 話者A: ほう。
[09:01] 話者B: 10年ぐらい、そのデータベースやろうと思ってからやり始めてはそれしか使ってなくて、Excelを。
[09:06] 話者A: Excelを。
[09:07] 話者B: やめたんですよ。
[09:08] 話者A: はははは。
[09:09] 話者B: Excel、私、あんまり全然使ってないんですけど、資格としては、中小企業診断士なんですけど。
[09:18] 話者A: はいはいはい。
[09:19] 話者B: データ分析好きなんですね、本当は。
[09:22] 話者A: なるほど、なるほど。
[09:24] 話者B: でも、全くここ数年間は、それをもう、排除してというか、切って、もうやること一切ちょっと後にしようと思ってやめて、とにかくデータ、こんなデータの持ち方してちゃいけないっていうので、データを。
[09:39] 話者A: このマイツールが、サービス終了してるんで。
[09:44] 話者B: ああ、そうそうそうそう。
[09:45] 話者A: なので、ちょっとそういう、終了してるツールを使い続けるの自体が結構危険っていうのはあります。
[09:52] 話者B: ああ、そうなんです。そうなんですけど。
[09:54] 話者A: 大事なデータを貯めているのであればというところですね。
[09:58] 話者B: あー。
[10:01] 話者B: そうなんですけどね。でも、一応それを代替で、その新、新マイツールとかって作ってる人もいるんですけど、でもそれちょっと使い勝手が悪くて。
[10:13] 話者A: 多分、Googleスプレッドシートに移行するのが一番いいと思います。
[10:18] 話者B: ああ、そうなんですか。
[10:19] 話者A: はい。本当に。
[10:22] 話者A: えっと、そうですね。普通におそらく、おそらくこのマイツールができるようなことは、スプレッドシートでできると思いますし、ネット上にデータが保存できるんで、データの管理は結構安全性が高まります。
[10:38] 話者B: あー。いや、なんかね、理系の人たちが、割と、ある意味こう、クラウド信じないようなところもあって。
[10:50] 話者A: はい。
[10:51] 話者B: それで、私も、ま、そこに倣って、データは、ナスというか、自分で持つような形にしてるんですよ。
[11:00] 話者A: ま、そうですね。とりあえず、問題なのは、サービス、なので。
[11:06] 話者B: サービスの終了ですね。
[11:08] 話者A: 終了してることをが問題で、今じゃ理系の人たちがこのマイツールを勧めるかって言ったら勧めないと思います。
[11:18] 話者B: うーん、そうですね。
[11:19] 話者A: 10年も前の時だ勧めしたかもしんないけど、今は終了してるんで絶対勧めない。
[11:25] 話者B: そうそう。で、一応使ってもいいということで、そこ改良でずっと使ってるんですよ。
[11:31] 話者A: あ、でもその改良改良がもうされなく、2010年からされなくなってます。
[11:36] 話者B: そうそう。それでその、そこで、ま、詳しい人たちがそれを温存してて、一番の問題は、その使えなくなるってことはないんだけど、Windowsが、それをこう、外部の、を入れ込んでくれないってなっちゃったらアウトです。
[11:52] 話者A: そうなると思います。
[11:54] 話者A: で、使い続けるようにすると、そこからウイルスとかハッキングの原因になるんで、なるべくこうさせないようにOSはしていきます、当然ながら。
[12:05] 話者B: なるほど。そこはね、確かに問題なんですよ。そのWindowsの。
[12:09] 話者A: あと、おそらくこのマイツールっていうところからもうデータでCSVとか引っ張り出せるんじゃないかなと思います。
[12:18] 話者B: あ、それはもう全然。
[12:20] 話者A: なので、それを引っ張り出して、別のところに改めて保存しとくことを強くお勧めします。
[12:27] 話者B: ああ、分かりました。
[12:28] 話者A: で、多分、データ管理をしてくには、ちゃんととしたフォーマットに、フォーマットにしてくってことがマストです。
[12:38] 話者B: うーん。分かりました。
[12:41] 話者B: ただね、その、要はデータの、分析やめたって言うけど、分析の能力は高いんですよ。
[12:48] 話者A: マイツールが？
[12:50] 話者B: うん。だから。
[12:51] 話者A: 今多分その分析能力をAIがはるかに凌駕してるんで。
[12:55] 話者B: そうそうそう。だからAIが来たら。
[12:57] 話者A: AIが来たら。
[12:58] 話者B: AIが来るまでは、それに構わないなと思ってたんですけど。
[13:02] 話者A: で、なのでその、AIを、使ってより高度な分析ができる形に今持ってるデータも入れ替えた方がいいですよっていう話です。
[13:12] 話者B: うーん、なるほど。
[13:15] 話者A: 今のこの、マイツールにデータが入ってたら、AIは使えないと思いますよ。多分。
[13:21] 話者B: あー。
[13:22] 話者A: マイツールのデータをAIが直接操作することが多分できないんで。
[13:28] 話者B: ああ、そうですね。
[13:29] 話者A: めっちゃめんどくさいっす。今AIはちゃんと使えば、ファイルの編集とか保存とか、修正とかそういうのすらやる必要ないんですよ。
[13:41] 話者B: うーん。
[13:42] 話者A: で、そういう構造に組み込めなくなるんで、マイツールは止めた方がいいっす。
[13:50] 話者B: いや、でもね、本当に、そうなんですよね。
[13:54] 話者B: 今、データ、何て言うの、ま、AIが確かにでてきたから私もちょっと、あの、ちょっとこれはイカンなと、イカンなというか、すごいなと思ったんですけど。
[14:07] 話者A: はい。
[14:08] 話者B: で、もう、ま、一方で、その、本当に、ま、分析能力というか。
[14:15] 話者A: 結局何がしたいんですか？
[14:18] 話者B: 私ですか。
[14:19] 話者A: はい。
[14:21] 話者B: えっとですね、すみません、お忙しいとこ。
[14:24] 話者A: とりあえず、マイツールのうんぬんは割愛しますんで。
[14:28] 話者B: 分かりました。
[14:30] 話者A: 聞かせてください。ただマイツールはやめた方がいいです。
[14:33] 話者B: ああ、分かりました。
[14:34] 話者A: やめた方がいい以外の選択肢がないです。ぐらいやめた方がいいです。
[14:39] 話者B: 本当に。はい。
[14:41] 話者B: なんか。
[14:42] 話者A: データがある日突然全部消えるかもしんなくっていいならそれでいいですって感じです。
[14:49] 話者B: ああ、それはよろしくないよね。
[14:51] 話者A: でも本当にそれぐらいのリスクがあります。
[14:54] 話者B: うーん。
[14:55] 話者A: なので、どのみち多分何かにバックアップを取る必要があって、そのバックアップにGoogleドライブとかを使うといいと思います。
[15:05] 話者B: うーん。
[15:06] 話者A: コピーしてコピペするだけでできるので一発でできます。
[15:09] 話者B: ああ、はい。
[15:11] 話者B: いや、連絡させて頂いたのは、ま、基本的に、本当はマイツールへの移行をスタートとして、事務作業というか、置き換えたい。
[15:24] 話者A: それが。
[15:26] 話者B: と思ったんですよ。で、それで連絡させて頂きました。
[15:33] 話者A: それでいいと思います。それを目指して、それは目指していきますよ、ちなみに。
[15:38] 話者B: ああ。それでね、私は、仕事として、毎年やってることは、もう30年近く、30年以上か、経営者の方の勉強会をやってるんですよ。で、それは、一つ目はそれなんですけど、情報クラブって言って、あの、ま、世の中のこう変化とか、そういったことを、情報提供する、ま、いろんなゲストを呼んで、ずっと、ま、考えていくっていうような勉強会をずっとやってるっていうのが1つですね。
[16:11] 話者A: じゃあ、まず自分からマイツールをやめて世の中の変化に対応していかないといけないのね。
[16:19] 話者B: いや、でもね、まあ、そうなんだけど。
[16:21] 話者A: めちゃめちゃ世の中の変化に対応できてない。
[16:25] 話者B: 色々、DXの勉強会とかもちょこっと参加させて頂いてるけど、一方ですごく遅れてる所を感じるんですよ。データを、使うっていう意味で。ただAIが出てきて、ちょっと、やっぱりこの、AIエージェントとか、なんか、やっぱりちょっと、ちょっと私、ま、ちょっと変化が起きたってとこなんですけど。
[16:51] 話者B: うん。だから。
[16:53] 話者A: なので、ちょっとそういうデータを色々AIで色々解析するとかはやってみたらいいと思いますよ。で、やり方は教えますよ。
[17:01] 話者B: うん。
[17:02] 話者B: 1つがその情報、情報の提供の勉強会。これはですね、ま、さっき言ったように、ゲストに来てもらってっていうので、昔は全部それを議事録に起こしてたんですけれども、今そこまではしないけど、録音と録画と、あと、私がその日終えてたことを次の日に、概要まとめ、それ次回のにするっていうようなことにしてるんですよ。でもこれって、その、AI使ったらもうそんなもし自動化できたら、私の、本当に事務作業が随分楽になるっていうようなイメージを持ってるのが1つですね。
[17:38] 話者A: はい。
[17:39] 話者B: もう1個は。
[17:40] 話者A: 終わった瞬間に議事録はできます、できます。
[17:42] 話者B: そうですよね。なんかそのWeb。
[17:45] 話者A: ちなみに今、こうやって話してるのも、僕は自動で議事録とアクションプランが出る仕組みを作ってるんで。
[17:53] 話者B: そうです。
[17:53] 話者A: 終わったら勝手に自分に、その議事録のまとまったのが送られてくるようになってます。
[17:59] 話者B: ね、ですよね。FXとかでもすごい、まとめてくれるんで。だから、そのこの、このところの進化にも正直置いていかれてるんですよ。私の日本語なんかよりも、ま、そのね、ししやしではないですけど、あの、ま、的確な日本語、変な日本語を使ってくれるなと思って。
[18:20] 話者A: そうですね。
[18:20] 話者B: だからそれも1つ、やっぱりそういうの使ってかないなと思ってます。全部自分の頭でやってて、ばかみたいに時間かけてってことやってたから。
[18:31] 話者B: もう1つは、経営者の、ま、経営のための勉強会みたいなのをやってるんですよ。それはマネージメントゲームって言って、これもう10年以上やってんですけど。
[18:41] 話者A: MG。
[18:42] 話者A: ちょいちょい経営者集まりで耳に。
[18:46] 話者B: そうそう。そうそうそうそう。そればっかひたすらやってるんで。あの、まま、ま、人は知ってくれてるぐらいの立場にはあるかなと思います。
[18:57] 話者A: はい。
[18:57] 話者B: それで、それはま、経営学と会計学と人間学なんですね。で、そこで、ま、これも、基本的にはその私の、お師匠さんが自分の言葉で喋るっていうので、本当は、パワーポイントにまとめずに喋るっていうのが本来なんだけれども。
[19:16] 話者B: でも忘れちゃうんで、基本的にはその、毎回、ま、ブラッシュアップというか、新しいことを追加してって、パワーポイント作ってるのが正直なとこなんですね。これ、これなんか。
[19:28] 話者A: それも今までに喋ったこと全部データベースに登録しといて、過去コンテンツからちょっと気の利いた一言だけ追加して、スピーチ作ってっていえば、瞬殺です。
[19:40] 話者B: ですよね。だから、もう、そうなんです。で、かつこれは、2日間やって、自後作業としてですね、集まってくれた人の、毎回こう、そのデータ取ってんですよ。ゲーム、数字を。その数字も一応データベースとして、何かの時使えるかもねので、一応データ取ってて、そのデータで、ま、グラフとか作って、で、感想文作って送ってるっていうのが、ワンクールなんですね。で、これを繰り返すんですよ。
[20:08] 話者B: それと、もう1個がその、会社の数字っていうことで、データベース経営で、これがこのMGとセットなんですけれども。これがマイツールなんですよ。
[20:17] 話者A: ああ。
[20:18] 話者B: で、あの、うん、で、あの、要は。
[20:20] 話者A: マイツールと繋がってるってことすか？
[20:23] 話者B: そうなんですよ。
[20:24] 話者A: ああ、公式で。
[20:26] 話者B: いや、公式では繋がってないです。その。
[20:28] 話者A: 誰かが作ったってことで。
[20:30] 話者B: そうそうそう。そうです、そうです。で、開発した人が、開発した人が非常に理系もんんですけど、そのソフト作ったのもすごい経営者でやっぱり理系もんなんで。やっぱり経営のために使うとなると、私はやっぱすごく優れてると思うんですね。で、そういう意味で辞めてないようなところが合って。
[20:48] 話者A: 大体その古いツールにこだわり続ける人、一定数ITにはいるんですけど。
[20:56] 話者B: あー。
[20:57] 話者A: まあ、ご自由、どうしてもそこでこだわるならご自由にっていうとこですね。
[21:04] 話者B: いや、そこまでこだわるわけではないですけど、同じことができたらいいんですけど。
[21:08] 話者A: どのみちでもそこの、マイツールに入ってるデータはCSVかなんかで引っ張ってAIに読ませるってことはしないといけないんで。
[21:16] 話者B: そうですね。
[21:17] 話者A: まあ、一旦なんか、なのでマイツールはあんまり関係なくできると思います、ちなみに。
[21:23] 話者B: あー。
[21:24] 話者B: 基本的にはCSVで。
[21:26] 話者A: 入力とかをマイツールにしたいならどうぞご勝手にっていう感じです。
[21:31] 話者B: 了解しました。
[21:32] 話者A: 別に、時間の無駄ですけど、やりたいならどうぞって感じです。
[21:39] 話者B: なるほど。
[21:40] 話者A: 別に、そこでなんか無理にね、考え方を変えろみたいにいう権利は僕にはない。
[21:48] 話者B: ああ、いやいや、別に、買い方、こだわってるわけではない。
[21:52] 話者A: こだわってるんですか？こだわってるから。
[21:55] 話者B: こだわってるから。
[21:56] 話者A: だってこだわってるならもうマイツールやめてますから。こだわってないから。
[22:03] 話者B: そうだね。
[22:04] 話者A: やめれないんだったらそれはやめないでいいんじゃないですか。
[22:08] 話者B: やめれないから。
[22:09] 話者A: まあ、多分、多分もうちょっと、ま、多分ちょっとAIをやったらやめよってなるんで。
[22:16] 話者B: ああ、そうですね。
[22:18] 話者A: ま、自然とやめようとなると思うんで一旦ほっときます。はい。
[22:22] 話者A: ま、でも。
[22:23] 話者B: 分かりました。
[22:24] 話者A: でもそういうちょっと、なんとなくその仕事回りに、データが色々あって、それを解析したり入力するのを簡単にしたいっていうニーズは分かりました。
[22:34] 話者B: あ、そう、それです。
[22:36] 話者A: なんでそういうところで、その、まあ、で、それを、ま、一応やってくっていうところで言うと、結構、我々は一応準備として、個人的に毎月、相手がやりたいことに合わせて教えてくっていうコースか、なんとなく、全体向けに、ちょっと、これからちょっとあの、GPTs研究会の、クロードコードのより、毎月、勉強会と、あとグループコンサルみたいなのを定期的にやってくっていう会を、開催していく予定だったりするんですけど。
[23:13] 話者B: うーん。
[23:14] 話者A: ま、そういうようなのとかで、やり方をいろいろ学んでいくっていうのをやれば、まあ、今の達成したいことは達成できるかと思います。
[23:26] 話者B: うーん。
[23:27] 話者B: どういう感じでしょうかね。
[23:29] 話者A: そうですね。ま、個人の、の方の毎月の講座だと3万3000円毎月って形になる。それだと毎月、なんでも月に1回教えて欲しいことを、こっちが、なんとなく、こういうことやりたいっていうのを僕に教えといてくれれば、それの一番いいやり方を、毎月教えられるっていうのが個人のです。
[23:57] 話者B: ああ、はい。
[23:58] 話者A: 毎月のその、集団でのレッスンっていう風ですと、ま、1日、1日500円っていう感じで毎月1万5000円っていう形なんですけど、それだと月2回で、月1回講習を受けて、あ、違う、月2回講習とグルコンがついてくるっていう感じで。みんなで一斉に講習を受けて、その後にちょっと1時間ぐらい、その講習の中での疑問点とかを相談して実装していくみたいな会が、の、2軸今現在ございまして。どちら、ま、どちらでも、で、ただそのグループの方はちょっと日程の方が決まっていて、大体第1、第3の水曜日とかになります。
[24:53] 話者B: 第1、第3の水曜日。
[24:56] 話者B: 時間はどうですか？
[24:58] 話者A: 時間が、夜、日中の3時からっていうのと、夜の8時からっていうので。
[25:06] 話者B: 日中の3時と。夜の8時。
[25:10] 話者A: 夜の8時からですね。
[25:13] 話者A: で、まあ、これ一応やってく予定としては結構、まずクロードコードで、割とニーズが多いのがやっぱり、オフィス系のソフトを効率的に操作するっていうのがやっぱり今皆さんのニーズでは多いので。
[25:31] 話者B: うーん。
[25:32] 話者A: なので、まあ、そういうのを、まあ、例えばですけど、ExcelとWordとパワポを全部、一気に同時にやるとか、そういうことを予定しています。
[25:43] 話者B: うーん。
[25:44] 話者A: なので、おそらくその、今の日井さんがやりたいような、例えば、画像をクロードコードに一気に読み取らせて、そのデータから数値を引っ張り出して、その数値を全部スプレッドシートにぶわっと入力させる。そういうようなことはできるようになると思います。
[26:05] 話者B: うーん。なるほど。
[26:08] 話者A: やりたいって言ってたのそれですよ。ちなみに。
[26:11] 話者B: ああ。
[26:12] 話者A: やりたいって言ってたことをどうやるのかってのを具体的に言うと、今みたいに例えばレシートとかを画像を大量に一気に読ませて、そこから数値を抽出して、データベースに数値を入力していく。それができればいいでしょ。
[26:26] 話者B: そうですね。
[26:27] 話者A: それを今言っています。なので多分、聞いてた感じのやりたいことが割とその、集団コースのところで日程さえ合えば割と、多分やってけそうかな。ま、ただちょっと、ある程度、かなり、何て言うんでしょうね、手取り足取りしっかりべったり教えてもらいたいだったら個人コースをお勧めします。
[26:54] 話者B: ちなみにその個人コースだったら、時間はどのぐらいなんですか？
[26:58] 話者A: それは月1で大体2時間ぐらいを予定しています。
[27:02] 話者B: なるほど。
[27:04] 話者A: ま、時間取ってそういう相談するっていうのは月1ですけど、基本的にチャットとかでの相談はいつでも何回でもOKです。
[27:17] 話者B: あと、私はその全段としましてですね、それこそノートブックとか全く使ってないんですよ。今から使おうと思ってですね。本当に。初心者の初心者がAIを、1つには、その初心者の初心者がAIに入りたいと。それと、もう1つは、クロードコードがえらいこれ使えそうだなと思ってから、その自分の事務作業をすごく省略化してくれそうだし、あと、その。
[27:47] 話者A: ちなみにクロードコードは、やっていく場合は、100ドルのプランは最低契約してもらうことはお願いしています。
[27:57] 話者B: 100ドル。
[27:58] 話者A: はい。毎月100ドル。クロードコードにはプラスプランとマックスプランっていうのがあって。
[28:04] 話者B: はいはい。
[28:05] 話者A: えっと、言って言うような、その仕事をどんどん全部つなげて自動化するっていう作業をするには、クロードコードのマックスプランが絶対に必要になります。
[28:15] 話者B: あー、なんか言いましたよね、あの。
[28:18] 話者A: チャットGPTの方でも。
[28:20] 話者A: そうです。皆さん、ま、100ドル毎月って言われるとえってなるんですけど、100ドルでやりたくない仕事全部から解放されるなら安いよねっていう感覚で。
[28:31] 話者B: うーん。
[28:32] 話者A: で、やりたくない仕事を全部僕らに伝えてくれれば、それを解放する方法は、この勉強会とかで伝えられます。
[28:41] 話者B: うーん。
[28:43] 話者B: やってみるか。
[28:44] 話者A: これで、基本的には普段、日頃の仕事で100ドル以上を稼いでるんであれば、その仕事をクロードコードに渡すだけなんで、100ドルの元は取れます絶対。
[28:57] 話者B: うーん。私でもできますかね？
[28:59] 話者A: ちゃんとやれればできます。あと、なるべく積極的に質問をするっていうのと、マイツールとかみたいな使えないものは使わないでって言った時にはなるべく素直に聞いてほしい。
[29:11] 話者B: なるほど。
[29:12] 話者A: マイツールとかを使うと、マイツールを使ってたら使えるようになる、時期が2年遅れます。
[29:20] 話者B: うーん。
[29:23] 話者A: なので、なのと。なので、ある程度なので、こうやったら早いですよってこっちが言ってることをはいって聞いてくれれば、大丈夫です。
[29:37] 話者B: 大丈夫です。それは聞きますよ。
[29:38] 話者A: はい。
[29:39] 話者A: そんな感じです。うん。
[29:41] 話者B: うーん。
[29:42] 話者A: なので、全然、あとは分かんないとか、やばい、ついてけないってなったら全然手厚くメールでのサポートは致します。
[29:50] 話者B: それはね、その集団も個人も。
[29:52] 話者A: どっちでも、あ、その。そうですね。それはどっちでも大丈夫ですよ。
[29:59] 話者B: とりあえずどうしたらいいかな、あの、ま、ね、あの、100ドルだとかさんでいくじゃないですか。100ドルプラス、その、何だっけ、このAIにしてね、いろんなお金が結構かさんでくんで、私のような仕事をしてる人だと、変動費が増えるっていうのは、なんかね、うん。
[30:21] 話者A: 分かります。事業なんで。そうです。
[30:24] 話者B: お金。
[30:27] 話者A: さっきも言ったように、AIを積極的に使ってくっていうのは、自分の仕事をAIに大体させるっていうこととほぼ一緒と。
[30:38] 話者B: はいはいはい。
[30:39] 話者A: なので、自分の仕事を渡せば渡すだけ、その分の時間が浮いて、お金も稼げるようになります。
[30:47] 話者B: うん。いや、きつ。
[30:48] 話者A: それを。
[30:49] 話者B: 解放されたいな。
[30:51] 話者A: じゃあ、でも多分それがいつまでも続くってなると考えるの大変。だから、じゃあ一旦、3ヶ月って決めたらいいです。
[31:02] 話者B: あー。
[31:03] 話者A: 3ヶ月決めて、元取れなさそうだったらやめればいい。
[31:07] 話者B: あー。
[31:08] 話者A: 3ヶ月ぐらいでまあ、大体月100ドルだから300ドルで4万5000円ぐらいの3ヶ月での出費になりますけど、ま、一応元取るつもりでやったら4万5000円は余裕で元は取れる確率はめちゃくちゃ高いの。
[31:28] 話者B: うーん。
[31:30] 話者A: あと、えっと、ま、元取れなくても3ヶ月AIをやったら、ある程度今よりはAI時代についていきやすくなるっていうのがある。
[31:39] 話者B: そうですよね。私もなんかそれを目指したい。
[31:43] 話者A: で、多分3ヶ月やったぐらいの時期には逆にクロードコードが手放せなくなってるんで大丈夫です。
[31:50] 話者B: なるほど。そうやったら嬉しいですね。
[31:52] 話者A: はい。でも手放せなくなりますこれ。最悪元取れないってなったら、クロードコードで株式投資を分析する仕組み作ってそれで儲けてください。
[32:05] 話者B: なるほど。
[32:07] 話者A: ちなみにそれやってますけど、意外と利益出ますんで。
[32:10] 話者B: へー。
[32:12] 話者B: いや、じゃあやろうかな。
[32:14] 話者A: はい。それで4万5000円ぐらい元取れます、ちなみに。
[32:17] 話者B: あー、なるほど。
[32:18] 話者A: はい。
[32:20] 話者A: なんかね、まず、その、え、ちょっとこう見てよと思ったわけです、AIを。落ち着いて。で、それはまずいと思って、やっぱやるならば。
[32:30] 話者A: 今まずいと思ったら。
[32:34] 話者B: っていう。
[32:36] 話者A: で、その、なんだ、マックス値のAIのレベルを見た方がいいと思います。
[32:42] 話者B: あー。
[32:42] 話者A: ジェミニとかチャットGPTでちょこちょこチャットとかだけして、AI使った気になってる人がめちゃくちゃ世の中にはいるんですけど、マジで雑魚です。雑魚まっしぐらですそれ。
[32:55] 話者B: あー、いや、それはなんとなくそんな気がします。
[32:58] 話者A: なので、やって。
[33:01] 話者B: 分かりました。
[33:02] 話者A: やりなさいとか僕はあんま強く営業とか全然しない。
[33:08] 話者B: ええ、うん。
[33:09] 話者A: 今これもう普通に、世の中、やんないとまずいでしょって思ってるのでやって。
[33:16] 話者B: はいはい。
[33:17] 話者B: 私、やりたいならやった方がいいと思います。
[33:20] 話者B: 分かりました。じゃあやります。
[33:21] 話者A: ありがとうございます。どうします、とりあえず講座の方にしますか？
[33:26] 話者B: どうし、どうし。うん。とりあえずじゃあ、その100ドルを申し込むっていうのと。いっぺんに金額増えちゃうのも私も。集団の方に行こうかな。
