[00:16] おはようございます。
[06:05] で、そうするとどんどんクレームとかにも発展していったりっていうような風に、もう
[06:13] あの、嫌なことしか起こらない状況になってしまいます。
[06:19] で、ここで、えっと、ラポールを形成するにはどういうことが、条件が揃うといいのかなっていうところなんですけど。
[06:27] これはちょっと、まあ
[06:30] えっと、以前にもやっ、以前、でもあれですよね。
[06:33] 以前にもやったって言っても、結構、皆さんたちもあれですよね。
[06:39] この4月とかで新しく入ったとか、そういう方たちも結構いらっしゃいますか？どうなんですかね？
[06:50] 何人かいます。
[06:51] あ、そうですよね。
[06:52] はい。
[06:52] 各事業所、1人はいると思います。
[06:56] わかりました。
[06:57] ま、ちょっと今、ま、僕はあの、こうやって継続的にちょっと、あの、こういう勉強会やらさしてもらってまして。
[07:03] 前の勉強会とかだと、こういうちょっと
[07:07] ロジャーズの3条件なんで、こういうのもカウンセリングのところとかで出てきたんですけど、ま、まあ、無条件の肯定的関心っていうところで、ありのままをそのままその子がそのままいることを受け入れるっていうやつですね。
[07:22] まあ、なんかよく言うのは
[07:25] もう、例えば結構なかなか不登校の子とかっていうのは、えっと、その場に来るだけでもすごいやったねっていうような状況なんですけど、ま、そういったところで、あの、来てくれたこと、いること、そこにありがとう、いいですねっていうような風に肯定していくっていうのが強化、肯定的関心。
[07:47] で、共感的理解っていうのは、基本的に相手の言ってることに、あ、そうなんだ、それは辛かったねみたいな風に、えっと、共感を示していくこと。
[07:56] そして自己一致っていうのは、常に自分自身がその、えっと、いいと思ってるからいいと言っている。
[08:04] 嫌だと思ってるから嫌だと言ってるっていう風に、自分自身をちゃんとフラットな状態に保って、あの、思ったことを率直に伝えるっていうことが大事です。
[08:15] で、もうちょっと具体的に掘り下げていきますと、ま、無条件の肯定的関心というのはですね、えっと、基本的に
[08:25] まあ、よく学校場面とかだと何々はできた、何々はできないみたいな、できたできない評価みたいなことが多くて、そういうところで
[08:36] えっと、なんか評価、嫌な評価とかをされちゃって不信感を抱いてるとか、そういうこともあったりするのね。
[08:44] そういったところを評価しないってところとか。
[08:47] あとは、存在そのものをそもそも認める。
[08:49] おお、来てんじゃん、いい、いいーね、元気じゃん。
[08:54] いるじゃんみたいな。
[08:58] もうね、あの、よく
[09:04] なんか療育場面で子供に
[09:10] この子、何褒めたらいいんだろうって子とかも、たまに思うことあったりするかなと思うんすけど。
[09:19] そういう時とかも来て、いる、来てくれた。
[09:23] そこに良い、それで良いって思ってみてください。
[09:27] なんか、それでいいんです。
[09:30] なんか無理に何かを嘘ついて褒めたりとかするよりは、あ、いるね、元気だね、息してるね。
[09:38] それでいいです。
[09:40] で、あとはそういったところでどんどん存在を認めてくれるとか、あ、この人別に評価をする人じゃないんだなとか、なんかそういう
[09:50] ことが、その態度で相手に伝わってくることによって、安心してどんどん自己、自分のことを話しやすくなってくという感じです。
[10:00] まあ、言うのは簡単なんですけどね。
[10:03] なかなかここを、えお、意識しながらやってくと、意外といつのまにかできなくなってったりするんです。
[10:12] で、共感的理解、これね、同じ支援だつ、なんかよくあるのは、えっと
[10:19] 子供だからっていうので、お前どうせこうなんだろって決めつけちゃったりとかして
[10:27] ええと、例えば
[10:30] やあ、なんか
[10:33] ああ、なんか学校で先生に今日怒られちゃったんだよねって子供が言ったとして
[10:40] ああ、そうなんだ。
[10:41] なんかあったの？
[10:43] やな、なんかやっちゃったの？とかっていう風に聞くのは普通だと思うんすけど。
[10:47] なんか、割と、割とありがちなのが、え、どうせ
[10:52] どうせお前なんか悪、悪さしたんだろ。
[10:56] みたいな。
[10:57] そういう風に、なんかちょっと
[11:01] えーと、悪いことをあなたがしているっていうような決めつけみたいなとかをすると、それはあな、かなり共感とは真逆の行為になってしまう。
[11:14] なんか、そういうので、なんかちゃんと
[11:17] そこのところをなんか相手のこと否定せずに、まずは相手が言ったこと、あ、そうなんだ、みたいなのに受け止めるみたい。
[11:25] え、でもさとか、そういう風な反対の反論するようなことをいきなり言っちゃうと、あ、この人は話を聞かない人なんだなっていう風になっちゃうんです。
[11:35] あと、この感情語で返す。
[11:37] あ、これ、なんか感情的に返すって意味ではなくて、感情語で返すっていうのは、あ、それは辛かったねとか。
[11:45] それは嬉しかったねとか、なんかそういう風に相手のなんとなく、その
[11:51] こうなんだろうなあっていうような気持ちを、ちょっと説明してやってやる、とか。
[11:56] で、決めつけないで、あ、それってどうだったの？とか、怒られちゃったんだ。
[12:00] え、それ別にでも、え、君が悪かったわけではないんだよね。
[12:03] どうなの？とかっていう風に色々聞いてみる。
[12:06] そういう風に、なんかいろんな可能性を持って聞いてくれた、あ、自分、相手に対して、あ、この人はなんか、あ、自分を悪くさせない感じだなって、こういう風に共感的理解を示すと思わせることができいるかなと思います。
[12:23] で、自己一致。
[12:25] で、こういうところで、えっと、まあ
[12:28] 率直に、なんか
[12:33] 結構困った質問とかを
[12:38] 子供がしてくることもあるかななんて思ったりもして
[12:43] なんで、どうして僕はこんなに学校で嫌われるんだろう？
[12:52] とか言われたりとか。
[12:54] でも、まあ、パッとそれで嫌われる理由答えてくださいって言われたらすごい難しいし
[13:00] ま、それを率直に答えちゃってもどうなの？ってところもあって、ま、そういうところで、えっと、わからないなって思ったら、意外とわからないこと、子供に対してわからないっていうのって大人はちょっと勇気がいるんですけど。
[13:16] でも、そうやって素直に、えっと、自分の気持ちを吐露する事っていうのは、意外と子供にもちゃんと伝わるというか
[13:26] 人には結構そういうのが伝わって、なんか、逆に言うと、わからないことはわからないって言うし、わかることは教えてくれるしっていうような、えっと、ことがちゃんと言える方が、なんか誠実、誠実さは伝わるかなっていう感じです。
[13:44] というところで、なんとなく、えっと
[13:50] 今の3つ、無条件の肯定的関心、共感的理解、自己一致。
[13:59] この3つのうち、なんとなく自分
[14:05] 自分自身のなかでも、このあたりちょっと得意不得意ってちょっとあるんじゃないかなというところで
[14:14] えーと、共感的理解か、えっと、あ、違う、間違った。
[14:20] 無条件の肯定的関心か、共感的理解か、自己一致。
[14:25] この3つのところで、なんとなく、えっと、それぞれが、えっと、どう、なんかうまいこと、なんとなく自分のなかでこれはできてそうかな、できてなさそうかなってのをちょっと考えてほしいなと思ってまして。
[14:41] で、ちょっとそれ、えっと、それぞれ、えっと、あれですね。
[14:47] 考えてもらって、なんとなく実際の
[14:52] 実際のそのお子さんと関わったところの場面のところとかで、えっと、このあたりの、あ、子供に対して肯定的関心を持ててたかな？
[15:03] いや、意外とかなんか、うん、正直、なんか褒めるポイントなくて困ったなとか。
[15:11] 共感的理解、あ、なんかちょっと決めつけた発言しちゃったな、とか。
[15:16] 自己、なんか
[15:18] えーと、嘘つい、子供に嘘ついたな、とか。
[15:21] そんなのもちょっと考えてみてください。
[15:25] で、ちょっとまた3分ぐらい考えてもらって、えっと、どなたかちょっと発表してもらおうと思います。
[15:32] よろしくお願いします。
[15:33] じゃあ、16分ぐらいまで時間取ります。
[16:03] と言いつつ。
[16:03] すいません。
[16:04] はい。
[16:05] 今日、今日のですね、資料とかって、鶴屋さんに送ってあります？
[16:11] そうでした。
[16:12] 資料の共有を、お忘れしていました。
[16:15] すいません、ありがとうございます。
[16:16] はい。
[16:17] あ、おそらく辻江さんが移動中だと思うんで、岡本の方に。
[16:21] あ、了解。
[16:22] 送ってもらって、岡本くん。
[16:25] どうにか。
[16:26] はい。
[16:27] カンブラインから送って、そっからまた各事業所に。
[16:31] ちょっと待ってくださいね。
[16:32] すいません。
[16:33] 承知いたしました。
[16:34] 資料、資料、ありが、ありがとうございます。
[16:40] お願いします。
[16:42] そう。
[16:43] こういうの、僕は細かいの、よく忘れますので
[16:47] 忘れてるときは、岡本が言わないといけないんですね。
[16:50] 岡本が言わないといけないです。
[16:53] ああ、そうですよ。
[16:54] そうですよ。
[16:55] 失礼しました。
[16:56] ちゃんと、おっしゃっていただかないと忘れちゃうんですから。
[17:01] えーと、あ、ありがとうございます。
[17:04] 全体で共有します。
[17:07] ですね。
[17:07] こうやって
[17:10] 忘れ、何か予定とかやることを
[17:15] 忘れやすい子がいたら
[17:19] ちょっと忘れてるよって言ってあげて思い出させる。
[17:25] これもまたABC分析ですね。
[17:31] はい。
[17:39] そうやってでも、なんかを忘れてるなっていう人に、ちょちょんって思い出すと、思い出させるアクション起こす。
[17:46] そうすると、その人が思い出して、えーと、忘れてた行動をやり出す。
[17:55] こういうようなことを、毎回ロジックで整理していくと、人の行動を
[18:02] なんかちょっとコントロールすることができるようになっていく。
[18:07] みたいな。
[18:08] それが行動分析です。
[18:14] 各事業所、管理者はみんないますかね？
[18:18] 資料がいけました。
[18:20] 来ないとかあります？
[18:23] 庄野がいない？
[18:26] 庄野がいない？
[18:28] 酒井くん、庄野の人に送って。
[18:34] 博士に。
[18:37] あとはブー事業所、管理者いないとこないっすか？
[18:42] 広川が今いないです。
[18:44] 広川がいない、広川。
[18:47] ええと、広川。
[18:49] あ、俺が送ればいいのか。
[18:50] あ、違う、池田くんは。
[18:51] あれ、池田くんは。
[18:52] あ、池田くんいます。こっちから。
[18:55] 寺園くん。
[18:57] おる？
[18:58] 寺園くんいます。
[18:59] じゃ、寺園くんに俺が転送する。
[19:04] お願いします。
[19:05] はい。
[19:10] グループで載せれば。
[19:46] すいません、広川送ってもらいました。
[19:50] 遅くてすいませんでした。
[19:54] すいませんでした。
[19:55] 寺園くん、凌太が見つからなかった。
[20:01] すいませんでした。
[20:03] 庄野も行きました？
[20:06] はい。
[20:08] あ。
[20:10] みんな持ってますね。
[20:12] はい、あ、よかった。
[20:14] ありがとうございます。
[20:16] ございます。
[20:17] 失礼します。
[20:40] はい。
[20:40] ありがとうございます。
[20:46] じゃあ、ちょっとぼちぼち1人聞いてみましょう。
[20:52] えーと、じゃあ、プリマベーラさん、いけますか？
[21:05] プリマベーラさん行けそうですか？
[21:09] 岡本先生、誰か指名していいですか？
[21:10] 岡本先生、誰か指名していいですか？
[21:13] はい。
[21:14] はい。
[21:15] プリマベーラです。
[21:16] あ、はい。
[21:17] えっと、無条件の肯定的関心っていうやつに関しては、はい。
[21:23] ま、自分はやっぱり、ない、ええと
[21:26] できてないことが出来るようになった子とかに対しては、やっぱりできたできないで評価してしまってる部分っていうのが。
[21:32] うん。
[21:33] ま、今まで多かったかなっていうところが
[21:36] あって、ま、けど、それで今
[21:40] まで話してくれてなかった子っていうか、うん、こうちょっと詳しく話してくれてなかった子とかが自己開示をしてくれてる部分とかも、関係性の部分でできて、あの、話してくれてたんだなっていうところで。
[21:52] うん。
[21:54] なので、今後はそのできたできないで評価だけじゃなくて
[21:58] そういった存在そのもの認めるっていうのとかも、少しずつ
[22:03] 学習していけたらなっていうところで、改めて感じることができました。
[22:06] あ、いいですね。
[22:07] ありがとうございます。
[22:08] 結構、ね、まあ、もちろんやられてることがあの、サッカー療育なのでね、できたできないの部分もね、あの、大事な部分ももちろんあって、ただ、なんか
[22:21] おそらく、いわゆるサッカー教室とちょっと違い、このサッカー療育の違いっていうのは、あの、サッカー教室だと多分スキル的な向上を目指すんですけど、サッカー療育あくまでもそのサッカーを通して子供の成長をっていうところなので、えっと
[22:41] なのでそうですね。
[22:41] おっしゃる通り、そのサッカーのできたできないっていうとこの評価軸は1個必要なんですけど、それだけにちゃんと縛られずに、もうちょっと広い視野で、えっと、そもそも、えっと
[22:55] できたできないで評価するよりもその子はここにきてること、なんか活動に取り組んでることが良いことなのかなって思えるというと思いますね。
[23:04] ありがとうございます。
[23:09] というところで。
[23:11] で、まあ、ちょっとそういうところで、えっと、お子さんとか親御さんとか、そういったところへのちょっと、そういう考え方、関わり方、考えてみてくださいってところでした。
[23:23] ですね、ちょっとここからは、少し、えっと
[23:27] いろんなテクニック集みたいなお話になるかなと思うんですけど。
[23:32] えーと、まず、は、結構、えーっと、意外と、声かけとか言葉かけみたいなところも注力されやすいんですけど、結構子供との関わり、人との関わりってところでは、非言語コミュニケーションっていうところが、えっと
[23:51] かなり実は要素として大きいんですね。
[23:57] で、メラビアンの法則なんていうことでも言われてて、人は、えっと、そういうコミュニケーションの中で、ま、大体ほぼ
[24:10] 表情55%ぐらい。
[24:15] 声30、38%ぐらい。
[24:20] で、えっと、言葉の、実際、何言ってるかってのは、かなり一気に下がって7%ぐらいで
[24:30] 多分、えっと
[24:33] 例えば、あんた何やってん、あんた何やってんの！って子供に、えーと、怒ったとする。
[24:41] 今の、あんた何やってんの！のこの顔。
[24:47] この顔と、あんた何やってんののこの語気。
[24:52] これで大体怒ってるってことが伝わるんですね。
[24:56] で、あんた何やってんのっていう言葉自体はそんなに、あんまり意味がなくて。
[25:02] あーって、あーっていうだけでも、えっと、怒ってるってのは伝わる。
[25:07] うん。
[25:08] で、それぐらい、えーっと
[25:11] 結構、あの言葉じゃないところが大事なので、意外となんか、あの、ちょっとした
[25:22] えーと、安心感を、相手に持たせるために、ちょっとしたところにそばにいてあげたりとか、少しなんかちょっとその、えーと、こっちも元気そうな感じで話してあげるとか。
[25:37] あと、相手の目を見てちゃんと話すとか。
[25:40] なんかそういったようなところが、すごく細かい色々なファクターとしてあって、そういったところで子供との関係性は結構できていきます。
[25:49] で、さらにですね、ちょっと発達障害の子は、いわゆるこの非言語コミュニケーション能力というところが、えーと、低い子が多いです。
[25:58] 例えば、子供にたいし、あ、人にと話す時に目を合わせられないとか。
[26:04] えーと、喋るトーンをちゃんと感情豊かな感じに話すとか。
[26:11] あとは、人との距離感を適切に保つとか。
[26:15] こういったところが非常に苦手なので、えーと
[26:19] もちろん非言語コミュニケーション自体が、えーと、お子さんと関わるので効果はあるんですけど、なんか、どちらかっつうと、さらにその、ちょっとそれが苦手な子っていうのには、自分がやってあげて、それで、えっと、非言語コミュニケーションを教えてあげるということも、ちょっと意識してあげるといいかなと思います。
[26:39] あとは、このペーシングっていう、これなんか、相手の、えーと、喋り、喋ってる様子とか動いてる様子に、なんとなくペースを合わせるっていうようなことを結構やるんですよ。
[26:56] カウンセリングとか、そういう場面でも特に。
[27:00] なんか、僕のこれは所感ですけど、カウンセリングとかしてて、まあ、えっと
[27:09] 日々のその私生活が、あんまりうまくいってない人、特に人間関係でうまくいってない人っていうのは、なんか、えー、会話のリズムがなんかすごく汚いリズムが多いんですよ。
[27:26] なんか、はははははって。
[27:29] 呼吸が多かったり。
[27:31] なんか、一定じゃなか、リズムが。
[27:34] なんとか、なんとか、なんとかで、あー、でもなんとかで、なんとか、なんとか、なんですが、えっと、ペースが速くなったり、遅くなったりで一定じゃなかったりとか。
[27:45] なんか、そういうような人っていうのには、結構、えー、なんとなく、なんとなく、なんとなくで、とかって、結構すごい早く、早くなんか、あーって喋っちゃってる人には、なんか、なんとなく、なんとなく、なんとなくとかっていうの、あー、ちょうどここのいいリズムだなぐらいの時に、あー、そうなんですね、っていう風に無理やり、えーっと
[28:09] 会話にちょっとカットインするような感じで、えーと、給仕符みたいな感じで相槌を入れてくんですよ。
[28:19] なんか、ちょ、ちょっと、ちょっと難しい、ちょっと難しい話なんですけど。
[28:23] で、なんとなくそうやって、相槌でリズムを、ふん、ふん、ふんってやって、そうすると会話のリズムがちょっとずつゆっくりになってったりとかして、ちょっと整ってったりとかして、そういう風にしてなんか穏やかな空気感を作ってくみたいなことができたりするんで、ちょっとそういう、あー、あ、この人ちょっとリズム早いなって思ったら、なんか
[28:45] ほうとか。
[28:46] へえとかで、だんだん相槌でちょっとずつ入れてって、そうすると少し会話が、相手の会話が止まり始めるから、止まり始めてゆっくりになってったらスローダウンさせてく。
[28:58] そうやってペースを合わせてく。
[28:59] とか。
[29:00] あとは、ちょっと、相手がなんかやってるようなこと、こっちも真似してあげる。
[29:04] そうすると、あ、なんか、自分こういう変な行動してたんだ、みたいなのがちょっと相手に伝わったりとかする。
[29:11] そんなような風にちょっと、ちょっと相手をひょひょひょんって真似したり、ペースを合わせるってことをすると、なんか空気が変わるんですね。
[29:23] で、じゃあちょっと、じゃ、例えば結構そういったところは、あの、会話とかカウンセリング場面じゃなくて、えっと
[29:32] サッカー療育場面でも結構出てくると思います。
[29:35] ま、具体的にはちょっと、なんか、ボール蹴るとか、シュートするとか、いいタイミングで、なんだろう
[29:47] チャーシュー麺みたいな感じでやるとうまく蹴れるみたいなのが多分あると思うんすよ。
[29:53] ま、僕ちょっとサッカーわかんないんであれなんすけど。
[29:55] なんとなく、そういう時って、でも、いい感じに蹴れる、せーの、はい！みたいな風に、多分呼吸を合わせたりとかすると思うんですけど、なんか、そういうような呼吸合わせってのも実はペーシングだったりします。
[30:09] あとは、一緒に走る時にちょっと目見ながら喋ってみるとか。
[30:14] なんか、あと、ちっちゃい子に対しては、えーと、しゃがんで相手と目の高さを合わせて喋ってやる。
[30:22] こういったのも1つのペーシングです。
[30:26] こうやって相手の、相手のペースとか、相手の目線の高さとか、そういったところに合わせていくと、あ、なんかこの人寄り添ってくれてるなって、なんとなく無意識的に伝わる。
[30:41] じゃ、ちょっとこれ、さっきの、えっと、ペーシングとかそういうのをちょっと、少し自分でやってみようというところで。
[30:54] 少し、じゃあ
[30:59] なんかそうだな。
[31:04] 各拠点では、子供や親御さんへの関わりがこの人が一番うまい。
[31:14] っていう人を決めていただきまして。
[31:16] ま、ちょっと無茶ぶりかもしんないけど。
[31:19] で、ちょっとその人と、えーと
[31:26] その人と、誰かで会話をしてください。
[31:33] で、その会話で、えーと、その、少し会話がうまそうだなっていう人が、えーと、普段、あ、えーと、会話をそ、の、えーと、会話うまそうな人と、えーと、会話を聞き手のとでちょっと組んでもらって、それ以外の人はちょっとその様子を観察してください。
[31:53] で、えーと、喋りのうまい人は、なんか1つテーマを決めて、その人に対して喋ってくださ。
[32:01] で、喋りを聞いている人は、えーと、その喋りがうまい人が普段どんなことを気を付けて喋ってそうかを意識して、それをちょっと真似してみてください。
[32:15] で、周りの観察者は、えーと、どんなこと、特徴があるのかなってのをそれぞれみんな考えてください。
[32:23] ていうので、じゃあ
[32:29] トークテーマは何がいいかな？
[32:31] なんか、じゃあ、最近ハマってることとかで大丈夫です。
[32:37] じゃあ、ちょっとこれは5分ぐらい、10時35分まで。
[32:40] なんとなくイメージ湧きましたかね？
[32:43] やってみてください。
[32:44] お願いします。
[32:48] まずちょっと、一番、あなたがうまいよっていううまい人決めてください。
[33:06] 結構でもそういう関係性とか人との
[33:10] 関係うまく作る、あ、そのうまくそういうのを作るのがうまい人っていうのはね、やっぱり一定数いまして。
[33:20] で、あの、ぜひ話しての人はね、その
[33:43] 最近ハマってること、いいなと思ってることを、ぜひその、一緒にいるそこの人たちにもやらせるぐらいの、ナイスなプレゼンをしてください。
[34:41] はい。
[34:45] 結構でもこれで、これも練習するとあれなんすよね。
[34:51] 意外と、あ、この人喋りうまいな。
[34:54] この人の喋り面白いな。
[34:58] ああ、なるほど。
[35:00] ちゃんと喋った時に、少しみんなが聞いてるか、間を置いてそっから喋ってるな。
[35:09] とか、なんか、そういう良さげな人の喋り方をどんどん、こうやって。
[35:14] 何でその喋りがいいんだろう、面白いんだろう、内容が入ってくるんだろう。
[35:20] ていう理由を考えて、それをさらにパクるみたいにやると。
[35:28] 結構いいっすよ。
[35:32] うん。
[35:43] そういうのででも
[35:47] あの人だったらどうやって喋ってどうやって振る舞うかなを考えて、あの人っぽくやってみるみたいなのをやってみると
[35:58] 結構、お、あの人のこの部分は自分でもパクろうみたいになって。
[36:07] なんか、いい感じに。
[36:12] なりますよね。
[36:14] はい。
[36:25] はい。
[36:31] よいしょ。
[36:45] じゃあ、ちょっと声かけの、言い換え。
[36:54] なんかNG声かけをまず考えていただきたいんですね。
[37:06] さすがにその声かけはないよっていう。
[37:09] それをまずちょっと5個ぐらい皆さんで考えていただいて
[37:16] それを、えーと
[37:19] さっきのロジャーズのところで、えっと、こう、そのまま肯定するとか共感するとか、そういったところ出てきたと思うんですけど。
[37:28] そういったところの言い換えをちょっと試してみてください。
[37:32] まあ、例えば
[37:36] なんだろう。
[37:41] えーと、まあ、じゃあ、サッカーボールをばーっと出して、散らかして、べーって一杯出しちゃって、しかも片付けない。
[37:51] それに対して、片付けなさい！って言うのが、まあ、常なんですけど。
[37:58] そこ、実は、なんか、まずはいきなり片付けなさいって怒鳴るんじゃなくて、えーと
[38:08] あ、まずどういう理由でそうやって散らかしてんの？とか。
[38:11] そうやって聞くところからスタートする。
[38:14] そんな感じにすると、えーと、ちょっと、ま、より落ち着いた感じで話ができるかなと思います。
[38:23] よくあるの。
[38:25] まあ、大体なので、感情的になって、語気の強い声かけというのは、結構、NG声かけになりやすい。
[38:34] そんな感じですかね？
[38:36] で、ちょっとそうですね。
[38:37] じゃあ、48分ぐらいになったらまた聞きます。
[38:46] ま、なんか、何個かNGな声かけを思い出してもらって。
[38:56] どんな場面でどんな声かけをする？
[38:58] その声かけを言い換えるっていう感じですかね。
[39:21] はい。
[39:24] 実際にしちゃったな、NG声かけみたいな例でもいいですね。
[39:28] ま、実際にしちゃったやつの方が、ね、やっぱいいですよね。
[39:35] はい。
[39:35] そう。
[39:45] では、えっと
[39:49] 大将町さん、いけますか？
[39:56] 大将町？
[40:02] いけますか？
[40:09] いけます。
[40:09] はい。
[40:10] お願いします。
[40:11] 申し訳ございません。
[40:12] はい。
[40:12] はい、大丈夫です。
[40:13] はい。
[40:14] えと、私はえと、NG声かけ、まあ、あの、私が普段使ってしまっていることなんですけども、あ、もう「何でできないの？」とか、あの、ちょっとこう口調が強くなってしまうことが結構多くて。
[40:32] で、それをどう変えていけば良いかっていうところで、えと、相手に、ま、何でできないのかを質問する形で、「できないのには、何か理由がある？」だったりとか「理由があるなら、何か言ってくれる？」みたいな形で、えと、相手に質問する形で変えていきたいなという風に考えました。
[40:53] ああ、素晴らしい。
[40:54] いいですね。
[40:55] ありがとうございます。
[40:56] 結構、あの、それって、「何でできないの？」って言うと、あの、もうね、言われた方からすると、もう反論する余地がない、もう、あ、もう、あ、もう自分はもうだめだって、もう、もう、そこしか考えなくなっちゃうので、あの、理由を聞いてあげるっていうのは、もうめちゃめちゃいいですね。
[41:19] 素晴らしい。
[41:20] ありがとうございます。
[41:21] いや、これ、結構、あの、僕もよく使います。
[41:26] 素晴らしいですね。
[41:26] ありがとうございます。
[41:27] はい。
[41:28] ああ、いいですね。
[41:29] あと、「何でできないの？」っていうのを、別の言葉にすると「頑張ってないでしょ」っていうのとイコールなので。
[41:38] うん。
[41:38] 子供には頑張ってないって言われたってことは、どうせ頑張ってないから、何言っても響かないので。
[41:45] うん。
[41:45] そうですね。
[41:45] 理由を聞いてあげるっていうのは非常に素晴らしい。
[41:48] ありがとうございます。
[41:48] はい。
[41:49] はい、ありがとうございます。
[41:51] うん。
[41:52] 素晴らしいです。
[41:53] じゃあ、もう1人行ってみましょう。
[41:55] えーと、じゃあ、もう1人、どなたか。
[41:58] えーと、じゃあ、柳川さん、行けますか？
[42:04] あ、はい。
[42:04] お願いします。
[42:05] はい、柳川です。
[42:06] はい。
[42:07] えーと、私が考えたNGワードは、えーと、「どうせできないでしょ」っていうような、あの、言葉を言ってしまったら、あの、それはNG声かけになるんじゃないかなっていう風に考えました。
[42:18] で、えーと、それを言い換えるとしたら、えーと、「何でそう思うの？」っていう風に、あの、相手の、えーと、発言だったりとか考えを、あの、尊重して、えーと、一度あの、聞いてみるっていうことを、あの、言い換えとして、あの、考えるようにしました。
[42:35] うん、素晴らしい。
[42:36] ありがとうございます。
[42:37] いや、これもまさにおっしゃる通りで、決めつけってやつですね。
[42:41] 「どうせこうなんでしょ」って言われたら、どうせこう、どうせできないって言われたら、もう自分はできないんだ。
[42:47] だってこの人、私のことできないって言ってるから、できないって思考にしかたどり着かないので。
[42:51] 素晴らしいですね。
[42:52] ありがとうございます。
[42:52] いや、これは素晴らしい。
[42:54] じゃあ、次、プリマベーラさん行けますか？
[42:58] はい。
[42:58] プリマベーラです。
[42:59] はい。
[43:00] えっと、私は、えっと、NG声かけとしては、えっと「自分から言えるでしょ」っていう声かけを、えっと、NGとして、えっと考えました。
[43:10] で、それを言い換えとしては「自分から言えるようになったら、もっとすごいよ」っていうような形で、えっと、言葉を言い換えました。
[43:20] うん、素晴らしい。
[43:21] いや、これ、まさしくそうなんすよね。
[43:24] 「言えるでしょ」って言うと、言えるでしょ、じゃあ言えよって言われた時に、言えない子が、まあ、そういうことを言われるわけなので。
[43:30] 言えない、言えない子からすると、なんだ、この人はまた言えないってことを責めてくるのか。
[43:34] 言えない自分はダメな子なんだ。
[43:36] だめだ。
[43:36] もう喋りたくない。
[43:38] 口閉ざそうってなっちゃうので。
[43:40] 「もっとすごいよ」って。
[43:41] そうなんすよね。
[43:42] 素晴らしい。
[43:42] ありがとうございます。
[43:43] いや、いいですね。
[43:44] ありがとうございます。
[43:44] はい。
