[00:00:08] イエス。
[00:05:36] え、最後に生徒数です。
[00:05:40] え、148名でのスタート。
[00:05:44] え、集1日通学コースを発り、生徒の成長を測り、成長と活躍を発信し、感動を作っていきます。
[00:05:55] え、転入生は12年生の受け入れを目指しております。
[00:06:01] え、次年度へ向けた募集活動は、新入生40名の獲得を目標として、つながる企画、募集活動をしていきますので、よろしくお願いします。
[00:06:15] え、学校運営については以上です。
[00:06:18] それでは2番、ホーム運営についていたします。
[00:06:27] え、それでは、え、2番の、え、プリントを。
[00:06:33] ご覧ください。
[00:06:34] え、令和8年度の運営です。
[00:06:39] え、皆さんが分かりやすいように、え、昨年度と変わった部分を1番に書いてあります。
[00:06:48] え、総務部については。
[00:06:53] え、私と、え、柿沼京藤と、え、事務の渡辺さんが中心になって、え、それぞれ分担してやっていく予定です。
[00:07:05] え、教務部については、え、柿沼清音が、え、主任なんですが、え、教務チームとして、え、全員で分担をしてやっていく予定です。
[00:07:18] え、進路指導部については、え、富先生が、え、主任で、え、就職は、え、小島先生が、え、主任で、え、全員で分担してやっていきます。
[00:07:32] え、広報部、え、小島先生が、え、主任になりましたので、え、小島先生を中心とした分担にされております。
[00:07:43] え、最後に信州連携というのを、え、設けてますが。
[00:07:49] え、今回、え、下村先生が信州クラックの先生になりましたので、え、より深いつけをしてやっていきたいと思っております。
[00:08:01] はい。
[00:08:01] では倉面にいきましょう。
[00:08:06] え、学年部です。
[00:08:09] え、1年部主任が村俊先生、2年部主任が浦岡先生、3年部主任が先生になります。
[00:08:17] え、非常勤の先生方については、え、主に、え、仮立、学年が多いところに、え、入ってもらってますので、ま、協力しながら色々コミュニケーションを取って、え、やっていただければと思います。
[00:08:34] え、2番のパーソナルティーチャー、え、そこに、え、書いてある通りで。
[00:08:41] 生徒に選んでもらいます。
[00:08:46] え、3番の授業です。
[00:08:50] え、国語に奥山先生、え、数学に、え、小島先生。
[00:08:58] え、知歴公民に、え、昨年度途中から入っている谷先生が合っています。
[00:09:06] え、コース、え、検定、企画、え、ホームページ書いてある通りです。
[00:09:14] え、8番の訪問ですが。
[00:09:18] え、やはり私立の学校ですので、ま、生徒を獲得しないことには、え、教育が成り立ちませんので、え、ま、教育の先生方中心に、訪問だとか色々勧めてるんですが、ま、ぜひ、え、先生方からも、ま、細かなものでも、え、情報、小さなものでもいいです、情報があれば、色々いただければなというふうに思ってます。
[00:09:51] はい、えっと、9番の部活動のところも、え。
[00:09:56] 多少変わっているところがありますので、え、ご確認ください。
[00:10:01] 以上です。
[00:10:03] ございます。
[00:10:05] それでは3番、年間予定について、え、3番の。
[00:10:12] え、A4の横の電気工の計画をご覧ください。
[00:10:19] まで関わることの、え、いきます。
[00:10:23] 1月からです。
[00:10:25] 7月8日水曜日、え、審議3年者の授業がございます。
[00:10:30] 10分から。
[00:10:33] です。
[00:10:36] です。
[00:10:37] 授業のスタートが4月15日水曜日から、え、時間割通りにスタートしていきます。
[00:10:45] え、時間割にも書いてますが、え、4月15から5月1日金曜日 は1年生は特に、あの午前中で終わりのような内容になっています。
[00:10:55] で、今後で6月です。
[00:10:57] 6月の、え、大町絆フェスティバルが今回形を変えて、え、行うことになりました。
[00:11:05] え、エアコセといつも一緒にやってるんですが、エアコセが28日日曜日なんですが、ラッ とした校内発が26の金。
[00:11:15] 27の土が一般公開としています。
[00:11:19] そのため24水曜日、25木曜日は終日生徒が文化祭の準備をするため、授業の方がありません。
[00:11:29] え、次の週の29月曜日も大休日となってますので、よろしくお願いします。
[00:11:37] そして7月です。
[00:11:39] 7月13日月曜日、え、夏期休業前集会となってます。
[00:11:47] 7月の10日金曜日までが通常授業となってます。
[00:11:51] よろしくお願いします。
[00:11:53] 3年生は集会を終えて1415日1月期末試験を行います。
[00:12:01] 17日金曜日から21日までのところで、え、3年2。
[00:12:10] え、来てない生徒、スクーリング出てない生徒を中心に補習を行います。
[00:12:16] 補習の設定は小島先生が準備してくれますので、え、先生方にこうこの時間大丈夫かということあるかと思いますが、基本的には時間割通りのところで、え、追加していくかと思います。
[00:12:31] よろしくお願いします。
[00:12:33] そして8月です。
[00:12:36] 8月26日水曜日、夏期休業後集会。
[00:12:42] え、次の日から通常授業となります。
[00:12:46] え、9月です。
[00:12:48] え、9月3412年生の1月期末試験があります。
[00:12:56] え、専門家も持ってる先生方、え、試験確定してもらいますので、よろしくお願いします。
[00:13:03] え、9月15火曜日です。
[00:13:07] え、この日、え、体育祭。
[00:13:09] C アリーナで体育祭となってますので、授業の方がありません。
[00:13:16] え、9月28日月曜日ですが、前期終了式ということで、259月25のところまで、え、前期の授業を終えてください。
[00:13:25] え、裏面ご覧ください。
[00:13:28] え、後期の日程です。
[00:13:33] 10月9日の金曜日。
[00:13:36] え、後期授業、え、は聞きがありません。
[00:13:41] 通常授業からのスタートになります。
[00:13:45] そして今年12月11日金曜日、え、冬季授業後集会と大学受験者学年末試験2回目1回目は前の週にに上える予定です、があります。
[00:13:57] 12日土曜日から後期の後1期ということで26日までを設定して行います。
[00:14:07] 1月に入りまして、1月6日から9日まで補習2期となっております。
[00:14:14] 1月8日金と12の火曜日は3年生の学年末試験を行います。
[00:14:23] 1月5日 後期休業になります。
[00:14:30] え、6月の2627が2年生の学年末試験になってます。
[00:14:37] え、3年生は1月29の金曜日、この日水曜日授業になりますが、3年生集校ガイドスということで、3年生は1月28日までに授業を終える予定です。
[00:14:50] その後投稿ということで、週1回程度の面談の投稿になります。
[00:14:56] え、2月です。
[00:14:58] 2月9日 か活動報告会の準備で授業の方があります。
[00:15:04] え、今回会場を触れえたのが、建国記念の日、祝日になるんですが、12日木曜日、え、民学 年 と同じ小ホールAで活動報告会を行います。
[00:15:17] っ て12 金13度、え、休みとなってます。
[00:15:22] え、3月です。
[00:15:24] え、3月1日月曜日が今回卒業 と始まって、3月5の金が12年生の終了 。
[00:15:32] がありととなります。
[00:15:34] え、あとまで予定になってますので、変更がある場合は先生方にお伝えしたいと思います。
[00:15:40] 年間予定については以上です。
[00:15:44] では続いて4番。
[00:15:47]  務についてです。
[00:15:51] え 、始めとくにお願いします。
[00:15:58] え 、4 番 の 令和 6 年度 入学 式 え を ご覧 ください 。 えっ と 、 まず 最初 に 、 え 、 決定 の ところ です が 、 え 、 9 日 木曜日 。 え 、 役割 の ある 、 え 、 先生 は 、 え 、 12 時 15 分 まで に 、 え 、 さん に は お 願い し ます 。 え 、 特別 役割 の ない 先生方 は 、 え 、 1 時 に 、 え 、 目的 ホール の 、 え 、 客 員席 まで 、 あの 、 出席 いらっしゃい ください 。 え 、 3 時 2 分 に は 、 え 、 第 2 部 も 終わり 予定 です の で 。
[00:16:51] え 、 え 、 第 2 部 が 終わっ て 全て 内容 が 終わっ た 段階 で 、 え 、 不定 期 の 先生 方 は 、 帰っ て いただい て 結構 です 。 えっ と 、 で は 内容 に つい て 村 先生 お 願い し ます 。 はい 。 え 、 企画 目標 の  第 入学 式 です ね 。 え 、 先生方 に 努力 的 な ん です けど 、 そもそも 性 から で 、  紹介 。 え 、 先生 の こと が メッセージ し て いただける 方 は アンケート で お 願い ます の で 、 3 日 中 に お 願い し ます 。 ちょっと し 。  全体 に 関わる ところ は 、  。 はい 。 ござい ます 。 で は 続い て 時間 割り に つい て です 。 え 、 企業 の 567 を ご覧 ください 。 え 、 5 が 1 年 生 の 時間 割り です 。 で 、 え 、 裏面 が 7月 15 から 5 月 1 日 の 時間 割り で 、 正面 が 、 え 、 5 月 1 日 以降 の 、 え 、 時間 割り と なっ て ます の で お 気 を つけ ください 。 はい 。 で 、 5 月 1 日 。 で 、 6 番 は 2 年 生 の 時間 割り と なっ て ます 。  も 大幅 に 変更 は ない です が 、 どこ まで 変更 あり ます が 、 必要 で は 1 日 まで の もの と 、 え 、 状況 の もの が あり ます 。 7 番 。 3 年 生 の 時間割り 。 3 年 生 と 同じ に なっ て い ます 。  方 の え 、 希望 の 曜日  ます が 、 もし 何か あれ ば まで お 願い し ます 。 続い て 、 え 、 3 番 3  に つい て です 。 え 、 判定 の に 入ら れる 先生 は 、 あの 必要 な もの と なっ て ます が 、 あの 判定 入ら ない は 全く 関係 ない の で 、 て ください 。 一応 年間 の 前期 と 後期 の 予定 と なっ て ます 。 え 、 自分 の 入ら れる ところ 確認 し て 、 また 予定 が っ て ない 人 も いる か と 思い ます が 、 あの 予定 を 変更 し て ほしい 場合 は 早め に 私 まで お 願い し ます 。  今日 の 段階 で もう 難し い と いう こと が 分かる 場合 は  にお 知ら せ て ください 。  2 週間 ぐらい 前 まで 分かれ ば 、 あの スレッド に も  に が 聞 ます の で 、 え 、 ご 協力 お 願い し ます 。 あの 、 ただ 入れ た だけ な の で まだ 全然変更 は でき ます 。 5 番 で 入ら れる 先生 が 先生 と 先生 と 先生 。 に し て ます の で 、 よろし お 願い ます 。 で 、 続い て 、 え 、 昨年度 の 3 年 生 の 経 を 、 ちょっと 小さい ん です けど も 、 載せて ます の で 、  ご 参加 し た  を やっ て ゆっくり ご覧 に なっ て ください 。 はい 。 それ で は 続い て5 番  について し て から お 願い し ます 。 え 昨年  に かけ て いる ところ が ある ん です けれど も 。 え 、  が 大学 生 の 合わせ て 。 ま し ます 。 ご 存知 か と 思い ます が 。 え 、  は 大事 に 持っ て おり ます 。 えっ と 、 真ん中 の 1 番 上 の ところ 、 え 、 合格 内定 率 80.4% と なり ます 。 えっ と 、 特任 生 、 え 、 そこ に ま 、 56 、 50 、 え 、 7 名 、 57 まで 行っ て ます が 、 え 、 実際 卒業 し た が 50 年 でし た の で 、 ま 、 56 人 の 中 で 、 え 、 80.4% に なり ます 。 えっ 2 年 前 、 え 、 2023 年度 が 56 名 、 同じ 卒業 で 78.6% の え 、 合格 率 。 それ から 、 え 、 2024 年度 は 54 人 に 対し て 74.1% でし た 。 えっ 、 2022 年度 46 人 、 え 、 卒業 し なかっ た 年 に 83% でし た の で 、 え 、 80% を 超え た の が 昨年度 は 、 ま 、 3 年ぶり と いう 形 に なり ます 。 え 、 で 、 右下 の ところ に 、 えっ と 、 三浦 琢磨 、 大藤 彩 、 田中 昨年 と 卒生 の 情報 を 載せ て あり ます 。 この 人 たち に つい て は 、 え 、 その すぐ 左 の 、 え 、 合格 数 大学 短大 と あり ます が 、 ここ に は 入れ て あり ます が 、 え 、 あくまで 45 名 、 え 、 合格 内定 の 44 名 は 現役 生のみ の 数字 で 80.4% と いう の も 、 えっ 、 昨年 昨年 卒業 し た 3 年 生 のみ の 数字 と なっ て おり ます 。 で 、 えっ あり まし た が 、 え 詳しく は ご覧 いただける な と 思い ます が 、 え 、 国立 大学 、 え 、 頑張っ て が 、 え 、 合格 し まし た 。 えっ と 、 その 7 って いう の は 、 えっ と え えっ と 、 その えっ と 、 名前 の すぐ に に 異なる 国語 5  の あれ が つい て ます が 、 この 数字 の 7 って いう の は 、 え 、 44 番 の 中田 さん が 、 え 、 希望 は し て まし た けれど も 、 減っ て いう ところ な の で 、 え 、 実際 に は 中田 さん を 除い た 6 人 が 告 し て いる と いう ところ です 。 ただし 、 えっ 下 の ところ の 土井 彩さん 、 西 彩 さん 、 え 、 23 年 で が 、 え 、 効率 時代 に し た と いう こと で 合わせ て ます 。 で 、 今年 、 あの 昨年度 、 あの ちょっと 今 まで 違っ た の が 総合人 の 部分 が 、 え 、 かなり 合格 者 数 が 上がり まし た 。 自衛 隊 が 就 な ん です けれど も 、 1人 合格 し た と いう ところ です の で 、 え 、 ま 、 今後 も あの 続い て いけ ば いい な と 思っ て ます 。 ただ 、 あの 、 え 自衛 隊 合格 し た もの が 、 え 、 ちょっと 来 て 企画 って いう ところ も あっ て 、 え 、 実際 、 あの 、 採用 さ れ た かって いう ところ ところ が 多 い けど 申し て 。 え 、 細 から を いただき ます 。 いい いい な ん です けれど はい 。 しか 卒業 し て  12 35 人 と かなり多いです。 に し て ます が な ん です けど も 、 色々 な を 年 度 より 盛り ながら 、 え 、 着実 に 進め て いき たい な と 思っ て い ます 。 この 後 、 あの 、 個人 個人 の ところ 写真 と データ が 載っ た もの を  に する か と 思い ます の で 、 ま 、 あの 、 春 、 春 の 三 者 メンバー 、 プライナー まで 行っ て い た 春 の 三 者 メンバー の 結果 を 、 え 、 3 年 生 の 進路 の 、 進路 の ライン に 載せ て あげ た と 思う で 、 こちら も 確認 し て いただき たい と 思い ます し 、 え 、 年 始まっ て 2 に 進路 調査 を 撮っ て 、 え 、 すぐ に こう 進 の 本人 に 動い て いき たい な と 思っ て い ます 。 え 、 来年度 非常 に 人数 が 多い ん です が 、 また 先生方 の お 力 を 、 え 、 借り ながら 、 え 、 進路 設定 100% 目指し て 頑張っ て いき たい と 思い ます の で よろしく お 願い し ます 。 あ 、 はーい 。 あ。
[00:20:59] 結構 、 あの 、 進路のところで、あの、大学の進学ってところが今お話出てたと思うんですけど。
[00:21:05] 割となんか僕が色々調べた肌感でいくと。
[00:21:11] かなりデータ戦だけでも攻略できるなと思ってて。
[00:21:16] というのも、えっと、地方の国立大学で、あの。
[00:21:21] 学校推薦とか合わせると、結構倍率が1倍とかになってるところが結構多くて。
[00:21:28] そういうところと、あの、生徒のやりたいことをもうちょっとマッチングさせてあげて。
[00:21:34] それであの、ここおいしいぞ、みたいな。
[00:21:37] で、おすすめしてあげると、多分それで国立大学が、への進学率を上げやすくなるかなっての思いました。
[00:21:46] 実際あの、多分去年とかのリチタとかが、リチタとかが多分そのパターンで合格していて、多分弘崎大学が1倍とかだったんですよね。
[00:21:56] でも、結構それ天文学っていうやりたいこととかとはちゃんと合ってる大学だったりして、そういうなんかメッケ問題学が結構探せば探すほどあるんで、ぜひちょっとあの。
[00:22:13] あ、なんとなく継続的に何かをやりたそうだなっていうことか、ちょっと勉強できそうだなっていう子は、なんかあの、ちょっと積極的にそういう攻略しやすい大学を探してあげるのもいいかなと思いました。
[00:22:28] あと、えっと、ちょっと学校の方の生徒数とかちょっと増やしたっていうところで、えっと、あの駅前の、えっと、あの、えっと、駅近のところに最近あのリッシュっていう、えっと、かなり秋田銀行とか、えっと、秋田県内の大学が力を入れている学生とかが集まる総合、えっと、地域創生施設みたいなところが、えっと、できたんですね。
[00:23:00] で、それが、えっと今、えっと、東京の高輪ゲートウェイのところと、秋田でコラボして盛り上げていこうって言うような形になっていて。
[00:23:11] ちなみにこないだ僕ちょっと呼ばれて行ってきたんですけど。
[00:23:15] そこで、えっと高校がまだ高専しか入ってなかったんで、えっとクラークって言うところありますよって、あの、進めといたので。
[00:23:23] で、校長がなんかあのフットワーク軽いみたいなので、いつでもあの挨拶行きますよってのをちょっとあの言っておいたので、あの、ぜひちょっと頭の中に入れといてください。
[00:23:34] よろしくお願いします。
[00:23:39] ぜひ先生方の あの 力 や アドバイス いただき ながら 、  生徒 の 進路  を 設定 し て いき たい と 思い ます 。  に お 願い し ます 。 続い て 6 番 、 生徒 情報 の 共有 です 。 お 願い し ます 。  に なっ てる 顔立ち の  ください 。 え 、 順番 1 年 生 から に なっ て ます が 、 3 年 生 から アップ し て いき たい と 思い ます の で 3 枚 目 の  年 生  ご覧 ください 。 それ で は  て いき ます 。 お 願い し ます 。 ください 。 裏 に 行き ます 。  先生 なっ てる の で て いただけれ ば と 思い ます 。  の  か  です 。  28 番  ください 。  山  から し て い ます 。  から まし た 。 本人 の  から あの  を 進め て 、 あの  な  に 、 あの 前 の 学校 も 驚い て い た し まし た 。 で メモ する ん です が 、  が  ない こと が ある ため に 、 前 の  が あり ます 。 え 、  は  さん な ん です けれど も 、 前 の 学校 から 一緒 で 同じ クラス だっ た こと から 、  は すごく さ れ て い ます の で 、 もし 何か あり まし たら 教え て いただけれ ば と 思い ます 。  22 番  さん です 。 平和  から し て い ます 。  関係 が 続い て ます 。  も ます が 集型 神経 症 で 持っ て い ます 。 23 番  さん です 。  観光  から し て いき ます 。  だっ た ん です けれど も ホテル の  に  たら  が 悪く なっ て まし た 。 トラブル で は ない が 人間 関係 で  に なっ て いる と いう こと でし た 。 お  と それ から あり ます 。  に て  の  ます 。 に て い て たい 方 です 。 3 年 生 は です 。 い です 。 ありがとう ござい ます 。 それ で は 続い て 2 年 生 いただき て 、  に ます 。 お 願い し ます 。 あ さん です 。    スペクラム  に な ん です が 、 最近 は  と  し て いる こと で  の  は し て いる いる ん です が  まで い て い ませ ん 。 周り の 生徒  の 関係 も て いる と 思い ます けれど も  が 非常 に 気 に なる と いう こと で 、  内 で の  の  の が 非常 に  ます 。  の  の 中 で 、  生徒 が 揺さ  で あれ ば  注意 し て いただき たい と いう ところ で の 要望 が あり ます 。 それ から 11 番  さん です 。   な ん です が 、  に  方 に が あり ます 。 それ と 自分 の 思い が 伝わら ない など に 暴れ たり 大声 し たり する こと が あり ます の で 、 その 際 に は 、  静か に て ほしい と いう こと で  の が あり ます の で 、  何 度 か あり まし た の で よろしく お 願い し ます 。  14 番  さん は マスク を いただく こと が でき ませ ん の で に  ない よう に お 願い し て い ます 。 裏 に  まし て 。 18 番  さん です 。  の  が に よく ない 状況 が 続け て おり ます の で 、  に 必要 な に なり ます 。 変化 現象 と  中 の  が 悪い と あり まし た が 、 私 も 入っ て 注意 を し に 行き たい と 思い ます の で よろしく お 願い し ます 。 し て 21 番  さん  1 です が で 1  アップ に なり ます 。 行動  で なっ て い ます 。  の ところ   ます が  ます が 、 人 に なる  に  です 。  を  ます 。  から  で  と 話し た 方 の  や  が ます 。   
