[00:00:00] おはようございます。
[00:04:19] そんな感じです。
[00:04:20] 意思表示はしっかりしてください。よろしくお願いします。
[00:04:28] カメラない。それはしょうがない。
[00:04:34] そうか、カズキってカメラないんだ。
[00:04:40] カメラ不調。
[00:04:43] OKです。
[00:04:51] じゃあそんな感じで始めていきます。
[00:04:57] 一応今日は予約受付アプリなんてものをアンチグラビティで作って公開するってところまでを目指していきたいと思います。
[00:05:06] ただね、なんとなく大体アプリの作り方っていうのはプロンプと分投げて設定してっていうので大体全部何でも一緒なので、
[00:05:17] その作り方っていうのをなんとなく学んでもらって、いろんなアプリを自分でも作ってみてください。
[00:05:24] アンチグラビティを使うので無料でできると思います。
[00:05:30] あれ、ページが変わんない。
[00:05:35] こっちでやると。
[00:05:38] 今日はアンチグラビティというツールを使って予約アプリを作っていくと。
[00:05:44] Googleカレンダーとうまく自動連携したらいいよねってところで、
[00:05:48] それをGitHubとかに公開してバーセルにデプロイしてっていう、
[00:05:53] ちょっと一通りのアプリ公開のための手順とかそういうのもあるのでそこの辺もやって、
[00:05:59] 実際にLINEでも使えちゃうよってぐらいの感じにするといいかなと思います。
[00:06:07] 今日のフローとしては、なんとなく最初にどんな内容のアプリを作りますかって要件を整理してアンチグラビティで作成。
[00:06:16] そして動作確認とかちょこちょこしつつ、
[00:06:21] Google Apps ScriptとかでGoogleカレンダーともさらに連携させて、
[00:06:26] GitHubに公開してデプロイして、
[00:06:31] その後にLINEの設定があって公開するって感じになってます。
[00:06:36] なんか1が2個入ってて変です。
[00:06:39] 作る予約アプリの本日の仕様としては、
[00:06:44] 基本的には予約の最初ホームみたいなのが最初ちょろんとあって、
[00:06:49] それを入力しようとすると、
[00:06:53] 入力していくと予約の一覧とか空いてる日がどんどん表示されて、
[00:06:57] Googleカレンダーに予約が投稿されて、
[00:07:00] LINE表示に最適化されるみたいな感じになっていて、
[00:07:04] コードはほぼ使わないでアンチグラビティとかコピペだけでやってきますって感じです。
[00:07:09] 30秒で予約がカレンダーに現れるというところで、
[00:07:17] 送信ボタンを押した瞬間にLINEからデータが飛んで、
[00:07:21] App Scriptが受け取ってカレンダーにイベントが自動作成して、
[00:07:24] スマホに数値が届くっていう構造になってます。
[00:07:27] ちょっとまず開発前の準備っていうところで、
[00:07:34] 今日こんだけのものが必要になりますんで、
[00:07:37] 今ちょっと登録とかダウンロードしてないよっていう方は、
[00:07:44] これらをちょっと進めてください。
[00:07:47] まず一つ目がアンチグラビティ。
[00:07:50] これはGoogleさんが作ってるプログラミングをしやすいAIツールとなっております。
[00:07:59] それらを使うGoogleアカウントが必要。
[00:08:02] あとGitHubというサイトがあって、
[00:08:05] それのアカウントが必要。
[00:08:07] LINEディベロッパーアカウントも必要。
[00:08:10] 道具としてはパソコンとかネット環境があれば大丈夫ですとなってます。
[00:08:18] どうかな。
[00:08:21] みんな。
[00:08:24] あ、すいません。
[00:08:25] かずきが多分アンチグラビティって年齢制限にいるじゃないですか。
[00:08:31] じゃあ、あれじゃないかな。
[00:08:37] イフ塾のアカウントを使わせちゃおう。
[00:08:39] テックします?
[00:08:40] テックしちゃおう。
[00:08:41] それ共有しちゃってちょうだい。
[00:08:45] かずきさんも来るから待ってて。
[00:08:48] ありがとう。
[00:08:49] 他にもちょっとそういう、
[00:08:54] なんだよこれ初めて聞いたわけわかんないんだけど、
[00:08:58] みたいなのあったらどんどん声出しちゃったりしていいので、
[00:09:02] 不明点は聞いてください。
[00:09:10] あやなさん。
[00:09:12] いいですか。
[00:09:13] どうぞ。
[00:09:14] LINEディベロッパーアカウントって何ですか。
[00:09:17] LINEにはですね、
[00:09:21] LINEディベロッパーアカウント確かに意味不明だと思うんで、
[00:09:26] 画面共有しながら説明しますね。
[00:09:33] LINEにはですね、
[00:09:34] 実は開発者向けのアカウントっていうのも存在してましてですね、
[00:09:38] このLINEディベロッパーなんて検索すると、
[00:09:45] 一番上にこういう、
[00:09:48] なんかちょっとたぬき顔の女の子が出るページがありまして、
[00:09:55] ここの右上にコンソールにログインっていうのがあります。
[00:10:00] いきまして。
[00:10:28] ここからLINEアカウントみたいなのを ポチッと押すと自分のLINEアカウントで入ったりするっていうのができて
[00:10:37] そうするともうそれだけでLINEディベロッパーアカウントも実は作られます。
[00:10:43] ピーッ
[00:10:45] LINEアプリを作る場合にはこのLINEディベロッパーの方にちょこちょこ登録したりとかっていうようなのが必要になるってことですね。
[00:11:06] だいたい設定環境OKですよっていう人は チャットとかを送ってくれると嬉しいです。
[00:11:20] ちょっといいですか?
[00:11:21] はい、どうぞ。
[00:11:27] これ今、登録連結したんですけど
[00:11:32] この後どうすればいいんですかね。
[00:11:34] 名前、開発者名入れて
[00:11:36] そういう登録があるかも。
[00:11:41] どんどん入れれるところ入れてっちゃって。
[00:11:48] もしちょっとそれで何入れたらいいかわからなくなったらまた教えてください。
[00:11:53] できました。OKです。ありがとうございます。
[00:11:57] あと一応今日の資料も共有しておこうか。
[00:12:27] はい。
[00:12:57] はい。
[00:13:28] よいしょ。
[00:13:32] どうかな。
[00:13:39] 最低限とりあえずアンチグラビティのインストールが終われば色々やっていけると思います。
[00:13:58] なので、アンチグラビティ、Googleアカウント、GitHubアカウント、LINEデベロッパーアカウント。
[00:14:10] すいません。
[00:14:11] はい。
[00:14:12] 今、LINEデベロッパーのプレインみたいなのをしようと思ってたんですけど、
[00:14:19] ビジネスIDを作成までやったほうがいいんですか。
[00:14:22] これそのまま多分自分のアカウントで入れるはずなので、そっちで入ったほうがいいと思います。
[00:14:31] あ、わかりました。
[00:14:33] 多分、自分のプライベートアカで入ったほうが後々色んな設定とかがややこしくなくていいと思います。
[00:14:43] 一応自分のIDログインして、ログインしたアカウントでビジネスIDを作成しますかみたいになってて。
[00:14:52] そうですね。それで大丈夫です。
[00:14:55] じゃあ、続行して大丈夫です。
[00:14:59] すいません。僕も登録だいぶ昔にやったんで、今どうなってるかもう分かってなくて。
[00:15:13] お。
[00:15:15] 了解。消毒液。了解。
[00:15:35] お、いいですね。
[00:15:38] もし、先じゃあちょっと環境。
[00:15:53] 環境を整った場合って方はですね。
[00:15:58] デスクトップにですね。新規ホルダーで。
[00:16:12] LINEアップとか。こんな感じでホルダーを作っていただいてですね。
[00:16:22] まず資料に。
[00:16:29] こうやって資料にない情報を講座をしながら足していかないといけないですね。
[00:16:36] ホルダーを作るが抜けてるのか。
[00:16:40] ホルデスクトップにLINEアップホルダーを作成し
[00:17:09] アンチグラビティで開く。
[00:17:14] なので。
[00:17:31] 全体にして。
[00:17:34] よいしょ。
[00:17:37] だいたい設定ができた人はこういう風にデスクトップにホルダーを作る。
[00:17:44] ホルダーを作るのはだいたいデスクトップで右クリックして新規ホルダーとかって押すとできる。
[00:17:51] 名前は適当でよくてLINEアップとか。LINEのアプリを作るんでLINEアップとかに今僕はしてます。
[00:18:01] このホルダーを作ってですね。
[00:18:18] このアンチグラビティを開いていただいて。
[00:18:23] よいしょ。
[00:18:29] 真ん中にオープンホルダーっていうのがあるのでポチッと押して。
[00:18:39] さっきのLINEアップっていうホルダーを選択して開く。
[00:18:47] そうするとホルダーが開けます。
[00:18:56] 今日は主にこのいろんな画面があるんですけど右側に打ちますって感じですね。
[00:19:04] さあいかがでしょうかね。ちょっと一旦環境の確認をしたいですが。
[00:19:19] まだセッティングできてないよって方。
[00:19:25] セッティング?
[00:19:27] セッティング。アカウントの準備です。
[00:19:32] GoogleアカウントとLINEディベロッパーとGitHubとあとなんだっけ。
[00:19:52] 先生、録画忘れてません?
[00:19:58] 忘れてる。
[00:20:00] いらないからしたんですよ
[00:20:02] 絶対絶対忘れてる
[00:20:04] え?録画してる?
[00:20:06] 自分画面録画してます
[00:20:08] えらい
[00:20:10] さすが
[00:20:12] 後で送ってくれ
[00:20:14] センターここの方でも
[00:20:16] しといた方が多分いいと思うんですよ
[00:20:18] 今からでも
[00:20:20] あ間違った
[00:20:22] なんかね
[00:20:24] 画面をいっぱい切り替えるからね
[00:20:26] あれ?
[00:20:28] あぶない
[00:20:32] 録画どこだっけ
[00:20:36] あーこれか
[00:20:46] はいというわけでね
[00:20:48] 本日はLINEアプリを
[00:20:50] 作る講座をやってまして
[00:20:52] えっと
[00:20:54] 一応ちょっと最初の部分を
[00:20:56] さささっとしゃべって録画に
[00:20:58] 含んどこうかな
[00:21:04] セリフとして
[00:21:06] 含んどくだけでだいぶ違うんです
[00:21:08] はい本日はLINEアプリ
[00:21:10] LINEミニアプリ実践
[00:21:12] 講座をやっていきます
[00:21:14] 予約受付アプリをアンチグラビティ
[00:21:16] を作って公開していくんですね
[00:21:18] コードとかも使わずに
[00:21:20] バイブコーディングを体感してください
[00:21:22] はい
[00:21:24] その予約管理まだ手動ですかね
[00:21:26] LINEで電話で手を
[00:21:28] 受付あれLINEで
[00:21:30] LINEや電話で受付予約を手入力して
[00:21:32] 毎日そういう登録したり
[00:21:34] とかしてて大変ですよね
[00:21:36] そういうの解消します
[00:21:38] この講座のゴールは
[00:21:40] アンチグラビティで予約アプリを
[00:21:42] 作ってGoogleカレンダーと連携して
[00:21:44] GitHubで公開して
[00:21:46] LINEの設定もしてアプリ化して
[00:21:48] 公開するという流れです
[00:21:50] 最初に要件定義を整理して
[00:21:52] アンチグラビティでUIを設定
[00:21:54] UIを作成
[00:21:56] あとは動作確認などをして
[00:21:58] 修正をして
[00:22:00] カレンダーと連携をして
[00:22:02] GitHubに公開してデプロイして
[00:22:04] ということをやってきます
[00:22:06] はい
[00:22:08] 作る予約アプリの
[00:22:10] 仕様は予約フォームがあって
[00:22:12] 予約の一覧の表示がされて
[00:22:14] Googleカレンダーに予約を同期して
[00:22:16] LINE表示に最適化された感じになって
[00:22:18] コード不要でアンチグラビティで
[00:22:21] 30秒で予約がカレンダーに
[00:22:24] 現れていい感じです
[00:22:30] ではこの開発前の準備段階として
[00:22:32] アンチグラビティやGoogleアカウント
[00:22:34] GitHubアカウント
[00:22:36] LINEデベロッパーアカウントを作っていきます
[00:22:40] まだできてない人教えてね
[00:22:44] すいません
[00:22:46] アンチグラビティに
[00:22:48] 新しく作ったファイルで
[00:22:50] 作業する場合って
[00:22:52] どうするんでしたか
[00:22:54] それ大丈夫です
[00:22:56] 今から説明もう一回しますけれども
[00:22:58] はい分かりました
[00:23:00] だいたいでも準備OKそうですかね
[00:23:02] はい
[00:23:04] じゃあ
[00:23:06] ちょっと改めて
[00:23:08] 作業の仕方をやっていきます
[00:23:10] えーっと
[00:23:12] なんだっけ
[00:23:14] 画面共有が
[00:23:16] 今これどうなった
[00:23:18] これが
[00:23:20] んーっと
[00:23:22] もういいか
[00:23:24] 前後
[00:23:42] えーっとですね
[00:23:44] まずこんな右クリック
[00:23:46] デスクトップで右クリックをして
[00:23:50] 新規ホルダーみたいな感じで
[00:23:52] 新しくホルダーを作ります
[00:23:54] それで作ったのが
[00:23:56] このLINEupっていうホルダー
[00:23:58] 名前は何でもいい
[00:24:00] LINEupにしとくのが無難です
[00:24:06] でこのホルダーを
[00:24:10] ホルダーを作ったら
[00:24:12] その後で
[00:24:14] アンチグラビティを普通に開き
[00:24:32] アンチグラビティを
[00:24:34] ガラッと開きます
[00:24:36] そうすると
[00:24:38] なんか真っ黒な
[00:24:40] 最初に開いたときはもしかしたら
[00:24:42] 色々設定とかが出るので
[00:24:44] ポチポチポチっと設定をしていって
[00:24:46] それが終わるとこういう
[00:24:48] 真っ黒な画面か真っ白な画面になるんで
[00:24:50] その右側の
[00:24:52] こちら
[00:24:54] ここのところに色んなチャットを打っていきます
[00:24:56] 今回は
[00:24:58] 今回
[00:25:00] 打つ内容は
[00:25:02] こんな感じです
[00:25:04] えーっと
[00:25:08] アンチグラビティで
[00:25:10] コピペ用のプロンプト
[00:25:12] LINE miniアプリとして
[00:25:14] 使う予約受付ウェブアプリを
[00:25:16] 作ってください
[00:25:18] 条件index.html
[00:25:20] 1ファイルにまとめる
[00:25:22] 日本語で作成スマホ最適化
[00:25:24] 予約フォーム
[00:25:26] 予約一覧表示これらをつけて
[00:25:28] なんていうのを
[00:25:30] この文章を
[00:25:32] そのまま
[00:25:34] 先ほどの
[00:25:46] ここの部分ですね
[00:25:48] なので
[00:26:02] 予約受付
[00:26:12] めんどくせーから
[00:26:14] 僕はこういう
[00:26:16] コピペを作りますが
[00:26:20] LINEでいいか
[00:26:32] はい
[00:26:52] あれ
[00:26:54] ちょっと待ってね
[00:26:58] 戻しそう
[00:27:02] おいしょ
[00:27:10] こんな感じで
[00:27:12] プロンプトを打って
[00:27:14] 矢印でポンって送るだけ
[00:27:16] 一応
[00:27:18] 今送った
[00:27:20] プロンプトも
[00:27:24] チャットに
[00:27:26] いろんなウィンドウが出てうざい
[00:27:28] えーっと
[00:27:30] あれ
[00:27:32] チャットの送る場所どこだ
[00:27:36] あれチャット
[00:27:42] 今一応チャットにも
[00:27:44] プロンプト送ったので
[00:27:46] 打つのめんどくさいよーって方は
[00:27:48] それをポンとそのまま送ると
[00:27:50] 貼り付けるといいと思います
[00:27:52] そうすると
[00:27:54] 何やら作業が
[00:27:56] ゴニャゴニャゴニャーって始まるので
[00:27:58] どんな風になるかなー
[00:28:00] ってとこですね
[00:28:08] さあこの
[00:28:10] アンチグラビティに
[00:28:12] 命令出すっていうところで
[00:28:14] 困ってるよー
[00:28:16] っていう人とかはどんどん
[00:28:18] チャットなりなんか
[00:28:20] 困った顔をするなり
[00:28:22] なんかしてください
[00:28:24] ふふふ
[00:28:28] お
[00:28:30] ちなみに
[00:28:32] たぶん
[00:28:34] 今
[00:28:36] もうあれですね
[00:28:38] 僕の画面は
[00:28:40] もう
[00:28:42] 僕のはもうできました
[00:28:44] 終わりです
[00:28:46] あはははは
[00:28:48] あはははは
[00:28:50] あはははは
[00:28:52] あはははは
[00:28:54] あはははは
[00:28:56] こんな感じで
[00:28:58] いきなり
[00:29:00] 予約アプリが登場してきました
[00:29:26] お
[00:29:52] どうかなー
[00:29:56] ぴゅっ
[00:29:58] ぴゅっ
[00:30:00] ぴゅっ
[00:30:00] お、なんかお困りポイントありましたか?
[00:30:10] 今これの指示をするまま打ったら、新しいバージョンにしてくださいってなったので更新します。
[00:30:17] はい、了解です。
[00:30:19] 鈴木さんができたっぽい。いいですね。
[00:30:26] なんかですね、この作業を進めてバーってやっていろいろ一通り終わると、この下の辺にアクセプトオールっていう青い文字が出たりするんですけど、
[00:30:37] これとりあえずポチって出てたら押してください。
[00:31:38] 今のところ全然できる気配ないぞーっていう人。
[00:31:46] みんな大丈夫そうかな?ついてこれてる?大丈夫そう?
[00:31:59] ぜひね。大事なのは。
[00:32:10] あーそうなんだ。さっきの綾野さんでもあったことだよね。アップデートを求められるとどうなる?
[00:32:19] なんかこういうちょっと多分いろんな人のつまずきポイントを把握しておきたいんだよね。
[00:32:27] 今私のパソコンはWindowsなので、Windowsのほうで新しいバージョンをダウンロードしなきゃいけない。インストール。
[00:32:39] あーそういうことか。
[00:32:41] 大元のアップデートですけど、ここからダウンロードしろってURLが貼られます。
[00:32:47] じゃあ普通にインストールしなおしみたいになるってこと?
[00:32:50] そうです。
[00:32:52] X64かARM64かになって、
[00:32:58] まさむねも同じになってるんだね。なるほどね。
[00:33:02] 理解。これは結構いろんな人で起こりそうだ。
[00:33:05] だからもしかしてあれですかね、今回初めてダウンロードした人とかだと問題ないかもしれないけど、手前でやってた人とかだとこういうことがなり得るってことですかね。
[00:33:18] じゃあここに、事前にダウンロードしてた人はアップデートなどする可能性あり。
[00:33:35] OK。ありがとうございます。
[00:33:37] 知見をね。この知見を貯めて。
[00:33:42] あとWindowsのほうが安定しにくいはずなんで、これ。
[00:33:45] やっぱそうなんだね。
[00:33:47] つまり多いです、Windowsのほうが。
[00:33:56] 講座もね、アンチグラビティとかでライトに始められるっていう講座から、クロードコードでガチにやる講座っていうところまでつなげてったほうがいいんだろうな。
[00:34:21] Xか。
[00:34:30] 案内整えないといけないかもしれないですね、これ。
[00:34:33] そうだね、ちょっとだから。
[00:34:35] メモってはいるので。
[00:34:38] なんか多分だから事前ダウンロード案内が必要だわ。
[00:34:47] 事前ダウンロードと環境設定の仕方のマニュアルみたいなのがある必要があって、これ登録しておきましょうみたいな。
[00:35:06] なんかあれかもな。
[00:35:12] それかあれか。
[00:35:18] 動画とかもそういうやるべきリスト集とか設定集みたいなのを別で作って、問い合わせをしたらそれがもらえますにしようか。
[00:35:38] いいっすね。
[00:35:39] いいよね、これ。
[00:35:40] それは話し合いましょう。
[00:35:42] メモっておくんで進めましょう。
[00:35:45] ちょっと待って、すごいでも今大事なことだから確実にメモっておきたい。
[00:36:00] アカウントの設定方法。
[00:36:19] インストールするツールを一段にして事前に配布。
[00:36:31] OK。
[00:36:34] よしよし。
[00:36:36] これでまたいい講座になります。
[00:36:46] いろいろアプリをこれからなんとなくざくっとこういう大まかな指示で大体8割ぐらいそれっぽく作ることはできるんですよ。
[00:37:04] でもここでもうちょっとより事業とかサービス内容にぴったり合わせていくとか、デザインのイメージを変えていくとか、あと画像を追加するとか、そういうようなカスタマイズが結構必要になってきて、
[00:37:23] そういうところをちょっとずつ一つの変更に絞ってやっていくっていうところとか、うまくいかないときに直してとか、ちゃんとエラー出たときに修正させるとか、あとは具体的になるべく伝えていくってこととか、あとは画像を追加するときにはですね、
[00:37:41] 先ほどホルダーを作ったかと思うんですが、この中に新規ホルダーでまたイメージ図っていうホルダーを作って、
[00:38:08] このホルダーの中にいろんな画像を入れて、その画像を表示させて、なんていうと表示させてくれます。っていうようなちょっとカスタマイズをやっていくところを次はやっていこうと思います。
[00:38:26] 例えばいろんな、ちょっとここは一例でいろいろ出してみたので、好きなの思いつきで何でもいいと思います。
[00:38:38] ここでこうやって、例えばよく行く美容室の予約アプリを作ってあげようなんてことをしたときに、例えばその美容室のロゴをちゃんとそのアプリに入れられるってことができたりするだけでもだいぶ違ってくる。
[00:39:02] そんなふうにして、ちょっと今出てきたアプリ、なんかもっと使いやすくするにはどうしたらいいか、おしゃれな感じにするにはどうしたらいいかってことをちょっと考えて、雑にUIを改善してくださいっていうだけでも結構やってくれるし、具体的にボタンを大きくしてとか言ったり、配色をもっとこういう色にしてとかって言ったりしてもいいし、
[00:39:23] あとはカレンダー形式にして日付選択をするとか、そういう仕様のことを言ってみてもいいし。
[00:39:29] っていうようなので、ちょっとずつ自分でプロンプトをまた同じように、追加で打つときはここのさっきの右のところに、僕がよくやるのはリッチでクールなデザインにして、
[00:39:59] 以上で終わります。
[00:40:00] あとは リッチでクールなデザイン なんて 抽象的で全然AIに言うには
[00:40:12] いい言い方ではないんですけど そういう 言い方でもなんとかなります
[00:40:16] ってことも覚えておいてください ちょっとこんなところで 何か何
[00:40:23] あるかな 僕はラジミニとかに
[00:40:37] かくの美容室のそれっぽいロゴを 作って こういうふうに ぜひ画像
[00:41:07] 生成 ジェミニの画像生成とかも うまく組み合わせて アプリのデザイン
[00:41:13] をしていけると とてもいいなって なります 具体的にはこんなふう
[00:41:19] にそれっぽいロゴを作らせて 美容室 明かり それっぽい よくわからん
[00:41:34] なそれっぽいロゴ アレ それっぽい ロゴ ダウンロードできたか 名前
[00:41:50] 変えて ラインアップのイメージ図 に保存 例えば もっと全体にリッチ
[00:41:59] でクールなデザインにしてって 言って ホルダーに画像入れて イメージ
[00:42:05] 図 ホルダーにロゴ画像入れたので アプリに表示させてと言ったり
[00:42:18] して また命令出す こんなふうにして 不満ポイントを指摘して こういう
[00:42:28] ふうにしてっていうのを 何だろう 繰り返せば繰り返すだけクオリティー
[00:42:35] は上がりますな ただ これで もっと こういうふうにしたら お客さん
[00:42:50] 満足度が上がるだろうなとか そういうことをいっぱい考えて
[00:42:55] うまく提案すればするほど お金につながりやすくなります なので 今日 例えば
[00:43:10] この予約アプリの使い方を覚えて 大手の予約アプリとかを使うぐらい
[00:43:24] の金銭的な余裕があまりない美容 室なんかがおすすめなんですが
[00:43:33] そういうマーケティングをうまく やれてなくて お金がなさそうな
[00:43:38] ところとかにフラッと行き ホット ペッパーとかだと 3万とか毎月
[00:43:46] かかっちゃうんですけど この予約 アプリだったら 予約の制限なし
[00:43:51] で毎月5千円でいいっすよ やんないっすか っていうのを へぼそうな美容室
[00:44:03] 10件に当たるんですね そうすると なんと不労所得で月々5万円 そういう
[00:44:16] 感じで副業ってやります なので ぜひ皆さん 髪切りに行くときは
[00:44:29] 毎回美容室変えていただいて 毎回違う美容室とエステサロン
[00:44:38] と営業に行っていただいて このシステムを自分で作って導入
[00:44:43] させるんすね
[00:44:44] 竹見くんも これを機に親美容室 を卒業していただいて 集客失敗
[00:45:03] してそうみたいなところに切り 込んでいってくれ
[00:45:15] でもそういうのです 激安 激安 予約のらアプリ 結構ニーズある
[00:45:30] と思うんだよね
[00:45:44] これこそ秋田県は美容室の数が 人口の割合に比べて確か全国で
[00:45:51] 一番多いので そういう点ではこの アプリの親和性もあると言える
[00:45:56] おー
[00:46:07] だからあれなんだよな
[00:46:08] 一旦完成したアプリの操作確認 があったほうがいいんじゃない
[00:46:15] ですか
[00:46:16] ん
[00:46:17] 一回完成したアプリの操作確認 をしたほうがいいんだよなと
[00:46:18] どう みんなできてる できてないよって人 できてないよって人は率直に
[00:46:26] お 力太郎はなんとなくやってる っぽいね オッケーオッケー
[00:46:30] すいません 一回イーストーリー 今終わって もう一回指示出そう
[00:46:58] と思ったんですけど 一番最初の 指示なんでしたっけ
[00:47:01] あ えっとですね
[00:47:02] あの 一回このミーティング一回 閉じちゃって
[00:47:06] あー 了解です 了解です ちょっと 待ってください もう一回
[00:47:09] 送りましたよ 送りましたよ 送り ましたよ
[00:47:10] あー ありがとう
[00:47:12] 何ん
[00:47:26] ίας
[00:47:27] ありがとうございます
[00:47:28] いいですよ
[00:47:29] おう そうだね 動作確認 ちょっと しようか ちょっと待って普通に
[00:47:38] 一応 ちょっと僕のほうでは こんな 感じのずらずらっといろいろ出て
[00:47:53] いて さっき言っちゃったロゴ画像 も作って追加してっていうのを
[00:47:58] 言ったんで なんかそしたら なぜか画面が全体的にダークデザイン
[00:48:06] に変わり までは一応 ロゴは反映 されたって感じになってます
[00:48:16] 名前とか入力すると 名前入力したりとか あとはこういう
[00:48:29] カレンダー的に時間を入力できます 例えば ここで予約の時間とか分
[00:48:44] 単位で入力できちゃってるけど そんな 必要多分なくて 12時か12時半か
[00:48:53] みたいな感じのちょうどいい時間 でいい でも 一応 多分予約はできる
[00:48:58] けど まだこれ カレンダーとの 結びつけをやってないので ここ
[00:49:02] までって感じにはなってますね でも なんとなく 予約の管理の挙動
[00:49:08] はしていそうというとこです でも あれだな そういうので 例えば
[00:49:16] この時間とかが分単位になってん のが 僕はすごい気になるんで こういう
[00:49:23] のスクショしちゃって スクショ したら このMacだとパス名をコピー
[00:49:35] っていうので オプション押しながら とパスがコピーできるんで この
[00:49:43] パスをここに貼り付けて 謎のように 時間の指定が分単位が
[00:50:00] 細かすぎます。
[00:50:30] こうやってやると、たぶん0分か30分しか選べなくなるんじゃないかなとかね。
[00:50:57] 時間の入力も全部の時間を選べちゃうとあれなのか。
[00:51:04] 今こうやって修正したところ、たぶん時間が変わっていないかな。
[00:51:34] ここにいっぱいログインしないといけない。
[00:52:04] あれ?
[00:52:18] それで修正とかを依頼して、うまくいったら続けてこれをお願いしますってどんどんオーダーしていくし、
[00:52:27] やってみたけど変わんないってなったら、変わんないよってそのまま言ったり、修正されてないよって言ってみたりすると、また同じように修正してくれるはずだけど、
[00:52:46] なんか動いてないな。
[00:53:17] このスクショのリンクを貼って、
[00:53:24] あ、てか違うわ。
[00:53:26] リンク貼らないでもアンチグラビティはドラッグ&ドロップができるんだ。
[00:53:31] スクショしてこうやってドラッグ&ドロップをしますとですね、画像が貼れて、
[00:53:38] これで更新しても変化がありません。
[00:53:47] 文が0、7、59まで選べてしまっています。
[00:55:17] なるほど。
[00:55:44] あーなるほどね、そういうことになった。
[00:55:48] そしたら、全部が選択式になっちゃうと、これはこれでやりにくいから、
[00:56:03] 営業時間は10時から19時なのでその範囲にしてとかでだいぶ。
[00:56:30] という感じでどうですか。
[00:56:32] この修正をして自分のやりたい形のアプリに寄せていくっていう作業が結構大事なんですけど、できそうですか。
[00:56:58] それで10時から19時ぐらいまでになったかな。
[00:57:10] きれいになった。
[00:57:25] ちょっとじゃあ一旦、先にもちょっと資料を進めつついこうと思います。
[00:57:49] ある程度形になってきたぞってなったら、次は一旦この辺でGitHubに上げようっていうことをやっておきます。
[00:58:06] 一回途中でGitHubに上げておいて、それを編集するっていう形にしていくと、後々管理が便利になるのと公開が非常にしやすくなります。
[00:58:17] ではまずGitHubを実際にやってみようってことで、まずやることはこんな感じです。
[00:58:31] GitHubっていうところでリポジトリを作ります。
[00:58:34] そこにさっきのindex.htmlをアップロードして、セッティングページズっていうのをポチポチと押すと、実はもうこれだけでページとして公開することもできます。
[00:58:48] なのでまずはこちらのワークなんですが、まずこちらのGitHub.comってところにアクセスして、new repositoryというのを押します。
[00:59:18] new repository…。
[00:59:28] 画面共有が邪魔でやる。
[00:59:47] あー閉じれない。
[00:59:50] あー閉じれた。
[00:59:55] GitHub。
[00:59:58] GitHubはこういうね。
[01:00:00] イットハブって検索すると出ます ねこちゃんのサイトですね ここ
[01:00:05] にサインインとかを押してもら って ここのプラスのところにニュー
[01:00:16] リポジトリっていうのがあるので これを押す
[01:00:19] おだしょー 画面共有がされていない イットハブ これですね ちょっと
[01:00:40] 戻るか ギットハブって検索する と 猫ちゃんがくり抜かれたような
[01:00:47] サイトがあるんで ここをポチ で サインインをポチ もしかしたら
[01:00:57] もうサインインすでにされてる かも ここのプラスのところの下
[01:01:03] 三角を押すと いろいろ出るんで この中の上から2番目のニューリポジトリ
[01:01:10] を押す それでリポジトリネーム はさっきのLineupとかかな する
[01:01:23] といいと思います 僕はちょっと いろいろあるんで テストとか入れ
