[00:00:03] 開催しますって言って。
[00:04:04] 感じすれば。
[00:04:07] いいじゃん。
[00:04:07] ま、1大イベント的にはなりそうですよ。
[00:04:08] なんかそういうのでね、あの、ちゃんとと熟成とかちっちゃい児もなんか作ってちゃんと作品を残すみたいな習慣づけをしてけるとういいかな。
[00:04:23] なんか何やったかそこで発表してもいいかもな。
[00:04:25] 発表とてか、まあみんなにいる時間とか作ってもいいかも知れないですね。
[00:04:29] もしくは。
[00:04:30] その黙々回内でなんかテーマ決めて作って、それをえっと、ちょっと発表みたいな。
[00:04:38] うん。
[00:04:38] そうですね。
[00:04:39] そういうことでもいいと思うし。
[00:04:43] いいですね。
[00:04:44] どういう風にすれば多分祝日に。
[00:04:46] ああ、祝日だと思ったけど出かけられないってことだ。
[00:04:49] なりませんで。
[00:04:50] 個人的にも。
[00:04:50] はい。
[00:04:52] いや、非常にいい。
[00:04:58] ありがとうござい。
[00:04:59] ったから、そんな祝日のお。
[00:05:02] で。
[00:05:02] とかにもしやるんだったら、そこに研修を持ってくるってのは。
[00:05:05] あ。
[00:05:06] ありですね。
[00:05:07] 検討して。
[00:05:09] オッケーです。
[00:05:13] えっと、そうですね。
[00:05:15] 働きやすい軸になってきてるよ。
[00:05:21] 働きやすい。
[00:05:23] 大事ですけどね。
[00:05:27] えっと。
[00:05:28] あと考えるところとしては今えっと。
[00:05:34] 今日慣れても言いますけど、なんかそれこそまあ一応僕はこっちにも持って来たので。
[00:05:37] うん。
[00:05:40] 一応3月月中ぐらいはむしろなんか一応作れるって状態にはちょっとあるので、なんかあーんと整える整える考えるなら考えるで。
[00:05:49] あ、それこそこのえっと祝日のあれ含めて。
[00:05:52] そうだね。
[00:05:55] 何何だろうな。
[00:06:00] なんかでもやっぱあれな。
[00:06:02] あの、正宗とかが正宗もなんか空いたって言ってるから、あの。
[00:06:07] はい。
[00:06:07] で、エフェクターが欲しいって言ってるからマニュアルとかを作らせようかなって思ってんだけど。
[00:06:11] あの人だ。
[00:06:15] あれですね。
[00:06:15] ええと、そのギターとかあの。
[00:06:17] そうそうそうそうそう。
[00:06:17] あの、なこここうし、こうし、こうしみたいな。
[00:06:20] あれですよね。
[00:06:27] ああ、でもあの、ちょっと一瞬3月に1回何かしらのワークルーム研修とかしてもいいかなと思ったんですけど、ちょっときついですかな。
[00:06:34] どうだろうね。
[00:06:38] なんかあの、この間あの裕君とのライブでも裕君もちょっとクロードコードの講座とかをやってこうと思ってるみたいなのは言ってて。
[00:06:51] だから。
[00:06:55] 合わせるなら合わせでいいし。
[00:06:57] 何だろう、でも一旦まだ。
[00:07:11] でもう集客のしやすさとか考えるとやっぱ一旦はでもアンチグラビティとかで出来るぐらいの。
[00:07:19] そうですね。
[00:07:19] それはそうですね。
[00:07:20] 講座の方がいいよね。
[00:07:21] きっとね。
[00:07:24] あといつから出すかですよね？あの。
[00:07:28] 集中、ま来年度でいいんな感じでいいですかね。
[00:07:35] 1段は。
[00:07:36] うん。
[00:07:37] 4月から。
[00:07:39] で、講座の、講座の展開とか大々的に売り出していくものは。
[00:07:44] そうだね。
[00:07:52] そんな感じになりますね。
[00:07:54] 4月、4月目標で行きます？
[00:07:57] うん。
[00:07:58] じゃあ、じゃ3月中にこのえっとマニュアルとかあの。
[00:08:03] うん。
[00:08:07] ナルテックとまとめてるシートのやつを全部埋めるとか。
[00:08:12] はい。
[00:08:16] かな。
[00:08:17] 多分メールはなんと か。
[00:08:22] 一旦はそっちもね。
[00:08:23] その講座とかそっちの方面のAI事業の方を結構一旦形整えとくっていう方が多分優先順位高いかな。
[00:08:34] なんだったらそうですね。
[00:08:35] うん。
[00:08:37] ええええと、であれば一応僕は最近あれ、スパベー スってなんかログインシステム作ってました。
[00:08:45] あ、スパベース。
[00:08:46] あの、あれでしょ？え、データベースのやつでしょ？
[00:08:49] はい、あれは最近僕覚えたので。
[00:08:51] おお。
[00:08:53] あの、バーセルから飛んでみたいな。
[00:08:56] なんかログ、なんまあまあ。
[00:08:58] どういう仕組みか知らないですけど。
[00:09:00] ログインの仕組みを作ることには成功した最近。
[00:09:03] なんかスパベースあれじゃねえか。
[00:09:06] あの、多分だけどえっと、データベース2個ぐらいしか作れねえから気をつけ。
[00:09:12] 使え使え。
[00:09:12] あ使わない作れない。
[00:09:14] そうだよな。
[00:09:14] 無料だとそうだよな。
[00:09:17] はい。
[00:09:18] あれ、データベースってあれなんかいい方法ないのかな？Xサーバー借りてるけど、なんか使えないのかな？
[00:09:29] なんか なんかXサーバー借り てるからデータベース自由に使えるんじゃないかなって思うんだけどね。
[00:09:34] あんまりね。
[00:09:35] その辺のね事情分かってないんですよね。
[00:09:40] Xサーバー借りてるんだけど。
[00:09:46] 一応ログインシステムを作ることには成功したんで。
[00:09:48] 作ろうと思ったらなんか作れるんですけどなんかそれこそコミュニティ の中 フローフシティみたいにああいうの作ればいいんかとか思ったんですね。
[00:10:00] 一瞬。
[00:10:00] そういう会員限定の。
[00:10:02] ちょっとコミュニティ。
[00:10:03] そうなんだろうね。
[00:10:05] それをなんか、そういうのはでもDiscordとかで管理したいかなって感覚はある。
[00:10:11] ああな。
[00:10:11] だけど、え、有量のサブスクとかで管理するんだけど。
[00:10:15] あの、方がいいかなっていうだけですね。
[00:10:20] うーん。
[00:10:21] 多分自動でDiscordそこ多分できないじゃないですか。
[00:10:26] サブスク？
[00:10:27] 自動でというか、あのえ？
[00:10:28] サブスクは。
[00:10:29] リンク発行とかはググってあって、あの3つの管理はDiscordでやればいいから。
[00:10:34] あ、そうそうそう。
[00:10:35] ストライプの決済サブスクリーで大会退 し たらいいの？
[00:10:39] え？
[00:10:40] え、できるよ。
[00:10:41] まあ。
[00:10:42] あ、大会はね。
[00:10:43] そもそもあのストライプはあの。
[00:10:49] 顧客側ができないんじゃないかな。
[00:10:53] 多分。
[00:10:54] あ。
[00:10:54] あ、とりまあ、あの、単純にその有料えっと会員辞めますて言って大会てか、えっと切った後に自動でDiscordからのサーバーから。
[00:11:02] あ、それもできる。
[00:11:05] はい。
[00:11:05] ネット今ソリで入ってるサーバーがあって、ユルコンピューターがアクラジオって言う。
[00:11:11] ああ。
[00:11:12] ところがあるんだけど、そこは月額会員制で。
[00:11:18] やってて、で、切ると勝手に提出させられるね。
[00:11:23] え？
[00:11:24] じゃあ作ってよ。
[00:11:32] 出た。
[00:11:34] ま、でも作れるよね。
[00:11:37] ユルコンピューター学ラジオも見てるしね。
[00:11:51] え？
[00:11:54] ちょっとでもえ？
[00:11:58] それ。
[00:11:58] いや。
[00:11:59] いるよね、何かをやつ。
[00:12:00] それあのユルコンからリスコがやつ入ったら見れんのか。
[00:12:06] リスコがねえじゃねえか。
[00:12:08] 書い てねえじゃねえか。
[00:12:11] あれ？
[00:12:14] 月額会員制のやつ書いてると思うんで、それですね。
[00:12:18] なんか概要欄とかに書いてあんのかな？
[00:12:20] 概要欄とかに書いてあると思います。
[00:12:22] サポーターコミュニティはこちらみたいな感じで。
[00:12:28] 最近の動画の方がいいのかな。
[00:12:44] うーん。
[00:12:44] で も森本さんのプログラミングスキルがあるからできて.
[00:12:58] できるんだったらやっとしいけどね。
[00:13:00] で何かがいますよ、絶対。
[00:13:02] うん。
[00:13:02] あれの。
[00:13:02] 何か。
[00:13:04] 載ってねえ。
[00:13:08] 震の動画で載ってねえじゃねえか。
[00:13:10] あ、これか。
[00:13:10] サポ、あ、これか。
[00:13:13] グタコンティス。
[00:13:15] オッケー。
[00:13:16] ユル言語学 ユル言語.com。
[00:13:21] あれ？これはでもあれだな。
[00:13:23] ホームページだな。
[00:13:25] ホームページ。
[00:13:25] あ、で、でもホームページから飛べると思います。
[00:13:28] うん。
[00:13:28] どこから行けの。
[00:13:32] サポーターになるか。
[00:13:34] あ、そうだ。
[00:13:35] そうです。
[00:13:38] ああ、これでだから。
[00:13:44] 月1000円から。
[00:13:51] 途中まで入って。
[00:13:59] これはなんか。
[00:14:01] Discordの。
[00:14:02] じゃあ。
[00:14:02] あれが な、とりあえず分かったぞ。
[00:14:07] まずえっと、だから。
[00:14:15] こういうの。
[00:14:20] で も確かにそういう。
[00:14:25] そういうコメ。
[00:14:35] 講座とかには出れないけど1000円ぐらいのなんか相談できるみたいなライトなコミュニティはあってもいいかもね。
[00:14:44] まあこう言うだからログイン画面があるサイトがあって、だからここのログイン画面は。
[00:14:53] もし行っ たらできるってことですかね。
[00:14:57] で、なんかDiscord連携するみたいなページに飛ぶな。
[00:15:01] ちょっと。
[00:15:05] ちょっと一旦とりあえず。
[00:15:12] 堀本式をコピーしてやろうじゃねえか。
[00:15:18] や作ってみね。
[00:15:25] いいすか。
[00:15:25] どう。
[00:15:28] こういう時も作れるか作れるないかわかんなくても作れるって言うんだよ。
[00:15:34] ええ。
[00:15:36] 分かんなかっ。
[00:15:36] ええっと、今。
[00:15:43] そこでまごまごする。
[00:15:45] どういう と ここでまごまごすると仕事に繋がんなくなるんです。
[00:15:51] っていう普段のからのイメージトレーニングですね。
[00:15:58] どっち か と いう と、サーバー ずっと動かせるサーバーとか、そっち の 方 が 今 足り なく て うん。
[00:16:02] Googleクラウドの方で無料行き、無料という か 月額か、自分 で 契約 し たり し てる ん で、何 か しら X サーバー だっ たり と か。
[00:16:09] 契約するものが有ればちょっと 貸し て いただける と。
[00:16:12] いら ない ん じゃ ない ? 別 に これ 。
[00:16:15] えっと。
[00:16:15] えっ と 多分 その パーセル で できる ってこと だ よ ね 。
[00:16:19] えっと バ あ 、 そう す 。
[00:16:22] あ 、 バーセル も そう です けど 、 えっと 。
[00:16:28] ちょっと ログイン 管理 の 方 が 枠 埋まっ てる と 思う ん で 今 。
[00:16:32] スパベース ?
[00:16:33] スパベース も 埋まっ てる ん で 、 で 、 その 他 の アプリ 開発 って いう 風 に 言わ れる と えっと 、 あ 、 そう です ね 。
[00:16:44] サーバー できれ ば 熟 内 で あっ た 方 が いい の か なっ て いう の も 。
[00:16:52] で ちょっと 待っ て ね 。
[00:16:53] これ で どう な 。
[00:17:01] うーん 。
[00:17:02] うーん 。
[00:17:03] こう なっ て 完了 か 。
[00:17:05] スパベース なっ て も で 。
[00:17:08] 難しい か 。
[00:17:09] 管理 が 面倒 な の か 。
[00:17:12] そう だ ね 。
[00:17:13] だ から データベース 。
[00:17:15] まあ で も な 。
[00:17:19] トレラ が 発生 する から 。
[00:17:32] そう じゃ なく て 。
[00:17:39] なん か これ を 追加 し たら 、 この ファイル を 追加 し たら 、 えっと if ビジネス の ページ に 。
[00:17:50] ログイン が 加わっ て 。
[00:17:54] とか が いい から 。
[00:17:56] 分かっ た 。
[00:17:58] 分かっ た 。
[00:17:58] だ から あれ だ 。
[00:18:01] えっと 。
[00:18:08] 一旦ifビジネスのページを えっとギットハブからコピーしてもらって それでそれを編集できる状態にし その上でそのファイルにログイン機能を1回追加するってのやって だね。
[00:18:32] あ分かっ うん。
[00:18:40] そしたらあれか。
[00:18:43] できる か も しれ けど ね 。
[00:18:45] X サーバー は 。
[00:18:46] X そうそうそう 。
[00:18:48] X サーバー が それ 使える か を 聞こう 。
[00:18:51] X サーバー 借り てる ん だ けど データベース 管理 は MySQL 入れれ ば いける と 思う ん です けど 。
[00:18:58] そう だ よ 。
[00:19:00] うん 。
[00:19:01] データベース みたい に データ あ 、 データベース 管理 って も データ が あ るって の 。
[00:19:24] 結論から言うと、Xサーバーのデータベースをそのままスパベースのように、えっと、使うことはできません。違う。
[00:19:32] 管理画面が大変だったりとか。
[00:19:44] うんと。
[00:19:46] なんだ？バック。
[00:19:48] エンドの機能APIとして提供するサービス。
[00:19:52] あ、そうなの。
[00:19:56] アルシテーション。
[00:19:59] MySQL。
[00:20:05] ああ、なんかその。
[00:20:09] あれなのか。
[00:20:12] 導入 なんとなくスパベー スっ て いう の は 外部 から いろんな データベース の 中身 と か を 操作 し やすい よう な 設計 に なっ てる データベース で 。
[00:20:26] はい 。
[00:20:26] X サーバー の 方 の データベース は 、 えっと そういう 外部 から の 操作 と か を 一切 弾く よう な タイプ の データベース 。
[00:20:37] ああ 。
[00:20:38] っていうので、データベース自体の種類が多分違うってことで、ちょっとそれを聞こう。
[00:20:41] 違う 。
[00:20:49] つい て 2 画面 共有 も しよう 。
[00:20:52] え 、 データベース に じゃあ 種類 が いく つ も あ るってこ 。
[00:20:57] データベース に いく つ も 種類 が あ るってことなの 。
[00:21:00] 初めて 知っ た ん だ けど 。
[00:21:02] 知っ て た ?
[00:21:03] や なかっ た です 。
[00:21:04] ね 。
[00:21:10] 勉強 に なり ます ね 。
[00:21:14] え デタメンス に いく つ も 種類 が あ るってこ と 。
[00:21:23] あい そう す けど ね 。
[00:21:26] うん 。
[00:21:33] そう な ん だ 。
[00:21:38] じゃあ 逆 に X サーバー もう 解約 で いい ん じゃ ねえ の ?
[00:21:44] それ で スパベース に 、 ん ?
[00:21:47] ああ 、 なるほど 。
[00:21:49] リレーショナル データベース と 非 リレーショナル データベース 。
[00:21:55] はあ 。
[00:22:00] そう な ん だ 。
[00:22:03] あ 、 で も どちら も リレーショナル データベース 。
[00:22:28] エクサーバー より サ ベース の 方 が いい て こと です か ?
[00:22:31] なん か ワン チャン そう な の か な ?
[00:22:34] 多分 。
[00:22:34] データ ベース だっ たら ワン チャン その 可能 性 あり ます 。
[00:22:35] えっと で 要する に 。
[00:22:47] うん 。
[00:22:48] じゃあ 、 例えば あ 、 サポート X サーバー の が 良さ そう す けど ね 。
[00:22:52] うん 、 そう な ん だ よ 。
[00:22:52] 運営 し てる ページ に えっと ログイン 機能 を つけ て 有料 会員 と か で 表示 を 分ける よう に し たい 。
[00:23:10] えっと そ の ユーザー 感 し て いく 上 で は どれ が 1 管理 し やすく 実装 も し やすい です か と 。
[00:23:23] コスパー も いい です か ?
[00:23:29] まあ、それ で なん か いい やつ が ある ん だっ たら、1 個 多分 データベース系は結構使うから別に契約はアリだなと思うね。
[00:23:38] まあそうですね。
[00:23:40] が、Xサーバーがスパベース乗り換えみたいなイメージですか？
[00:23:43] うん。
[00:23:45] あ。
[00:23:46] お。
[00:23:48] 止まっ て い ます 。
[00:23:49] 運営 し て いる 。
[00:23:53] ちゃん 自作 し て いれ ば ええ と 。
[00:23:58] A で やっ て ます 。
[00:24:00] はい 。
[00:24:04] そう する と ま 、 確か に ね 。
[00:24:06] ワードプレス 、 プレス だっ たら プラグ イン 使え やっ て なる か な 。
[00:24:11] だ から で も ワードプレス じゃ ない です から ね 、 最近 。
[00:24:14] ワードプレス なんて もう ね 、 世の中 から 消え ます よ 。
[00:24:18] やっぱ スパベース か 。
[00:24:21] す ね 。
[00:24:30] まあ、昨日何も分からず触って、簡単にいけたんで。
[00:24:33] うん。
[00:24:34] で も 。
[00:24:37] バイト 。
[00:24:40] じゃあ いい か も 。
[00:24:41] スパ ベース を スパ ベース 。
[00:24:44] じゃあ スパ ベース だ な 。
[00:24:46] スパ ベース で 。
[00:24:57] スパ ベース を 使う から じゃあ スパ ベース の プラン 組よう 。
[00:25:26] あはくする。
[00:25:27] す 。
[00:25:27] そうそう。
[00:25:28] あ 、 で も 僕 の で 入っ ちゃ ダメ だ な 。
[00:25:31] まずい す 。
[00:25:31] あ 。
[00:25:32] え 、 あの 不熟 の 方 が いい よ ね 。
[00:25:34] はい 。
[00:25:35] みんな で 共有 する なら ね 。
[00:25:36] はい 。
[00:25:37] あれ ?
[00:25:37] で も メアド は 、 あ 、 そっ か 。
[00:25:40] あの。
[00:25:42] ギット ハブ の メアド僕 不熟 に し てる 。
[00:25:45] あ 、 そう な ん です か ?
[00:25:46] うん 。
[00:25:46] あ 、 そう な ん です か ?
[00:25:48] 先生 自分 の やつ だ と 僕 思っ て まし た 。
[00:25:50]
