はい、承知いたしました。以下、文字起こしです。

[00:11] あ、おはようございます。
[08:35] なんだろうな。
[08:41] 作ってほしい依頼リストみたいなのが掲示板で出ててそれを見て仕事が得られるみたいな感じですかね？
[08:50] いや、いや、それだとさ、なんか、
[08:54] それはさすがにこっち側で仕事あった方がいいじゃん。
[08:57] うん。
[08:58] だからどちらかというと多分相談窓口みたいなとかね、例えば。
[09:02] あ、なんかその、えっと。
[09:06] なんかLINEアプリでこんなの出来るんだすげえみたいな要素が1個必要かなと思ってて、
[09:13] はいはいはいはいはい。
[09:14] あの、それ
[09:16] それがな、それを何にしようかなって感じですね。
[09:19] ああ、はいはいはい。
[09:20] うん。
[09:22] なんだろうな。
[09:24] なん、なんかさ、いや、いやいや、俺からしたらさ、出血とか、こういう会の出血とかばあって撮ってさ、
[09:30] はい。
[09:31] それが、あの、あと誰が来てませんよ。
[09:34] はい。
[09:35] 連絡してくれて。
[09:36] うん。
[09:37] で、最後に、あの、参加者名簿みたいなのが出てくるみたいな感じだった結構いいんじゃないかな。
[09:42] ああ。
[09:43] ああ。
[09:44] なるほど。
[09:45] だから、あ、だから。
[09:46] ちょっと違うかな。なんだと。
[09:47] あ、だから。
[09:48] もっとクリティカルなのがいい。
[09:49] えっ、多分なんだけど、
[09:52] その回の時に、あ、一応この回の公式アカウントもこんな感じでつくってみました。登録してみるとこんな面白いことがポワンで割れるといいのかなと思ってて。
[10:04] なんかゲームとかにきますか？
[10:05] はいはいはい。
[10:09] なんか。
[10:09] ああ、おおおおお、それもいいんじゃない？
[10:11] じゃあ。
[10:13] なんかあれですよ。
[10:14] なんか公式アカウント1個作ってゲーム起動できるとってしといて、
[10:19] なんか。
[10:22] どうしよう。
[10:23] なんか秋田県、秋田県検定のクイズとかにしときますか？
[10:28] あはは。
[10:30] 違う。
[10:31] 違う。
[10:32] あ、それ。
[10:33] 違うな。
[10:34] なんだろう。なんかこんなことできるんだけがいいよね。
[10:37] なんだ。
[10:38] うん。
[10:39] えっ、秋田県クイズを出して何点以上になった人には、
[10:45] メッセージが届く。
[10:46] けてかさ、けてかさ、うちのさ、
[10:49] はい。
[10:50] あの、えっと、まあ、ゲームとかもそうだし、
[10:53] はい。
[10:54] えっと、我がのミニドラマとかもそうだし、
[10:58] はい。
[10:59] えっと、場合によってはなんか、例えば、えっと、こんなことできんだちょっと広げていきたいんだけど、
[11:06] うん。
[11:07] えっと、みんなの体験感のアプリとかも多分その頃には見れるぐらいにはなってるでしょ。
[11:12] はい、なってると思います。
[11:14] はい。
[11:14] で、あと。
[11:15] 電源入ったんで。
[11:16] あはははは。
[11:18] あと鹿、歯医者さん。
[11:20] はいはいはいはい。
[11:22] わかりました。
[11:22] この辺もできると。
[11:24] なんか、逆にあ、じゃあ、えっと、
[11:27] うん。
[11:27] その辺を、あの、
[11:32] その辺を見れるようにしとく方が早そうなのでそうします。
[11:36] うん、その方が多分いいんじゃない。なんかね、実際使うものだし。
[11:41] あ、で、なんか、
[11:42] あれっすかね。LINE公式アカウント1個適当なの作っといて、そこのリッチメニューからそれら全部飛べるようにしときましょうか。
[11:52] そう、だから、そ、それさ、逆に言うと、そ、それを、要はなんか、あの、
[11:57] えっ、事例集じゃないけど、
[12:00] うん。
[12:01] こんなのできる事例集みたいにした。
[12:03] 分かった。うん、あ。
[12:05] えっ、じゃあこの秋田の集まりってなんか名前なんて言うんですか？
[12:10] ちょっと今作んなきゃいけないんだけど、ちょっと後で考えますかそれ。
[12:13] それの公式アカウント作っといて、
[12:15] うん。
[12:16] で、その公式アカウントで、えっと、
[12:20] そこに、あの、1つポップアップ、あの、ボタンあって、そこのボタンに飛ぶと
[12:28] うん。
[12:28] 事例集みたいなのがあるみたい。
[12:30] うんうんうんうん。
[12:31] オッケーです。
[12:33] うん。
[12:34] あ、そっか。
[12:35] で、その
[12:38] 事例集なんか事例集あれだけどな。えっと、
[12:45] ま、LINE公式アカウントを切り替え式のタブにして、
[12:49] うん。
[12:51] それで。
[12:54] えっ、表麺には普通のメニューで、切り替えたら、えっと、事例集になっててってやると、多分実際の、えっと、事業のなかでの運用してく凝ったLINE公式アカウントの見た目を作れるんで。
[13:09] うん。
[13:10] それの方がイメージが伝わりやすい気がしました。
[13:14] うんうん。
[13:15] なんかあの切り替えタイプのやつ分かります？リッチメニュー。
[13:19] はいはいはいはい。
[13:20] あの、ポチッと押すとヒュッて変わるやつ。
[13:22] うん。
[13:23] あれとか多分ちょっと実装しといて、こういう使い方するんだみたいに見せれそう。うん。
[13:29] はいはいはいはい。
[13:31] はいはいはい。
[13:32] あ、でも、うん、オッケーだな。
[13:34] え、じゃあなんかちょっと設計してみて。
[13:40] じゃあその公式アカウント本田さん作ってみますか？
[13:45] 私っすか？
[13:47] うん。
[13:48] イメージ湧く？
[13:49] 合ってか、合ってか？っていう感じの流れていいですか？
[13:53] はいはい。
[13:54] うんうん。いいと思います。
[13:57] それでちょっと、なんとなくホンダさんもそのLINE公式アカウントの構築と、えっと、
[14:05] あの、アプリを作ってくっていうののやり方。それをちょっと、あの、少しこれで
[14:11] 覚え、覚えるというかなんとなく全体こういう風にやるんだなって、ちょっと掴んでほしいなって思うんすよね。
[14:20] はい、分かりました。
[14:21] で。
[14:21] ちょっと、あとでちょっと、えっと、もう少し設計を僕でも、ん、
[14:29] どうだろう？
[14:32] なんとなく設計を考えてみる所からやってみてもいいけど間に合うかな？間に合うかな？
[14:40] 間に合うんじゃない？
[14:41] でも、そうですね。ちょっと、なんか、まずちょっとリッチメニューの構成。なんか多分、で、僕のイメージとしては、なんか、わざとらしくリッチメニューをポチッと押すと切り替える機能が、タブ切り替えを実装することができます。
[14:58] はい。
[14:59] はい。
[14:59] それを使った感じでリッチメニューを作ってほしい。
[15:07] なので多分、えっと、よく質問するとかなんか一般的な質問するとかなんだろうな、あと何だ？
[15:17] あとこれの場合だと、なんかまあ、ま、SNSとか一般的なんだとよくメニューがポンポンポンポンってあって、それの、上に、なんか事例集みたいなタブがあって、その事例集をポチッと押すと今度また事例集のボタンが4つぐらいポンポンポンって出て押せるみたいな。
[15:35] うん。
[15:36] やつです。
[15:38] 分かりました。
[15:39] なので、考えてきて、そっすね。ちょっとなので、まず案を、えっと、
[15:44] はい。
[15:46] リッチメニューの案をなんとなく今週中にこんな感じっすかね？みたいなのを箇条書きとかでいいので教えてくれれば、あの、これからリッチメニューのちょっとデザインとかを軽く作って、えっと、切り替えのプログラムとかを構築してみたいなのをちょっとやってく作業になりますので。
[16:05] はい、分かりました。
[16:06] で、一応僕の方で、あの、LINE公式アカウントを自動でつくるツールと、LINEのアプリを自動でつくるツールと、LINEに載せるゲームを自動でつくるツールは3つ全部つくってあります。
[16:19] なので、なんとなくこんな感じっていう構成をしてくれて、そのツールに流せば、結構すぐに、あの、完成までは近づけると思うんで。
[16:30] そういう感じで思っといてください。
[16:33] はい。
[16:34] で、多分ちょっと今後、そういう、えっと、
[16:42] 僕の生徒とかそう、他の人とか学生さんとかいろんな人にアプリを作らせるみたいな話に、
[16:49] 結構
[16:51] なりそうで、
[16:53] そういう時に大体こういう風に、なんとなく設計してツールに流して、あとはちょっとまたAIにこちょこちょっとやって仕上げてくっていうような流れで納品っていう風になるんで。
[17:11] はい。
[17:12] はい。
[17:12] ないっすね。
[17:14] ないっすね。
[17:15] はい。
[17:15] でも多分、えっと、
[17:18] 多分これで合ってると思います。
[17:21] 僕もなんとなく。
[17:22] なん、なんとなく寺田さんがこういうことをさせたいんだろうなっていうのを勝手に組んで僕が言ってます、言ってるんですけど、
[17:30] 分かりました。
[17:30] 多分。
[17:31] はい。
[17:33] リッチメニューは事例集以外のコンテンツはなんか。
[17:38] そう、そこがね。
[17:40] なんかこれ自体が
[17:44] 特に何ないもんね。
[17:47] そうですね。なんか。
[17:49] いいか。
[17:54] で、そうすると事例集だけになっちゃいますよね。
[17:57] ま、なんか。
[17:57] そうですね。
[17:59] 質問すると。
[18:10] 質問とあと何がありますかね？
[18:13] 事例集、そうですね、質問。
[18:19] なんかね。
[18:30] 事例集。
[18:32] うん。
[18:33] あと。
[18:46] もういっか、じゃ、事例集。
[18:47] 質問。
[18:52] 事例集、質問、秋田クイズでいいんじゃないですか？
[18:57] 秋田クイズ。
[19:00] で。
[19:02] はい。
[19:05] で、何点以下だから悲劇み。
[19:08] うん。
[19:10] いや、いや。
[19:11] 秋田から出てけって。
[19:14] あ。
[19:15] ああ、あんで。
[19:17] そう。
[19:18] いやあ、まあ、いいかも。
[19:20] いや、なんかちょっとその
[19:23] 秋田の企業ばっかり集まる場だったら、その秋田ネタ挟んどいて、なんか
[19:30] えっ、これ普通に開発したら割とコストかかりそうなのになんか、わざわざ入れてんなみたいなのを入れたら面白いなと思ってて。
[19:40] はいはい。
[19:42] なんか、うん、その秋田クイズとかだったら暇つぶしに僕が作って実装しとくとか全然ありなんで。
[19:49] あ。はい。
[19:50] じゃ。
[19:51] あ、なんかそう、そういうなんかふざけたやつとかで、ホンダさんがでも作んの困るとかは、あの、僕が作って全然大丈夫なんで。
[19:59] そうですね。じゃあ、それも踏まえて、案として、はい。
[20:01] そう、なんかどちらかというと、あの、その今回は、このアプリを設計して作って納品してみたい。そこ流れを全体的にホンダさんに把握してもらうっていうのが一番の狙いかなと思ってんで。そんな感じでよろしくお願いします。
[20:20] じゃあ今週中に。はい。あの、箇条書きで。
[20:22] そうですね。そんな感じでおねがいします。
[20:25] 案、案だけで大丈夫です。
[20:27] はい。
[20:27] で、案だけで大丈夫だし、まとまってなくて大丈夫です。
[20:31] はい。
[20:32] で、ま、そうか。それで。
[20:35] ちょっと案をその、あの、またグループの方に投げてもらって、そっからちょっと、えっと、案を固めて、次のミーティングとかになんとなくリッチメニューとかができてるといいなっていう感じのイメージです。
[20:49] はい。
[20:58] あの、あれですよ、あの、LINE公式の、よく分かってねえよっていう所とかもぜひどんどん投げてもらえれば。
[21:04] はい。
[21:05] はい。
[21:06] あ、で、一応ちょっとざくっと整理すると、今回ホンダさんにそのLINE公式アカウントのリッチメニューとかを設計してもらって、ちょっとちょっとアプリとかの機能をそこにも入れたりとか、えっと、LINE構築自体を全体的になんとなくやってもらって、それで、えっと、LINEの作ることとか納品するまでの全体イメージをまず把握してもらって、次につなげてくという形になりました。よろしくお願いします。
[21:32] はい、ありがとうございます。
[21:34] はい。
[21:37] というとこで、とりあえず、えっと、今週中にLINEのニッチメニューの、えっと、原画をちょっとホンダさんに出してもらい、えっと、それをちょっとブラッシュアップして次回のミーティングではニッチメニューできてたらいいねっていう感じです。
[21:53] はい。
[21:54] はい。
[21:55] ありがとうございます。
[21:59] すいません、なん、なんかも。
[22:01] あ、大丈夫です。
[22:02] で。
[22:03] 充電が切れます。
[22:04] そんなことだろうと思って、えっと、やって欲しそうなことをまとめておきました。
[22:08] ありがとうございます。
[22:12] すいません。これからもう1本ミーティングあるんですけど、大丈夫かなと思んで。
[22:15] なんかちょっと危なそうですね。
[22:18] はい。
[22:20] ホンダさん大丈夫ですか？ここまで、あの、一方的に多分高崎さんと私が喋っちゃってますけど大丈夫ですか？
[22:26] そうですね、まとりあえず今週やること分かったんですけど、なんかリッチメニューで、えっと、事例集以外に、なんか絶対必要なものみたいなのってあったりしますか？
[22:38] 事例集以外に絶対必要なものは、ま、イベント情報的なものとか情報共有みたいな、要はニュースみたいなところ。
[22:48] うん。
[22:49] ああ、はい。
[22:53] それでその多分今回の7月30日の集まりっていうのだけ見れるようになってればいいと思います。
[23:00] そうそうそうそう。そんなイメージ。そんなイメージ。
[23:02] で、あ、あ、それで、イベントとかある時こういう確認ができるようにできんだなが伝わればいいと思います。
[23:09] はい。
[23:10] 分かりました。
[23:14] 何すかね？
[23:16] もうなので、
[23:17] 質問するイベントと事例集この3つでいいと思いますよ。
[23:21] はい。
[23:22] で。
[23:22] そうそう。質問するとこは結構重要で、それをうちが全部見れるようにしてくれれば。
[23:28] で、遊びで入れるか、秋田、秋田クイズ。
[23:31] あはは。
[23:35] そういうの、そういうのでも入れると和む。
[23:38] うん。
[23:42] 大丈夫か？大丈夫か？
[23:43] 空気感が違ってたらごめん。
[23:44] 滑った感じになったらごめん。
[23:47] うん。
[23:49] 承知しました。
[23:51] うん。
[23:52] まあ、とりあえず、まあ、とりあえず多分色々加えてく形になると思うんですけど、まずとりあえずそんだけあれば十分だと思います。
[23:58] はい。
[23:59] はい。
[24:01] 結局今後多分こういう
[24:04] お客さんにしても、あ、お客さん、
[24:08] これさ、お客さんっていうかになりそうな人とベンダーになりそうな人分けたいよね、ほんとはね。
[24:13] そうなんですよね。あ、なので。
[24:15] の設計もちょっと考えてもらって2つ作りたくないんだけど。
[24:17] ん、ん？
[24:19] できるだけ2つは作りたくなくて。
[24:21] うん。
[24:22] え、だったら、えっと、
[24:27] 開発
[24:29] 開発したいボタンと、開発を依頼したいボタンを2つ作っときますか？
[24:35] そうだね。
[24:36] はい。
[24:37] ああ。
[24:38] ああ。
[24:40] 開発依頼、開発したい。
[24:43] えっと、質問、イベント、事例集。
[24:47] うん。
[24:47] 質問はそれいらないんじゃないの？設計上。
[24:51] ああ、そっか。質問はあれか。質問はいらなくなるんだ、そしたら。
[24:55] うんうんうん。
[24:58] 作りたい、作らしたい。
[25:02] えっと、
[25:04] 事例集。
[25:06] あと公式アプリと公式、ミニアプリの説明みたいなのがあった方がいいと思う、1個。
[25:12] うんうんうんうん。
[25:13] ああ、なるほど。ああ、なるほど。あの、あれですよね、あの、LINEの方が、あの、プレゼン資料で説明してたような内容が、
[25:21] 広く。
[25:22] うんうん。そうそうそう。
[25:23] いいっすよね。
[25:24] そうそうそうそうそうそう。
[25:25] あの資料もらえないすかね？
[25:27] え、え？もらえてたでしょ、確か。
[25:29] あれもらえてた。
[25:30] あ、次の会始まっちゃった。
[25:31] 寺田様。
[25:32] えっ、資料あったらください。
[25:34] はい。
[25:35] はい。
[25:36] また来週。はい。
[25:39] じゃあそんな感じでちょっと、多分細かいこととかは、あの、チャットとかで不明点聞けば、あの、寺田さん帰って、あ。
[25:50] うん。
