[00:05] お、こんにちは。
[05:13] どぅどぅどぅどぅどぅどぅって今、なんか。多分モチベが、どぅどぅどぅどぅどぅどぅって同じぐらいになってるんですよね。今こうやって。どぅどぅどぅどぅどぅどぅどぅどぅ どっちに、で、さっさとどっちになるの？どっちになるんだってなりますよね？
[05:19] 同じぐらい。どっちに、ええ。そうですね。
[05:20] そうですね。どっちになるんだって困ってる。
[05:21] うん。あ、あれずっとここで保留するってことですか？
[05:22] 状態。いや、保留はしたくないんですけど、それで今、そのやっぱり迷う、迷っちゃうっていうか。
[05:25] うん。なんて言うんですかね？
[05:26] そのなおさらその親と喋ったりして はい。何て言うんですかね？
[05:28] うーん。
[05:29] 何て言うんでしょう？
[05:30] やっぱり意識がそっちに向かっちゃうみたいな。
[05:32] うんうんうんうん。
[05:32] その就職の方に。
[05:33] はいはいはい。
[05:34] よ。
[05:35] それなら就職でもいいんですよって言う話にはなりますけどね。
[05:36] いや、そうなんですよ。あ、でもなんかそこで、あの
[05:39] えっ、就職に、今度じゃあどうぞどうぞ就職でってなった時にすっと就職に行けるもんすか？
[05:41] はい。
[05:42] いや、そうす、そうなんですよね。
[05:42] あの、で、その今度はそれはそれでなんか多分就職をっていうふうになった場合には、何か止める壁、別の壁出てきてますよね。
[05:45] はい。
[05:45] その別の壁は何ですか？
[05:46] 自分やりたかったこと。
[05:47] うーん。
[05:48] どっかから どっどぅどぅどぅどぅに戻る。
[05:48] だから。
[05:49] ううん。
[05:50] うん。
[05:50] うん。
[05:50] うん。
[05:50] でも、正直その、あの そのまあ、モデルに対してはわかんないですけど、その
[05:54] うん。
[05:54] あの SNSに関し、そのインフルエンス的なことに関しては、その就職しても、まやってる人かやってるなって思うんですよ。本当にやりたかったら。
[06:00] うんうん。
[06:00] そうそうそう。
[06:00] それはそう。
[06:01] だから、そのそこを見たら し、モデルも副業でやってる人もいます。
[06:02] ちなみに。
[06:02] ですよね？
[06:03] はい。
[06:03] あの世の中の仕事ってのは複数やることできます。
[06:06] なので、そのよ、うん。
