[00:01:45] あ、おはようございます。
[04:33:78] クロード、クロード、クロード、クロード、Amazon、Amazon、Amazon。
[04:36:58] Amazon。
[04:37:35] うわあ。
[04:38:58] 気持ち悪いっすね、これ。
[04:40:15] 悪いんですけどね。
[04:42:91] なかなか最近特にむちゃくちゃ遅いです。
[04:47:14] あらら、なんか、なんかでも、ちょっとブラウザのタブ閉じた方がいいかもしれないです。
[04:51:75] ああ。
[04:52:16] このタブ、いっぱい開いてると重くなるんですよ。
[04:55:18] ああ、そうですよね。
[04:57:73] これをこのね、
[04:59:74] 下の、
[05:01:83] よ。
[05:03:33] このサイトが、
[05:04:55] このちょうどこの検索するやつがむちゃくちゃ重いんですよね。
[05:08:44] よいしょ。
[05:09:00] ああ、その。
[05:10:96] 23
[05:11:00] はい。
[05:16:70] やっぱ、結構、
[05:18:55] データ量が膨大だから重くなりやすいとかになるんですか？
[05:23:40] うーん、あとはこう写真1枚1枚が携帯がどんどん進化するから。
[05:28:55] ああ、そうですよね。
[05:30:60] で、あの。
[05:31:56] そう、そう、そう、そう。
[05:31:85] あの、軽くしない設定のままのスマホの写真ってめっちゃ重いんすよ。
[05:38:51] めちゃくちゃ重いですよ。
[05:39:69] ね、そう。
[05:40:34] そう、そのまんまになっちゃってて。
[05:42:37] で、皆さんがそれで送ってくるってことですよね。
[05:44:60] そう、そうなんです。
[05:46:17] そうなんだ。
[05:48:47] もしかしたら、
[05:52:71] で、そんなに高画質である必要ってないですよね。
[05:54:83] あの。
[05:55:36] ないです、ないです。
[05:56:56] 分かれば。
[05:57:32] なので、なんかその読み込ませる時に画像を軽くする処理を入れちゃって、あの、サーバーに最終的に上がる時には軽い画像が上がるっていうようなことは入れられます。
[06:10:72] うーん、いいですね、はい。
[06:12:60] それやりたいです。
[06:14:14] で、これも開発する時やってたんですけどね。
[06:16:51] どうだろう？
[06:18:78] これちょっと分かりにくい。
[06:19:57] 見るポイント、横っていいですか？
[06:23:18] あ、そうですね。
[06:23:94] えっとね。
[06:25:64] 正面がいいか。
[06:26:40] え、どう？
[06:29:43] ちょっとこれもまだ分かりにくいですけど。
[06:33:48] 例えば後ろだと、ま、このまっすぐの線からこう右左でこう左右差があるかみたいな。
[06:41:40] ことと。
[06:42:69] 右の方がちょっと歪んでるってこと？
[06:46:58] ええっとですね、この場合だと、うーん。
[06:52:26] この方すっきりはしてますね。
[06:54:14] そうですね。
[06:55:19] この場合、ちょっとね、あの、ここら辺の硬さを取ったがゆえにちょっとこっちに行っちゃったかもっていうのと。
[07:01:80] あと全体の写真自体が斜めになってるもので、
[07:05:43] そういう意味でこの線を何に対して線引いたかっていうのはありますねっていうところは。
[07:10:59] この線。
[07:11:47] だ理由は。
[07:12:47] 理由が、あれですよね。
[07:14:03] こっち側で引いてる作業ですよね。
[07:16:36] あ、そうですね。
[07:16:74] この赤い線をはい、こうし引いて、で、コメントつけるって感じですね。
[07:23:45] うーん。
[07:24:26] 後ろ、後ろは基本そう、そのぐらいですね。
[07:26:38] この線と、あの、ここにたいしてお尻の位置、肩の位置をを見るみたいな。
[07:33:32] なんかちょっとこの、
[07:37:37] 写真、あ、でも写真では一応頭の高さは合ってるから、合ってるってことになっちゃうのか。
[07:43:53] あ、だから単純に。
[07:44:28] そうですね。
[07:44:73] 単純に左の方がちょっと、なんか下がってるんですね、やっぱ。
[07:49:12] ってこと？
[07:50:06] ちょっと、なんか、下下にあるってこと？
[07:52:51] あ、若干ね、そうですね。
[07:53:71] この、あの、写真をね、大将ちょっと大きくしたりこう少しずらしたりとかして、サイズを合わせるんですけど、そこの合わせ方があんまり上手じゃないっていうのがありますね、これね。
[08:06:05] これ、なんか結構あれなんすよね。
[08:07:38] やって見てて思いましたけど、この、ビフォーアフターの画像合わせも結構ネックになりますよね。
[08:14:26] あ、めちゃくちゃなりますね。
[08:15:38] で、これはまだ上手にアングル撮ってくれてるんでいいんですけど、アングルが本当に大概に変わる方とかもいるので、
[08:23:36] で、結構横が私たち大事にしてて、横はこう今、
[08:27:71] ああ、なるほど。
[08:28:18] ですけど、確かに分かりやすいです。
[08:30:16] あ、そうですね。
[08:30:60] だいぶお腹へこんで。
[08:32:41] この縦の赤い線、ここにたいして、ま、この、えー、こう肩とか耳とか、股関節、膝とかが載ってるかなみたいなチェックをしていて、で、これ写真が斜めなんでこの赤い線ここに引いちゃいけないんですけど。
[08:47:68] うーん、ま、そこのチェックをするっていうのと、え、股関節と膝の位置関係、これ青い線引くんですけど、そこも引いてみて、ま、青と赤の線が重なるといいよねみたいな感じの見方をします。
[09:00:54] ほう。
[09:01:16] で、ビフォーアフターっていう意味だと、ま、この線にたいしてここお尻の位置とお腹の位置と、お腹がへこんだか。
[09:07:22] だからこの、えっと、お尻のぽっこりカーブを線で表した時に、やっぱり、えっと、右の方が、は、プリッとしてるっていうか、そういう理解で。
[09:18:23] そうですね。
[09:18:59] あの、打点が高い。
[09:19:93] お尻のスタートが高くなるみたいな感じ。
[09:23:44] えっと、キュッてなったってことですか？
[09:25:34] そう、そうですね。
[09:25:64] あの。
[09:27:78] イメージ的に言うとここの大事なのがここに仙骨って骨があって、お尻の真ん中ですね。
[09:33:63] で、その仙骨の角度を見てるって感じです。
[09:35:86] ああ、確かに。
[09:38:39] で、仙骨がこう斜めで落ちちゃうとここにしたがって、お尻も落ちてくるので、
[09:43:35] なるほど。
[09:44:03] 仙骨が上がってくると、ここにお肉が載ってくるんで丸い打点の位置が上がるって感じになるんです。
[09:49:57] あの、アフリカの女性のお尻みたいな感じ。
[09:52:86] プリンって。
[09:53:72] 上から丸くなるみたいな感じ。
[09:55:54] なるほど、なるほど。
[09:56:10] で、その辺を見て。
[09:56:59] この仙骨の赤カーブがだいぶ違ってますもんね。
[10:01:75] あ、そうですね。
[10:02:44] キュイーンて、キュッて丸くなってる。
[10:04:78] こういう風になってたら、多分画像認識でも結果は出ると思います。
[10:09:12] ああ、なるほど。
[10:10:39] うん。
[10:11:15] で。
[10:11:47] それは結構割と。
[10:12:96] 多分でもこの多分、線の引き方自体がいまいちなやつはやっぱりいまいち、そう、雑。
[10:20:76] うん。
[10:21:40] だ、ちょっとそこの。
[10:22:24] そうですね。
[10:22:79] はい。
[10:23:46] ええっと、正解線引きパターンをちょっと拾ってくのは一つやってく作業になる。
[10:29:10] うん、うん、うん、うん、うん。
[10:30:80] ちなみにこれって何パターンあるんですか？
[10:34:64] これが前、横、横、後ろで、あと足、さっきのこういう足とか、全屈とか、ま、こういうの見てるんですけど、で、さっき高崎さんも言ってたみたいに、あの、この前とか、横とか、こういうのはま、見た目、やっぱ綺麗になりたいって思うから、見た目綺麗になりましたっていうとこの証明として出してて。
[10:55:82] うん。
[10:56:47] で、まあもっと大事なのはどちらかというとワークをすることでここの、こう、こういうところがこう削げてきたみたいな。
[11:03:68] うん、うん、うん。
[11:04:35] ま、見た目と直接かかんないかもしれないですけど、親指のなんかこう、
[11:08:92] ここがこう、
[11:11:39] 重ならなくなってきたみたいな。
[11:12:35] こういうのが体のその、私たちを言ってるこう脳のバグが取れてきたみたいな証明に、
[11:18:85] あの、できる方が、ま、メソッドとしてはいいかなっていうその整理をしたいなって言ってたんですけど。
[11:25:00] はい、はい、はい、はい、はい。
[11:26:27] うん。
[11:26:54] ま、どちらかというとそこにいたらずに、あの、見た目だけをこうちょっと見せ方をおっしゃってるって感じですね。
[11:33:61] うん。
[11:35:86] でも、
[11:38:39] 結局、だから、そう、
[11:40:41] あ、ちなみにこう、なんか、同じ写真なんだけど、見るところ違うのパターンもあるんですか？
[11:48:65] 同じ写真だけど。
[11:49:55] このパターンだったらこうこうしか、これを見ますか？
[11:54:55] あ、そう、そう、そう、そう。
[11:55:76] あ、はい。
[11:56:40] オッケーです。
[11:56:88] うん。
[11:57:32] じゃあ、えっと、見るパターンはその写真の、えっと、そのパターンにつき1パターンということですね。
[12:05:07] そうですね。
[12:05:40] はい。
[12:06:60] うん。
[12:06:84] そう、多分そこがまた複合になると今度またぶわってなっちゃうんで。
[12:10:13] はい、はい、うん、そうですね。
[12:11:11] はい。
[12:11:50] 無視しないように、今はずっとなってけど。
[12:15:37] 今は、あの、おっしゃった通りです。
[12:18:31] で、その多分足だけとか正面とか、あのVの横、前とかいろんなそういうのあるとして、
[12:27:42] そうすると、
[12:29:43] どんぐらいなんだろう。
[12:30:22] 100ぐらいですか？
[12:33:24] うーん、そうですね。
[12:34:65] 10箇所、10箇所見て、1枚に対してま、2、3箇所みたいな感じかな。
[12:44:48] じゃあ3、40ぐらいなのかな、意外と。
[12:46:75] そうですね。
[12:47:50] 見てるところは。
[12:48:58] 多分結構これの、えっと、全パターン出しは割と早めにやりたいところって。
[12:55:71] ああ、はい。
[12:56:91] そうですね。
[12:57:40] これがパターン固まれば、方向性すごく決まりやすくなる。
[13:01:83] ああ。
[13:03:00] なので、えっと、例えばこの、えっと、足の写真だったら、えっと、足、足のつま先のみ、えっと、正面とかっていうようなタイトルになって、で、見るポイントがなんだろう、足と足の開きとかかな、隙間。
[13:17:80] うん。
[13:18:61] っていうような風に、えっと、何々の写真、写真の例、見るポイント。
[13:23:45] これが、あの、スプレッドシートに整理されるとめっちゃいいっす。
[13:28:09] ああ、なるほど。
[13:28:90] それが40個ぐらいでダーって並んでるイメージ。
[13:31:84] うん、うん。
[13:32:15] ちょっとそれのあの、元になるシートみたいな、あ、でもそういうのでどうやってやってくのがまとめやすいみたいなのありますか？
[13:40:02] 今僕が提案したの、そのシートにとりあえずその、えっと、画像の名前っぽいやつとかをどんどん入力してってほしいっていうのが、
[13:47:73] うん、うん。
[13:48:42] あの、一個提案の整理の仕方なんですけど。
[13:51:30] そうですね。
[13:51:71] それ自体はそんなに、あの、なんだろう、大丈夫だと思うんですけど、そもそもの見るポイントっていうか、そこ、そこそん、あれですよね。
[13:59:75] ちょっと私が今やってるやつと、ちょっと観点変えるっていうか、
[14:05:68] うん、うん、うん。
[14:07:93] がいるかなって前言ってましたよね。
[14:12:37] あれ聞こえてないか？
[14:13:50] ん？
[14:15:34] あら、神室さん、いいですか？
[14:16:79] あ、そう、そう、そう。
[14:17:49] 今のこの見てるとこってどっちかっていうと、ワークをやった結果、見た目が変わりましたねってところをやってるから、
[14:24:62] うん。
[14:25:05] ああ、分かりました。
[14:25:56] あの、高崎さん、これ、あの、今17箇所撮影してるんですけど、
[14:29:73] はい。
[14:30:26] あ、じゃ17箇所。
[14:30:95] 当初。
[14:31:85] 17箇所。
[14:33:14] はい。
[14:33:63] あ、17です。
[14:34:25] で、当時2、3年前にまだこう試行錯誤の中でやった時に決めた17個で、
[14:40:48] うん。
[14:41:20] 今は診断に対してまず17個いるのかって議論がなんかあると思ってまして。
[14:45:90] ああ、なるほど、なるほど。
[14:47:33] あんまり見ないな、みたいなのも割とあったり。
[14:49:50] 見ないな。
[14:50:41] どっちも。
[14:51:34] イエスです。
[14:52:84] で、ただ目的として実は2つあるのが、1つはあの、この分析からしっかりと根本原因を見つけ出して、
[15:01:21] うん。
[15:01:61] 適切なこう改善策を打つっていうのが1つと、
[15:03:68] で、あと、もう一個が、あの、セールスの時にやっぱりビフォーアフターこの考え方やり方だとこんな成果出るよって、ビフォーアフターのこう写真を撮るっていうのがちょっとあってですね。
[15:13:30] はい。
[15:15:69] はい。
[15:15:94] で、そうした時に、なんかあの、
[15:18:49] 分析、あの、なんだっけな、改善策出すのにこのVの比較はかなしもいらないんですけど、
[15:25:29] ただ、あの、来られた方にアピールというか、訴求するためにはこの実は分析的にはあんまりいらないんだけど、アピールにはすごく分かりやすいのがあってですね。
[15:34:00] あ、確かに。
[15:34:65] ちょっと今ビフォーアフターもちょっとあの、正直すぎるというか、あの、ちょっと分かりにくい。
[15:42:07] あ、だからエステのやつとかって、もうなんか、ビフォーはすっぴんでアフターはメイクめっちゃしててとか、なんかわけわかんないビフォーアフターになってたりするじゃないですか。
[15:50:57] はい、はい。
[15:51:25] なんかそこのところで、
[15:54:33] 分かりやすさっていうのは結構僕も重要だと思いますね。
[15:58:87] うん。
[15:59:71] なんか。
[16:00:23] で、冒頭おっしゃっていただいたように、そこをこういずれにせよ整理する時に困るのが、やっぱりお客さんの環境に依存して写真が送られてくるので、
[16:11:03] うん。
[16:11:15] あの、そまさんとかこの写真をこういかに比較対処するようにこうズーム、なんかピンと合わせてくかっていうのはすごく時間かかってるっぽくてですね。
[16:19:15] 僕ちょっと一個ここは、あの、
[16:23:19] えっと、写真をなんか撮りやすくする、ええっと、ガイダンスで、もうちょっと、どうにかはできるかなと思いましたね。
[16:32:41] なんかもう明確に何センチ離れて撮るとかっていうの全部ビタビタに決めちゃう。
[16:39:62] はい。
[16:40:47] で。
[16:40:70] おっしゃる通り、そういうの、入り口から制御、ハンドリングできないかなってちょっと思ってたんですよね。
[16:45:10] だと思います。
[16:45:62] なんか、多分それによって、そのなんか、えっと、送る人が写真が下手なことによって、皆さんに、なんか、すごい労力が生じている気がして。
[16:57:95] はい。
[16:58:39] おっしゃる通りです。
[16:59:08] だ、多分これ0にはできないけど、減らすはできますね。
[17:02:69] ですね。
[17:03:52] はい、はい。
[17:05:32] そう、なんかそこが結構僕も気になって、で、なんんならその、
[17:09:90] えっと、
[17:12:47] ぴったりその合わせるみたいなのも、
[17:16:43] えっと、プログラムで、
[17:18:96] えっと、その前提条件を変えて誤差をまず少なくするっていうことをしつつ、その、えっと、少なくなったものをプログラムで修正して合わせるっていう2段階仕込みな感じでやれば、
[17:32:00] ああ、そ、それできたらめっちゃいいすね。
[17:34:04] なんかできうると、ちょっとあの、結構難しそうなんで断定はしないでおきたいんですけど、
[17:40:22] うん。
[17:40:65] でもあの、ちょっと調整はしてみますね。
[17:43:24] なんか、あの、
[17:43:77] はい。
[17:44:37] それで可能な限りそれで楽な方法を探ってみようと思います。
[17:48:47] でもなんかできそうな気がして。
[17:50:50] そうですね。
[17:51:17] あの、本当この入り口の質が悪いと、相まその質が連動してくようなとこがあって、それをこう時間と努力で埋めてくってわけの分かんない構造になってるんで。
[18:00:84] そうですね。
[18:01:21] おっしゃる通り、そこが実は一番まずやりたかったところだったんで。
[18:04:30] なんかだから、実はあれかもしんないすけどね。
[18:06:55] マーカーが出るような写真アプリも自作してシステムの中に入れちゃうっていう。
[18:12:80] あ、はい。
[18:13:00] それもイメージしてました。
[18:14:87] なるほど。
[18:15:10] だから、そう、それも、あの、えっと、さっきの17箇所、それが全部明確になってるとそのそれに合わせた、あ、足だけのやつはこうやって足がこうやって、
[18:27:00] 確かに。
[18:27:46] おお、いいですね。
[18:28:60] に合わせてこうやってこうやってやれば大体合うし、
[18:32:89] はい、そうですね。
[18:33:17] うん、うん、うん、うん、うん、うん。
[18:34:09] といいですよね。
[18:35:48] はい。
[18:36:13] めっちゃ、劇的に変わりますよね、それはできると。
[18:39:18] うん、うん。
[18:39:79] こういうので自然と、なんか、うまく撮れるんじゃないかなと思いますね。
[18:44:48] うーん。
[18:44:73] はい、はい。
[18:45:51] ですね。
[18:46:61] 今、ガイダンス、あの、写真撮る前にガイダンスは出してるんですけど、もう撮る時なと忘れてるじゃないですか。
[18:52:95] なんやったっけみたいな感じで。
[18:55:18] で、なんとなくの記憶をたどりに、こう、パシャって撮ってくれてるんで。
[18:59:36] 結構やっぱ、
[19:00:54] そう、それ自体がストレスって言うんで皆さんおっしゃるので。
[19:04:36] ま、あとちょっとね、結構離れて撮んないと、離れて全身を撮んないといけなさそうだから、なんか、
[19:11:39] そうですよね。
[19:12:47] いや、やっぱ。
[19:13:37] ラスっすよね。
[19:14:38] 割とそうなんですよ、難しくて。
[19:16:85] で、もう本当に、とんでもなく、もう、一つ、なんか、米粒みたいな距離で撮る人とか。
[19:22:20] うん。
[19:22:78] もう、あの、離れた状態で撮る人とか、いろいろいて。
[19:26:40] ですよね。
[19:27:32] すごい頑張ってくれるんですけど。
[19:29:43] はい。
[19:30:86] はい。
[19:31:71] そうなんですよね。
[19:32:19] で、米粒みたいに撮った方はこんな感じでね、そこだけを切り取って出してくると、これもまたね、扱いづらいんですよね。
[19:38:43] なるほど、なるほど、なるほど。
[19:39:99] そう、米粒だから申し訳ないと思って撮ってくれるんですけど、これはこれでまた、
[19:46:17] めちゃくちゃ比較しにくいとかね。
[19:47:64] なるほどね。
[19:48:38] なんか、
[19:49:73] 画像の全部のサイズ変わっちゃうわけですもんね。
[19:52:62] そう、そうなんです。
[19:53:50] もう縦横もめちゃくちゃ。
[19:57:84] だから多分この、えっと、切り抜かないでください、もう、決めた方がいいと思いますね、これ。
[20:04:47] そうなんです。
[20:04:77] なので切り抜かないでって言っても切り抜いてくるみたいなね、もう。
[20:09:59] なので、
[20:11:15] アプリにもう、えっと、写真撮影機能みたいなのがついて、マーカー付きでつけて、その写真撮ったら、そのアプリにもう直で登録される。
[20:23:64] うん。
[20:24:26] だと超楽じゃないですか？
[20:25:75] あ、いいですね。
[20:26:50] それが。
[20:26:80] それが最高です。
[20:27:54] そうですよね。
[20:28:44] それがいいですね。
[20:29:33] なんか、
[20:30:60] 前使ってたあれ無料だったか忘れてたんですけど、なんかそういうガイドがついてて、こう立ったらそのガイドにちゃんとこう軸とかも踏まえてあったらパシャって勝手に撮れるっていうやつがあって。
[20:43:58] できそう。
[20:45:10] 多分。
[20:45:62] はい。
[20:46:33] いけると思います。
[20:46:61] ああ、なるほど。
[20:47:82] そこにしたら。
[20:48:26] パシャパシャパシャみたいな。
[20:50:35] あ、そしたら、えっと、スマホを、えっと、何センチの高さのどことこに向けて置くっていうガイドを入れて、それでそれの前でぐるっと回れば撮れるように。
[02:05:37] あ、もうそれ最高ですね。
[02:07:37] いいですね。
[02:08:00] いいですね。
[02:08:70] いけるんじゃないですか？
[02:09:90] 結構いけそう。
[02:11:80] はい。
[02:12:10] ありおで、ないんですよね。
[02:13:30] そうなんだ。
[02:14:65] そう。
[02:15:68] で、意外と前私が使ってたやつはその角度がもうすごい厳密だったので、なかなかシャッターを切ってくれないんですよね、今度。
[02:24:43] もう何時間でも中で、ちょっと切ってくれないみたい。
[02:27:35] とかもそうですよね。
[02:27:78] なかなか撮れない時ありますよね。
[02:28:77] しかも全身のやつだと自分でもくししながらできないからな。
[02:33:55] そう、そう、そう、そう、そうなんだ。
[02:35:05] もう一個ハードル上がりますよね。
[02:36:78] もう一個上がるんですよね。
[02:38:40] いけるかな、ちょっと。
[02:39:31] なので、
[02:40:87] そう。
[02:41:00] もう、もしくはもうパシャって撮らずに動画だけをこう360度回って撮ってもらって。
[02:47:64] あ、そっちの方がいいかもしれない。
[02:49:55] アプリの中で後でそこちょきちょきちょきって切って出してくれるとか。
[02:54:83] もっといいですね。
[02:56:49] うん、うん。
[02:57:38] あ、そっちの方がいいかもしれないっすね。
[02:59:45] なんかデータのエラーは出にくいな。
[03:02:92] うん、うん、うん。
[03:03:68] で、えっと、10秒ぐらいぐるっと回ってもらうっていう風にして、それを全部1フレームごとでズバズバズバズバって切って。
[03:13:95] はい。
[03:14:48] あ、イエスです、イエスです。
[03:15:37] うん、うん。
[03:15:87] で、えっと、前後左右ぴったりになってる4フレームを切り出せばいいわけです。
[03:20:47] うん。
[03:21:04] はい、はい、はい。
[03:23:44] あ、そっちの方が意外とそっちの方がそして簡単かもな。
[03:27:66] おお。
[03:28:03] なんかAIだとそっちの方がなんかうまくできるんじゃないかなって感じがしてて。
[03:31:81] 静止画より。
[03:32:86] そうですね。
[03:35:46] いいかも。
[03:36:99] おお。
[03:37:37] で、それでこう。
[03:37:78] それできるならめっちゃいいな。
[03:38:70] その4フレーム。
[03:39:61] うん。
[03:40:63] あれその4フレームを、えっと、切り出して画像化して、マーカーをポンポンポンポンって自動で打つまでいくんだ。
[03:51:30] ああ、なるほど。
[03:51:75] だから写真撮った時点で分析まで完了まで目指すって。
[03:55:50] すごい。
[03:55:92] イエス、イエス。
[03:56:48] おお、すげえ。
[03:57:04] やべえのシステムですね。
[03:57:82] これ売れるんじゃないすか？
[03:59:74] これいけるんじゃないですか？
[04:00:81] もったかも。
[04:01:21] もったかもしんない。
[04:03:77] なんとなく今いけそうだなって思、いけそうだなとは思いました。
[04:10:04] はい。
[04:10:48] めっちゃチャレンジしたいすね。
[04:11:51] はい。
[04:13:98] うん。
[04:14:18] ま、僕はでもあの、そういうところを超えてくタイプなんで。
[04:17:85] 超えてくタイプ、かっこいい。
[04:19:35] また自分でハードルあげてきました。
[04:21:85] 基本的にはなんかその、超えるのが好きなんですよ。
[04:25:05] うん。
[04:25:64] ま、できますよ、これ、絶対。
[04:28:18] 多分。
[04:29:40] うん。
[04:30:60] そう。
[04:31:07] 今あの、17個あって、17枚撮るのに2、30分かかるらしいんですよ。
[04:35:36] うん。
[04:36:10] で、それが動画3個か4個ぐらいでこう済むと、めっちゃこう顧客満足度に繋がるという感じ。
[04:41:00] あれ、なんか、じゃあ一連のその、
[04:45:90] 一連の動きで全部をそれが収まるようになんないかな？
[04:50:50] はい。
[04:50:81] それが最高だなって思いました。
[04:52:19] で、カメラ固定でやって、立ったり座ったり足伸ばしたりこうやってある、こうある、
[04:57:00] イエス、イエス。
[04:58:38] で、この一連の体操があって。
[05:02:18] ああ。
[05:04:39] な、ピッ。
[05:05:46] なるほど。
[05:06:40] ピッっていうような、
[05:07:54] めっちゃいいですね。
[05:08:44] のをして、それを、
[05:11:03] ぐるぐる回りながらピッピッピッピッピッピッピッピッピッて4回やる。
[05:17:58] うん。
[05:17:86] はい。
[05:18:22] そうしたら全部撮れるってなってるとめっちゃいいんですけど、どうすか？
[05:21:28] めっちゃいいですね。
[05:22:98] 確か。
[05:23:44] とこはフォーカスあるから、実際ね、2つぐらい分けるのかなと思ってましたけど。
[05:27:38] そう。
[05:27:49] 足元がね。
[05:29:43] そう。
[05:30:00] ちょっとアングルがまた変わっちゃうから、あれなんですけど。
[05:33:68] なるほど。
[05:34:36] 数が減ったらかなりいいですね、本当に。
[05:36:69] そうですね。
[05:38:97] そうだな、ちょっと。
[05:39:87] なんかそしたら、
[05:41:59] うん。
[05:42:15] まあ、でもちょっとまずじゃあ、
[05:45:51] 17箇所ですね。
[05:48:38] 17パターンはでも教えてください。
[05:51:77] はい。
[05:52:43] はい。
[05:54:87] で、それが大体あれなのかな？
[05:58:14] で、ただ前後左右パターンと2パターンぐらいしか取らないパターンとかまたありますよね、これ、多分。
[06:07:95] えっと、17個あって、そのそれぞれの17個は4角度から撮るやつと、えっと、2角度とかでいいやつとってありますね、これ。
[06:17:86] そうですね。
[06:18:08] そうですね。
[06:18:96] うん、うん、うん、うん。
[06:20:18] 1もありますか？
[06:22:20] 1もあるんじゃないすかね。
[06:24:48] 1。
[06:25:21] 1、うん、そうですね。
[06:28:44] これとか。
[06:29:44] うん、うん、うん。
[06:30:54] 1だ。
[06:31:85] 足首の後ろだけ。
[06:32:89] 1ですね。
[06:33:40] うん、うん、うん、うん、うん。
[06:34:60] パターンがじゃあ1か2か3か4にはなる。
[06:38:70] ま、そんな感じです。
[06:40:53] わかりました。
[06:41:34] 5はないですね。
[06:41:94] うん、うん、うん。
[06:44:42] うん、そっか。
[06:44:83] これとでもこれとこれセットか。
[06:49:03] 前、後ろ。
[06:49:50] 2セットです。
[06:50:09] か、本当だ。
[06:50:88] 2セットです。
[06:51:17] 2、2です。
