[00:00:00] はいっ 動かそう
[00:00:07] この角度で撮ってもらえると?
[00:05:39] 8月か、ちょっと7月末から
[00:05:44] 8月の頭らへんの2週間ぐらいの間
[00:05:48] ちょっと妻が海外旅行に行くことになっちゃって
[00:05:52] おっしゃってましたね
[00:05:54] そこがちょっとあれだ
[00:05:57] そこが懸念点ではあります
[00:06:00] じゃあちょっと難しいですかねと言いながら
[00:06:03] 嘘です
[00:06:04] 今年は8月15、16で今進めてましてどうですか?
[00:06:08] めちゃくちゃちょうど良さそう
[00:06:09] ちょうどなんか海外の風を取り入れた僕が
[00:06:13] 不労働のことをペラペラ喋るかもしれないです
[00:06:16] そうですね、ありがとうございます
[00:06:18] 8月15からスタートの1月23終わりを予定してまして
[00:06:23] まあ今年度同等って感じですね
[00:06:26] そこでちょっとお願いしようかなと思っているんですけど
[00:06:29] あとちょっと金額感とかもぶっちゃけって話で
[00:06:32] 教えてもらったりとかで
[00:06:34] NTTも図体だけ大きい組織なので
[00:06:39] 倫理を挙げないといけないんで
[00:06:42] でも一応正当性があれば
[00:06:44] 出すところには出してもらえるというところもありますので
[00:06:49] そうですね
[00:06:50] ちょっとそこを考えたいなと思っているので
[00:06:54] どうですかね
[00:06:55] どうですかね、なんか講義としては
[00:06:57] なんか一時間
[00:06:59] どういう感じがいいと思いますか?
[00:07:02] なんかざっくりとして
[00:07:04] 結構、講義みたいな風に聞いて終わっちゃうと
[00:07:11] ちょっと多分あんまり効果薄くて
[00:07:15] なんか僕この間とかも
[00:07:17] 大学とかでちょっと講義をしてきた時とかは
[00:07:22] 1時間ぐらいペペッと喋って
[00:07:24] あとは作ってね
[00:07:26] だけどその作ってる間に質問には答えるよ
[00:07:29] っていうような形にしてました
[00:07:32] そういう風にして
[00:07:34] なんかちょっと大枠というか
[00:07:37] 結構AI使うと
[00:07:40] 8割ぐらいまではめっちゃ早くできるんです
[00:07:45] そこからの詰めとかで結構オリジナリティを出していくとか
[00:07:49] 自身の事業にフィットさせていくっていうのに
[00:07:52] ちょっとデザイン的なセンスが必要だったりとかしてくるんで
[00:07:56] めっちゃ歩みが遅くなるんですよ
[00:07:58] 開発の曲線のイメージはこうバコーンって上がって
[00:08:03] 急に最後失速するみたいな
[00:08:06] でここの詰めをやって
[00:08:08] さらになんか限界突破をどんどんどんどんこうやって
[00:08:12] AIを適切に使うとしていくことができて
[00:08:18] なんかそういうことをちゃんとやれてるところは
[00:08:21] AIを使ってても模倣じゃないようなオリジナリティのあるものが
[00:08:25] 作れてるなって思ってます
[00:08:27] なのでそういうところのステージに持っていくっていうところが
[00:08:30] 目的かなと思います
[00:08:33] なるほどですね
[00:08:36] まあ結構スパルタ
[00:08:40] まだそんなんで満足するな突破だみたいな
[00:08:44] そういう感じはありますけど
[00:08:46] でも思いとしては
[00:08:49] もちろん相手に合わせて言い方を変える
[00:08:52] 提示する課題を変えるってことは僕は結構やりますけど
[00:08:57] ただ目指すところはそういう方向でいけると
[00:09:01] いいものができる人たちが生まれてくるかな
[00:09:04] そうですよね
[00:09:09] ありがとうございます
[00:09:12] 今日午前中長谷山君と話してたんですよ
[00:09:17] クロードコードは当たり前だから
[00:09:20] そもそも開発支援金で自由に使わせるんじゃなくて
[00:09:23] 環境を提供してくださいみたいな意見があったんですけど
[00:09:28] 結構しかもあれなんですよ
[00:09:31] 採択者側の意見を言うと
[00:09:34] AIの申請めんどくさいんですよ
[00:09:38] 毎月の決済になってるのと
[00:09:43] しかも毎月の決済のやつでしか認められないんですよ
[00:09:52] 年間まで割引になっちゃうやつは使えない感じになっていて
[00:09:57] 確かに
[00:10:00] 年間 月間プランしかないやつも 結構あって あとドル立てとかになって
[00:10:06] いて 値段が でも2本円で出さなきゃ いけなくなったりとか 結構したり
[00:10:12] あったような気がします
[00:10:13] おだしょー なるほど
[00:10:14] りなたむ はい なので結構そういう ところ でも結構コストとして 8月
[00:10:21] から1月までで半年ぐらいで サブロク で毎月3万ぐらいとして サブロク
[00:10:31] 18万ぐらいのお金はもうデフォルト で開発支援金でも20万 AI使い放
[00:10:39] 題パックみたいにして 20万は最初に さっぴいちゃって 80万はあと自由
[00:10:46] に使ってねとかのほうが 開発 レベルは間違いなく上がります
[00:10:56] みんな開発大好き思いはあるっていう ところなんだけど 経営とかした
[00:11:01] ことない人たちばっかりなんで みんながお金の 多分お金をピタ
[00:11:06] で使い切ったのって 多分僕らぐらい だと思ってて あと他にも多分
[00:11:13] いるとは思うんですけど 僕らは 絶対ピタで使い切るっていうのは
[00:11:18] 絶対思ってましたし でもピタで 使い切るっていう精神は絶対大事
[00:11:25] だなと思います
[00:11:26] おだしょー そうっすよね
[00:11:27] りなたむ でも ちょっと使い方 わかんないってんだったら AIに
[00:11:32] それは組み込もうはやっていい と思います
[00:11:37] おだしょー 了解です
[00:11:38] りなたむ そしたら面白いもん 結構できますよ
[00:11:43] おだしょー そうなんすよね まず ちょっと先に言っておくと 講義
[00:11:53] 案みたいなところを今日もしあれ だったら 資料として見せてほしい
[00:12:00] なって思っていたのと 講義の 案と あと金額間のイメージですね
[00:12:07] 高崎さんがいくらぐらいでのイメージ で考えられてるかっていうところ
[00:12:12] です それは単発の講座と あと さっき 昨日チャットで言っていただ
[00:12:18] いてたAIアドバイザーみたいな あれって非常にありがたいんです
[00:12:22] けど ちょっとそこまで費用が出せる かどうかがちょっと不当面なので
[00:12:29] 暗想シーンだったらめちゃくちゃ 多分 高崎さんの稼働もかかっちゃ
[00:12:32] うと思うので 例えばスポットで AIお悩み相談会みたいなものを
[00:12:39] 2回やるとか 中間発表会の前に やるとか そういう感じのオプション
[00:12:45] 的な感じで もしあればご提案 いただきたいなっていうところ
[00:12:51] です
[00:12:52] りなたむ ぜひぜひ
[00:12:53] おだしょー あとは そうなんですよ もうクロードプロマックスか 多分
[00:12:59] クロードプロマックスのほうが いいですよね 期間中は
[00:13:01] りなたむ 面白いことはできますよ 僕はしばらく100ドルプランのほう
[00:13:11] を使っていて 100ドルプランで足り なくなって 今 200ドルプランにして
[00:13:18] ますけど
[00:13:19] おだしょー クロードですか
[00:13:21] りなたむ 200ドルプランを推奨します そして 200ドルプランでカツカツ
[00:13:27] になるぐらい開発しないと いい もの作れないと 結局 あれって
[00:13:35] 使用量に紐づいてるんですよ クロード コードが他のAIにより何が勝ってる
[00:13:46] か分かりますか
[00:13:47] おだしょー 分かりません 申し訳ございません
[00:13:51] りなたむ それは大量の複雑な プログラムになればなるほど たくさん
[00:13:59] 1個のスクリプトだけじゃなくて 何十個ものスクリプトとかファイル
[00:14:04] を集めた集合体になってくるんですよ そういうたくさんのファイルになれば
[00:14:12] なるほど AIは処理が苦手になるんです なんだけども たくさんの同時処理
[00:14:21] を正確に全部読み込んで かなり エラーなく いろんなシステムを
[00:14:26] さらに新しく作っていけるって いうことができるのが クロード
[00:14:30] コードが今 一番得意
[00:14:32] おだしょー なるほど
[00:14:33] りなたむ なので 間髪の軽いような システムだったら アンチグラビティ
[00:14:39] とかで十分なんですけど そこが もっと複雑になって さらにデータベース
[00:14:46] を読み込んで 大量のデータから 何かを考えて 何かを自動で動かす
[00:14:51] みたいな すごい複雑なシステム は 僕はちょっとそれで 精神と時の
[00:14:58] 部屋を作って 未踏に出そうと思 ってるんですけど
[00:15:04] おだしょー なるほどですね
[00:15:05] りなたむ そういうような でも かなりスケールのでかくて 問題
[00:15:10] 解決もでかくて やることも かなり 全部がつながってるっていう
[00:15:15] 巨大なものを やっぱり作り上げる ってことを 最初にちゃんと教え
[00:15:21] ないと ちょっとエンジニアが かじって作れるような機能をアプリ
[00:15:30] です 製品ですって出して ちょっと 言うのは ちょっと それは違う
[00:15:35] よなってなっちゃう
[00:15:38] おだしょー そうね 明月カンファレンス も みんな頑張って発表しました
[00:15:43] けど 本当はどうなんだい みたい なのも結構ありますからね
[00:15:47] りなたむ そうですね
[00:15:48] おだしょー ありがとうございます 高崎さん イメージは合います 今
[00:15:52] クロードプロのマックス 200ドル で計算すると 大体18万ですかね
[00:15:57] りなたむ そうですね
[00:15:58] おだしょー 100ドルと150円で考える と ちなみに 今日 長山君とか三浦
[00:16:06] 君と話してたんですけど 河野君 によって 金額が結構変わるみたい
[00:16:10] なのが結構な
[00:16:11] 河野 変わりますね
[00:16:12] おだしょー そうですよね そこが 結構 ペインなんだけどっていう
[00:16:15] 話だったんですけど
[00:16:16] 河野 でも 結局 そこを気にするか 気にしないかっていうところで 200
[00:16:23] ドルプランなんだと思います
[00:16:24] おだしょー なるほど 200ドルプラン だったら そこを気にしなくていい
[00:16:28] ってこと
[00:16:29] 河野 と思います おそらく200ドル プランは 学生さんはちょっときつい
[00:16:32] かもしんないなと思います
[00:16:33] おだしょー きついっていうのは 使い切れない
[00:16:37] 河野 使う 金銭的にも結構 毎月 3万円とかなんで
[00:16:42] おだしょー はい
[00:16:43] 河野 で 100ドルプランのほうでも そこそこはできるんで
[00:16:49] おだしょー なるほど そうなんですよ 別に 補助金使えるんで 200ドル
[00:16:59] でもいいんですけど その後 持続 的に
[00:17:03] 河野 そうなんですね
[00:17:04] おだしょー 学生が もうマックス に慣れちゃって 体がもう もう
[00:17:10] いいんじゃないかみたいな感じ になると それはそれで文句言われ
[00:17:14] そうだなと思ってて
[00:17:15] 河野 これはだから あれなんですよ
[00:17:16] おだしょー その悩みなんですよ
[00:17:17] 河野 なので 何と言っても だから 絶対にそれをやってる間に
[00:17:27] 事業化して 月3万の固定収入は そこから得ないといけないんです
[00:17:33] おだしょー なるほどね
[00:17:34] 河野 っていう課税
[00:17:35] おだしょー まあまあまあまあまあ 言ってることは分かります
[00:17:42] 河野 そうしたら めっちゃいい プロジェクトは生まれますよ
[00:17:47] おだしょー まあね それはそうなんですけどね 絶対言われると思うんですよ
[00:17:53] ね そこ
[00:17:54] 河野 そうですよね
[00:17:55] おだしょー 特に学生だし アキギン出身の社会人とか
[00:18:01] だったら いいかもしんないけど ちょっとそこがね
[00:18:05] 河野 なんかアキギンが出してくれる そのマックスを
[00:18:17] おだしょー なあ ちょっとね どうしよっかな
[00:18:29] プロプランだと ちょっと弱いですよね 正直
[00:18:32] 河野 はい 瞬殺でなくなりますよ
[00:18:35] おだしょー そうですよね
[00:18:36] 河野 はい 多分 1時間とかでなくなるんじゃないですかね 作業してて
[00:18:49] おだしょー アプリ開発とかだったらってことですよね
[00:18:52] 河野 そうですね 結構 あとはいろんな投稿とか そういう感じ
[00:19:02] すいません 今ちょっと人んちにお邪魔してて
[00:19:06] おだしょー 全然大丈夫です 全然大丈夫です
[00:19:09] 河野 ちょっとこいつどこにいるんだって ちょっと思いますよ
[00:19:14] おだしょー 確かに後ろの症状も 高崎っていう名字じゃなさそうな
[00:19:21] 誰なんだろうなって思ってたんですけど
[00:19:23] 河野 なんか特定されちゃうかもしれない
[00:19:25] おだしょー そうですね 特定しないですけど
[00:19:30] ぼかしとかを多分 このビジュアルFFと やっていかれたらいい
[00:19:34] 河野 そうでしたね 僕としたことが 抜けておりました
[00:19:41] おだしょー すいません
[00:19:43] そうですね なので クラウドプロマックスとかの環境を
[00:19:50] 整えるとかは現実的にはできるんですけど
[00:19:54] ちょっと本当に持続的に今後やっていくってなったときに
[00:20:00] 続けないとできないとなるとなんかあの秋田大学とかのとか aiu の学生がちょっとしんどいかなっていうのが結構あるのでだからその
[00:20:12] そこに踏み込みしすぎるのもなんかちょっと多分リスクだなと思ってるんですよね そうなんすよねー
[00:20:19] 結構なのでそうするとジェミニが無難ってなるんですけど ジェミニで講座できるんですかちなみに
[00:20:27] できますうずアンチグラビティでああ なのでどっちかって言った正直あの講座とか自体はアンチグラビティのがしやすいんですよ
[00:20:36] あの環境が用意しやすいんで なのであの普段講座やる時は僕アンチグラビティから入ります
[00:20:44] あーあのみんなにクロードコードマックスプランを契約させるっていう作業が 非常に大変なんです
[00:20:53] ですよねはい いやそうだと思います
[00:20:57] そっかーもっともっとは取れますけどね間違いだうん
[00:21:05] あとおもちゃとしても最高に楽しいと思います うーん僕を教えてほしいぐらいですもんね教えます教えます
[00:21:12] 僕だって死ぬほど義務なんですよ あんまりイメージないかもしんない
[00:21:17] きっとお忙しいんだろうなと思うんですよ 私結構あのスピードを重視してましてですねあの
[00:21:25] 実は暇なんじゃないかとか言われることがあるんですけど 結構ですね来週とかも北海道名古屋
[00:21:32] あと移動が多いですよねまず移動とかもそうなんですよ あとあの移動中とかにあのバックグラウンドとかで全部仕事させとくみたいなことできますよ
[00:21:43] そうなんですよそれをねやりたくてとりあえず会社にクロードプロ プランは申請してちょっとせなんかやろうかなと思ってるんですけど
[00:21:53] なんといってもマックスですねマックスでいいエンジニアですけど だからどうですか一旦プロでやってみようかなダメだったらマックスにしますけど
[00:22:02] えっとなんていうんだろプロでまあプロでえっと正義ん車でプロでやればいい ただすぐ制限
[00:22:11] そうですよねはい
[00:22:15] いやー でも
[00:22:18] そうですね結構そういうとこで まあ学生さんたちにねクロードコードを結構触らせるのは機械としてはいいと思いますけどね
[00:22:30] うーん なんか
[00:22:33] でもちょっとそこからの それが続けられるようなマネタイズとかにはうまくつなげてなんか着あの終わらせたいというか
[00:22:45] そうですよねー 月額3万まあ200ドルだからまあ3万から3万5千くらいですね今
[00:22:53] まあでもそれでもねー 全然お釣りきますもんねー
[00:23:00] んか まあそれか
[00:23:04] ん
[00:23:09] あとのお金もクロードコードに使ってねーって言うか あの時給決めて開発支援金の
[00:23:22] 何でしょうね時給制にしてまあ自分で開発した時間みたいな進行してもらってそれに対して 毎月お金を払うみたいな感じを自分で開発するキレイだねそうしようと
[00:23:34] 思ってるんですよはい はいめっちゃいいじゃないですか
[00:23:38] 基本それが全員になるんじゃないですか 基本全員それになりますなのでまあ例えばそれでだから多分あの最初の申し込みのシートの段階でちょっと
[00:23:49] そういうフィルタリングは必要ですよ
[00:23:54] だからそのなんか全部街中で成し遂げようとしている人とかそうそうそう そうっすよねー
[00:24:01] まああとはどうなんだろう逆に言うと現在の経験値はゼロでも AI とかを学んで取り組みたいみたいな
[00:24:11] なんかアレっすもんねなんか この間の暁カンファとかでもなんかゼロから
[00:24:19] だけど ai で始めてみたいな人結構いましたよちょこちょこ 三浦くんとかまさにそうなの
[00:24:26] はいあのむしろそういう人は文庫を開いていった方がいいかなぁと思ってまして そうっすよねー
[00:24:34] だからなんか ai 単純に学びたいですはもうあの一刀両断で落とすんですけど あのめちゃくちゃ面白いアイディアを持ってたりとか
[00:24:44] ai で実現したいですよ そうですねそれはだからだからそういう人が結構ペルソナなんですよ
[00:24:51] なんかも自分で開発したいでも勝手にやってくださいって感じなんで そうなんですねそこがちょっと
[00:24:59] 来年は あの今中3の正宗くんを振り込むつもりだった
[00:25:06] いやー資格ですねイフ塾の資格ですよ色資格正宗くん いや結構でも通すねだからまあ今今回不塾に該注してるじゃないですか表向き
[00:25:18] 上ただでも別に何かみんなで一緒にやってるから僕としちゃう 問題ないんですけど何か見え方としてなんか丸なんかゆず木君が丸投げしたみたいな
[00:25:27] 捉え方をちょっとされかけたんですよ だからちょっとそこがめちゃくちゃもったいないんで来年はもうその自分でお金にして
[00:25:35] もらってやろうかなあの 正宗くんはでももうすでにあのクロードコードを使いこなせてます
[00:25:44] 素晴らしいはいなのであのイフ塾の出席の児童でなんか 出席まあうちの塾
[00:25:51] 欠席とか授業を忘れてる子多い あのそういう子がいた時に児童であの追跡の連絡がいくシステムとかクロードコードで自作
[00:26:01] してます
[00:26:04] だからクスチャット gpt のプロとか 今年多かったのがグーグル ai ウルトラ30テラバイト
[00:26:11] はいあれはめっちゃいいですお前だけでした これはあれですかあのアンチグラビティのやつですか
[00:26:18] アンチグラビティですねね4点でもアンチグラビティは結構無料開放枠が大きくて なのであの別にあの普通にプロウルトラウルトラじゃなくてもプロアカウント
[00:26:31] でも結構 あのアンチグラビティができることのマックスは割とプロアカウントの状態で結構できます
[00:26:40] なんかどっちかっていうとウルトラにすることのメリットは動画生成とか 画像生成とかをめっちゃ大量にやりたいとか
[00:26:51] そういうので api をたくさん食う人はの api のクレジットが得点でつくんで そういうのであの若干ウルトラにしたほうが得になるよねっていう場合があって
[00:27:02] あの後スカシが出なくなったりする あのそういうお得になるよねーがまあ多少ある場合はウルトラががいいけど
[00:27:13] うーん ただシステム開発に関してはほぼアンチグラビティ
[00:27:19] 完結はするんで
[00:27:25] なんかあの人件費で請求するんだったらまあ100万円あるじゃないですか でまぁ5ヶ月であったら月20万ぐらいですよ
[00:27:33] はい月20万を開発にしたって結構時給例えば2000円とかだったらもうほぼ 暁しかやってねーじゃないかっていう話になるのでなんかグレーゾーンなんですよね
[00:27:47] だから一部のそのプラットフォームを提供するっていうのがいいかなと思ってるんです けどそれを何かグーグルエアウルトラにするか
[00:27:54] クロードにするかチャット gpt プロサブスクリプションにするかとかで行くと アダートを思いまとう的にクロードコードです
[00:28:03] えっと目標目的が開発にあるのなら なるほど
[00:28:10] まそうプログラミング力開発力がダントツで優れているのはあの プロードコードです
[00:28:21] これはもう今今もねダントツです まあダントツですよね多分8月
[00:28:28] ほぼほぼまじゃっに変化はあるかもしれないですけどまぁちょっと最近やばいぐらい クロードが強いですもんね
[00:28:35] まあちょっとアメリカが使用禁止になったんで あーまあそっかあれでなんか色々なんか政治的ないろいろとかは
[00:28:43] もしかしたら今があったりするかもしれないですけれど 確かにまあでもアメリカが禁止するってことはいいんだろうな
[00:28:52] はいそうでしょうね なんかいいでしょうが悪いんでしょうね
[00:28:59] できすぎるんでしょうね ありがとうございますちょっとねそれはごめんなさい考えますね
[00:29:04] それはちょっとまだ まあでも基本的にはそのその時に一番最新トレンドなもので僕はあの講座はいけ
[00:29:13] ます正直 まあそうっすよねはいなんか常に多分趣味で追ってると思うので
[00:29:21] 了解です高杉さんにちょっとあの見積もりとか 内容のちょっと案を出してもらうにあたってあその内容なんていうのは何時間
[00:29:30] くださいとかそういう話なんですけど レイワンの何時間でくださいとかですね
[00:29:35] ちょっとその話をもらいたいんですけどやっぱちょっと懸念しているのがえっと セキュリティ
[00:29:43] 絵はクロードコードでのやっぱり結構大企業になればなるほど ロードコードって
[00:29:50] 危険だよねみたいな質問結構あるんですよ今回大学も一緒にやるのでその辺の ちょっとなんかこう
[00:29:57] ガバナンスっていうかなんかそっち系の話
[00:30:00] が どうしてもつきまとっちゃうん ですよ 頭の硬い人たちには
[00:30:04] りなたむ 特に気をつけるポイント が明確なんですよ 怖い怖いっていう
[00:30:12] 人は どこを気をつけなきゃいけ なくて どこを気をつけなくていい
[00:30:16] のかが分かってない 特に多いの が 特にクロードコードとかで操作
[00:30:24] を自動化して問題になりやすい のがAPIキーとかシークレットキー
[00:30:31] とかパスワードとか そういう何か の暗号というかキーになっている
[00:30:39] もの それを例えばチャットとかに これめんどくさいから入力して
[00:30:45] おいて ペーンって貼ったりとか すると 漏洩しました 漏洩しました
[00:30:51] とかってなるんです ただとはいえ 結構 今 各社そういったセキュリティー
[00:30:59] キーへの配慮っていうところが 結構強まっていて GoogleとかもAPI
[00:31:08] キーの漏洩の疑いがあったら 結構 すぐ止まったりして システム
[00:31:13] 使えなくなったりします でも 一応 ポイントとして押さえておく
[00:31:19] のは そこの辺のAPIキーとかパスワード とかをAIに丸投げしないで そこ
[00:31:25] だけは 大体 テスト環境とかだと システムってGitHubっていうところ
[00:31:36] にあげて それから ちょっと単純 なシステムはGitHub止まりでOKで
[00:31:45] とかを加えたりとか もうちょっと そこのデータベースから動的に
[00:31:50] いろんな情報を取得して うんぬん かんぬんっていう 大規模サイト
[00:31:54] になったときにはバーセルっていう のにデプロイをして移すんです
[00:32:00] っていうので それぞれの着地が GitHubなのかバーセルなのかっていう
[00:32:06] のを定めて そこの中での環境変数 っていうのを登録するところがあるん
[00:32:12] で そこに 例えばGoogle Gemini APIキー はALなんちゃらなんちゃらみたい
[00:32:20] なのを貼る場所があるので そこで 管理していけば 比較的安全っぽい
[00:32:25] かなとは言われるんです
[00:32:26] おだしょー ありがとうございます なので AI使えますようで こういう
[00:32:31] 感じでコーディングできますって セキュリティはこういう感じです
[00:32:36] っていう なので 要は素人でも これから 素人で開発していくとき
[00:32:42] に 事故る事故らないは 自己責任 みたいなとこもあったりとかも
[00:32:47] するんですけど ちょっとそこの 話っていうのは 講座に入れてもら
[00:32:53] えたら嬉しいなっていう感じですか ね
[00:32:56] りなたむ わかりました 結構 ちょっと なるべく今の段階
[00:33:02] だとそれって感じですよね でも なので 多分 おそらく
[00:33:07] おだしょー 変わってそうですよね
[00:33:08] りなたむ 暑くなったらまた変わ ってると思います
[00:33:10] おだしょー いや そんな気がします 最近もすごいですもんね
[00:33:13] りなたむ でも それこそ 本当に 文字通り 気温が上がって暑くなったら
[00:33:18] データセンター火吹いて AI全部 動いてないかもしれませんし
[00:33:22] おだしょー そうですよね
[00:33:23] りなたむ はい 結構 普通に地球温暖化 とかの影響を受けて 全然 データセンター
[00:33:30] の冷却間に合わなくて でも処理 はどんどん増えていって ぼーん
[00:33:36] って 全然あり得る話だとは思って ます
[00:33:39] おだしょー そうですよね 僕 結構 北海道でそういうデータセンター
[00:33:42] を作るとか そういう系の話とか も携わってるんで めっちゃ分かります
[00:33:47] そうですよね
[00:33:48] りなたむ 北海道だと 雪を使って 冷却使ったりとか 結構あったり
[00:33:54] するし いいんじゃないかとも言 われますけど もし それでAIが全部
[00:34:01] 動かなくなってたら 北海道で農業 構造とかやりましょう みんなで
[00:34:07] いい野菜を作るのは誰だって
[00:34:08] おだしょー いいですね うちのNTT が北大の農業ラボを持ってるんで
[00:34:13] ぜひ
[00:34:14] りなたむ 最高ですね なので どっち に転んでも大丈夫ですね
[00:34:19] おだしょー ありがとうございます じゃあ ちょっと抗議案 別にガチ
[00:34:27] ガチ提案してくれっていうわけ ではないんですけども ちょっと
[00:34:30] そういう感じで 金額イメージ と抗議案と あと 秋田県でも実績
[00:34:38] があるとおっしゃってたと思うん ですけど 開示できる範囲で どこ
[00:34:42] で対象 誰にやったかとかの情報 があると嬉しい
[00:34:46] りなたむ 秋田県の事業の女性の 就職を応援する講座みたいなの
[00:34:55] とかを20時間やったりとか 山形 大学でアプリを作る講座をやった
[00:35:04] りとか そんな感じです
[00:35:05] おだしょー ありがとうございます ぜひそれを開示できる範囲で大丈夫
[00:35:09] なんでください
[00:35:10] りなたむ 全然 全部開示します
[00:35:13] おだしょー そうなんですよ アイミツ とか取るんですけど 何とか高崎
[00:35:19] さんにお願いしたいなと思って て 今 言い訳ができるのが 暁修了
[00:35:23] 制っていう
[00:35:24] りなたむ なるほど
[00:35:25] おだしょー だけなんで ちょっと その素材が欲しいんで
[00:35:28] りなたむ わかりました
[00:35:29] おだしょー そういう観点でもら いたいなと思って
[00:35:31] りなたむ 逆にちょっと目安 その アイミツとかあるんであれば 通り
[00:35:36] やすそうな金額とかもやんわり 教えておいてくれると 試したい
[00:35:40] と
[00:35:41] おだしょー 1回あたりの講座とか ですよね
[00:35:43] りなたむ はい 多分 1回が2時間 とかで何回かにやるかなっていう
[00:35:51] イメージですけど
[00:35:52] おだしょー 了解です どうだった かな 高崎さん参加してもらった
[00:36:00] ときのイノベーターユースコース のユースコースのほうは 地域課題
[00:36:06] のプロ ローカルゼブラみたいな 人に ローカルゼブラやってる人
[00:36:11] に意見もらったり 視察みたいな させてもらったときとかの金額
[00:36:15] で 1日大体10万ぐらいだったかな っていう感じっすね
[00:36:21] りなたむ わかりました ちょっと 参考にさせていただきたい
[00:36:26] おだしょー 全然 なので 別に血を流 してくれっていう話は全くなく
[00:36:33] だから 妥当性がちゃんと分かれば はい
[00:36:36] りなたむ わかりました
[00:36:37] おだしょー それは大丈夫です
[00:36:38] りなたむ 結構 これ 僕は講座 そのものよりもフォローアップ
[00:36:43] とかのほうが大事だと思ってて ちょっとそういうところも内容
[00:36:48] に入れ込んでも大丈夫ですか
