[00:00:00] （タイプ音、マウス音、その他の環境音）
[02:56:80] 話者A: なんか、くそ、そこが、そこで頑張るっていう。
[03:02:48] 話者B: はいはいはいはいはい。
[03:03:36] 話者A: いかにだからちょっと、あんま、けむく、けむくないものが入手できればいいんすけどね。
[03:10:35] 話者B: マジックマッシュルームじゃないすか？
[03:12:87] 話者A: 合法っすよ。
[03:14:62] 話者B: あ、そうっすよね。
[03:15:37] 話者A: マジックマッシュルームが結構意外と時間も短いし効き目もまあ得るほど強くないからいいか、確かにちょうどいいかも。
[03:28:01] 話者B: うんうんうん。
[03:28:44] 話者A: マジックマッシュルームを家でピザとか食ってればいいのかな。
[03:32:26] 話者B: ああ、いいっすね。多分向こう上剤とか売ってると思いますよ。
[03:34:87] 話者A: っすよね。なんか、上剤系は多分いいっすよね。
[03:40:34] 話者B: うんうんうん。
[03:41:37] 話者B: いやあ、いいっすね。
[03:42:61] 話者A: っていうとこ。あとこないだあれ、佐渡ヶ島に行ってきて、めっちゃ。
[03:46:58] 話者B: 行きましたね。
[03:47:33] 話者A: へえ。
[03:48:47] 話者B: いいっすね。
[03:49:15] 話者A: 行っことあります、佐渡ヶ島？
[03:51:30] 話者B: 佐渡は、あの、小学6年生の修学旅行が佐渡なんすよ。
[03:59:33] 話者A: あ、なんか確かにあの新潟の人たちみんな行ってました。あ、遠足で行ったっきりっすね、みたいな。
[04:05:44] 話者B: うんうん。
[04:05:78] 話者B: 佐渡いいっすよね。
[04:06:65] 話者A: めっちゃ良かった。なんか、もうずっと自転車。ずっとチルい感じでずっと自転車漕いでました。
[04:13:83] 話者B: へえ、いいっすね。なんか、俺も小学生以来行ってないんで、何年か旅行行こうって。新潟だからいつも帰る度に佐渡行ってから帰ろうか、みたいな話してるんすけど。なかなか。
[04:27:72] 話者A: 思いっすよね。行くの。
[04:31:37] 話者A: 結構行ったら、しばらく痛くなるんで、やっぱ。
[04:35:28] 話者B: うんうんうん。ま、しまっすからね。
[04:38:29] 話者B: いいっすね。
[04:39:35] 話者A: ずっと、なので、自転車で横断2往復ぐらいしました。
[04:44:46] 話者B: へえ。
[04:45:19] 話者B: そんなにちっちゃかったっけ、佐渡って。
[04:48:58] 話者A: めっちゃでかいっす。
[04:50:09] 話者B: っすよね。
[04:52:68] 話者A: あの、うん。なので、すごいっすね、って言われましたよ。やっぱ。銀座にもチャリで行きましたし、僕。
[05:01:21] 話者B: はいはいはいはいはい。
[05:02:64] 話者A: あ、そこは、あの、佐渡ヶ島は一人で行ったんすよ。なんかたまたま。
[05:08:04] 話者B: 一人で行ったんすか？
[05:08:70] 話者B: ああ。
[05:09:44] 話者A: 妻と娘がなんかディズニー行っちゃって。
[05:12:00] 話者B: はいはいはいはいはい。
[05:13:17] 話者A: なんか行く場所、暇だな。
[05:15:37] 話者B: はぶられてるじゃないすか。
[05:17:74] 話者A: あの、僕自身がちょっと、あの、ディズニーNGなんすよ。
[05:21:49] 話者B: あ、そうなんすね。
[05:23:44] 話者B: え、何でですか？
[05:24:94] 話者A: てか、遊園地全部怖くて、僕。
[05:27:66] 話者B: へえ。
[05:28:06] 話者A: 乗り物とか乗れないんで。
[05:30:57] 話者B: あ、そうなんすね。
[05:32:48] 話者A: あんま車とかも元々得意じゃないし。
[05:35:36] 話者B: はいはいはいはいはい。
[05:37:16] 話者A: なので、なんか高低差ある乗り物とか早い乗り物、基本全部ダメなんすよ、僕。
[05:42:07] 話者B: あ、そうなんすね。
[05:42:85] 話者B: 飛行機は？
[05:43:86] 話者A: 飛行機も嫌ですね、だから。
[05:46:75] 話者B: じゃ、極力ってことすね。
[05:48:38] 話者A: 僕結構時間かかっても新幹線で行きます。
[05:51:79] 話者B: へえ。
[05:52:95] 話者B: オランダはさすがに飛行機っすよね。
[05:55:05] 話者A: あ、っすね。さすがに。
[05:57:07] 話者A: 船とかではないっすね。
[06:00:23] 話者A: 乗って乗れんことはないけど、ちょっとやっぱ飛行機はなんか辛いな、って、怖え、普通に。
[06:07:34] 話者B: うんうんうん。
[06:08:06] 話者A: っつってなって。
[06:11:42] 話者A: ジェットコースターとかってなんかたまに、あの、写真撮るやつとかあるじゃないですか、途中で。僕あれ、怯えてて、なんか乗ったやつとか映ってないすからね。
[06:21:49] 話者B: 本当そのレベルなんすね。すごいっすね。
[06:24:87] 話者A: ダメ。全然ダメっすね。
[06:28:04] 話者B: ああ。
[06:29:43] 話者B: いいっすね。
[06:31:60] 話者A: でも佐渡ヶ島ちょっとハマっちゃって。
[06:34:37] 話者B: うんうんうんうんうん。
[06:35:50] 話者A: なんか新潟にハマったかも。こないだ行って。新潟めっちゃいいっすね。
[06:39:69] 話者B: え、新潟行ったんすか？
[06:40:87] 話者A: え、なんか普通にあの駅前、あの、ま、主に佐渡ヶ島行って、一日だけ新潟プラっと、なんかあの、なんだ、あの、ちょっと離れた古町だかなんだかまで。
[06:52:21] 話者B: ああ、はいはいはいはい。
[06:53:00] 話者A: そんぐらいですけど。
[06:54:21] 話者B: え、どっから降りました？フェリーは？
[06:57:13] 話者A: フェリーはあそこっす。あの、佐渡汽船だっけ、なんだっけ。
[07:02:18] 話者B: 新潟のどこどこすか？
[07:03:57] 話者A: 新潟からなんかね、多分四、五十歩歩きました。
[07:08:24] 話者B: 歩いたんすか？
[07:09:03] 話者B: ああ、新潟駅から四、五十歩歩いたってことは、そうっすね、じゃ、多分新潟港っすね。
[07:14:14] 話者A: 多分なんかそう、なんか美術館とかを横行って、万代、なんな、万代島、バンダイ橋だか、なんか万代なんちゃら、みたいなエリアがあるじゃないですか。あのあたりから突いて行きました。
[07:28:90] 話者B: うんうん。
[07:31:39] 話者B: じゃ、ほぼほぼ新潟の方っすね。
[07:32:32] 話者A: あ、そうっす、そうっす、そうっす。
[07:34:52] 話者A: へえ、でもなんか楽しかったわ、新潟。
[07:37:37] 話者B: いや、めっちゃいいっすよ。あの、新潟、今度行きます、一緒に。
[07:41:20] 話者A: はい、新潟旅行ちょっと一緒に行きたいっす。
[07:43:24] 話者B: うんうんうんうん。
[07:43:92] 話者A: 色々ね。
[07:45:09] 話者A: あるんで。
[07:47:75] 話者B: ぜひうちの実家にも。
[07:48:86] 話者A: あ、ぜひぜひぜひ。
[07:51:57] 話者A: ホテルでチルんで、あの、滝行すればいいじゃないすか。
[07:55:00] 話者B: いいっすね。
[07:55:60] 話者A: 滝行。
[07:56:49] 話者A: でっかい滝2個入れるんで、ここ。
[07:58:53] 話者B: いや、マジっすか？
[07:59:22] 話者B: やば。
[08:00:66] 話者A: 家で滝行。
[08:01:79] 話者A: ちょっと修行しに行こうかな。
[08:03:77] 話者B: いいっすね。
[08:05:07] 話者A: あ、で、そうそう、こんな、あの、そう世間話もありますが。じゃ、AI研修もちょっとやっていきましょうか。
[08:15:20] 話者B: お願いします。
[08:16:15] 話者A: どうしよう、今どん、今どんな感じっすか？
[08:19:64] 話者B: いや、もう全くっすね。あの、クローサーとか、クローどこコードとか、とりあえず立ち上げて、クロー、なんか、クローサーで動く、みたいな。
[08:31:40] 話者A: クローサーってなんすか？
[08:36:06] 話者B: うんと、クロー、クローコードを、クローコードをまずね、動かし方がいくつかあって。
[08:42:37] 話者A: えっ、アプリでやるパターンと。えっと、コードエディターのターミナルから呼び出すっていうパターン。
[08:50:09] 話者B: っすね。
[08:50:50] 話者B: そのターミナルがなんかクローサー、みたいな。
[08:54:19] 話者A: クローサーって何だろう。
[08:55:92] 話者B: え、画面共有した方がいいンスか？
[08:57:43] 話者A: あ、そうっすね。
[08:59:44] 話者B: じゃ、これ、俺のやつを共有した方がいいってことっすね。
[09:02:29] 話者A: そうっすね、今。
[09:15:10] 話者A: あれ、CBNって6月1から規制でしたっけ？
[09:20:07] 話者B: ああ、来週っすね。
[09:22:36] 話者A: 来週か。6月1日から？
[09:25:70] 話者B: ちょうど1週間、うん、んーと、31日が日曜日だから、ちょうど1週間後っすね。
[09:32:32] 話者A: なるほど。
[09:34:39] 話者B: いや、ちょっと、ね、でももうあの、合法で普通に使えます、あれ。
[09:42:15] 話者A: CBN？
[09:44:48] 話者B: Nっす。あれは申請出す。
[09:46:39] 話者A: 病院行くんすか、あれ。
[09:48:32] 話者B: 今めちゃめちゃその緩いらしくて。
[09:50:85] 話者A: はい。
[09:51:75] 話者B: なんかAIの診断書、AIで診断書作って、理由適当に作らせればいける、みたいな。
[09:59:02] 話者A: へえ、あ、で、それを出すのはどこに出すんすか？
[10:02:64] 話者B: それを、あの、オンライン診断、みたいな感じで、あの、ペイパルマニアがやってるんすよね。
[10:07:95] 話者A: お。
[10:08:70] 話者B: ちょっと待ってくださいね。なんか、これ、画面なんか設定ができないっすね。
[10:13:00] 話者A: あれ、画面共有？
[10:14:89] 話者B: 画面共有なんか、あの、オーディオ記録しようとしてプライバシー設定で、なんかできるはずなんすけど、画面収録の拒否、のボタンが邪魔して。
[10:28:13] 話者A: あれ。
[10:29:43] 話者A: うーん。
[10:30:46] 話者B: 違うやつを押せないんすよね。
[10:33:38] 話者A: なんか。
[10:36:38] 話者B: ちょっと待ってくださいね。なんだこれ。
[10:37:95] 話者A: コマンドマイナスとか押すと、縮小されるけど、そういうのでいけないっすか？
[10:46:42] 話者B: できないっすね。
[10:48:00] 話者B: えー。
[10:57:07] 話者B: なんだこれ。
[10:58:14] 話者B: あ、いけた。
[10:58:80] 話者B: いけた、いけた。
[11:01:21] 話者A: で、結構ね、あれなんすよね。えっと、多分この、あれ。
[11:06:55] 話者A: （息を吐く音）
[11:28:50] 話者B: あ、お帰りなさい。
[11:29:60] 話者B: なんか落ちた、みたいな。
[11:31:73] 話者A: 落ちた。
[11:33:40] 話者A: えっと。
[11:35:86] 話者B: で。
[11:38:00] 話者B: うん。
[11:41:43] 話者B: なんかいちいち画面共有で手こずって。
[11:45:00] 話者A: 画面共有の、あのアイコンが出てないってことっすか？
[11:48:21] 話者B: あ、いや、あ、今、今もいけます。あの、できます。
[11:51:75] 話者A: できます。
[11:54:39] 話者B: で、えっと。
[11:55:80] 話者B: もうこれって多分一騎打ちしますよね。ウィンドウズ自体の方がいいっすよね。
[11:59:74] 話者A: あ、だとおもいますね。
[12:02:40] 話者B: できますよね。
[12:03:52] 話者B: あ、画面全体ってことか。
[12:09:12] 話者B: （タイプ音）
[12:11:79] 話者B: （タイプ音）
[12:14:64] 話者A: えっと、そうっすね。
[12:15:10] 話者B: 画面共有したっすね。
[12:15:93] 話者A: 画面見えてますね。
[12:21:40] 話者B: オッケーす、オッケーす。
[12:23:09] 話者A: クローサー、クローサーっていうターミナルのアプリがあるってこと。
[12:33:41] 話者B: いや、でもなんか全然もう、あの、本当初手の初手で止まってますね。
[12:39:69] 話者B: あの。
[12:40:48] 話者A: あ。
[12:41:14] 話者B: 全然できなくて。
[12:42:55] 話者A: カーソルか。
[12:44:39] 話者B: あ、ごめんなさい。カーソルっていう、クローサーって、クローサーって読むの？もしかして。
[12:51:00] 話者B: か、いや、分かんないす。俺多分。
[12:53:57] 話者A: いや、クローサーってやったらクローサーっていう読みがなで出る、出て、出てるからクローサー。
[12:58:90] 話者B: なんかいつも、あの、人見ながらやってたんで。
[03:02:96] 話者A: うーん。
[03:03:00] 話者A: ああ、でも、カーソル。これ、じゃ、これも有料課金してます、もしかして。
[03:09:59] 話者B: いや、えっと、全然その初手の初手ログインまでできなくって、結局その、あの、まだやってないっすね。
[03:16:32] 話者A: ああ、なるほど。
[03:17:48] 話者A: で。
[03:18:12] 話者B: だ、全然分かんないっすね。
[03:20:49] 話者A: この、ま、クローサーの場合はここの確かに下のターミナルってとこから実行してどんどんやっていけばよくて。
[03:27:54] 話者B: うんうんうんうんうん。
[03:28:44] 話者A: あの、右側、あ、左なのかな。左側にもチャットがあって。こっちでやるとそのクローサーが動くんすよ。
[03:37:64] 話者B: うーん。
[03:39:23] 話者B: そもそもこれ自体があんまりよく分かってなくって。これってターミナル、みたいな感じで、そのコード書くためのツールなんすか？
[03:47:48] 話者A: ツールなんですけど、えっと、クローコードとかを立ち上げて動かす場合には、えっと、そこのターミナルの部分に普通に日本語の指示を打つだけです。
[03:57:48] 話者B: あ。
[03:58:65] 話者B: ここに日本語、日本語っすか？
[04:00:26] 話者A: あ、そうっす、そうっす。なので。
[04:03:00] 話者A: 一見すると、ま、例えばちょっと僕の作業風景みたいなのを見せると、多分分かりやすいから。ちょっと待ってくださいね。
[04:13:00] 話者A: ちょっと何がいいかな。分かりやすくウェブサイトとかでいいか。
[04:21:65] 話者B: ってか、その、俺が全然プログラミングやってきてなかったから難しく感じてるンスか？
[04:27:59] 話者A: あ、そうっすね。えっと、要は。
[04:34:68] 話者A: いわゆる非エンジニアが受け入れられなくて、エンジニアだけが喜んで受け入れる種類の画面があって。
[04:45:00] 話者B: うん。
[04:45:15] 話者A: それがいわゆるこのやつ。ま、ちょっと僕アプリ違うんで、ちょっと若干UI違いますけど。ターミナル部分がここにでっかくなってますね。
[04:56:49] 話者B: うーん。
[04:57:04] 話者B: ターミナル部分。
[04:58:20] 話者A: で、えっと、クローコードを、まあ、あの、立ち上げるコマンドをこうやって打つと。
[05:04:88] 話者B: うんうんうんうんうん。
[05:06:50] 話者A: これ打ったことありますか？あ、で、このね、えっと、クロー動ってのをただ打つだけでも立ち上がるんですけど。
[05:13:41] 話者B: うんうんうんうんうん。
[05:15:00] 話者A: クロー動ってのの後にハイフンハイフンデンジャラスリーハイフンスキップハイフンパーミッションズってのを暗号であって、これを足すと、えっと、作業が途中で止まらないで、最後まで完遂するようになるんですよ。
[05:31:73] 話者B: うーん、なんか分かんないっすね。なるほどっすね。作業が。
[05:35:50] 話者A: あ、えっと、なんか例えば、ま、じゃ、あ、1からやっちゃうか。1からやった方がいいかな。なんかじゃ、えっと、作業する時ってのはこんな風にして新規フォルダーってのをやって。
[05:47:33] 話者B: うんうんうんうんうん。
[05:48:00] 話者A: ま、じゃ、なんだろう。テスト。
[05:51:71] 話者B: うん。
[05:52:13] 話者A: ホームページ、ま、ホームページ、あ、でも何が作りたいっすか？
[05:56:69] 話者A: 台本でいきますか？画像でいきますか？
[06:02:11] 話者A: とか。
[06:03:02] 話者B: あ、行きますか？
[06:04:55] 話者B: これってちなみに台本のその難易度ってどのぐらいっすか？その、作る。
[06:08:70] 話者A: 台本の方が、えっと、文字だけで済むので結構楽だと思います。
[06:13:79] 話者B: うんうんうん。
[06:14:48] 話者B: なんか、その、今一人社長みたいな感じで、あの、全部クローコードで、雑務とかまでも全部含んでやっちゃうみたいな、その文書をたくさん作るみたいな。
[06:26:45] 話者A: はいはいはい。
[06:27:14] 話者B: っていう風に、なんか、イメージ言われてる。
[06:29:72] 話者B: うん。
[06:30:30] 話者B: あ、あれは可能なんすか、割と。
[06:32:51] 話者A: 可能です。
[06:33:65] 話者B: ああ、うんうんうん。
[06:34:65] 話者A: なので、えっと、そういう場合にはちょっと、えっと、業務の棚卸しみたいな作業から必要になります。
[06:40:00] 話者B: てことっすね。
[06:40:71] 話者A: うん。
[06:41:69] 話者A: で、もう全部一応なので、えっと、それぞれの色んな、まあ、それらをやるのには例えば、えっと、Google系の書類とかをスムーズに作るような仕組みであったりとか、うまく画像とかをバババババっと作ってハメてくような仕組みであったりとか、メールとかで勝手にどんどん送ったり応答したりとかするような仕組みであったりとか。
[07:04:14] 話者A: いろんなそれぞれ仕組みがあって、それらを全部実装して繋げるっていう感じです。
[07:12:47] 話者B: うんうん。
[07:13:00] 話者B: なんか、そもそもまだちょっと前提を把握しきれてなくって。どこまでできるのかっていう、そのなんか、あの、クローコードとかだと、その、今使ってるパソコン自体を動かせる、みたいな感じで。
[07:25:06] 話者A: はい。
[07:25:27] 話者A: 言ったんで、いろんなアプリとか、そういの全部使え。
[07:30:19] 話者A: はい、転がってる全てのアプリを繋げる、もしくは、全て、そのアプリに類似したアプリをその場で作ってそれを当てはめるなどが何でもできます。
[07:40:43] 話者B: へえ、それって、あの。
[07:44:81] 話者A: Macの、なんだっけ、自動で操作できるやつじゃないですか。
[07:49:50] 話者B: オートメーター。
[07:50:56] 話者A: あ、そう、オートメーター。
[07:51:98] 話者B: みたいなニュアンスなんすか？
[07:54:39] 話者A: オートメーターよりすごいと思ってください。全然。
[07:57:94] 話者B: へえ。
[07:58:14] 話者B: オートメーターより、えっと、制御の感じが自由自在です。
[08:02:64] 話者B: へえ。
[08:04:14] 話者A: まあ、でもちょっとそれは画面操作とかそういう特殊なのも入れたりする、場合もあって、ちょっとそういうのが複雑になってくると、ちょっと安定感が下がってきますね。
[08:14:48] 話者B: うーん。
[08:15:52] 話者A: 大体なことはできると思いますよ。
[08:18:78] 話者B: 例えば、その動画長尺の編集があって、それを一言で、あの、まず、それをオーディオ化させて、そん中から面白そうな内容にこう、つなぎ止めてください。で、これを編集、あの、プレミアの、アドビのプレミアで編集してください、っていうこともできちゃうんですか？
[08:38:15] 話者A: アドビのプレミアのMCDがあるかな。ちょっと、アドビのプレミアの、えっと、その操作する、えっと、ツールが多分あって。
[08:47:64] 話者B: APIみたいな感覚っすよね。
[08:49:73] 話者A: え、えっと、これは、多分、おそらくMCDってなると思います。
[08:53:23] 話者B: そう、MCDみたいな、APIみたいな、APIとMCDは全然違うんすよ。
[09:00:19] 話者B: 全然違うんすか？
[09:01:40] 話者A: へえ。
[09:02:40] 話者A: えっと、APIっていうのは、他のツールの、えっと、値とか、そういう機能とかを、えっと、番号入力、あ、キー入力することによって、使うこと、呼び出して使うことができるようにする機能。
[09:18:50] 話者B: うんうん。
[09:18:96] 話者A: MCDっていうのは、えっと、その、ツールに直接接続して、えっと、そのツールをAIが操作する機能。
[09:31:37] 話者B: へえ。
[09:32:78] 話者B: な、なるほど。
[09:34:73] 話者B: ドライブに近い感じっすか？
[09:36:78] 話者A: で、そのMCDのその精度とかは、その、プレミアプロを。あ、うん。で、アドビのプレミアプロのMCDってのが実は追加されてるんで、おそらくこれを入れればできると思います。
[09:52:16] 話者B: へえ、いいっすね。
[09:52:95] 話者A: アドビユーザーじゃないんでやってないのと、あと実は動画編集は、アドビとかそういうのを使わないで、AIプログラミング動画編集っていう方法がもう1個あって。
[10:06:51] 話者B: へえ。
[10:07:37] 話者B: へえ。
[10:07:65] 話者B: へえ。
[10:07:70] 話者A: 僕がそっちをお勧めします。リモーションっていう。
[10:11:40] 話者B: はいはいはいはいはい。
[10:12:15] 話者A: えっと、プログラミングで文字とかを、えっと、編集するとかが色々、動画編集ができるツールが元々あって。それとAIがくっつくと結構強くなるんすよ。
[10:25:74] 話者B: へえ。
[10:26:55] 話者B: へえ。
[10:26:93] 話者B: へえ。
[10:27:31] 話者B: 知りたいなあ。
[10:28:44] 話者A: それもリモーションも、えっと、クローコードが、無料でも呼び出せるので。
[10:34:39] 話者B: うーん。
[10:35:14] 話者A: なんかま、ちょっとそういう動画編集ツールを作ってく、とかでもいいと思いますね。
[10:39:68] 話者B: うんうんうんうんうん。
[10:41:20] 話者A: ま、あとだからなんか僕は結構、まあ、まだまだ僕自身が、あの、あ、これ、あれだ。ソシナのロケじゃなくて違くて。えっと。
[10:54:10] 話者A: まだあれですけど、こういうなんか漫画っぽいショート動画を。
[11:01:21] 話者B: うんうんうんうんうん。
[11:02:30] 話者A: 勝手に量産する、みたいなこととかは、リモーションを使うとできます。
[11:06:73] 話者A: おかしいな。アシラに登録したいのにメールが来ないんだよね。すまぬ。自動でメールが行くはずなんじゃが、システムのエラーで届いておらぬものがいるようじゃ。しかも、リンクも変わっておった。すまぬ。なんだよ。せっかく楽しみにしてたのに。改めて、みんなにメールを送らせてもらうぞ。このメールを確認して、ボタンを押し、決済を確実にお願いするぞ。これで安心って、あしらに伝えるとね。大変お手数をおかけしました。
[11:37:78] 話者B: なるほどっすね。
[11:42:85] 話者B: え、高杉さんすか？
[11:44:00] 話者A: でもAI整形されてますね。
[11:47:19] 話者B: ですね。なんかあれ、こんなんでいいんだ？
[11:52:72] 話者A: これこれでも別に何かそんなに僕は積極的に顔出しをしたいわけじゃないんでいいんすよ。
[11:59:75] 話者B: なるほどっすね。
[12:01:20] 話者A: いや、だからな、そうなんだよな。うん。でもこれみたいなのとかを多分、えっと、背景をもっと動画にするとか。えっと、色んなことやると、あの、AI動画生成も可能です。
[12:16:32] 話者B: てことっすよね。
[12:16:66] 話者B: てことっすよね。
[12:17:15] 話者B: だからなんか、あの、前ちょっと作ってもらったじゃないすか。だからあれも多分、そのさっき言ってた壁、あの、棚卸ししまくらないと、多分難しいよな、みたいな、その精度。
[12:30:84] 話者A: 結局のところ、それていろんなことがAIではできるんですけど、自分の事業にぴったりフィットさせないといけないんすよ。
[12:39:69] 話者B: そうっすよね。
[12:40:48] 話者A: なので、結局それをするのに、えっと、自分で、ある程度できる必要がある。
[12:45:33] 話者B: そうなんすよね。
[12:46:12] 話者B: っていうことなんだなって思って。うん。
[12:50:80] 話者A: だからちょっと多分、基本的な仕組みをなんとなく、えっと、どんな仕組みでも基本作り方は一緒なんすよ。AI開発の場合は。あの、ちゃんと正確、あの、指示をひたすら諦めずにだし続ける。
[01:5:05] 話者A: これ、これに尽きるんですけど、なんかま、なのでまず1個ベースになる何でもいいので、普通にえっと、台本作るだとか、動画作るとかでも何でもよくて。で、どんどん、どんどん繋げていけるんで、これ。
[02:22:04] 話者B: うんうんうんうんうん。
[02:23:25] 話者B: 連携させられるってことすね。
[02:25:05] 話者A: なので、例えば、さっきの会社を作るっていうような話も、ま、最初はなんか、えっと、一枚画像を作るとかっていうのとか、なんかちょっと調べた、調べるとかっていうようなだけの命令を出したりするんすね。
[02:42:85] 話者B: うんうん。
[02:43:21] 話者A: で、そういう、じゃ、調べて出てきた、じゃ、えっと、カンナビノイド業界の競合他社を全部調べて、みたいなので、こうやってリストを作らせるじゃないですか。
[02:53:32] 話者B: うんうん。
[02:54:06] 話者A: で、えっと、これを、えっと、じゃ今度は、スプレッドシートにまとめて、みたい、なことをやって。で、スプレッドシートにまとめたらそれをさらに、えっと、レポートにもまとめて、みたいな。だんだん、だんだん増やしていく。で、えっと、一気に、じゃ、次は、調べて、スプシにまとめてレポートにするのを一括でやって。
[03:18:88] 話者B: うんうんうんうんうん。
[03:20:23] 話者A: っていうので、どんどん、で、そうすると、えっと、一人、それで一括でそれができるようになってたら、一人マーケターができたの分かりますか？
[03:28:13] 話者B: うんうんうんうんうん。
[03:29:85] 話者A: ていうような感じでいっぱい増やしていく。
[03:32:89] 話者B: スキルズっていうなんか。
[03:36:25] 話者A: それも、それも、スキルズで、えっと、登録をすると、えっと、スラッシュコマンドで一連の流れが呼び出せるようになります。で、その一連の流れをいっぱい作っといて、作っておいて、統括してるAIをさらに作るんすね。
[03:52:13] 話者B: てことっすよね。
[03:53:93] 話者A: で、そいつに、えっと、あの、えっと、前作ったあのコマンドをまず実行して、次にこのコマンドを実行して、次にこのコマンドを実行して、って言うと、また全部が繋がったやつができるんすよ。
[04:05:81] 話者B: うんうんうんうんうん。
[04:07:76] 話者B: 夢の話っすね。
[04:09:66] 話者A: はい。で、これで。
[04:10:97] 話者B: すごいじゃないっすか。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: これ。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: いや、もう、マジ。
[04:11:00] 話者B: ていうかマジで。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: あと、てか、これ。
[04:11:00] 話者B: もう、マジで。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: いやあ。
[04:11:00] 話者B: てか、もう、これ。
[04:11:00] 話者B: もう、マジで。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: てか、これ。
[04:11:00] 話者B: もう、これ。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: いや、もう。
[04:11:00] 話者B: てか、これ。
[04:11:00] 話者B: もう、これ。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: てか、これ。
[04:11:00] 話者B: もう、これ。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: いや、もう。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: てか、これ。
[04:11:00] 話者B: もう、これ。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: てか、これ。
[04:11:00] 話者B: もう、これ。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: てか、これ。
[04:11:00] 話者B: もう、これ。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: てか、これ。
[04:11:00] 話者B: もう、これ。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: めっちゃすごいっすね。
[04:11:00] 話者B: いや、マジで。
[04:11:00] 話者B: てか、これ。
