[00:00:00] (無音)
[00:00:32] (着信音)
[00:00:35] (着信音)
[00:03:02] 話者A: まあ、いろんなことやってるのはいいんですけど、なんかプログラミングと相性があんまり良く無さそうな活動がちらちらあったなって感じがしましたね。
[00:03:10] 話者B: プログラミング。
[00:03:11] 話者A: 英語とか、国語とか。
[00:03:13] 話者B: うちは、あの、ヘッドホンして基本やる。
[00:03:17] 話者A: うーん。
[00:03:18] 話者B: っていう感じ。はい。
[00:03:21] 話者B: はい。そこに今小学校5年生で2年生くらいから。
[00:03:27] 話者A: うん。
[00:03:28] 話者B: プログラミングやってて、元々その英語教室に言ったんですけど。
[00:03:32] 話者A: ああ、あれですよね。塾が、塾がなんかプログラミングの教材を外部から引っ張ってきてやってる系の教室じゃないですか？
[00:03:40] 話者B: そうなんですね。まあ、あの、教材もなんかいろんなの。
[00:03:46] 話者A: はいはいはい。うん、あの、既存の用意されてるやつありますよね。
[00:03:49] 話者B: そうです。はい。
[00:03:50] 話者A: それ、あの、外部のシステムを引っ張ってきてるっていうことなんで。はい。
[00:03:53] 話者B: はい。
[00:03:54] 話者A: そう、そんな感じでやってるんで、ま、プログラミングもまあ、あの、ニーズありそうだからやってるなあっていう感じでプログラミングを習得させるための設計はあんまりされてないかなっていう感じはしましたね。
[00:04:06] 話者B: うーん。ちょっと私もプログラミングについてはちょっとあまり詳しくないです。はい。えっと。あの、元々そっちの英語教室に行って。そこでもこうお友達とのこう。やりとりというか、それでちょっとうまくいかなくて、先生からプログラミングならこう、あの、1人でできるからっていうことで勧められて。
[00:04:33] 話者A: ああ、なるほど。あ、じゃあ、元々経緯としては別の学習系をやろうとしてたんだ。
[00:04:39] 話者B: あ、やってたんです。やってた。
[00:04:41] 話者A: ああ、そこの、あ、でもこれがはまんないならじゃあプログラミングじゃないみたいな感じでプログラミングに行ったって感じですか？
[00:04:47] 話者B: そうですね。なんとかこう、あの、私も習い事させたくて、あの。ま、他に合うものあればっていう感じで。うん。ま、本人もプログラミング気に入ってたので。
[00:05:03] 話者A: はいはいはい。
[00:05:04] 話者B: 昨年のうちは、あの、すごい。楽しく通ってたんですけど。
[00:05:10] 話者A: そっちは？
[00:05:11] 話者B: えっと。
[00:05:12] 話者A: 教室は同しってことですよね。その。
[00:05:14] 話者B: 同じです。
[00:05:16] 話者A: はいはい。
[00:05:16] 話者B: ところに、あの、ま、別の科目としてプロ。
[00:05:20] 話者A: はいはいはい。うん、わかりました。
[00:05:22] 話者B: ようにしてるんですけど。初めは、えっと。ん？
[00:05:29] 話者B: なんて、なんだっけ？あの、猫の。
[00:05:33] 話者A: あ、スクラッチ。
[00:05:33] 話者B: あ、そうですね。スクラッチ。スクラッチすごくはまって一生懸命やってて。スクラッチ終わってから。
[00:05:45] 話者B: ロックフォープレイ。
[00:05:46] 話者A: ああ、はいはいはいはい。
[00:05:47] 話者B: それ、なんかちょっと難しかった。
[00:05:49] 話者A: ああ、RPGみたいなの作るやつですよね。
[00:05:51] 話者B: あ、そうです。はい。
[00:05:53] 話者A: はいはいはい。あの、えっと、知ってます。はい。あの。
[00:05:58] 話者B: で、なんか、あの、こう。勉強も進んできて、ちょっと難しくなってきたのもあって、ちょっと。本人の意欲も落ちてるところを今こうなんとか通わせててる状態だったんですけど、最近はあの、その教室の勉強もあの、そうですね。先生には、あの、足踏みしてる状態でもちょっと前には進んでる状態でも構わないので、なんとか続けさせてほしいって、あの、こう。
[00:06:36] 話者B: 上達することよりも継続することに重きを置かせてほしいってことで。
[00:06:43] 話者A: うん。
[00:06:44] 話者B: 連絡してるんですけど。ま、隔週ももしかしたら滞ってるのかもしれないし、最近はその通うこと自体がすごく難しくなってるので。
[00:06:56] 話者A: そもそもなんですけど、お子さんに多分学習環境があってない。
[00:07:02] 話者B: はい。
[00:07:03] 話者A: で、あ、あ、えっと、学習環境が明確、間違いなくあってないのに塾側がそれを認めないでとりあえず継続的に通わせてるようにしている。ように僕には見えたんですね。
[00:07:16] 話者B: うん。ま、なんか、というとこちらがお願いしてなんとか通わせていただいて。
[00:07:23] 話者A: あ、そういう感じにの雰囲気になっちゃうってことですよね。
[00:07:27] 話者B: はい。
[00:07:28] 話者A: そうです。それなんかあんまり。
[00:07:30] 話者B: うん。
[00:07:30] 話者A: あの、それなんか塾側の環境調整の話なのかなって、僕の考えでは思うんですよ。
[00:07:37] 話者A: だから、なんか。
[00:07:38] 話者B: 塾が。
[00:07:38] 話者A: なるべくその環境は合わせてあげるような配慮は考えたいなと思ってますってとこですね。
[00:07:44] 話者B: はい。
[00:07:45] 話者A: はい。で、この前。
[00:07:48] 話者B: 帰ってきた。理由として、あの、途中で帰ってきてしまったんですけど。あの、この先生が、あの、こう話しかけてきたのが嫌だったみたいなんですね。
[00:08:03] 話者A: ああ、ね。
[00:08:04] 話者B: うん。それ。
[00:08:05] 話者A: それ、あの、ま、英語の先生。
[00:08:07] 話者A: それは、えっと、嫌いな先生が話しかけてきたからですか？それとも、そもそも話しかけられるのが嫌ですか？どっちですか？
[00:08:14] 話者B: 話しかけられるのが嫌みたいです。でも、英語で話しかけられるのが嫌。
[00:08:22] 話者A: ああ、そういうことか。英語。
[00:08:24] 話者B: ああ、あの、ま、日本語ならいいのって。日本人の先生。
[00:08:28] 話者A: ああ、日本語だったら良くないですか？その場合は。
[00:08:31] 話者B: うん。ま、あの、本人は日本語ならいいってことだったんで。ま、ちょっと教室として。の。こう、あの、スタンスもあると思うので、その英語の先生行けば英語でしか喋らないから。あの、息子にだけ日本語使うのが。あの、ん、なんか、しくないなら、あの、話しかけていただかなくても大丈夫ですって、よくないと思って。
[00:08:59] 話者A: はいはいはいはい。
[00:09:00] 話者B: あの、声かけてくださるとは思うんですけど、ちょっと学習それで学習できなくなるのであれば。話しかけていただかなくても大丈夫ですってことをお伝えして。あと、そちらの方でもコロナ禍に、あの、オンラインやってたので、ちょっと通うこと自体が難しいので、ちょっと今月まだもう1回あるので。その、もう1回分をオンラインにしていただけないかってことを相談させていって。でも、ちょっとオンラインになるのであれば、プロコさんが紹介してくださった。あの、こちらの教室の方がこう発達特性とか、あと。あの、不登校の子とか向けなので、あの、子供には合ってるんじゃないかっていうことで。
[00:09:52] 話者A: はい。
[00:09:53] 話者B: うん、ご連絡させていただきました。
[00:09:56] 話者A: だと思います。
[00:09:57] 話者B: はい。
[00:09:58] 話者A: はい。あの、で、あの、そうなんですよ。で、多分なんですけど、お子さんって、まあ、ちょっと自閉的な傾向があって、そういう急に、なんか多分見通しの立たないような関わり方とか、自分かうまくできないような状況に自分を晒されるようなこととか、なんかそういうようなこととか、なんか、あと、あと、ちょっと多分、なんか。なんだろう。話しかけたりとかして、ちょっと、なんか気持ちもネガティブになってたりとかしたら、なんか嫌な風に捉えちゃったりとか、そういうようなこととかも結構あるかなと思うんですけど。まあ、なんかそういうようなところを。えーっと。なんだろう。別にでも。そこは、なんだろう。配慮ではっきり言えばどうにかなる部分だなって僕は思っているいますて。ええ。だからなんか、あん。
[00:10:50] 話者B: なんかいろいろ。
[00:10:52] 話者A: そうでしょう。ま、ちょっと。
[00:10:53] 話者B: うん。
[00:10:55] 話者A: お、まあ、お子さんまだあってないのでなんとも言えないんですけど。まあ。
[00:11:00] 話者A: まあ、基本的にはそれで僕は大丈夫じゃなかったことはないんで大丈夫だとは思ってます。
[00:11:06] 話者B: はい。
[00:11:07] 話者A: ま、だけどなんか。
[00:11:08] 話者B: ちらの教室ではってことですか？
[00:11:10] 話者A: あ、はい、そうですね。
[00:11:11] 話者B: はい。
[00:11:12] 話者A: そう。
[00:11:13] 話者B: ですね。
[00:11:14] 話者A: ていうこともあるんで、あの、僕たちオンラインでやってるっていうのと、ま、あと。あの、えっと、顔出しとかも全くしたがらない子とかもいたり、全くあの、喋りたがらない子もいるんで。はい。あの。
[00:11:30] 話者B: はい。
[00:11:31] 話者A: そう。なので顔見たことない子とかもまだ僕が実はまだいたりもするんですけど。はい。
[00:11:37] 話者B: はい。
[00:11:38] 話者A: ま、でもそういうところで、えっと、まずうちの塾ってのは、ま、塾っていう感じもまた合わないんですけど。なんか、まあ。そういう好きなこととかを好きなような状態でやりながら、あの、取り組むっていうことをまず大事にしてる塾でして。
[00:11:55] 話者B: うん。
[00:11:55] 話者A: で、実際それで。1つなんかその、ま、好きなことに取り組むことの、なんか目標っていうのは何にするってとこですけど、僕らはそれを、えっと、その好きなことお金を稼ぐを1つ目標にしてます。
[00:12:09] 話者B: はい。
[00:12:10] 話者A: なので、結構。えっと。なんか。中学生とかなのに普通に、なんか、その辺のこうよりバイト、その辺のバイトしてる人より全然稼いでる子とかも実はいます。
[00:12:26] 話者B: あ、そうなんですね。
[00:12:28] 話者A: はい。なんかでもそういうことが結構。特に発達に偏りがある子とかって、なんかそういうことを見つけやすくて、実は。
[00:12:38] 話者B: あ、そうなんですね。
[00:12:40] 話者A: はい。どうなんですかね？そのお子さんってのはなんか、その、今なんとなく、えっと、なんとなくプログラミングを始めた理由がなんか、こっちができないからじゃあこっちでみたいな雰囲気ぽかったんですけど。
[00:12:52] 話者B: あ、そうですね。
[00:12:53] 話者A: うん。なんかでも、そういう、そういうの置いといて、そのお子さんがなんか好きなこととかって、なんかあるんですか？
[00:13:00] 話者B: えっと、野球とゲームです。ただ野球は。あの、クラブチームの。
[00:13:09] 話者A: あ、そこが出てきましたね。
[00:13:11] 話者B: はい。に入ってたんですけど、ちょっと、あの、ま、練習することは頑張ってやってたんですけど、やっぱりこの友達との関わりとかが難しくて、結局入れなかったです。うーん。
[00:13:28] 話者A: あ、じゃあ、なんだろう。で、なんだ、でも好きなんだ。
[00:13:31] 話者B: あ、野球は好きで、野球、プロ野球観戦とか見に行ったりは好きですし、ま、やるのも。チームプレーはちょっと経験したことはないんですけど、バッティングとかキャッチボールは好きです。
[00:03:50] 話者A: 運動神経的にはどうなんですか？
[00:13:52] 話者B: あんまり良くないですけど。体を動かすこと自体はそんなに嫌ではない。
[00:14:00] 話者A: ああ、なるほど。あ、なるほど。
[00:14:02] 話者B: 走るのは遅いです。
[00:14:05] 話者A: はい。え、その、なんか。友達との関わりっていうところだと。なんだろう。なんかどういう感じでうまくいってなさそう。ですか？なんか、えっと、例えば行ったことをちょっと違うように捉えちゃうのか。それか、えっと、うまく会話のキャッチボールがテンポよくポンポンとできないのかとか、なんか、人の会話を聞いてないような感じがあるなとか。なんか多分いろいろあったりすると思うんですけど。
[00:14:34] 話者B: なんか自分が体験会の時に見てた感じと。ちょっと1人でぽつんとしているっていう感じで。ま、声かけてくれる子もいますけど。なかなかこうみんなの輪に入っていくのが難しいっていう感じが。あったのと。そうですね。あと、私がこうもし入った時に困いなのか、あの、荷物。荷物の整理と。
[00:15:10] 話者A: うん。
[00:15:10] 話者B: あと、着替えです。
[00:15:12] 話者A: ああ、なるほどね。すごく。
[00:15:14] 話者B: 不器用。
[00:15:16] 話者A: はいはいはい。
[00:15:17] 話者B: で。
[00:15:18] 話者B: 多分、ユニフォームうまく着れないんじゃない。
[00:15:21] 話者A: あ、ボタンつけるとか苦手ですか？
[00:15:23] 話者B: あ、そうですね。
[00:15:24] 話者A: はいはいはいはい。ボタンつける、紐ぎゅっと結ぶとかそういうの苦手ですか？
[00:15:29] 話者B: ベルトをどう通せばいいかとか。
[00:15:32] 話者A: ああ。
[00:15:33] 話者B: そういうことがすごく。あとは靴の紐も結べ。うーん。だからこう、野球やる以前のところで。
[00:15:44] 話者A: ああ。
[00:15:45] 話者A: 多分そう、あの、運動には微細運動と粗大運動っていう風に、ま、細かい運動とでっかい大きめな運動っていうので分かれていて。おそらくお子さんはその微細運動の部分。えっと、野球で、ま、多分、えっと、具体的に指先でグッと。なんか細かくつまむとか通すとか。そういうような細かな作業。これが多分苦手っていうのは自閉傾向にある子苦手な子が実は多いんです。
[00:16:13] 話者B: そうですね。
[00:16:14] 話者A: で。で、多分、一方で、その、バットをぶんっと振るとかっていうのは、えっと、粗大運動っていうことになって。で、多分、その微細運動に比べて粗大運動の方がお子さんはうまくできるなって感覚があって。だから多分そっちの野球とかの。あの、その、でっかいモーションのような。
[00:16:38] 話者B: はい。
[00:16:39] 話者A: 活動が結構好きになりやすいんじゃないかなみたいな。
[00:16:42] 話者B: はい。
[00:16:44] 話者A: うん。ゲームとかはなんかやったりとかしますか？
[00:16:47] 話者B: ゲームはスイッチで今。野球のゲーム。パワプロ。
[00:16:53] 話者A: パワプロ。おお。
[00:16:55] 話者B: のゲームにはまってます。
[00:16:57] 話者A: ほう、ほう、ほう、ほう。なるほどね。あ、じゃあ、ゲームも野球なんだ。
[00:17:02] 話者B: ゲームも今は野球ですね。ま。前はマリオとか。あ、ピクミンとか。
[00:17:11] 話者A: ああ、ピクミン。
[00:17:13] 話者B: やってました。
[00:17:15] 話者B: マイクラ。
[00:17:17] 話者A: ああ、マイクラ。マイクラもやりますか？
[00:17:20] 話者B: はい。やってました。今、なんかハマる、そのゲームしかやらないって感じなので。今はやってるゲームだけです。
[00:17:31] 話者A: なるほど、なるほど。
[00:17:33] 話者B: はい。
[00:17:34] 話者A: そこ。で。ゲームをじゃあ友達とやったりはしないんですか？
[00:17:40] 話者B: うーん、あの、今5年生で5年生になる前、4年生の春休みあたりから。あの、今支援級に通ってるんですけど。情動支援級のお友達と、あの、学校外でも遊ぶことが増えて。うーん、でもなんかゲームの好みがそれぞれ違うのか。友達とは遊んでても一緒にあんまりゲームで遊ぶってことあんまりないのかなあっていう。
[00:18:13] 話者A: うーん。
[00:18:14] 話者B: ことがあります。あの。
[00:18:16] 話者A: 友達と遊ぶは遊ぶんですか？
[00:18:18] 話者B: あ、遊ぶは遊びます。あの、支援級の子。たち。
[00:18:24] 話者B: で、あの、3年生までは普通級にいたんですけど。その頃まではお友達と学校で遊ぶってことはなかったですね。
[00:18:36] 話者A: うーん。
[00:18:36] 話者B: 支援級で1年過ごしてから。こう、あの。その支援級のお友達と遊ぶように今なってきてます。
[00:18:45] 話者A: なるほど。
[00:18:46] 話者B: です。
[00:18:47] 話者A: ああ、少しじゃあコミュニケーションが落ち着いてきたとかかな。
[00:18:52] 話者B: うーん。
[00:18:54] 話者A: そういうのもありそう。なるほど。まあ、じゃあ。じゃあ、えっと。その支援級には特に困った感じなく通ってるんですか？
[00:19:05] 話者B: うーん、そうですね。ちょっと1年目、今支援級2年目なんですけど。1年目は、ま、担任変わってないんですけど。あの、その担任の先生とのちょっとこう意思疎通がうまくいかない。
[00:19:22] 話者A: うん。
[00:19:23] 話者B: ことで。ちょっと行きたくないとか。うーん、そういうことはありましたけど。5年生になってからは。
[00:19:33] 話者B: うん、割と。こう、家に言ってる前に何かこうつまづきがなければ、学校には行ってます。
[00:19:41] 話者A: うーん。
[00:19:43] 話者B: 例えばこう自分が、あの、家を出たかった時間に出れなかったってなるとちょっと気持ち崩してしまって。
[00:19:51] 話者A: ああ、なるほど。
[00:19:52] 話者B: ちょっとおくぐまで投稿できないとか。は、あの、未だにあるんですけど。ま、それで、あの、欠席するっていうことは今のところ5年生になってからは無いです。
[00:20:07] 話者A: うーん。
[00:20:08] 話者B: はい。
[00:20:09] 話者A: ああ、じゃあ。どっちかっていうと少しその。えっと、行かない無理みたいになるような感じはちょっと落ち着いてきている。
[00:20:21] 話者B: そうですね。今、あんまりそういったことは無いです。
[00:20:25] 話者A: うんうんうん。
[00:20:26] 話者B: 学校が原因で。行かないってことはないです。家。
[00:20:30] 話者A: ああ。
[00:20:31] 話者B: とか、あの、こう準備うまくできなかったとか。
[00:20:34] 話者A: はあ、はあ、はあ、はあ。
[00:20:35] 話者B: そっちではちょっと気持ち崩すことあるんですけど、学校自体が嫌だから行かないってことはないです。
[00:20:42] 話者A: うーん。
[00:20:43] 話者B: はい。クラスのお友達との関係もすごくいいみたいで。
[00:20:48] 話者A: クラスの子と仲良くなったきっかけみたいなのわかりますか？なんかちょっと他のところだとあんまりそれが生じなかったけど、そこでは生じたじゃないですか。結構そういう、えっと、他ではなかったけど、そこではなったことっていうのには色々と成長のヒントがありまして。
[00:21:07] 話者B: うん。
[00:21:08] 話者A: はい。
[00:21:09] 話者B: うーん。
[00:21:14] 話者B: やっぱり、なんか、あの、多分こう普通の通常級にいた時は。自分だけができないような状況が、あの、か強くあったとは思うんですけど。支援級に行って、ま、それぞれ、あの、個々のペースで。生活できるっていうところに、もしかしたらこう安心。
[00:21:41] 話者A: なるほどね。だから多分ちょっとあれですよね。えっと、教室とかでの、その、はい、みんなで次の場所に移動しましょうみたいな活動を切り替えて、バッと行くような作業が多分苦手なんですよ、多分すごく。
[00:21:57] 話者B: あ、そうですね。
[00:21:58] 話者A: ああ、見通。
[00:21:58] 話者B: 行かないとちょっと。あの。柔軟に対応することは無理です。
[00:22:05] 話者A: そうですね。で、多分そこが、なんか、なんかなんか、ないがしろになっちゃう、配慮されない環境になるとその子、お子さんは入れなくなりますね、その場所に。
[00:22:17] 話者B: はい。
[00:22:18] 話者A: はい。逆に言うとそこさえあれば、なんかちょっと大丈夫そうな気がしてった、来た、今聞いてたら。
[00:22:24] 話者B: そうですね。
[00:22:25] 話者A: やり方とかよりもなんか、急にバッと「言う」とか、なんか「はい、みんな、みんな」みたいな風にするとしてとかっていうので、一斉指示。一斉指示が、一斉指示での行動をしなきゃいけない場面。これが苦手なんですよ、きっと。
[00:22:42] 話者B: あ、そう、そうですね。
[00:22:44] 話者A: そこが、その場面が生じた時に行きたくねえもセットでくっつきやすいですね、どうやら。
[00:22:50] 話者B: はい。
[00:22:52] 話者A: オッケーです。なんとなく。あの、人となりが見えてきました。
[00:22:57] 話者B: うん。
[00:22:59] 話者A: えーっと、じゃあ、そうすると、ま、でも。ま、ちなみにあの、うちではその一斉指示、あの、みんなそれぞれ別のことやってるんで、あの。あの、一斉指示とかないです、うちは、ちなみに。
[00:23:13] 話者B: えっと、レッスン、日次ってどんな感じなんですか？こうきまる。
[00:23:20] 話者A: はい。一応今、ちょっとですね、あの、僕たちあの、えっと、僕もあの元々あの、実はあの、なんかカウンセラーとかもやりつつエンジニアとかもやりつつ学校の先生とかもやってまして。あ、僕の自己紹介してなかったですね。
[00:23:36] 話者B: はい。
[00:23:36] 話者A: ちょっと簡単にしますね。すいません、なんかいつもなんかガーっと頭がぐるぐる回ってまして、ちょっと。
[00:23:43] 話者B: はい。
[00:23:44] 話者A: あ、高崎翔太と申しまして、なんか元々、えっと、僕はなんか、えっと、心理とかを大学院とかまでやってたようなタイプの人で。それで、あの、臨床心理士とかっていうようなカウンセラーの資格とかも持ってたりします。
[00:23:59] 話者B: はい。
[00:23:59] 話者A: で、元々それこそその東京にいた時は、なんか、えっと、リタリコっていう会社に行って、そこでなんか発達障害の子とかと関わるみたいなことをやってまして。ま、でも。なんかちょっとその中で。あの、やっぱりカウンセリングの相手が、あの、自閉症の子が多かったんですけど。なかなかカウンセリングって自閉症と相性悪くてですね。
[00:24:27] 話者B: うん。
[00:24:28] 話者A: あの、自閉症の子ってあんまり自分から喋らないじゃないですか。
[00:24:32] 話者B: うん。
[00:24:33] 話者A: で、カウンセリングってあの、喋られた言葉を元に分析して返すっていう作業なので。喋ってくれないと何もなんないんですよ。
[00:24:41] 話者B: ああ。
[00:24:42] 話者A: ま、そんなような感じになって、あ、ちょっと。あの、そういう子たちと関わるのに、ま、僕、あの、臨床心理士とか心理学やってたんでカウンセリングの勉強ばっかりしてたんですけど。あの、あ、カウンセリングあんまり使えないなあってなって。あの、自閉症の子たちに、君たちは何をやりたいの？っての聞いてみたら結構ゲームとかを。ゲームとかって話が出てきて、でもゲームをどっちかっていうとやりたいよりも作りたいとかの話が多く出てきて。そういうので僕、あの、プログラミングとかを今度始めて。それで子供たちとゲームとかを作るようになってったら、結構、なんか。子供たちがすごい。いい感じの成長したんですよ。ま。いっぱい色んな事例はありましたけど。ま、なんかすごい。それこそ自閉症の子がすごくよく喋るようになる、とかそういうことがよく起こるんですよ。
[00:25:33] 話者B: はい。
[00:25:35] 話者A: で、ま、そういうような。ことをしてるうちに、ま、ちょっと色々あって秋田県に移住してきたんですけど。ま、それでそこからもそういう子供たちとゲームを作ったりとか色々するっていう活動を結構してまして。で、そういうことをしてるうちに、なんか学校とかに呼ばれて学校の先生とかをする事とかにもなって。で、今ちょっとその学校の。えっと、その高校で、えっと、先生をしてるんですけど、そこの高校での生徒たちと開いたのがこの塾なんですよ。
[00:26:11] 話者B: あ、そうなんですか。
[00:26:13] 話者A: はい。
[00:26:14] 話者B: 学生も関わってるってことですか？
[00:26:17] 話者A: はい。関わってるというかメインです。
[00:26:24] 話者B: ああ。
[00:26:25] 話者A: あの、経営陣です。
[00:26:27] 話者B: はい。
[00:26:27] 話者A: あ、なので、えっと。そう。あ、っていうのもあって、ちょっとあの、授業の時間が、あの、その子たちが、あの、高校の時にやってるんですけど、今、あの、大学生とかになってるんで。あの、その彼らの授業の都合でちょっと時間割が変わるっていうのがですね。
[00:26:47] 話者B: はい。
[00:26:47] 話者A: あの、今は一応、あの、月曜日と水曜日の5時からやってます。
[00:26:53] 話者B: 月、水。
[00:26:56] 話者A: で。水曜日の方が今人が、月曜日はなんかマイクラをメインでやっていて。マイクラやりながらなんか自分のやりたいこと考えるみたいな感じなんですけど。えっと。水曜日の方はもうちょっとフリーに、特にマイクラとかもやってなく何やるって考えてるフリーな時間。なんか聞いた感じだと、で、今水曜日の方が人数も少ないので。もしかしたら水曜日のそのなんか、ふわっとしてるところの方が、あの、お子さんに合わせた形でやりやすいかなとは思いましたね。
[00:27:36] 話者B: わかりました。
[00:27:38] 話者B: ちょっと、あの、私の都合で申し訳ないんですけど、水曜日仕事してて、あの。子供もその時間、あの、放課後デイサービスに行って。
[00:27:51] 話者A: ああ、そうなんですね。
[00:27:52] 話者B: ちょっと水曜日は難しいかなと。月曜日は大丈夫。
[00:27:57] 話者A: あ、わかりました。月曜日でも。まあ、マイクラやってもいいし、他のやってもいいし、ま、ちょっと様子見ながらっていう感じで。で。あれですね。なので。そう。だから僕は結構実際その。クラークの子たちとかもなんか、あ、僕その教えてる学校秋田クラークっていうところなんですけど。
[00:28:21] 話者B: はい。
[00:28:22] 話者A: そこ。でなんか、それこそ小学校、中学校は、あの、支援級で過ごしていて。高校はクラークか支援学校かどっちかですってのを言われて。
[00:28:36] 話者B: はい。
[00:28:37] 話者A: クラーク来ましたって子が結構多いんですよ、クラークは。
[00:28:40] 話者B: あ、そうなんですね。
[00:28:42] 話者A: はい。で、そ、そういう子たちがでも、なんか僕はなんかそこで。うーん、なんかそれでじゃあ。じゃあとりあえず工場とかで働くとかっていうのもなあみたいなのもなんかあんまり将来的に面白い話ではないじゃないですか。
[00:28:56] 話者B: まあ。
[00:28:58] 話者B: こちらとしては、あ、働けるところ。
[00:29:02] 話者A: あるならいいって。
[00:29:03] 話者B: ああ。
[00:29:04] 話者A: っていう感じですか？
[00:29:04] 話者B: ああ。
[00:29:05] 話者A: そうですか。
[00:29:06] 話者B: なので。
[00:29:07] 話者A: 僕は、僕はなんか子供は、子供たちは自分の好き、あ、僕は自分自身が自分の好きなことしか仕事にはしないっていうタイプなんで。
[00:29:17] 話者B: はい。
[00:29:18] 話者A: なんか、自分の教え子たちもそうであってほしいんですよ。
[00:29:21] 話者B: ああ。
[00:29:22] 話者A: なあって。
[00:29:23] 話者B: そうですね。ね、あの、こう仕事見つけて生きていければいいですけど、やっぱり、あの、先先生からもこうご指摘あったようにこうすごく不器用。あの、その微細運動が苦手っていうので。
[00:29:42] 話者A: ボタンつけれないし、針に糸通せませんね。
[00:29:45] 話者B: そうですね。あの。
[00:29:47] 話者A: ああ。
[00:29:48] 話者A: でも問題ないです。
[00:29:49] 話者B: 支援学校に行きたいって。い、それ、それはあの、去年まで同じクラスにいた子が。流して支援学校に行ったから。
[00:30:00] 話者A: うん。
[00:30:00] 話者B: いうと思うんですけど。こう、支援学校に行って、こう、息子にできることがあるのかっていうのが。
[00:30:08] 話者A: ああ、そうですね。
[00:30:09] 話者B: すごく。
[00:30:10] 話者A: 確かに支援学校の作業って意外と手先の器用さも止めますからね。
[00:30:15] 話者B: な、職業訓練。
[00:30:17] 話者A: あの、割とシールをペタペタ綺麗に貼る、まっすぐ貼るとか意外と難しいんですよ、あれ。
[00:30:23] 話者B: うーん。
[00:30:24] 話者A: うん。
[00:30:25] 話者B: なので、なんとかこうプログラミング続けてほしいっていう思いが。
[00:30:30] 話者A: あ、で。その上で、えっと、もう1個やらせるべきことが1個ありますね。
[00:30:36] 話者B: はい。
[00:30:37] 話者A: じゃあAIですね。
[00:30:40] 話者A: あの、今は、あの、プログラミングを。えっと、例えばIT企業とか入ってコードを1からペチペチ、あ、じゃあこういうシステム作っといてなんて言って、あの、プログラミングでコードをパパパパパって書き始めたら怒られます。
[00:30:57] 話者B: あ、そうなんですか。
[00:31:00] 話者A: 話しになんねえって言われます、多分。
[00:31:03] 話者A: えっと、AIぐらいは使えって多分言われます、まずは。
[00:31:07] 話者B: はい。
[00:31:07] 話者A: えっと。っていうぐらいに、えっと、プログラミングとかITの業界ではAIを使えることが必須となっていて。で、これ自体はでも意外と。あの、子供とか。発達にちょっと偏りのある子とかが意外とAIは使いこなせたりします。
[00:31:30] 話者B: ああ。
[00:31:32] 話者A: で、まあ、こういうところでAIを使ってシステムを作る、ゲームを作る、とかっていう風なことをやってくと、あの、すごく将来的に、あの、使えるスキルとして自分の中に残ると思いますね。
[00:31:49] 話者B: うん。
[00:31:51] 話者A: ま、あの、なのでちょっともしかしたらあの、少し通ってもらって、あ、ちょっと色々なんか作ることが本格的になってきたなあってなったら、あの、AIとかを別途契約とかを、あの、してもらうことをお願いすることもこちらからはあります。
[00:32:09] 話者B: ああ。
[00:32:10] 話者A: あと、お子さんてパソコン持ってますか？
