[00:02:59] よろしくお願いします。
[03:29:00] で、それを使ってみて、宿題でみんな色々GitHub入れてみて試してみて、きっと壁にぶつかるから、それを今日あの、高崎さんが来るので、色々えー、分からないこと聞きまくりましょう。そんなニュアンスでしたね。
[03:34:00] うん。
[03:36:00] うん。
[03:43:00] そうですね。なんか、今回のイメージとしては、聞いてくれる人がどんどんいれば、喋るだけなんで、全然大丈夫なんですけど。しいんってなったら多分そんな感じ、困ることがなくなるっていう。
[03:54:00] はい。
[03:55:00] 全然。
[03:56:00] うん。あ、でこの辺にプロンプトとかも置いてあって。
[04:00:00] うん。
[04:02:00] これをみんなコピペして、あの、で、この、か、そのAI化、業務棚卸し、AI化テーマ確定して、それに合うGitHub探して、安全審査、え、で導入して、軽く1回動かして、11日までにどんな課題宿題をやるかって決めて、あとは11日きてねって言う感じで。だいたいみんなこれを、だからGitHubまではつないで入れてみた。けど、どう活用するかまだ分かってない感じですね。
[04:05:00] うん。
[04:26:00] うん。
[04:29:00] で、出てきてたのが、え、やりたいことランキングがSNS発信の自動化仕組化。発信をとにかく楽にしたい。業務効率化。あとAIアシスタント化って形なんで。で、結局何、その目的は何ですかって聞いたら、時間、やっぱ自分の時間が欲しいっていうのが、え、多かったですね。
[04:35:00] はい。
[04:49:00] はい。
[04:50:00] 時間、やっぱ発信に時間かかってる。なんか、アシュラアンケートとちょっとかぶりますよね。
[04:54:00] うん。
[04:55:00] SNS動画とかの、あの、ニーズと多分一緒で。
[04:56:00] そうですね、はい。
[04:58:00] 多分、結局のところ、みんながここまでしか思いつかないんでしょうね。
[05:03:00] きっとね。
[05:04:00] うん。はい。
[05:05:00] 僕がそう思うんですよ。
[05:07:00] 顕在化してるやつしか出てこないから。顕在化してるしか出てない。
[05:09:00] うん。
[05:10:00] ま、普段やってることを、じゃあ何がじゃあ一番手間かかるかな、たら、やっぱ情報発信になるんでってことだとおもうんですよ。
[05:17:00] そうですよね。
[05:18:00] そうそう、あ、そう、これも書いてあったね。
[05:20:00] コンテンツ。
[05:21:00] で、これを、ね。
[05:22:00] うん。
[05:23:00] どうなんですかね。
[05:26:00] SNS、僕AIでやんない方がいいと思ってる。
[05:31:00] うーん。
[05:31:00] いや、AI、やっぱ生でやるべきですね、あれはね。
[05:36:00] なんか、ちょっと、なんか途中なので、なんかね。AIで途中まで作、なんかその、なんだろう。結局でもAIでじっくり結構丁寧に作るっていうのに、最終結論なると思うんすよね。やっぱ。
[05:53:00] なりますね。やっぱ手でこねないとね。あと自分の感覚もつかめないっすよね。だって、見てくださってる人たちとのコミュニケーションするためのやってるわけなんで。
[05:58:00] うん。
[06:03:00] そうなんすよね。
[06:05:00] に入らないで自動的にやってうまくいくかって、なかなか、たまたまうまくいくかもしれないけど。
[06:10:00] だからなんか、どっちかっていうと、AIを使って、今よりも投稿レベルを上げる。
[06:18:00] うん。
[06:18:00] そういうような。
[06:21:00] あ、そう、そっちの方っすね。
[06:23:00] そっちだと思うんすよね。
[06:24:00] 質を高める。
[06:25:00] 質を高めるです。
[06:26:00] 量産はその後ですからね。
[06:27:00] ただ、ちょっと、量産、なんか量産どうなんだろうな。でも、結局できないんじゃ。
[06:35:00] 僕もそう思う。バズる量産はできない。
[06:37:00] 量産。
[06:39:00] 量産はとして、いるの？って話だ、そもそもね。
[06:42:00] うん。
[06:44:00] 確かに。
[06:44:00] いるそのぐらいの数は、いらないってことなんすよね、広告に多分。
[06:50:00] で、インフルエンサーになりたいわけじゃないでしょって。皆さん自分の実業ですよねって話だから。むしろバズっちゃってんですよね、みたいなね。
[06:57:00] うん。
[06:57:00] ですよね。だからなんかね、ちょっとそういうところで、実は、あの、AIと物を作る事っていうことを、なんか僕はあれ、なんか結構何も見ずに考えるっていうのも結構必要だったり最近するなあってちょっと持ってて。
[07:06:00] うん。
[07:13:00] いや、ほんとですね。
[07:14:00] そう。ま、でも、僕はいつ、こうやって。
[07:16:00] うん。
[07:17:00] とはいえ、なんか投稿を作ってくロジックの組み方はあると思うのでね。それをやってければいいとは思うんですけど。
[07:22:00] うん。
[07:24:00] うーん。
[07:25:00] だからリサーチをAIにやらせるとか。
[07:29:00] うん。
[07:29:00] で、その、それでこねて作って出して行って。あとま、それをさらに動画にするとか。
[07:33:00] 大丈夫です。じゃあ、それだけ。
[07:37:00] 動画編集させるとか。そういう作業のお手伝いで時間を作るってのはいいですよね。
[07:41:00] うん、そうですね。
[07:42:00] はい。
[07:44:00] ま、実際僕か、うん。
[07:45:00] が結局は。
[07:47:00] スライドとかを作成したりとか自動化してて、で、スライド作成の自動化ってあれ全然早くないんすよ。
[07:55:00] うんうんうん。
[07:55:00] あれ、20、2、30枚ぐらいのスライドを作るんで、時間で言うと多分、一発走らせるのに2時間3時間かかるんすよ、全然。
[08:05:00] うんうんうんうん。
[08:06:00] ただ、あの、その2時間3時間かかるんですけど、手はつけなくていいんすよ。
[08:13:00] うんうんうん。
[08:15:00] そうすると、まあ、空き時間はできて、できてるよねっていう話になりますよね。
[08:19:00] うんうんうんうんうん。
[08:21:00] 結局AI社員とか僕無理じゃねえかなとか思ってますけど。
[08:24:00] 無理無理。なんかね、えっとね、AI社員を人間らしくする社員が必要。
[08:33:00] うん。
[08:34:00] 結局なんで、あの、なんで、業務を少ない人数でも回すってことは可能かなと思うんですよ。
[08:41:00] そうそうそうそう。
[08:42:00] その今まで。
[08:43:00] そりゃあ無理だ。
[08:43:00] そうです。3人でやってた、とか、3人分しか出来なかったけど、6人分にするぐらいは出来ると思うんですよ。
[08:49:00] なるほど。
[08:50:00] そこは可能かなと思いますけど。
[08:51:00] 結局、な、あの、今僕らもさ、僕がめっちゃ自動化したやつの残りカスをマサムネとかが全部やってるわけじゃない？結局。
[08:58:00] はいはい。
[08:59:00] だから、人が必要。
[09:00:00] うん。
[09:00:00] 人。
[09:01:00] 結局ね、そのAI分、AIでなんか自動化した分、そこに、そこをちゃんと整える人の配置も普通に必要っていうことが分からせられるっていう。
[09:14:00] うん。
[09:14:00] この前連君の会に来て、連君もそのXのやり方を教えてもらったんだけど。結局この、ね、50万インプレッションぐらいこう出るとか。こういうのもどうやってやってるかって結局その、やっぱ元の、元ネタはやっぱ自分で作り込んでるものがあって。で、それをAIが構成組み合わせしてやったりとかしてるし。もちろんこの動画とかも。
[09:29:00] うん。
[09:35:00] 台本はAIが作ってるけど自分で喋ったりとか。やっぱAIを使って質を高める方向。
[09:39:00] うん。
[09:41:00] だから。
[09:42:00] 量産はしてない。全然。
[09:44:00] うん。
[09:45:00] 作り込みまくってる、逆に、質を。
[09:47:00] うんうん。
[09:47:00] でも、うん。
[09:48:00] だからバズったりって言うか。
[09:49:00] うん。
[09:50:00] だから、えっと、今まで動画編集とか、その違うスキルや知識がいったのが全部共通化できるって。スキルが共通化出来るってのは、でかい。
[09:56:00] うん。
[09:58:00] かもしれない。
[09:58:00] だからそうなんだよね。だから、素人おばちゃんとかでも、えーと、クオリティの高い投稿、今までデザイナーが必要だったようなクオリティの高い投稿はできうるよっていう。
[10:00:00] うん。
[10:11:00] うん。
[10:12:00] 話。
[10:13:00] ただそれって、あなたらしい、らしさ宿ってますかって言ったら、多分消えてくるよねって言うなんか。
[10:17:00] うん。
[10:18:00] だから結局その人らしさを出した上でってなるとっていう。ま、だ、まあ今日そんな深い話しないと思うんですけど。こういうテクニカルにこれやったら自動でうまく行きますよは、あるけども、本質ここだよねをちゃんと伝えてあげたいですね。なんかね。
[10:22:00] うん。
[10:33:00] だってなんか、あの、ちょっと、あの、AIで微妙に整形された自分とかが、出るじゃないですか。
[10:39:00] うんうん。
[10:41:00] あの。
[10:42:00] これが後輩たちに不評なんですけど。
[10:45:00] うんうんうん。
[10:47:00] いや、それあるね。
[10:48:00] 高崎さんなんか最近顔キモくなってませんみたいなこと言ってる。
[10:52:00] うん。
[10:53:00] だんだん、だんだん変えてったんやから。
[10:55:00] こんなこと言っていいのか、あれなんだけど、みたいな。
[10:57:00] うんうん。
[10:59:00] あ、で、ちなみにGitHubでみんながなんか、クロドコード対話出てきたのが、あの、ウィスパー入れましょう、アセンブリーAI入れましょうとか。ね、こういうなんか、Googleと連携しましょうとか。で、この辺も入れたりしてたんですけど。ま、N8とかDFIとかも出てきたんで。ま、これ、逆にこれなくても、あの、クロドコードがそれやってくれるんで別に使わなくてもいいですよっていうぐらいは言ったけど。ま、一旦その、そんな時間なかったんでそれぐらいで終わって、ま、他にもいろんな、他の人たちもこのGitHubのやつ使ったら、あの、よかったよとかっていうのを、えーと、紹介し合おうかとか。ま、それこそアシュラに入れば高崎さんのGitHubのやつも使えるって話もちょっと伏線で入れつつ。ま、今日もう、あの、ちなみに僕の作ってるGitHubのこれ、ここで使えますよとか。ま、これをアシュラに入ればそのサポートもしますよみたいなチラッと宣伝ぐらいは入れてるかなって思ってるんですけど。
[11:07:00] はいはい。
[11:52:00] あざたいです。
[11:53:00] はい。
[11:55:00] ま、ね、それがあるから今日も協力いただいてるってのもあると思う。
[11:59:00] うん。
[12:00:00] はい。ま、ただそんなマニアックな人は当然いなかったので。ま、今日は本当に始まって。
[12:06:00] 結構でも、僕のそこでの役割は、割とこの、あの、N、N、N8NとかDFAIとかってちょっと、えっと、遠回りになりそうなミスリードがあるじゃないですか。
[12:17:00] うん。
[12:18:00] 多分そういうところを、あ、これミスリードですねって。
[12:22:00] 言う人だ、って思ってます。なんとなく。
[12:26:00] で、あの、こっちです、こっちが正しい道です、って。
[12:30:00] なんか。
[12:31:00] これ大事ですね。
[12:32:00] うん。
[12:33:00] でも結構、多分一番結局AI使える人使えない人の、違い、結局そこだと思ってます。
[12:39:00] うんうん。
[12:41:00] うんうんうんうん。
[12:43:00] その、ベースのIT力っていうの、IT知識なのかもしれないね、結局は。
[12:48:00] うんうん。
[12:50:00] うん。
[12:51:00] 桁数が打てますからね。
[12:52:00] そうそうそうそう。あと最新、あの、AIの知識か。
[12:57:00] うんうん。
[12:57:00] うん。結局だって、クローズドコードが今、あの、えっと、コンテキストエンジニアリングバーって一杯できるよってことさえ知っていれば、N8Nは不要だなってことは分かるわけじゃない？
[13:08:00] うんうん。
[13:08:00] そういうようなことが結局。
[13:12:00] うん。
[13:12:00] 違いなんだろうな。でもそこをすらすら、当たり前のように僕らは行くから、人は分かんなくなるんだろうなって。
[13:16:00] うんうんうんうんうん。
[13:20:00] 多分その前提条件で僕らがフィルターかかってる部分が多分向こうに分からないんだよね。
[13:24:00] だからこっちもこっちで分かんないよね。え、それ分かんねえのってなるもんね。
[13:28:00] うん。
[13:30:00] いやー、それ、そこはもうコミュニケーションになっちゃうよね。
[13:33:00] もう僕は寄り添えないよ。あんまり分かんない人に。
[13:35:00] うん。
[13:39:00] うん。
[13:40:00] ま、で、あと、大筋としては、自分たちの課題解決を通して、自分の業務改善とかが、楽にできましたっていうのをどんどん他の、同じ人たちに教えていきましょう、発信していきましょう。で、またコミュニケーションしていきましょう。で、最終的にそれが同業コンサルにつながるとか、その作ったツールを売るとか。そういうビジネスにも発展する道があるんだよ。しかも、その、めちゃくちゃすごいツールたちは実はGitHubに落ちてたりもするので。それをカスタマイズして作ってもいいし。ま、そのツールを売ることできなくても、そのサポートで稼ぐとかっていう。ま、結局だから自分たちの悩み課題を、とにかく目の前のやつを、手っ取り早くAIで解決して、解決したやり方とかツールを言ってくると、お勧めですよっていうのを全体としてはお伝えしてるって感じです。
[13:44:00] うん。
[13:58:00] うん。
[14:25:00] 結構なんかコミュニティとかの中で、あ、これをやったらこんな仕事が楽になりました報告みたいなのをしてもなって、それでそれがなんかうまく同業の人とかに、あ、いいですね、みたいになって、なんか同業同士でお互いにそのいいツールを開発し合って使い合うみたいになってくるといい、なんか活性化してきそう。
[14:38:00] うんうん。
[14:40:00] うん。
[14:41:00] うんうんうん。
[14:51:00] そう。
[14:52:00] そう、いいっすね。
[14:53:00] で、それをなんかアシュラの方でもやりたい、そういうのを。
[14:56:00] うん。
[14:57:00] そう。だから、最終日は、えー、発表会みたいなのやるんですけど。ま、この、ここは別に出なくて大丈夫なやつですけど。そこはなんかみんなが実際に使ってよかったGitHubとか、自分で作ったスキルをシェアするとか、交換するとかっていう会をやるっていうイメージになったので。
[15:02:00] うん。
[15:14:00] うん。
[15:14:00] 多分そこで14日終わっちゃうんで。
[15:16:00] したいですね、けど。
[15:18:00] あー。
[15:19:00] 是非お願いします。
[15:20:00] 先生の発表。
[15:21:00] これ、このツールめっちゃ良くて、って言って、あ、僕が作ったんですって言いたい。
[15:27:00] うん。
[15:29:00] これちょっと、出して、書いてください。そんでドヤツって。
[15:33:00] ドヤツ。
[15:33:00] これやばくない。
[15:34:00] ただ。
[15:35:00] これ世界の。
[15:36:00] ただドヤりに。
[15:37:00] こんなのが無料で試せるらしいんだけど、みたいな。なんとこちらで。
[15:41:00] うん。
[15:41:00] いいっすよ、それ。
[15:42:00] え、それっていつ？
[15:43:00] ただでも価値が分かるじゃないですか。
[15:45:00] はい。
[15:45:00] このやった人たちはね。
[15:46:00] うん。
[15:47:00] え、最終日いつですか？
[15:49:00] あ、最終日。ちょっと待ってください、カレンダー。あ、ちょっと待って、さっきのグループに行けば。
[15:52:00] はい。
[15:54:00] あ、これ。
[15:55:00] いや、でも、結局自作アプリとかはまだまだ先の気がするんですよね、実用化できるって。
[15:59:00] うん。
[16:00:00] 結局エラーとかに対応が出るので。
[16:03:00] うん。
[16:04:00] あと、キャッシュは難しいすよね。
[16:06:00] うーん。
[16:07:00] え、あ、これか。22日月曜日夜20時から。
[16:11:00] お、行けそう。
[16:13:00] お。
[16:14:00] 22。
[16:15:00] あ、ぜひ。
[16:16:00] 22日月曜日ですね。
[16:18:00] この日はヒュウ塾メンバーやばい日。
[16:22:00] あー、やばい日ですね。僕は逆にその夜は出れますけど。
[16:26:00] うん。
[16:27:00] 逆に僕は夜行きたい。
[16:28:00] ボジも来た。
[16:30:00] うん。
[16:31:00] え、学校、学校、え、学校ぶっちします？
[16:34:00] いやあ、ね。でも、高血取れねえな。
[16:37:00] うん。
[16:39:00] いや、やりがく高血取っても結局遅れるのは一緒なので。
[16:43:00] うん。
[16:43:00] もうなんか、ほら。うん、なんか。
[16:46:00] 手があるじゃん、手がある。
[16:48:00] 手が、手がね。
[16:49:00] ちょっと待ってね、なんだっけ。えーと、実践会発表会。
[16:54:00] うん。
[16:54:00] 結構すぐですね。
[16:56:00] ですね。
[16:56:00] そう。すぐ。
[16:58:00] うん。
[16:59:00] ま、20日からなんでね。20日から始まって22日に終わるって。
[17:02:00] うん。
[17:04:00] そっか。
[17:05:00] だから最近毎日やってるってことっすよね。
[17:09:00] うん。
[17:10:00] いや、毎日やってないっす。3日間しかやってないっす。この1、2、3。で間に、なんか、えー、シェア、だから作業会とかをなんか運営チームがやってくれてたのかな、このシェア会、シェアアンド作業会。
[17:21:00] ああ。
[17:22:00] なるほど、なるほど。そういうことか。
[17:24:00] うんうんうん。
[17:25:00] そう。だから、メインで集まるのが3日間だけ。
[17:28:00] うん。
[17:29:00] うんうん。
[17:29:00] 20日には行きますか、僕が。
[17:32:00] 来てよ。
[17:33:00] え、はい。
[17:34:00] なんか。
[17:35:00] え、でもその、披露するものはそんなになかったり。
[17:38:00] 披露してよ。
[17:40:00] えー。
[17:41:00] 作るんじゃ。
[17:43:00] えっと、何、何を披露すればいいんですか。
[17:45:00] 何がいいかな。なんか。
[17:48:00] え、今学校でマジでやろうとしてる、音声を流したらなんかアプリが作られるとか。
[17:53:00] うん。
[17:54:00] そんなもんでいいんだっけ。
[17:56:00] うん。
[17:57:00] 完成途中でも。
[17:58:00] うん、これ、これ、これ送っときます。
[18:00:00] うん。
[18:01:00] ダウンロード。
[18:02:00] 僕がこんなの作ってますけどね、みたいなのでやってよ。
[18:05:00] ああ、分かりました。
[18:06:00] なんか、それ私欲しかったやつです、みたいになるんじゃ。
[18:08:00] えー、タクミ君に個人コンサルもお願いしたい。え、よかったら付き合って下さい。キュン。
[18:15:00] いやあ、それ。
[18:17:00] うん。
[18:17:00] 危ない匂いがする。危ない匂いがしますからね。
[18:20:00] これはね、あのね、ちょっとね、テコモタセかもしんないから相談して。
[18:23:00] はい。
[18:24:00] それ危ない匂いがします、それ。
[18:26:00] ちょっと、要所見るところはね。
[18:28:00] うん。
[18:28:00] それ危ないっすね、それ。
[18:30:00] うん。
[18:31:00] えっと、10何時までですか？10時までですか？
[18:34:00] 10時ぐらいまでですね、多分ね。はい。
[18:36:00] はい。
[18:38:00] あと今スライド送っときます。
[18:40:00] はい、あざっす。
[18:42:00] あ、ありがとうございます。
[18:43:00] なるほどアシュラで送って登録者でない、でないんで。
[18:46:00] あ、だから僕でないんですね、ログインしてるから。
[18:48:00] 素晴らしい。逆に素晴らしいじゃないですか。
[18:50:00] あ、そうなんですよ、そんなんです。あの、ちゃんとやってました。
[18:54:00] うん。
[18:55:00] うん。
[18:57:00] えっと、なんか出てた、あれ、どこだっけ。
[19:01:00] Day1。
[19:03:00] あ、これか。
[19:04:00] 作業会で出た質問。
[19:07:00] 動画の編集自動化。
[19:08:00] あ、もう。
[19:09:00] ああ。待ってました。
[19:10:00] これでもね、動画の編集自動化ちょっとね、あの、えっと、素人には難しい。はっきり言って素人には難しいっす。正直上から目線で言わさせていただきます。
[19:14:00] うん。
[19:22:00] うん。
[19:23:00] ちょっと正直。
[19:24:00] 確か。
[19:24:00] ちょっとハードル高いっすね。
[19:26:00] む、あの。
[19:28:00] うん。
[19:28:00] めっちゃ色々エラー出ます。これを。
[19:31:00] あの、なのでアドビのプレミアプロとかのMCBが出た後ですよね、それは。
[19:36:00] いつか。
[19:36:00] うんうん。
[19:38:00] で、でも。
[19:39:00] あとLINEの自動化。
[19:41:00] 僕のあの、アキュラの奥義を下ろしてもらえれば、あの、多分できると思いますけどね。
[19:47:00] うんうんうん。
[19:49:00] うーん。
[19:50:00] あと、デイレイク9日にやったやつ、そっすね。文字起こししたとか。この辺もいっぱい出てますけど。
[19:55:00] うん。
[19:58:00] GitHubに入れて、自分に、なんか世界最高のGitHubを入れられただけでみんな感動してたんで。
[20:00:00] うんうん。
[20:06:00] すごい。
[20:07:00] なんか、キャリアハンなのにロットの動きが落ちてるんすよって言って、みんなに。
[20:12:00] うん。
[20:13:00] 誰も、ね、ドラクエ分かる人しか反応しなかったんですけど。
[20:16:00] ロトの盾は存在しないんすよ、って。
[20:19:00] 僕、ゼルダしか分かんないっす。
[20:21:00] ロトの盾ね。
[20:23:00] めっちゃありそう。
[20:24:00] ありそうなのにない。
[20:25:00] うん。
[20:27:00] めっちゃありそう。
[20:28:00] そういうドラクエクイズとか。
[20:32:00] あ、ま、じゃあ、こんな感じでだから、今日は本当。いろんな質問。多分流れによって、流れで合わせてもらって。なんか講義するっていうよりは質問を回答してもらえれば全然OKかなと思うんで。
[20:34:00] うん。
[20:41:00] うん。
[20:42:00] あ、すいません。
[20:43:00] 22日は夜の8時ですか？
[20:46:00] 夜8時です。
[20:47:00] さすがにそうざめ。
[20:49:00] うん。
[20:50:00] これも貼っときます。
[20:52:00] 了解です。
[20:58:00] よし。じゃあ、えーと、アシュラですね。アシュラ、アシュラ。
[21:02:00] うん。
[21:02:00] 今日は結構でも、ライブ感な感じにしようかなって思ったんですけど、どうでしょう。
[21:09:00] そうですよね。なんか。
[21:09:00] 講義よりは、うん、実践でどう作ってるか。で、みんながどう作るか。ま、それこそこの、費用を使いこなすかとか。
[21:14:00] うん。
[21:21:00] うん。
[21:21:00] 質疑応答とか。
[21:23:00] そうなんですよ。
[21:24:00] なので、ちょっと例えば、えっと、少し、えっと、少しその、なんか最初っからツールを作るみたいなので、まあ、軽く大枠ができるぐらいまでをやって。
[21:29:00] うんうん。
[21:38:00] うん。
[21:42:00] うん。
[21:43:00] で、その後に今度、秘奥義の中から、あの動画編集をダウン、ホルダーごとダウンロードして。
[21:50:00] うん。
[21:51:00] で、その動画編集のツールを開きつつ、あ、ちょっと僕ここ修正したいんすよね、みたいなこと言って指示を出して修正して。こんな感じでやってくと、あの自分の好きなように動画編集ツール使えますよ。
[22:08:00] うんうんうん。
[22:09:00] だと結構、あ、それでじゃ動画編集ダウンロードしてみようとかって、みんなもやりやすいし。ま、ニーズとしても動画編集が一番多いので。いいかなって言うところと。
[22:15:00] うんうんうん。
[22:21:00] 確かに、確かに。
[22:22:00] で、あとその動画編集以外のところの他のやつは、最初のその言ってる作り方で割と共通する部分があるので、拾えるんじゃないかなって言う感じですね。
[22:25:00] うん。
[22:33:00] うんうん。
[22:34:00] そうですよね。環境構築して、あとは入れて動かす。もう、とにかくみんな一旦入れて動かして、あの、テストで作ってみると、あの、あ、こんなのできる、あんなのできる、あ、これはこう使うんだって多分分かるからね。
[22:38:00] うんうん。
[22:42:00] うん。
[22:47:00] ですね。
[22:48:00] なんか、ま、それを、まあなかなか腰が重たい人はこのまさにこのグループの時間のちゅうにもやってもらいながらとか。あるいはさっきのね、要望によって実践会、作業会みたいなのをやるので、その時に一緒にやりましょうとか。
[22:50:00] うん。
[23:01:00] あ、でなんか僕、グルコンの時はあれかなと思って、どなたかに、なんか、これ作って欲しいものある人、あの、最初に行った人にのやつ今作りますよ。そんであげますって言おうと。
[23:03:00] うんうん。
[23:08:00] うん。
[23:13:00] ああ、それいいっすね。
[23:15:00] それめちゃくちゃいいっすね。
[23:17:00] それでいって。さすがにそしたら急いだあげる人1人ぐらい出てきますよね。
[23:18:00] うんうん。
[23:23:00] うんうんうん。
[23:25:00] いるかもしれない、それは。
[23:27:00] でもそれやって、一時チャレンて僕も作ってみます、みたいなんでだだだだって作って。
[23:36:00] こんな感じでやってくとうまくいくかもしれません。まあ、最初から、あ、でも最初からそれでいいのか。
[23:42:00] うんうんうん。
[23:43:00] うん。
[23:44:00] 最初からもうそのモードで2時間やって、みんなも手動かしながらやってもらう。
[23:49:00] それで、あの、1個作るもの決めて僕は基本作り進めながら、でもどうせあの指示出して待ちの合いで暇な時間かなり多いんで。そういう時に質問答えながらって感じで決めてく。
[23:53:00] うんうん。
[24:02:00] うんうん。
[24:03:00] で、特にこのアシュラに入ってるワークフロービルダー、そして、え、この秘奥義のこのメインコンテンツを多分消化しきれてない気がするので。
[24:14:00] うんうんうん。
[24:14:00] なので多分、あれっすよね。最初に、あの、えっと、要望聞きます。で、その要望をワークフロービルダーに入力、出させるプロンプトをコピーする、ツール作ります、ですよね。
[24:17:00] うんうん。
[24:28:00] 最高。
[24:29:00] そしたらみんなもそれ真似てできるし。
[24:31:00] はい。
[24:32:00] うん。で、おのおのでその自分独自のツールをじゃあ作ってみようもできるし。
[24:36:00] 秘奥義も同じように使えばいいっていうね。
[24:38:00] うんうんうん。
[24:40:00] できそう。
[24:42:00] そうするとみんな土台に乗るから一旦。
[24:44:00] うんうん。
[24:45:00] この会の意義というか意味というか、価値が高まる気がしますよね。
[24:49:00] うんうん。
[24:51:00] いや、いいですね。
[24:52:00] で、本当このアシュラを、えー、とりあえず100人ぐらいにはまずしたいなと思ってたけど。離脱も。いっぱい来ると思うんですけど。
[24:55:00] うんうんうん。
[25:00:00] はい。
[25:00:00] 無視して、無視してガンガンスキップ進んでいけば多分。いい人は100人ぐらい集まってくるから。
[25:03:00] うん。
[25:04:00] 結構。
[25:05:00] ああ、いいっすね。
[25:06:00] うんうん。
[25:06:00] 最高っすね。
[25:07:00] でも、追わないんで。
[25:09:00] うん。
[25:10:00] ニッチ産業。
[25:12:00] そう。
[25:13:00] で、あとはそういう業界特化の悩み課題とか、その人の会社専用の悩み課題を解決する、解決するツールとか作って生きながら、じゃあ、じゃあこれちょっと一緒にジョイントベンチャーして売っていきましょうかとか。それこそこの前の個別コンサルじゃないんですけど。あのパターンにはまってくる人も出てくると思うんで。
[25:21:00] うん。
[25:29:00] うん。
[25:30:00] ま、ちそ僕は全然、あの見てるだけで特に触れてないんですけど。まだ出番じゃないかなと思ってて。
[25:35:00] ま、なんかとりあえず、ま、でもなんか実は、ほぼできた。
[25:39:00] うん。
[25:42:00] あ、や。
[25:43:00] 早。
[25:44:00] 早い。
[25:45:00] それを調整でエラー対処で、ああ、エラー出ましたねみたいなブルブルブルブルブル。
[25:48:00] うんうん。
[25:50:00] でもね。
[25:52:00] そんなに、あれ、学習させないでも。
[25:55:00] うん。
[25:56:00] なんか完成点とかの取得とかは、何も学習しないでできたんで。
[26:02:00] うんうん。
