[00:03:02] そういう話になって。うん。
[02:51:30] ああ。ああ。
[02:53:23] でもそれでなんか普通にあのカフェ、カフェでパン食べるより安かったんすけど焼肉の方が。
[03:01:29] ははは。
[03:02:19] 焼肉カフェでパン食べるのがそのぐらい金額いっちゃうってこと。
[03:05:07] はい。
[03:05:81] やばいっすよ。
[03:07:37] でもだから焼肉安っと思って。
[03:10:39] はい。
[03:10:76] あれ？高崎さんどこ行ってたんでしたっけ、国。
[03:12:87] えっと、ベルギーとオランダです。
[03:15:10] ベルギーとオランダ。ああ。
[03:17:15] じゃもうユーロ、円とユーロのあの為替を見てるとびっくりするね。
[03:21:05] はい。
[03:21:39] はあ、みたいな。
[03:22:64] 感じでしたけど。
[03:23:49] 本当っすね。
[03:24:91] ね。
[03:25:70] それこそ堀さんのロサンゼルス、ロスを円安で、え、向こうで多分。
[03:30:68] え、本当になっすかね？
[03:31:85] ロサンゼルスで朝ごはん食べたら5000円かかるよって言われたけど本当なんすかね？
[03:35:71] ははは。
[03:36:21] 多分そんぐらいかかりますよね。普通に。
[03:39:35] いやあ。
[03:40:02] 全然そんぐらい行くなと思いました。
[03:43:53] うんうん。
[03:44:03] いや、僕は貧乏人ですね、まだまだね。
[03:46:17] うん。
[03:46:58] 貧乏人だなって思った。
[03:49:33] ああ。
[03:49:56] はい。
[03:50:56] だってね、スーパーで卵をね買う時に最近200円下回らない。100円台も出てこないなと思うけど海外見たら1000円とかね。
[04:00:23] 苦しい。
[04:01:34] えー。
[04:03:36] いやー。てことで今日はね、はい。皆さんお集まりいただきありがとうございます。今日はちょっとまた急遽、今日のこのひどりに決定させていただきまして、でタイミングよく高崎さんも、高崎ちょっと体調あの不良めですけど、はい。
[04:16:34] はい。
[04:17:19] 頑張ってさ、
[04:17:66] はい。
[04:18:78] はい。
[04:19:62] あの、今日も3人揃って久しぶりの会になりますので、皆さんぜひ、はい。で、海外に言ってたとは言え、え、なぜか猛烈にアシュラの日誌が
[04:29:75] アップデートされたりとかしてて、僕もたくみくんも多分追いついてなくって、高崎さん本人に聞かないと分かんないことなので、
[04:36:13] 今日そのアップデート情報も含めてですね。
[04:38:65] はい。
[04:39:15] あの
[04:39:62] ま、実は僕自身もあんまり把握できてないっていうのがありますね。
[04:42:74] はいはいはい。
[04:44:26] 今回ちょっと
[04:44:59] ああ、で、皆さんに
[04:45:34] ね、うん。
[04:47:33] 海外に行くにあたって、ちょっと仕事の自動化レベルをだいぶ5段階ぐらい引き上げたんで、なんか勝手にやれで勝手にやる量めちゃ増やしたんすよ。
[04:58:54] ああ。
[04:59:16] なので、僕が知らないシステムとかが公開されているような気がします。
[05:04:16] おお、はい。
[05:05:83] キャッチアップとして、ね、ラーメン3000円です。あ、ありがとうございます。チャット欄にじゃあぜひ、え、なんか行ってみたい国、それと
[05:14:14] やってみたいことみたいなのを書いて、でそれをなんか書いて、え、ね、今日なんか相談したいこととか、それをAIで使って実現できたらいいなと思うんで、なんか行ってみたい国とその国でやってみたいことってのをぜひ皆さんチャット欄に書いといていただけたらと思います。
[05:29:99] 僕、ちなみにあの美術館巡りAIとしました。
[05:35:86] うん。
[05:36:58] なんかチャットGPT開けながら、あの、パシャパシャ写真撮って、これどういう絵とかってのをどんどん聞いてくと全部解説してくれて。
[05:47:89] おお、素晴らしい。
[05:49:08] めっちゃよかったっす。それで
[05:50:71] 撮影禁止じゃないんすか？
[05:52:16] ああ、オッケーだった。
[05:54:19] へー。
[05:54:99] へー。
[05:55:76] あ、なんか海外はそうっていいますよね、逆に。なんか日本ぐらいあのやたらと厳しくて触れないとか、なんかガラスに入っちゃってるとか。向こうはなんか剥き出しで、剥き出しでなんか見れる。
[06:06:85] お、かなり、かなり剥き出しでしたね。なんかあのやれない、やらないけどゴッホのひまわりとかにベターって触ろうと思えば触れます。
[06:17:47] へー、すごい。
[06:19:15] 絶対やらないけど。
[06:20:41] なんかデモでね、そういう変な団体がなんかペンキ、ペンキかけたるとかなんかそういう事件とかありましたけど。あ、本当にそんな剥き出しなんだなと思ってすっごいね。うん。
[06:30:57] 日本の地方巡り視察1ヶ月の。
[06:33:48] ああ、なるほどね。へえ。
[06:34:04] あ、いいですね、そういうのもね。
[06:36:12] 楽しい、あ、日本の地方巡りもいいですね。
[06:38:70] はい。なんかそういう旅をしながらAI使って仕事するっていうなんかえ、作ったら面白くないですか？そういうなんかね。ゲームじゃないけど、パーティ組んでみんなで好きなとこ行って移動しながらね。
[06:47:97] うんうんうんうん。
[06:53:14] それこそキャンピングカーじゃないですけど。
[06:56:56] なんかちょっとそこで行く先々でなんかAIがまた面白いミッションとか出してくると面白いっすよね。
[07:03:77] ね。
[07:04:09] ちょっと、例えば
[07:05:95] 田沢湖に行って飛び込みましょうとか。
[07:09:07] それ大丈夫っすか。死ぬっす。
[07:11:37] 田沢湖は深いから戻ってこれなくなるかもしれない。
[07:14:87] 死ぬんじゃないですか。普通に、普通に溺れてそこ心霊スポットだぞ。
[07:19:10] 怖い。
[07:22:64] なんかAI使わなくてもそれはどうにかなる気がする。
[07:26:42] あ、そっすね。
[07:29:92] どうなん、結構でも
[07:33:43] その歴史的な背景とか細かなあるあるみたいなのとか結構ちゃんとAIに聞くと拾ってくれるんで。
[07:43:18] うんうん。
[07:43:68] なんか割とそういうので、あの、理解を深めながら地方巡りをするのはいいですよね多分ね。
[07:50:39] なんか遊びに行くというよりも視察であちこち毎日移動して色んなあの場所に新幹線とか飛行機で移動しながらで、考えなきゃいけないことって今まで全部手動でやったり手続きとかやってたんですけど、なんかそういう細かいこととかをなんか組み合わせてまるでエージェントがいるようにこう色々サポートしてもらえたりま、最終的には投稿までなんですけど。
[08:16:32] なんかそういうのをいつもなんか投稿が帰ってきてからなるので1ヶ月遅れになっちゃうんですね。
[08:21:78] ああ、なるほど。
[08:22:31] 色々細かく。はい。なので時間がなかなか無いとか、あの、その日はあの毎日移動してたりとか朝からあの夕方、夜まで出かけていることになるので。
[08:33:04] なので、なんかそういうのを
[08:35:28] はい。
[08:35:66] 常にあれ、その旅中にずっと全てをやってることを話す、話し相手AIを1個作ると良いです。
[08:48:47] なるほど。
[08:49:50] なるほど。
[08:50:18] で、その、えーと全部のこの旅の間のエピソードとか話したこと全部覚えとけってまず言います、最初に強く。
[08:57:47] うんうん。
[08:57:79] で、その、えーと
[09:01:21] 話した内容から1日、まあ、3回でも1回でもどっちでもいいですけど、あの、え、まあ、例えばそう投稿するのは何の予定ですか？
[09:12:87] えっと、Facebook、インスタ、ノート。
[09:16:81] だったら多分、えーと
[09:19:87] ちょっとブログ的な文章とかがバーっと出たりとかするのとか、あとインスタ的な写真とかがある と良いって。なので多分パシャパシャ撮って写真も渡しとくと良いと思いますね。
[09:32:02] うん。うーん。
[09:33:60] で、そん上でその話と、その与えてる写真から、あの良い感じの投稿を作ってFacebook用の投稿とインスタ用の投稿は画像に文字を乗せる形で画像生成で作ってとかってのやると多分話せば話す、話したらそれがそのまま投稿内容としてどんどん勝手にしかもリアルな状態で 作られていくくんができます。
[10:01:30] その何に対して録音すればいいんですかね？
[10:04:47] 録音というか常に相談する時に「今度はここ行くわ」とかをただ言うんです。
[10:11:43] あ、言うというか
[10:12:12] ああ。
[10:12:47] なんでもいいですけど。
[10:15:60] なるほど。
[10:16:79] あ、じゃ何かを通すの、録音したものを何かを処理するのではなく
[10:21:56] そのまま秘書にずっと
[10:24:60] あ、そうですね。そうですね。あの、次に、えーと、じゃあ、どこだろう。例えばじゃあ東京だと、じゃあ次浅草行くわ。浅草寺行ってくるわとかもう普通に言うんすよ。
[10:35:69] うんうん。
[10:36:78] うーん。
[10:38:00] で、僕も結構やってて、僕はなんかその役割をカウンセラーAIっていうのを作って、同じようなことやっていまして。
[10:46:90] うんうん。
[10:47:49] カウンセラーAIに普段僕が言ってることとかやってることとか、あと他のAIに言ってることも僕のカウンセラーAIが拾いにいくようになってるんで。
[10:57:34] そういうので日々の僕がやってる仕事を全部そいつが把握してるんですね。
[11:02:69] うんうんうん。
[11:03:62] で、それをもとに、えーと、情報発信とか、あと僕は毎日日記もそいつが書いてます。
[11:11:07] 今日はこんな仕事してこんな仕事してこんなこと考えたんだみたいな日記を書いたりとかしてて。
[11:17:59] それは喋ったことから勝手にまとめてくれてるってこと。
[11:21:09] あ、そうですね。そうですね。
[11:22:24] まあ普段僕あの、えーと、例えばこういうシステム作ってとか、えーと、誰々さんに依頼されたからこういうの作んないといけないからやっておいてとか、資料これ作っておいてとかっていうのがだいたい僕の仕事なんで。
[11:35:57] そういうのやってて、で全部、で、僕は今あの、やんなきゃいけない作業を全てAIにやらせてるんすよ。
[11:46:17] うーん。
[11:46:68] なので本当に僕は手を動かす、手、手を動かさないっていうのを僕は徹底してるんすね。
[11:53:23] うんうん。
[11:54:21] とにかく喋る、口を動かすってことですね。
[11:56:56] 僕がでも打ちます。
[11:58:69] ああ、なるほど。
[11:59:65] うん。
[12:00:46] あの僕はなんか
[12:01:21] 作業をしないけれども、あの、
[12:03:00] トランプと
[12:03:77] 地情報渡してる感じですか。
[12:05:42] ただ指令しか出してないですね。
[12:09:35] なるほど。
[12:10:24] でもそうやってなんかずっとそこに貯まる、あの、話してた内容が貯まるものを作って、それはでもコーデックスとかクロードコードでやると良いと思います。アプリというよりは。
[12:21:73] 1個ちゃんとフォルダーを作って、そのフォルダーを毎回開いてやり取りをしていく。
[12:28:10] あ、じゃ、日本のにに関しては、もうそれ専門のフォルダーを作って
[12:32:82] だと思います。それが良いと思います。
[12:34:25] うん。
[12:34:54] もしあのAI秘書みたいなのがいるんだったら、AI秘書の中に作っててと。
[12:41:40] 作ってって言って、でそこにを入れるってことですね。
[12:44:60] あ、言ったこと全部覚えといてって。
[12:47:33] あ、言ったこと覚えといて。
[12:49:00] うんうん。
[12:51:39] で、なるべく日々のことは君に言うようにするから、ちゃんと覚えといて私がどんな活動をしてるのかちゃんと把握するようにしといてくださいって言っときます。
[13:03:32] うんうん。
[13:03:54] で、なんかAIにいかに自分を把握させとくか。これがすごく大事なんですよね。
[13:11:15] なるほど。
[13:12:08] なんかこう頭の中でガーって言うものの部分的な作業とか「これやって」って言う感じなんですね、今。
[13:19:07] あ、はいはいはい。
[13:20:01] そうじゃなくって、その前段階から使うってことですね。
[13:23:71] そうですね。あの
[13:26:01] なんでわざわざこんなのAIに聞くの、あ、例えば結構だいぶ歩いて疲れたんだけどとかたまに僕AIに言います。
[13:35:46] うんうん。
[13:36:99] なんか
[13:38:81] それそうするとどういうなんか、なんだろう、その溜まった知識の中でそれはどういう感じで逆に使ってくれるんですかね？
[13:48:47] あ、えーと、結構でも
[13:52:13] えーと、そのAI自体が僕のことを把握しようとしてくれてるんで、あの、そういうこと言うことによって、「あ、この人は結構外に出て歩く人なんだな」ってことをちゃんとAIは理解しますね。
[14:07:34] だからなんかふとした時にちょっと仕事なんかうまくいってないなあみたいな時とか、たまに歩いてきたらどうですかとかそういうようなことを言ってきます。
[14:21:63] ああ、パーソナルトレーナーみたいな役割も
[14:24:60] 多分AIは僕ににとって歩くことが大事であるっていうことを把握してるんで。
[14:32:20] で、今
[14:34:11] すいません。
[14:34:50] iMacでしか使ってないんですけど
[14:36:51] はいはいはい。
[14:37:80] あの、今おっしゃったみたいなことってなんか例えば外に出た時に
[14:42:47] いい質問ですね。
[14:43:24] へー。
[14:43:75] どうやってその携帯で
[14:46:04] 今日もいい質問です。
[14:47:32] あの、チャットGPTはアプリが入ってるんですけど、秘書の場合はどうすればいいのかなって今ちょっと
[14:55:50] そうですね。あの、実はあの、なのでそのiMacってことは家に常に置いてあるってことですよね。
[15:03:25] はい。で、あの、前に座ってあの、使っている、ので外で使ったことはない、チャットGPTはアプリであの外でも使うんですけど、秘書に関しては、あの、使ってないので。
[15:16:51] なので、えーと、結構ここも、あの、実は僕の今回の海外行きの結構メインテーマにもなるんですけど。僕が、あの、家に、えーと、そういう同じようにパソコン僕も置いてます、その作業用のやつを。
[15:30:45] はい。
[15:30:84] で、それを、えーと、リモート操作で、えーと、スマホ、スマホと、スマホとタブレット、あと、タブレットよりちっちゃい、えーと、ミニPC。この3つで全てでリモート操作をできるようにしていて。
[15:50:23] ま、ちょっと難しくなるんですけど。
[15:52:10] iPhoneだけではできない感じですか？
[15:54:33] iPhoneでもできます。
[15:54:90] その、その途中がいるっていう感じですか？タブレットとミニPCが
[15:59:75] あ、えーと、僕は、えーと、日に寄っていじりたいものが変わるんで、ただ単に今日はiPadの気分だからiPadでやろうとかっていうだけです。あの、別に1個でも大丈夫。1個でいいです。これは。
[16:13:38] あの、持ってくとする とMacBookは必ず持って行ってるんですが。
[16:18:24] MacBookの中には入れてないんですね。
[16:21:55] ああ、はいはいはい。
[16:22:64] なので、えーと、外で必ずMacBookを取り出して何か喋るっていうのは逆にちょっとできないと思うので。
[16:32:27] 携帯でそこが完結すると外で使いやすいのかなと思っています。
[16:37:78] うんうんうん。
[16:38:29] そうですね。あの、で、携帯、ま、でも携帯だとちょっとね、AIの操、少し、まあ、ちょっとコーデックスとかでやるとか工夫はあるけど。まあ、ちょっとその
[16:51:86] おそらく試しにちょっとAIに外から操作したいんだけど、良い方法ないっていうことを設定されると思います。
[16:58:60] ああ、外から操作したい。
[17:00:27] で、ちなみに一応おそらくですけど、リモートの操作にはラストデスクっていうアプリを使ったりとか、えーと、家のパソコンとかタブレットとかをなんかネット上のトンネルで繋ぐみたいな作業があって。そういうのを使う、するのにテールスケールっていうアプリを入れます。
[17:19:16] で、多分そういったことをAIが進めてきます。
[17:26:80] という感じでやると実は
[17:31:07] 家でめっちゃシステムとかをがっつり作っといて、それが自在にタブレットとかでも僕は操作できるようになるって感じになったんで。なので、あの、2週間海外にぴょーんって行っても、まあ、えーと
[17:51:30] えーと、僕は大丈夫でした。代わりにたくみくんがヒーってなっただけで。うん。
[17:56:56] ズズズズズズ。
[17:57:34] ああ。最後の、最後の一言、ヒーってならない。
[18:00:09] 僕が、僕がなので、そのおかげで楽しく旅行ができました。
[18:05:40] だからたくみくんがついてくるわけではないので、
[18:08:52] 最後のひとこと、ヒーってならない。
[18:09:59] あの、本当したらリモート接続と環境設定とあとたくみくんがいればのびのび。
[18:14:48] ははは。
[18:15:28] そこは最後の一言、ヒーってならない。
[18:18:06] ははは。
[18:20:39] なんかみんなが旅行行くたびにたくみくんが忙しくなる。
[18:23:40] あはは。
[18:24:20] まあ、その代わりね、あの、ある程度お金いただければ。
[18:27:00] あはは。
[18:27:66] まあまあ、今、今、いいんですが。
[18:30:60] ていう。
[18:31:39] はい。
[18:31:58] ということでね、いつの間にかもう本題に入っちゃってる、張り切ってましたけど。じゃ、もう本題に。
[18:36:20] はい。ありがとうございます。
[18:37:16] はい、ありがとうございます。
[18:38:64] でもそういう感じでやっていけると、リモートでぶんぶんにAIがぶん回せるようになるっていうところになってくんですね。
[18:47:70] おお。
[18:49:50] 貧乏。
[18:50:37] ああ、オーロラを見てみたい。
[18:52:84] いいですね。
[18:53:57] ああ、いやだ、あ、ちょっとリモートってなると家に、あの、なんすかね？パソコン常にできる状態に入れっぱなしにしておきたい、置かないといけないので、まあ、それが嫌だっていった場合はちょっと不便になりますけどね。どうしても。
[19:07:07] あ、そうですね。
[19:07:95] 僕は、なので、今、家のパソコン2台とも24時間稼働しています。
[19:13:30] あの、電源を切っちゃうと外から操作ができなくなっちゃうんすよ。
[19:18:20] うーん。
[19:21:49] なので、まあ、善し悪しですね。僕はちょっと怖かったんで今回電源を切ってならには来てましたけど。
[19:27:54] いや、リモートだから、まあ、うん、まあ、ね、そうなんだよね。結構うちもガラ、家に誰もいない状態で2週間でパソコンつけっぱだったんでちょっと怖かったっす。
[19:40:41] 確かに。
[19:44:60] おお。
[19:44:63] ピラミッド。
[19:45:34] そして、じゃあコメントをまた拾っていきましょう。
[19:48:29] ピラミッド入ってみてピラミッドの中でじゃあ昆布を育てましょうっていうね。
[19:54:49] うんうんうん。
[19:54:99] あ、昆布育てるんですか。
[19:56:49] ピラミッドと昆布。
[19:57:07] ピラミッド上のものの中でリンゴを置いとくと腐らないみたいな話ありますよね。
[20:03:70] 確かに。
[20:04:47] うん。
[20:04:78] なんか昆布、昆布とかをやっといたらなんかパワーがいいだしが出そうじゃないですか。
[20:10:49] ワンチャンエジプト昆布とか謎の組み合わせは当たるかもしれない。
[20:14:98] うん。
[20:16:32] 真逆なんだよな。
[20:17:41] うん。なんか、確かに。砂漠、砂漠だし。
[20:23:41] 砂漠に昆布。
[20:23:94] いるのかな。
[20:25:99] うん。
[20:27:82] 本当にピラミッドとAIはでもなんか組み合わせでそうな気しますよね。
[20:33:63] うん。
[20:34:39] 確かに。
[20:36:90] うんうんうんうん。
[20:42:33] お、たくみくん北海道、沖縄。
[20:45:15] もう1つパソコンがもっと置きたい。
[20:47:94] それはあ、そうですね。最近あの
[20:52:62] えーと、僕まあ、パソコ、いくつか持ってるんですが、あのWindowsは自作PCと言って、まあ、組み立て式の自分で組んで作ったんすが、それの、えーと、電源が死にまして。
[21:03:68] えーと
[21:05:32] なんかあっさり壊れちゃうんだなっていうのが最近ありまして。で、まあ、先生もこないださあね、あの、画面が割れたりとかっていうのもあったので。
[21:14:48] こういう、まあ、なんすかね、あの、パソコンが必須であるもの、やはりいくつかあって損はないなっていうのは最近ひしひしと覚えてきたっていう。ひしひしと感じたところで。
[21:24:37] まあ、夏は本当に電子機器は気をつけてないと本当にすぐ死んじゃうので。
[21:27:77] ね。
[21:30:22] なんかこう、気づかぬうちに割れるとか、気づかぬうちにパソコンいかれるとか結構あるので。
[21:35:60] ちょっとやっぱり、あと、あの、これから来年ぐらいまでは値上げの一方らしいのでパソコンは。ちょっと、なんか途中で壊れたらやばいなってのはちょっと最近不安になってるところです。
[21:48:47] っていうのでこういうのを回答、どうぞ。
[21:51:75] うんうんうん。
[21:52:58] ね。パソコンもね、ちょっとこれからどうなってくんやの1個だもんね。値段とかなんとかとか。
[22:01:21] 結構えぐいですからね。
[22:04:72] じゃあね、沖縄で路で座って旅してきてくださいって言って。
[22:09:88] しゅっ。
[22:11:51] 僕沖縄でなんか路上のカウンセラーをしながら生活をしてた時があります。
[22:19:64] すごい。
[22:20:00] はい。
[22:22:24] でもほんとでもAI使ったらほんと旅行は楽しみやすくなる。間違い無いっすね。
[22:27:00] みんなこの高崎さん方式でできるとほんと僕もそうでしたけど、テールスケールとかあれ入れてほんとどこでもできるようになる。パソコン開かなくてもいいので。
[22:37:11] そうです。
[22:37:34] 装備がどんどん軽くなるんで、身軽にどこでも行けるというね。うん。
[22:41:43] 結構僕もこのバックになんかちょこちょこパソコンとか詰めてフラッと出かけるがかなりしやすくなりましたね。うん。
[22:50:31] そして飛行機乗る前にね、フライト時間のあいだ全部作業させる。
[22:55:62] はい。
[22:58:39] とか
[22:58:91] あの、AIこれはAI使い型でおすすめなんですけど。なんかそのなんかAI、まあ、使える、今めっちゃ使える状態だなあってなってるけど、特に何かやらせることないんだよなあっていう時ってあるじゃないですか。でもなんかやばい僕なんか飛行機今回15時間乗るぞみたいな。15時間AIを働かせないのはもったいなさすぎると思って。なのでなんか特にやること決めてないけど15時間分ぐらい僕の仕事大体把握してるんだから、やるべきこと作業15時間かかるようなことを考えてやっといてって言って。
[23:44:83] ああ。
[23:45:34] 考え
[23:48:49] そしたらでも結構いろんなあの、奥義とかも増えたりとかしているんで。ま、それもあってね、結構あの、今僕があんまり知らないものとかが結構上がってるなあっていう状態には割となっていて。
[24:05:43] ちょっと待ってくださいね。
[24:06:21] 僕も知らない。気がつかない。
[24:07:61] 誰も気がつかない。
[24:08:44] 誰も気がつかない。
[24:08:95] 誰も気がつかないし、誰も宣伝しないみたいになってるんで。
[24:14:52] ひどいなって。
[24:15:69] 本題に行きましょうか。
[24:17:34] 本題に行きましょう。
[24:18:20] あ、そうですね。
[24:18:61] うんうん。
[24:19:92] あ、だからちょっと
[24:20:73] 日記のアップデート、何が追加されてどうなったかとか。
[24:24:39] ちょっと一応そのあたりもね、えーと、少し触れつつ。なんかそれで
[24:29:43] うんうんうん。
[24:32:89] 増えてるかな、どうかな。
[24:36:26] もはや人任せになっているっていう。
[24:39:69] おお。
[24:40:99] うん。
[24:48:58] ああ。
[24:49:03] このインターフェースとかね。
[24:50:39] はい、ちょっとそろそろ変えないといけないっすね、またね。
[24:53:49] 物理的に変えないと。
[24:54:68] はい。
[24:55:40] LP、えーとLP。なんか多分いっぱいやっ、ノート
[25:00:23] まあこれはまだまだ。
[25:04:88] ミニゲーム。
[25:06:50] あと失礼。
[25:10:50] うんうん。
[25:10:97] 占い、イングリッシュ。えーと、福士系書類。オフィシャルLINE、3D、生命判断、漫画、作曲、インスタ。
[25:26:80] あ、ファネルメイ、このファネルメーカーは新しいです。えーと、あー、次に行っちゃう。サーチ構想、ちょっと待ってください。サーチコンソール分析もでき、救世幾何学もあ、ちょっと待って、どんどん次に行っちゃうけど、AI導入診断。ああ、なるほど。診断ができるわけですね。AIカンパニー。あ、これ、あの、前に目黒さんに、あの、あれっすね、提案していただいたやつとか。
[25:54:19] あとはこれLINEスタジオ。あ、で、このLINEスタジオが結構あの、今までのLINEとかを全部統合したやつで。これで1発ボーンってやるとLINE公式アカウントができて、その公式アカウントのリッチメニューができて、リッチメニューの画像もできて、リッチメニューの中に各アプリとかを全部ちりばめて、そのアプリもそれぞれ、まあ、6個とかでも同時に作れますけど。アプリやゲームとかを作ってリッチメニューに当てはめてっていう、ゴリ、で、さらに、えーと
[26:28:44] メッセージがステップで配信されて、シナリオも自動で作ってくれて、えーと、自分のサービスに誘導するっていう動線付きっていう、なんかLINEでできること全部詰め込んでやったけどどうや？っていうやつがLINEスタジオですね。
[26:46:75] はい。
[26:49:73] なんかでも意外と結構面白かったのはLINE、あ、AIカンパニーとかは結構わらわらと動いて可愛かったりとかはしました。
[27:00:19] なので、なんか色々
[27:08:92] LINEスタジオとかだと
[27:12:12] あ、間違えた。違う違う違う。変なコマンド打った。
[27:15:37] あ、かいっぽが、かいっぽがどうやっても開けませんでしたって。
[27:18:23] あ、マジっすか。ちょっとすいません。ちょっとそのあたりの
[27:23:45] ま、開けなかった時はそのフォルダーをそのまま直接AIで開いて開けないよなんって言うとやってくれます。そういう風にちょっとその
[27:32:89] AI、AIの者たちを
[27:37:25] あれ、なんだこれ。
[27:37:67] 開けないな。
[27:40:08] LINEスタジオ
[27:43:40] かいっぽけ
[27:56:88] かいぽけ
[28:06:73] かいっぽけがじゃ起動、起動できなかったのかな。
[28:10:65] 一応こういう風にして
[28:13:95] かいぽけ
[28:16:32] ドック
[28:18:69] こういう風にあの、起動コマンドがあって、かいぽけをやると起動するが、ちょっと色々やりすぎて遅くなっちゃった。ちょっとあれだな。こっちはこっち時間かかるから一回戻ります。
[28:35:68] よいしょ。
[28:38:29] はい。
[28:40:70] あれ。
[28:43:08] どれだ。
[28:50:09] なんかデイタビズ。
[28:56:39] お、って聞こえます？
[29:00:10] だ、ちょっと相談が来てるんでちょっと答えていきましょうか。
[29:04:14] 外部に
[29:06:40] 外部に露出してはいけない、両陣データ受付診療警察、検査、手術会計までのアズイズシート作成。
[29:16:50] アズイズシートってどんなんでしたっけ？なんか流れみたいな感じですか？
[29:22:20] はい。
[29:23:36] そうです。
[29:24:26] 流れみたいな。
[29:26:20] あ、わかりました。
[29:30:14] うーん、とりあえず、まあ、ね
[29:39:35] これあれっすか？AWSっすか？
[29:43:95] AWS
[29:45:30] ん？
[29:45:84] 何が？
[29:46:42] これ、そ、外に出ちゃいけない系なので。
[29:48:65] ああ、そうね。
[29:49:60] あ、AIとかでもアメリカとかにも行かない方が安心っすよね、これって。
[29:53:74] 国内、そっか。
[29:55:68] 絶対にだめっていうやつみたいで、ま、それでもやり方が合うんだったら。
[30:02:18] はい。
[30:02:77] はい。
[30:03:36] ローカルでやる。
[30:04:36] えっと、そうですね。いくつか方法が。
[30:07:34] あれでしょ。あのあれだ。たくみがよく言ってる。あのAWSの、あの、カチカチしたやつだろう。
[30:17:16] はい。えーと
[30:19:35] 一応2つ方法はあって
[30:22:20] えっと、いわゆるクロードとかチャットGPTとかだと、あの、保存をオフっていうのにしてたとしても、えーと、動いてるのは多分あれは海外なんですよね。
[30:34:67] うーん。
[30:35:59] ああ。
[30:35:86] で、えーと
[30:39:75] こういうのが大体不安だってなれば、えーと、高性能のやつを使いたいってなると。えーと、Amazonウェブサービスっていう。Amazonが提供している、ま、データセンターというかサービスがあって。ま、これを基盤に動いてるサービスも世の中いっぱいあるんですよ。あのGPTとかも多分、あの、AWSのうえで動いてるので。
[31:02:78] AWS。
