[00:01] お世話になります。足音プログラム事務局の高橋と申します。
[02:50] そんな僕が今回開発したいと思っているのがGenesis。
[02:54] やる気を引き出すのではなく、意思決定の負荷をAIが削減し、やる気がなくても回るシステム。
[03:01] それがGenesisです。
[03:03] この子たちを最速で成長させるデジタル精神と時の部屋です。
[03:08] 実際に動いているGenesisをご覧ください。
[03:12] ようこそGenesisへ
[03:14] 何もない世界が子供の行動で少しずつ作られていきます。
[03:18] 空だけが広がってる。心配しなくてもいいよ。
[03:20] ちょっと早送りしていくんですけど。
[03:24] 最初の方のクエストは家を建てる。
[03:27] この過程でワーキングメモリ、視覚処理、聴覚処理、処理速度を同時に測定し、その子だけの家が立ち上がります。
[03:37] 次は知能検査を模した符号課題、流れる符号を別の記号に変換して入力します。
[03:44] そして能力プロファイルと家が同時に表示。
[03:48] ワーキングメモリ
[03:49] これですね。全てがここに宿って。
[03:50] 視覚処理と処理速度の高さが窓の数や、窓の数や捜索に反映されています。
[03:57] 君の能力ってすごいね！
[03:58] 難しい心理検査をせずに測定することができる。
[04:02] 続いてライフワーク。子供の強みに本物の企業案件がすぐマッチング。
[04:07] 君の能力を生かせる仕事だね。
[04:08] 最後はギルド機能。
[04:10] 苦手な、一人じゃ全部
[04:12] 情報処理はワーキングメモリが高い味方に任せる。
[04:15] 今はワーキングメモリ。
[04:16] バディがツールも空間もまたいで知識を共有します。
[04:19] お互いの得意なことに全力を注ぐ
[04:21] これがGenesisの本質です。
[04:25] 残りの発表、頑張ってください。
[04:27] こんな風に見てくれます。
[04:30] と、足音の支援期間約半年では、えっと、この測定ゲームの各知能指数の予測誤差を10%以内に収め、推定精度を75%以上に到達させること。
[04:43] スクラッチ、ロブロックス、マインクラフト、Unity、Webポートフォリオどこで遊んでも1人に対して同じデータベース、同じAIナビゲーターで繋げ、ロブロックスで作ったPvPの建物をマイクラで考え直す。
[04:58] という横断的な記憶と提案ができるようになることを目標としています。
[05:03] 例としてゲームアプリをメインで出しましたが、発展としてここのマインクラフト、ロブロックスなどの枠をアイビスペイント等のイラストアプリ、ビジュアルスタジオコード等の開発アプリを入れることで臨機応変に対応できるようにすることも考えています。
[05:21] この開発を5ヶ月間でやりきるために支援金100万円を投資します。
[05:28] えっと、
[05:30] 内訳は開発稼働費に50万円、複数メタバースの録同期とAI駆動のAPI代金、え、15万円。
[05:39] 残りの35万円は高、高負荷なゲーム環境とAI開発を同時に高速で回す開発マシン、実機デバイスに振ります。
[05:50] テクノロジーで子供の才能を覚醒させるGenesisを必ず作りきれます。
[05:55] 以上です。ありがとうございました。
[05:57] はい、ありがとうございます。
[06:00] で、なんか僕の方から、あの、ご質問させて頂ければと思いますが、あの、最初のところからですね、あの、ぜひ小林さんのこれまでのご経験みたいなところからお聞きしたいんですけれども、なかなかこう学校に行くことが難しくなってきて、で、いろんな方々とですね、多分同世代ですかね、方々と触れ合ってたっていうところかなと思うんですけど、なんかそこの経験から今回のこのGenesisっていう仕組みになるまでに、なんか結構こういろんな試行錯誤があったんじゃないかなと想定してます。
[06:30] で、なんかそこの経過を知りたいんですけれども、なんかどう例えば、ま、分かる教えて頂ける範囲で大丈夫なら、どういう方々に出会って、どういう風な、なんだろうな、成長をしたらこう良くなるってところがみえてきて、ここまで行き着いたのかって、ここの流れて教えて頂くこと可能ですか？
[06:49] えっと、小学校4年生の時に不登校になった理由なんですけど、偏食がかなり強くて、えっと、給食制度がすごいストレスになってたんですね。
[06:59] うんうんうん。
[07:00] それで、小学校4年間まるまる不登校になったんですけど、その間にフリースクールだけ行ってたんですけど、親が何か1つ得意を作ってほしいってことでプログラミング教室に通わせて頂き、高崎先生と出会って。
[07:16] で、そっから中学校までずっと関わりを持たせてもらって。
[07:20] で、1回は普通に投稿できるようにはなったんですけど、中学2年生の最初の方で体調崩しちゃって、えっと、勉強遅れてしまってそのままもうなし崩し的に不登校になっちゃって。
[07:33] で、もうそのIfjukuに参加してるのも楽しくて。で、それで先生の紹介でクラーク高校に入学して、えっと、ま、こういう開発など一緒参加させてもらって、と、アイデアとかもその家庭でいろんな人からなんだろう、アイデアの種っていうか、うん、もらってここまで来ました。
[07:55] ありがとうございます。
[07:56] 結構僕がすごくこのGenesisのお話聞いてて面白いなと思ったのが、その分類特性に分けるって話があったかなと思います。
[08:04] えっ、ワーキングメモリと聴覚と視覚とかなんかそんな形でしたっけね。
[08:10] なんか、その3つにこう分類するっていう風にこう決めたというか、そういう風にしたのにはどんな背景があるんですか？
[08:18] えっと、発達特性がある子供って最初に、ま、みんな小児科に連れて行かれると思うんですけど、その小児科の中で、えっと、知能検査。
[08:30] そういう発達特性があるのかの検査があるんですけど、その検査のテストの内容からヒントを得て、こうなってます。
[08:38] ああ、なるほど。じゃあこう割と臨床に近いというか、なんかその医療現場のところに近いい形で、こう、まずは、えっと、特性を分けてくっていうところなんですね。
[08:48] うんうんうん。
[08:49] 分かりました。
[08:50] こう今先ほど見るとこう、もう実際に動いてるような形にも見えたんですけれ:けども、今現状としてはもう使ってる方はいらっしゃるんですか？
[09:00] まだできてないんですけど、最初と基盤とこのデモ用の動画、ま、デモ用の動画を作る目的で始めたんですけど、割と基盤もちょっと完成、ま、基盤だけなんですけど、最初のところだけ完成して、ま、でもさっき言ったようにあの、知能検査を模したゲーム、あれの、えっと、1度かまだちょっと低いので、最初に75%以上目指していきたいです。
[09:30] なるほど。
[09:31] 今はじゃあある程度こう環境というところでは、なんか大体ちょっと整ってきたけど、その中のソフトだったりとか、ま、設計みたいなところがこれから、もしこう採択頂いたらこの5ヶ月で進めていきたいな、そんなところですかね。
[09:44] そうです。
[09:45] うんうん。
[09:46] 分かりました。
[09:47] なんか、えっと、あとをこう使うれる方とか、ま、いろいろこう開発していく中でテストなんかもやるのかななんて想定するんですけど、小林さんの周りにもなんかこう使って頂けそうな方だったりとか、試して頂けそうな方っていらっしゃる形なんですか？
[10:04] えっと、まず、えっと、クラーク高校がそういう通級とかフリースクールとかに通ってた人がかなり集中してる学校なので、同級生や、ま、先輩とか、ま、他にも、えっと、フリースクールに通ってた時の友達とかもいるので、そういうところを常にテストプレイなどしてもらえます。
[10:25] なるほど、分かりました。
[10:27] 素晴らしいですね。環境も周りにもの方も協力的だったりとかするのは素晴らしいことですよね。
[10:33] うん、なるほど。で、なんかちょうど、あの、なんだろうね、1個のメッセージとしてこうやる気がなくても進められるっていう言葉がなんかあったように思ってるんですけれども、なんかもうちょっと知りたくて、僕からしたら勉強ってなんかやる気がないと進まないもんだと勝手に思ってまして、なんかそれとはまた違う概念なんじゃないかなと思ってるんですけど、その辺って教えて頂いてもいいですか？
[10:55] えっと、まず、えっと、いろんな教育アプリ、基本的な教育アプリは勉強主にしてるものがばっかりだと思うんですけど、ゲームにやる気を必要な人ってあんまりいないじゃないですか。
[11:10] うんうんうんうん。
[11:10] なんで娯楽であるべきって思ってるんで、その娯楽の中にちょっと、なんだろうな、えっと、将来繋がる技能、能力を足し込んでいくような形で、えっと、Genesisがまずつまんないものにしたくないっていうのがまず主で1番軸にあるので、ま、堅苦しい教育ゲームにならないようにしたいと思ってます。
[11:40] なるほど。そのさっきあったクエスト、なんだろ、成長みたいなところとゲーム性を掛け合わせる、とかそんなイメージですかね。
[11:50] えっと、ま、勉強っていう認識を持たせないことでやる気を必要とさせない工夫ををしていきたいと思ってます。
[12:02] あ、なるほど。面白いですね。あまりこう勉強してるんだぞっていう自覚を持たせないようにするってことですかね。
[12:07] はい、そうです。
[12:08] うーん、なるほど。
[12:10] ま、そんな中でこうそのソフトのってこのGenesisの中で提供する物って言うと具体的にどういったものがあるか、もう一度すいません教えて頂いてもいいですか？
[12:20] えっと、Genesisが提供するていうか、うんと、付き添い半歩をして、えっと、付き添ってく感じですかね。
[12:29] ああ、なるほど。自分で行動はしなくて、うん。
[12:31] 好きに遊んでる中に、えっと、こういう能力が上げれるポイントがあるからGenesisが誘導する、みたいなそういううんうんうんうん経路を想像しています。
[12:43] なるほど。じゃあな、なんか、どう表現したらいいのか難しいですけど、なんか診断ツールというわけでもないんですよね。
[12:52] 最初に1回だけ、ま、測定っていう形で診断はするんですけど、そんなしょっちゅうやり続ける形は想定してません。
[13:02] なるほど。じゃ、となるとこう利用者さん側のなんか動線っていうんですかね、利用者側はどういう感じでこうGenesisを使っていくとよくなるんですか？
[13:12] えっと、Genesisで発展した先に、えっと、そのままゲームからプログラミングとか、そういうスキルに持っていこうって思ってるんですけど、その、そういうスキルを持っていく路線に行った時に、えっと、実際の小さな、なんだろうな、企業案件、ま、それこそこのGenesisの他にもIfjukuっていうプログラミングスクールみたいなのもあるんですけど、そういうところからちょっと仕事実際に振ってあげて、社会経験を作ってあげるっていう動線ですかね。すいません。
[13:49] あ、なるほど。じゃなんか、Genesisの中でも一応プログラミング的なことは学べるって、学べるっていうんですかね、触れられれてことでいいんですかね。
[14:00] 自分:で学習できるように誘導していくのがGenesisみたいなイメージですかね。
[14:05] あ、なるほど。じゃあこういう風なことをしたらいいよみたいなアドバイスをするのがGenesisって感じですか？あ、分かりました。
[14:11] で、その、えっと、こういうことをしたらいいよっていうのを、えっと、自分で例えば探したりとか身につけたりするのはもう完全に自分でやってく。
[14:20] そうですね。あと、えっと、そういうプログラミングの方向に進ませる時に、Genesisがクロードコード等のライブコーディングアプリも動かせるようにはしていすつもりです。
[14:33] うんうんうん、なるほどなるほど。じゃそこも連動していきながら、ま、何でしょう、完全にシステムは分離する事なくGenesisとそのツールクロードコードとかのツールも噛み合って、そこなんて言うんですかね、連動性はあるってことなんですね。
[14:46] 1人のユーザーに対してのって。
[14:48] Genesisはもうクロードコードを直接、えっと、触れるようにしていってますね。
[14:54] はいはい。あ、なるほど。じゃあGenesis経由でって言うイメージでいいんですかね。うん。
[15:00] 分かりました。で、そのプログラミングだったりとか、ま、開発みたいなのが利用者が、あの、できると。Genesis経由でしていくって感じですね。感じですね。あ、分かりました。ありがとうございます。
[15:11] で、なんか先ほどあったこのクエストをやっていく中で、なんか他の特性を持った、なんか、なんだろ、友達、友人なのか、なんかそういう人達とも連携していくなんてあったんですけれども、あれはなんかどういうイメージを持っとくと一緒に、なんか、みんなで集まってやる、とか、なんですか？
[15:29] えっと、企業案件などを受けた時に、詰まった時、その詰まった部分を得意ってしてるえっと、人を探せる機能があればいいなと思ってるんですけど、その誰かの特性を、え、得意を活かして仕事にチームで取り込めるように。
[15:48] そういうシステムを作りたいと思ってます。
[15:51] あ、なるほど。じゃなんかこう、アドバイスをなんか分からないよってことを投げたら、あ、それにに対してアドバイスしてくれるような人たちが得意性というジャンルで分ける中でのでてくるってことですかね。
[16:04] そうです。
[16:05] 人材がでてくると。
[16:07] なるほどなるほど。でなんか企業案件をプロジェクトでやるというよりは個人でやりながらアドバイスしてくれる仲間が周りにいるみたいなそんなフォームフォーメーションですかね。
[16:19] まずアドバイスというか、もうこの部分はやってほしい、みたいな割り振、仕事の分配みたいなのもできるようにしたいですね。
[16:28] あ、なるほど。じゃあもうある程度こうちょっとチームメンバー、プロジェクトチームのメンバーみたいなそんなイメージですかね。
[16:34] そうですね。
[16:35] うんうんうんうん。あ、分かりました。ありがとうございます。
[16:38] なんかそういういったその、なんだろう、プログラミングとか、ま、使ってIT技術を欲してる会社さんとかともうすでに触れ合ったりとかしてるんですか？なんか結構そこの解像度がすごい高いなと思いまして。
[16:51] うーん、
[16:54] ま、Ifjukuの活動に参加させ、させてもらってる中で、えっと、なんだろうな。ま、別の企業さんともちょっと、顔を合わせさせて、合わせてもらったりもしてるんですけど。はい。
[17:10] やっぱり1番は先生から色々、なんだろうな、ま、いろんな関係ないところでも企業に参加、会議に参加させてもらったり、うんうん。
[17:26] 少しずつでもいっぱい経験をもらってるので、そういうところから来ているんだと思います。
[17:32] なるほど。じゃあちょっとこう社会に触れる機会なんかももあるからこそ、なんとなく企業の人が求めてそうなことも掴めるそう、掴めてるって形なんですかね。
[17:43] ちょっとぼんやりなんですけど。
[17:45] なるほどなるほど。あ、じゃあその辺りももしかしたらこの5ヶ月間採択させて頂いた時は、また挑戦する領域の1つにもなりそうですね。
[17:54] そうですね。
[17:55] うんうん。
[17:56] 分かりました。そうなるとじゃあ開発の他にも、そういったクエストを作るためのちょっと企業さんのニーズ把握みたいなところも出てくるというところなんですね。
[18:05] 分かりました。
[18:06] 今回は、えっと、不登校などにもっていう題材で出させて頂いてるんですけど、もっともっと進んだ時に不登校に限らず、例えば社会人になってまだ、えっと、就業ができてない人とかにも、えっと、ターゲットを持っていけるようにはしたいと思ってます。
[18:26] なるほど。ありがとうございます。
[18:28] あ、ぜひちょっとターゲットも聞きたいなと。最初のその不登校でって言葉があったかと思うんですけど、いろんなこう小学校から高校までいろんな時期で出てくるかなと思うんですけど、一番最初にこう使ってもらいたい層とかってのあったりするんですか？年齢層みたいな。
[18:46] いや、特にはないんですけど、やっぱり同年代付近が1番テストをしてくれる人間が多いので、高校生から収録に始めていきたいですね。
[18:59] あ、なるほど。分かりました。となるとこう身近なのでいくと、秋田県だと秋田市の子高校生の仲間たちから広がっていきながらっていうところですね。
[19:09] そうですね。で、えっと、発達特性を持ってる人達ってやっぱり多いと、えっと、社会に出た時にそういう発達特性を持ってる人を支援しますよみたいなところで働くか、もう本当に働きもできないような人がいるとも思うんですけど、やっぱりその上か下かしかない状況に、真ん中の道を作って作れるアプリにもしたいなと思ってます。
[19:39] うんうんうんうん。
[19:40] なるほど。その真ん中のところっていうのは、実際にこう、何でしょう、企業に就職してとか、もしフリーランスで社会に貢献してとか、なんかそんなイメージですかね。
[19:49] そうですね。で、やっぱり真ん中、それこそ通級指導とかに行ってる発達特性っていう病名を持ってないけど苦しんでるような不登校にも手を差し伸べれたらいいと思ってます。
[20:03] なるほど。分かりました。
[20:05] 不登校の方に手を差し伸べるっていうのが、このGenesisが横にいてくれて、自発的に作業してくれるってことなんですよね。
[20:13] うん。なるほど。分かりました。ありがとうございます。
[20:16] これなんか、ちなみにこのGenesisを使える環境っていうのは、スマホ、パソコン、なんかそういうデバイっスって制限あったり、想定したりするんですか？
[20:25] 最初はやっぱパソコンから始めて、次にiPadかな。iPad。うーん、スマホで言ったらやっぱりゲームに行かせるっていうGenesisとあんまり、なんだろうな、成功性ってか、相性が良くないのかなとも思います。
[20:47] なるほど。じゃあまずパソコンとかタブレットあたりから、あたりという、その辺りを狙ってるってことなんですね。
[20:54] そうですね。
[20:55] うんうんうんうん。
[20:57] 分かりました。ありがとうございます。
[20:59] なんかこう、なんだろうな、こういう、こういう風なツールを使う方々にとって、新しいこういうサービスを使う事っていうのは、ユーザー側のハードルとかってのはあったりするもんですか？それとも結構前のめりだったりするとなんか、その辺て感覚ありますか？
[21:16] そうですね。うん。
[21:19] でもうマインクラとか、ロブロックスとか、あと、ま、でもそういうゲームに紐付けるんで、うんうんうんうん。
[21:32] そういう意味ではやっぱり入り口ってのは広く荒れるのかなって思います。
[21:38] あ、なるほど。そっかそっか。じゃあ既存のある程度マインクラとかあるものに対して一緒にこのGenesisが横にいるみたいな感覚でやると、あの、心理的なこうハードルも下がって使ってもらいやすくなるっていうのを想定していらっしゃる。
[21:53] そうですね。
[21:54] うんうん。
[21:55] 分かりました。ありがとうございます。
[21:58] じゃあちょっとお時間もだんだん迫ってきそうなんで、なんか、えっと、もう1、2個くらいのご質問でと思ってるんですけど。
[22:04] もしこう採択させて頂いて、この5ヶ月間ですね、あの、小林さんのほうでこれを開発してやってくってなった時に、プログラムとして期待してることみたいなところって、このプログラムの5ヶ月間期待してることってあったりしますか？
[22:19] えっと、やっぱり今現時点で完成してるのは最初の基盤部分だけなので、と言ってるようにさっきの、えっと、測定ゲームの75%以上、誤差10%以内と、えっと、マインクラフト、ロブロックス、ま、余裕があったらアイビスペイントやVSコードなどのアプリとちゃんと繋がれて、ちゃんとアプリとして成立するところまでは作りたいと思います。
[22:49] あ、なるほど。分かりました。そこまでこう作り切るっていうところのあれですね。あ、ありがとうございます。
[22:55] あ、そう先ほどちょっとそう、今数字が出てきて思い出したんですけど、そのパーセントを上げる、75%以上にする、とか話あったかと思うんですけど、そういったパーセントを上げる工夫っていうのは、なんかシステマティックに進められるも、時間があればできるって世界なんですか？
[23:12] えっと、その点に関しては、えっと、ずっと横にいてくれる高崎先生がやっぱり心理療法士の資格を持ってるので、そういうところの経験とかアドバイスとか、あともうずっと繰り返しのテストをしつつ、ちょっとずつでも上げていきたいと思います。
[23:31] あ、なるほどなるほど。じゃあこう、何かシステマティックにやるというよりは、実際にこう話を聞いてたノウハウを吸収して作ってく、構築してくてパーセントを上げてくっていう、そんなアプローチになってくところですかね。
[23:44] うんうんうん。
[23:46] 分かりました。ありがとうございます。
[23:48] で、は、えっと、逆にあの、小林さんの方からなんかプログラムに関してのご質問だったりとか、なんか現時点での不明点があったらお伺いしたいなと思うんですけれども、いかがでしょうか？
[23:58] えっと、なんだろう、やっぱりこういうなんか面談みたいな、プレゼンみたいな機会って今まで全然なかったので、はい。
[24:08] なんかいっぱい、なんだろう、そういう場に立ってる人に、なんだろう、この今今日のプレゼンがどういうところが、こういうところをもっと良くしたらいいよ伝わりやすいよみたいな。
[24:23] こういうところはやんない方がいいよみたいなアドバイスなどあればお願いします。
[24:29] あ、ありがとうございます。
[24:30] そうですね。なんかこう、僕も色々仕事でプレゼンする機会とかって多いんですけど、プレゼンのお話を伺いしている中で、全くなんかその不慣れな感じは本当にしなくて。
[24:41] あの、純粋に聞く、聞いてて、あの、理解することができました。で、質問に対しても、しっかり受け答えして頂いて、あの、僕自身の理解も深まったと思ってます。
[24:52] で、うーん、そうですね。何か直すというところよりも、なんだろうな。僕が、あの、例えばこのGenesisと利用者さんの立ち位置ってどうなってるんでしょうか？みたいなところで、こう、疑問に思うところって言うんですかね。いうところに対して、ま、あの、事前に準備資料を作る段階で、なんかこう、初めて聞く人はこの辺引っかかりそうだなみたいなとことか、あとは意外とあるのが、自分がすごい工夫したポイントって、あの、すごくロジックが組まれすぎているが故に、初見の人には伝わらなかったりするみたいなのが結構多くて。
[25:29] なので、自分がすごく工夫したりとか、なんか考えたポイントほどしっかり背景とかからこう順序立ててゆっくり話していくと、あの、理解して頂きやすいっていうのがあるので、なんかそんな、あの、準備をちょっと心に留めてみるのも、1つもっともっと良くなるポイントなのかななんての思います。
[25:48] ありがとうございます。
[25:50] いい。あの、全然こうお話しして頂いてるところもそうですし、質問して最後に僕が納得するっていうゴールまで今日お話お伺いできてるので、全くなんかその不慣れだったりとか、ちょっとこう分かりづらいってところはないので、その点はご安心頂きたいですし、ご自身の強みにしてい頂いても大丈夫です。
[26:10] ありがとうございます。
[26:10] そんな形ですね。
[26:12] はい。
[26:13] ありがとうございます。あとは大丈夫そうですか？
[26:15] 大丈夫です。
[26:16] あ、分かりました。ありがとうございます。
[26:18] では、じゃあちょっと事務局から、あの、何点か、あの、ご連絡事項というところで最後にを伝えさせて頂きます。
[26:25] で、えっと、1つがですね、もうすでに、あの、小林さんの方で大丈夫かなと思うんですけど、このプログラム自体採択させて頂いたら、自分の手でまずは開発をしていくっていう風なところが前提になってますので、ぜひ自分の手で、え、物を作ってくってことを意識しながら、採択させて頂いた際はプログラムにご参加頂けると嬉しいなと思ってます。
[26:44] はい。
[26:45] はい。で、えっと、2つ目が、うん、と、今回このプログラムが、おそらくですけど、あの、学生と社会人が混在するようなプログラムになると想定してます。
[26:55] あの、どっちかの属性だけになるってことはなさそうではあるので、あの、その点ですね、実際に採択させて頂いて集まった時にですね、いろんな属性の方いらっしゃるってことだけ事前にご承知おき頂ければと思います。
[27:08] はい。
[27:10] で、えっと、最後ですね、今回この面談させて頂いて、えっと、内容を見まして採択の可否みたいなところにつきましては、来週の7月の13日に、あの、メールにてお伝えさせて頂きますので、ちょっと1週間ほど時間空いてしまうんですけれども、ちょっとお待ち頂けたらなという風に思ってます。
[27:27] 承知しました。
[27:28] はい、ありがとうございます。
[27:30] で、最後になるんですが、えっと、もしよかったらこの問頂いた資料を後ほどメールか何かで頂くことって可能でしょうか？あ、ありがとうございます。
[27:38] で、は、ちょっとメールで後ほど頂けると嬉しく思います。
[27:42] 承知しました。
[27:43] はい。えっと、事務局からですね、私の方からお伝えしたいこと以上になるんですけれども、全体通じて小林さんの方からなんかご質問とかございますか？
[27:51] 大丈夫です。
[27:52] あ、大丈夫ですか？ありがとうございます。
[27:54] では、えっと、本日の面談こちらで終了となりますので、お忙しいところ本日お時間頂きました。ありがとうございました。
[28:01] ありがとうございました。
[28:03] ありがとうございました。ではこちらで失礼致します。
[28:05] 失礼します。
[28:06] あ、ありがとうございました。
[28:07] ありがとうございました。アドバイスまで頂いてありがとうございます。
[28:10] すいません、恐縮です。僕またよろしくお願いします。
[28:12] はい、よろしくお願いします。失礼します。
[28:14] はい、よろしくお願いします。失礼します。
