[00:00:00] こんばんは。お疲れ様です。
[00:01:00] ちなみあれですね、たまて箱っていう新機能もね。
[00:01:00] そうですね。
[00:01:01] 匠くんが後でインストールして開くでところでみせても見れるんじゃないかなと思いますので。
[00:01:02] うん。
[00:01:02] えっとこれがトップかな。
[00:01:02] あ、これがですね、今新しく作ったKindleメーカーっていうので、えっと。
[00:01:05] あの、なんて言うんだ？
[00:01:06] Kindlをもう全部作るってやつです。
[00:01:06] で、それもあの。
[00:01:08] 例えば今までの何でしょう、いろんな資料とかですね。
[00:01:09] 講演した資料とか。
[00:01:10] それこそ本の原稿、YouTubeとかに使った原稿とか、ま、そういうようなテキストデータ。
[00:01:11] あとはなんか画像とかでになっちゃってるスライドのやつとかもここにポンポンポンポンて全部放り込んでくれれば、あの、えっと。
[00:01:13] 読み込みますし、で、ここ、ま、どんな本にしたいとか。
[00:01:13] 僕今回ちょっとサンプルで今。
[00:01:14] えっと。
[00:01:15] 子供たちには。
[00:01:17] どういった。
[00:01:18] どういう。
[00:01:19] ICT教育を届けるのが正解なのみたいな本を出そうとしている。
[00:01:21] ま、なんか、ま、日々結構これは割と普段僕が教室やってて、お客さん。
[00:01:22] 親御さんとかによくいつも言うんですけど、あの、スマホとかを先に買い与えるよりも先にパソコン買い与えた方がいいよとか。
[00:01:23] そういうような話をまとめて、まとめて本にしようとしてます。
[00:01:24] 昨日書き始めました。
[00:01:25] ここ、このどんな本にしたいんだとかに僕は自分のブログのURL入れたら、それも全部読み取ってくれましたねちゃんと。
[00:01:26] あ、なるほど。
[00:01:26] で、多分おそらく結構今の今ままでちょっとアップでしてたんで、ちょっと色々と入れられる項目も増えてます。
[00:01:27] 確かに、増えた。
[00:01:27] 増えた。
[00:01:27] うちのうちのとは違うね。
[00:01:28] あい、そうなんです。
[00:01:28] ちょっとだなので再度ダウンロードをよろしくお願いします。
[00:01:28] はい、やってきます。
[00:01:29] はい。
[00:01:29] で、えっと本とかの形式とかも選べるようにして、もう全部、全部ある。
[00:01:29] すごいと思います。
[00:01:30] で、漫画とかもありますから。
[00:01:30] で、ちなみに僕は漫画エッセイにしました。
[00:01:31] えっと漫画があってコラムがあって漫画があってコラムがあってみたいなやつ。
[00:01:31] だ、それを漫画から全部作る。
[00:01:32] あとはテキストの素材っていうところでなんかSNSのちょっとバズった記事とか、なんかそういうブログの記事とかを文章とかで入れたければ入れられるし、あとSNSのURLもここに入れてくれれば入れておけば全部、あの、アカウントを読み取りに行きますし、あとキャラとか漫画とか使いたくてロゴとかキャラとか出したかったらここにばばばばばばって、いっぱい入れたい画像を入れていけば全部、はい、入れられる。
[00:01:38] っていうので登録もできるし、別に登録しなくても考えてくれる。
[00:01:39] あとは動画のYouTubeとかの素材とかもあればいっぱいこれも動画素材も読み込ませられる。
[00:01:40] ていうのでぽちってやるとダダダダダって本が作られます。
[00:01:41] で、一回もう僕はちょっとこれ、超巨大作業になるんで。
[00:01:42] あの、結構時間はかかるんで、もう一回出力したのを今見せますね。
[00:01:42] で、この後匠くんが実際にダウンロードするところからやって、あの、あの、どういう風に読み込ませていくかとかをちょっと見せられると思います。
[00:01:44] 多分。
[00:01:44] で、一応ま、できたやつっていうところで本のリストっていうところにものこの、えっと。
[00:01:47] もうできててなんかあのKindlで色々出す時ってなんか出さなきゃいけないデータとかがあるんですけど、それも全部作ってくれます。
[00:01:48] 表紙の画像とか。
[00:01:48] なんで、Eパブっていうのがあるんすかね？
[00:01:49] Eパブ、Eパブ形式ですね。
[00:01:50] ですね。
[00:01:50] なんかそのEパブ形式のなんかデータとかを作られてます。
[00:01:51] うんうんうん。
[00:01:51] これが結構めんどくさくて、昔コンバーターみたいなのを挟んだりとか。
[00:01:52] あ、そ、あ、その、えっと、そう、なんかそれできてきました。
[00:01:53] キンドルクリエイターみたいなのがあって。
[00:01:53] うんうんうん。
[00:01:54] それを、え、あ、その機能は自分で自作する形で組み込んであります。
[00:01:55] あ、そうですね。
[00:01:56] で、そこでなんかい色々と、なんだ、KDPガイド。
[00:01:56] なんか、多分設定もあるんすよね。
[00:01:57] うんうんうん。
[00:01:58] で、なんかちょっとアカウントの登録やらなんか、多分、えっと。
[00:01:59] かなり細かくもうほぼKindl出版に全ての項目入ってきちゃって。
[00:02:00] あ、なんか全部調べて全部入れてって言ってあるんで。
[00:02:00] あ、で、そう、そ、その結果ダダダダっと設定ができた上で原稿も全部できてるのが分かると。
[00:02:01] とりあえず1から8章まで。
[00:02:02] ちなみに内容の登場人物たちはイフ塾っていう塾を僕たちやってるんですけど、匠くんと。
[00:02:03] そこのイフ塾の中で、えっと、真剣ゼミみたい真剣ゼミのテイストをパクった漫画を載せてて、そこに出てくるキャラたちを当てはめてます。
[00:02:05] 懐かしいっすね。
[00:02:06] ここでリバイバルで出てくるっていうね。
[00:02:06] で、ま、一応この章修正するとかって、ばーっと文章がこうやって書かれている。
[00:02:07] で、ま、これはま、文章だし、なるほど、文章だなって感じです。
[00:02:08] で、さらに僕の場合は漫画、あと漫画コラムだったんで、漫画の方も編集が、漫画の方も同じ賞立てで実はできている。
[00:02:10] あ、同時にできるってことですかこれ。
[00:02:10] あ、そうです、そうです、そうです。
[00:02:11] すごいっすね。
[00:02:11] すごいっすね。
[00:02:11] 漫画どこまでできてんのってなるとこんな感じ。
[00:02:12] ああ。
[00:02:12] ちなみに、あ、これ、あ、間違った。
[00:02:12] これじゃねえや。
[00:02:13] えっとね、3歳のあいちゃんとエカードからだ。
[00:02:14] そう。
[00:02:14] 第1章は、なんとエカードから始まるっていう。
[00:02:16] そう。
[00:02:16] 小っちゃい子にはデジタルデバイスは、えっと、よほどの事情がない限り、そんなに与えなくていいっていうのが僕の結論ですので。
[00:02:17] 最初はエカードとかで基礎学力をつけましょう。
[00:02:18] ここがスタートですね。
[00:02:18] エカードと絵本の読み聞かせ、これに尽きます。
[00:02:19] ああ、やばいですね。
[00:02:19] 4歳でもうiPhoneでYouTube見てましたね。
[00:02:20] まずいですね。
[00:02:20] たまに、たまにそれによって化け物になる可能性もあるから。
[00:02:21] それはそれだよ。
[00:02:21] まずいですね。
[00:02:22] 今ね、ちょっとやっぱりコンテンツの消費者みたいのにはなりやすいな。
[00:02:22] でも結構漫画自体はちなみに結構できが良くてですね、ま、これなんとなくおばあちゃんがお手軽だからって、iPad渡して動画見せちゃったりしてる。
[00:02:24] また動画見せてるみたいなんで、お母さんちょっと悩んでて、エカードとかが大事なんですねって言われて、えっと、あ、エカードだ。
[00:02:25] って言って実際言葉でやってみたら意外と言葉の力が伸びてきたみたいになって、あの、今度はこっちがいいみたいに、これ第1章。
[00:02:26] うわあ、めっちゃ真剣ゼミとかに来るやつだこれ。
[00:02:27] ベネッセから来るやつだこれ。
[00:02:27] 漫画っぽい。
[00:02:28] あ、でもこれででも一応ちょっとそういうので、あの、どういう時期にデジタルデバイスを与えていったらいいのかとか、そういうちゃんとAIとかをどう使わせてくのかっていうのが、えっと、この後の話です。
[00:02:30] 繋がって展開していきますっていうので、一応でも全部、で、これが一発ポン出しで全部ができた状態です。
[00:02:30] やばいっすね。
[00:02:31] なので、皆さんを今日来た人はラッキーです。
[00:02:31] あの、是非あの出版、出版しましょう。
[00:02:32] 今日、今日あれですあの、出版するまで帰れませんです。
[00:02:32] いきなり何も言われず来てて出版で。
[00:02:33] 出版講座じゃない。
[00:02:33] ただってのほうが売れるんじゃないですかこれ。
[00:02:33] 確かに。
[00:02:34] ちなみにあのチャット欄にも今、出版したことありますかってのと、出版したい本があったら教えてくださいってあるんで。
[00:02:34] はい、あの、是非皆さんもコメントで。
[00:02:34] ね、おぐらさん10冊もKDPで出版してるってか。
[00:02:35] ええ。
[00:02:35] 高山も商業出版してるし、著者もいますからね。
[00:02:35] あ、マジすか。
[00:02:36] ええ。
[00:02:36] 著者の人は早いっすよ話が。
[00:02:37] 早いっすね。
[00:02:37] 早いっすね。
[00:02:37] ま、是非それでちょっとそのもっとこういう風にな、こういう機能あったら作りやすいんだよなとか、この今ライブ中に教えてくれれば、あの、それも修正しますんで。
[00:02:38] あ、結構書いてらっしゃる方が多い。
[00:02:38] Aプラスコンテンツが作れると嬉しいすね。
[00:02:39] ああ、あ、絵本が、絵本は入れてあります。
[00:02:40] あ、Aプラスコンテンツ。
[00:02:40] Aプラスコンテンツ。
[00:02:40] Aプラス、あ、Aプラスじゃなくて。
[00:02:41] え、キンドル出版した時にトップページにHTMLでいろんなコンテンツを置いて、そこにこんな本だよとか、あの、作れるんですよ。
[00:02:42] ああ、なるほど。
[00:02:42] ランディングページにできるんですね要は。
[00:02:43] 自分のKindlの本のページが。
[00:02:43] で、それ作るのすごくめんどくさくて。
[00:02:44] あ。
[00:02:44] なるほど。
[00:02:44] あ、はい、はい、はい、はい、はい、はい、はい、はい。
[0m44s] ああ、なるほど。
[0m45s] あの、Amazon、あ、すいません、あの、べつ出しちゃいますけど、Amazonとかで。
[0m45s] 作ったんだったっけな？
[0m45s] なんかありましたよ言われてみれば確かに。
[0m46s] あの、下の方、あの、あの、すいません、企業名出しちゃいますけど、Amazonとかで買い物する時に、あの、商品とかの、ま、何でもいいんですけど、スマホならスマホとかで下の方に行ったらなんかちょっとその商品のLPの一部とかみたいあるの分かります？
[0m47s] 画像とかで商品説明みたいな。
[0m47s] 中華の怪しいやつとかだといかにもなんか、ああ、そういうっぽい、あの、あれの分かります？
[0m48s] 充電器とかで。
[0m48s] あれなことですねAプラスって。
[0m48s] うん。
[0m49s] あれちょっと作るとめんどくさいっていうのがこれでできると楽って話ですよね。
[0m49s] うんうんうん。
[0m49s] あ、で、結構いいですね。
[0m49s] でもEパブでつまづきましたとかちょっと、あの、お話が出てますんで。
[0m50s] いいっすね。
[0m50s] あ、でもちょっとまだ実はその出版してないんでEパブが通るかどうかってことか、あの、試せてなくて、その、その人柱にぜひね、あの、皆さんをなっていただいて。
[0m51s] ないすよ。
[0m51s] これ水曜日のライブで僕がリクエストした機能がすぐ高崎さんが作れたっつって。
[0m52s] で、今日のね、緊急開催にも繋がってるんですけど。
[0m52s] 出来立てほやほやですからね皆さんね。
[0m52s] 結構これあの。
[0m52s] やばいね。
[0m53s] 意外と僕がちょっとただ、ただ単に自慢したいのが、あの、漫画機能、漫画機能をまず自慢、自慢したいんですけど、なんかやっぱりどうしてもAI作成だとかなんかセリフが逆になったりとかしやすいいんすよ。
[0m54s] あと文字化けとか昔めっちゃ来ましたね。
[0m54s] 今文字化けはちなみにゼロだね。
[0m55s] うんうんうんうんうん。
[0m55s] で、あ、てか、あの文字化けはこれ、あれ、文字はね、打ってるから。
[0m56s] ああ、ああ、なるほど。
[0m56s] で、えっと、吹き出しが生成されるのも自動でやるんだけど、これ、あの、こっちのこのセリフがこの見てみてこれ新しいゲームで、あいちゃんのセリフがいいなじゃん。
[0m57s] ああ、逆になってますね。
[0m57s] 逆なのよ。
[0m57s] だけどこれ見てみて新しいゲームとかってこの、このセリフを、えっと、だから。
[00:59:16] えっと、吹き出し1、左上、しっぽ向き右とかにすると。
[00:59:18] あ、で、えっといいなもやろうか。
[00:59:19] いいなは、えっと、吹き出し1右上、しっぽの向き左でやれば、あの、修正ができる。
[00:59:21] うんうんうんうん。
[00:59:21] さすがに一発だとまだそこまで精度高くないってことですか。
[00:59:22] これ、これはね、一発で全部正確に出すはね、多分、えっと、結構永久にできないと思う。
[00:59:24] ああ、ああ、あー、あー。
[00:59:24] 相当むずい。
[00:59:25] AIのとして。
[00:59:25] GPTD0とか20じゃ、2.5とかその時代ならね。
[00:59:26] で。
[00:59:26] 結局なんか漫画っていうのはなんかどうしてもきも漫画に、AIできも漫画になっちゃうのが一発でなるから本当に。
[00:59:28] あの、この美修正はちょっと人の手で加えられて、それが正確にできる仕様にする方がいい漫画家さんにはなれる。
[00:59:29] うんうんうん。
[00:59:29] ああ、そこ、先生途中で諦め尽きません？
[00:59:30] ん？
[00:59:30] 先生途中で嫌になりませんそれで。
[00:59:30] 大丈夫っすか？
[00:59:31] このちまちまが。
[00:59:31] はい。
[00:59:31] あ、だからあれだよね。
[00:59:32] あの、あ、でもそう、そう、これ、で、これを実はでも結構。
[00:59:32] こっちの元のプログラムを開いてる方。
[00:59:33] ああ、ここで直させるってことですか。
[00:59:33] ここで結構そのこのセリフはセリフがこうで、このセリフはこんな方でってのをスクショでばって貼れば全部一括で直してくれるから。
[00:59:35] ああ、まあまあ、それができるんだったらいいです。
[00:59:35] そうそうそう。
[00:59:35] そういう使い分けをしながら、なんか僕はなので、普段、例えばガチでこの漫画を作りたいなと思ったら、この漫画を作って、出てきたものを見て、あ、元のツールで吹き出しとかは普段からなるべくちゃんとキャラに合うように出してみたいな。
[00:59:40] ま、でもちょっとこれはあれかもね。
[00:59:43] えっと逆に言うと、伝えてみてもいいのかもしれないね。
[00:59:45] あ、こういう、ここかな。
[00:59:45] 例えばこういう、えっと、できてないコマをスクショで撮って。
[00:59:46] で。
[00:59:47] こっちの元のプログラムの方で。
[00:59:48] 画像のように、えっと、セリフが逆になってる画面が多々あります。
[00:59:50] 修正はツールによってできますが。
[00:59:52] えっと。
[00:59:53] なるべく。
[00:59:54] キャラとセリフは合っているようにしてください。
[00:59:56] ドン。
[00:59:57] てやって、なんかその出て、ツールが出すものを見て、その仕上がりを見て、あ、ここであ、このツールはちょっとセリフとかがごっちゃになりやすいなっていうのを、見て、元のツールに戻って、えっとセリフをごっちゃにならないようにしてくださいって言って、また出力させてみた時に、あ、セリフがえっと出るようになったなみたいな感じでどんどんツールの質を上げてってんです。
[01:00:10] なので。
[01:00:12] 僕がちょっとハマったやつは、多めにこの繰り返しをやってるので精度が上がってるし、なんとなく作ったやつはちょっと荒かったりします。
[01:00:14] ここ、ここに熱を感じますね。
[01:00:15] そう、そうですね。
[01:00:15] 作り込まれてる。
[01:00:15] そう。
[01:00:16] あの、やっぱり僕が僕結構一番憧れてる職業ナンバーワンが漫画家でして。
[01:00:17] あ、そうなんすか。
[01:00:17] はい。
[01:00:18] 漫画家とゲームクリエイターが結構やっぱり憧れてるポイントが高いんすよ。
[01:00:20] で、ゲームはなんとなく作れるけど、漫画はやっぱり絵が下手っていう致命的な欠点があって。
[01:00:22] ま、どうしてもちょっと原作者とかにでいけるじゃんっていうそういう、えっと、説もありますけど、なんか原作者って僕の中でちょっと漫画家っぽくないんすよね。
[01:00:25] 怒られるかもしれないけど。
[01:00:26] ま、分かりますでも絵を書いてる人がやっぱ漫画家だよね。
[01:00:27] うん。
[01:00:27] あ、で、で、その絵を書いてる人がストーリーも作っててほしいんすよ。
[01:00:28] うんうんうん。
[01:00:28] 手塚治虫とかそうやったじゃないすかっていう。
[01:00:29] うん。
[01:00:29] まあ、ま、なんか僕の中でのま、漫画家も完全に手塚治虫と藤子不二雄なんですけど。
[01:00:30] 神様ですねもうね。
[01:00:31] はい。
[01:00:31] でも。
[01:00:31] そういうところへのちょっと憧れがありまして。
[01:00:32] で、なんか意外とやってったら結構細かいところまで直せるような感じにしていけたんで、それでこり出したらもうなんか止まんなくなっちゃってるのが今でございます。
[01:00:34] なので、これマジで結構クオリティ高いところまでいけると思いますよ。
[01:00:36] これちなみに僕今玉手箱から更新をして新バージョンにしたつもりなんですけど、なんか、あれ、なんかさっき見せていただいてたあの素材の1のところって今まだ1、2、3しか出てこないんですけど、これって最新版は違います？
[01:00:40] 素材の時点で。
[01:00:40] ええと、ちょっと待ってくださいね。
[01:00:41] ええと、ええと、ええと。
[01:00:42] ちょっと、で、プレッシャーを与えとけば。
[01:00:42] 怪しい。
[01:00:43] これで言うと、えっと、素材は。
[01:00:43] あ、全然違う。
[01:00:43] あれ、なんだろう。
[01:00:44] ええと。
[01:00:45] これちなみに玉手箱から更新押せば更新されると思ってたんですけど、そうでもないんですか？
[01:00:46] やっぱり。
[01:00:46] その繋がりが弱いかもしんないすね。
[01:00:47] ええと、見てないすけどね。
[01:00:48] このツールを。
[01:00:48] 玉手箱の中には入ってはいました？
[01:00:49] 入ってます。
[01:00:49] 入ってます。
[01:00:49] ちょっとけ、結構でもこの、このアプリ、結構難しいんすよ、作るの。
[01:00:50] やるね。
[01:00:50] 嬉しい。
[01:00:50] え、僕結構エンジニアレベルこれバリ高いと思いますよ。
[01:00:51] 自分って言うのはあれですけど。
[01:00:51] これ、普通のデスクトップのインストーラーですよねこれ。
[01:00:52] インストーラーだけど、中身の構造のいろんな入り組度というか、ぎちぎち度結構今回頑張ってますよ、これ。
[01:00:53] ああ、プロフェッショナルな。
[01:00:53] はい。
[01:00:54] あの、専門家、専門家の意地を出してます、今回のアプリは。
[01:00:54] あ、先生。
[01:00:55] 配布されたアプリ自体がIntel Macに対応していませんって、ことはってあります？
[01:00:57] なんか多分。
[01:00:57] 言われてしまったのですが。
[01:00:57] なるほど。
[01:00:58] あの、形式違うんですよ、確かあれ今。
[01:00:58] ああ。
[01:00:59] Appleシリコンってことだよね。
[01:00:59] そうですよ、そうですよ、そうですよ。
[01:01:00] えっと、じゃあ、えっと、ちょっと待ってね。
[01:01:00] このツールを、えっと。
[01:01:01] てことはもう6年使われてるってことですか。
[01:01:01] Intel Macってこと。
[01:01:02] そうそうそうそうそうそう。
[01:01:02] パソコン探偵が。
[01:01:02] パソコン探偵が。
[01:01:02] そこでIntelって分かるのすげえな。
[01:01:03] Intelが6年以上前なので。
[01:01:03] へえ、こんな立つんだ。
[01:01:04] 探偵が。
[01:01:04] そっかそっか。
[01:01:04] 捜査を開始しましたね。
[01:01:05] 更新したらアプデされるよね。
[01:01:06] 多分ね。
[01:01:06] されないって言われた。
[01:01:07] 多分完全に別形式になるんじゃないですかね。
[01:01:07] Intel Macのインストーラー。
[01:01:08] Intel Macが。
[01:01:08] 作。
[01:01:08] すでに今現状使えないすか？
[01:01:10] 多分、多分弾かれると思いますよ途中で。
[01:01:10] 多分。
[01:01:10] これはこの。
[01:01:10] だから多分この、対応してないんすね、あれね。
[01:01:11] 更新したらアプデされるよね。
[01:01:12] されないって言われた。
[01:01:12] 多分完全に別形式になるんじゃないですかね。
[01:01:13] Intel Macのインストーラー。
[01:01:13] Intel Macが。
[01:01:14] 作。
[01:01:14] すでに今現状使えないすか？
[01:01:15] 多分、多分弾かれると思いますよ途中で。
[01:01:15] 多分。
[01:01:16] これはこの。
[01:01:16] だから多分この、対応してないんすね、あれね。
[01:01:17] 更新したらアプデされるよね。
[01:01:17] されないって言われた。
[01:01:18] 多分完全に別形式になるんじゃないですかね。
[01:01:18] Intel Macのインストーラー。
[01:01:19] Intel Macが。
[01:01:19] 作。
[01:01:19] すでに今現状使えないすか？
[01:01:20] 多分、多分弾かれると思いますよ途中で。
[01:01:20] 多分。
[01:01:21] これはこの。
[01:01:21] だから多分この、対応してないんすね、あれね。
[01:01:22] 更新したらアプデされるよね。
[01:01:22] されないって言われた。
[01:01:23] 多分完全に別形式になるんじゃないですかね。
[01:01:23] Intel Macのインストーラー。
[01:01:24] Intel Macが。
[01:01:24] 作。
[01:01:24] すでに今現状使えないすか？
[01:01:25] 多分、多分弾かれると思いますよ途中で。
[01:01:25] 多分。
[01:01:26] これはこの。
[01:01:26] だから多分この、対応してないんすね、あれね。
[01:01:27] 更新したらアプデされるよね。
[01:01:27] されないって言われた。
[01:01:28] 多分完全に別形式になるんじゃないですかね。
[01:01:28] Intel Macのインストーラー。
[01:01:29] Intel Macが。
[01:01:29] 作。
[01:01:29] すでに今現状使えないすか？
[01:01:30] 多分、多分弾かれると思いますよ途中で。
[01:01:30] 多分。
[01:01:31] これはこの。
[01:01:31] だから多分この、対応してないんすね、あれね。
[01:01:32] 更新したらアプデされるよね。
[01:01:32] されないって言われた。
[01:01:33] 多分完全に別形式になるんじゃないですかね。
[01:01:33] Intel Macのインストーラー。
[01:01:34] Intel Macが。
[01:01:34] 作。
[01:01:34] すでに今現状使えないすか？
[01:01:35] 多分、多分弾かれると思いますよ途中で。
[01:01:35] 多分。
[01:01:36] これはこの。
[01:01:36] だから多分この、対応してないんすね、あれね。
[01:01:37] 更新したらアプデされるよね。
[01:01:37] されないって言われた。
[01:01:38] 多分完全に別形式になるんじゃないですかね。
[01:01:38] Intel Macのインストーラー。
[01:01:39] Intel Macが。
[01:01:39] 作。
[01:01:39] すでに今現状使えないすか？
[01:01:40] 多分、多分弾かれると思いますよ途中で。
[01:01:40] 多分。
[01:01:41] これはこの。
[01:01:41] だから多分この、対応してないんすね、あれね。
[01:01:42] 更新したらアプデされるよね。
[01:01:42] されないって言われた。
[01:01:43] 多分完全に別形式になるんじゃないですかね。
[01:01:43] Intel Macのインストーラー。
[01:01:44] Intel Macが。
[01:01:44] 作。
[01:01:44] すでに今現状使えないすか？
[01:01:45] 多分、多分弾かれると思いますよ途中で。
[01:01:45] 多分。
[01:01:46] これはこの。
[01:01:46] だから多分この、対応してないんすね、あれね。
[01:01:47] 更新したらアプデされるよね。
[01:01:47] されないって言われた。
[01:01:48] 多分完全に別形式になるんじゃないですかね。
[01:01:48] Intel Macのインストーラー。
[01:01:49] Intel Macが。
[01:01:49] 作。
[01:01:49] すでに今現状使えないすか？
[01:01:50] 多分、多分弾かれると思いますよ途中で。
[01:01:50] 多分。
[01:01:51] これはこの。
[01:01:51] だから多分この、対応してないんすね、あれね。
[01:01:52] 更新したらアプデされるよね。
[01:01:52] されないって言われた。
[01:01:53] 多分完全に別形式になるんじゃないですかね。
[01:01:53] Intel Macのインストーラー。
[01:01:54] Intel Macが。
[01:01:54] 作。
[01:01:54] すでに今現状使えないすか？
[01:01:55] 多分、多分弾かれると思いますよ途中で。
[01:01:55] 多分。
[01:01:56] これはこの。
[01:01:56] だから多分この、対応してないんすね、あれね。
