はい、ありがとうございます。
[00:05:52] あ、そうか。もしかしたら予定、予定入ってなかったかな？
[03:56:69] で、前回ちょっと振り返りというか、こんなことやったよねって、まあ、あしらっていう名前も決まったし、え、こんな感じでざっくり行こうぜっていうのが決まって、ま、あと中身のシステムも、ね、決済周りとか、え、回数制限入れるとか、ま、そういうのはあるにしても、ま、5月にはもう販売開始だからできそうな枠組みは決まった気がしたので、あと中身作っていくだったりとか、ね、あの、で、集客に関しては今来月また大きなイベントがあるので、また数千名規模で集まるよって話をしてて、で、そこで、え、そこを通してまた集まったところにこのサービスのオファーしたら、ま、かなり集まるんじゃないかなっていうのがあるので、ま、来月、ま、それはそれ別で中旬ぐらいですけど、ま、中旬ぐらいにこのサービスが販売開始できるときっといいんだろうなっていう勝手なイメージをしてます。はい、ま、来月中でもいいかもしれないですけどね。はい。
[04:22:64] はいはいはいはいはい。
[04:46:75] わかりました。
[04:47:49] あと何か今結構ちょっと別件なんですけど、なんか秋田の企業さんの方からなんか色々、あの、助成金使ってAI研修を今やってようみたいなことを結構言われていまして。
[05:01:80] お、いいですね。
[05:02:69] で、ちょっとそれでそのついでに、あの、多分助成金あの手続きが多分面倒ダメなんですよ。
[05:10:49] そうですよね。
[05:11:34] で、それをあの、相手の会社さんに申し込んでもらわないといけなくて。
[05:16:03] うんうんうん。
[05:16:35] で、これをちょっと、まあ、えっと、全部、えっと、自動で申し込める仕組みみたいなのをそこをちょっと一緒に作っちゃって、それもまたなんか一緒に全部使っていけたらななんてちょっと持ってます。
[05:29:08] はいはいはい。
[05:30:52] あ、でも確かに。そういうのもなんかもうまさにいっぱい眠れる需要がありそうですね。
[05:36:58] そうなんですよ。一応結構なんかあの、リスキリン、人材育成リスキリング助成金みたいなので、企業とかが多分AIの研修を1人あたり4万かかるところ、助成金出て3万出て1万で受けれるみたいなのあったりするんで。
[05:43:08] うんうんうん。
[05:56:49] うんうんうん。
[05:57:07] そういうフォーマットとかもなんか敷かれてると、なんか意外とかななんて思ってます。
[06:01:97] うんうんうん。
[06:04:42] まあ、逆にAIの得意なところでもありますもんね。
[06:06:53] うんうんうん。
[06:07:37] ええ、人間が極力やりたくないところだから相性いいですよね。
[06:11:93] うん。
[06:12:12] なので、そういうとこでちょっといろんな流入ルートとかを、作りつつ口座を固めていきたいななんて。うんうんうん。
[06:19:95] そうどうなんだろうな。もっと何か
[06:34:39] まあ、あとは中身と
[06:37:92] 前後の案内と、その形、形をどうするかぐらいじゃないですか。
[06:43:56] そうなんすよ。で、ブロックもこれもういちいち何、どんなブロックがあるとかもうもはや見る必要ほぼなく
[06:50:83] もうここに
[07:03:22] あの、Facebookのグループ1個作る感じになるんすか？そうすると。
[07:08:44] ん？
[07:09:05] そうではない。
[07:09:82] ああ、コミュニティみたいな。
[07:11:38] はい。
[07:12:77] うん。
[07:13:22] かに促す。
[07:14:38] あ、そうか。あった方がいいかもね。
[07:15:39] うん。
[07:17:34] なんかでも、ちょっと
[07:21:04] 散らかってる印象もあって。
[07:23:66] うん。
[07:24:43] なんか
[07:25:75] 今
[07:31:07] 今ってなんかその、えっと、クローコード実践会みたいなのがあって。
[07:38:00] やばしいかもしれないな。
[07:38:65] うん。そこから、ああ、で、GPTs、クローコード実践会とGPTs研究会は別ですもんね、建付けは。
[07:48:65] 別、うん。
[07:50:18] で、えっと、だけど、まあ、えっと、なんとなーく、クローコード実践会のことも、GPTs研究会の中とかで言ってたりとかもして、で、さらに別でアシュラが立ち上がりますみたいになあるんで。
[08:06:26] そうなんだよな。
[08:06:63] そうですね。
[08:07:44] なんかちょっと
[08:08:14] 多分ね、グループ
[08:09:29] うん。Facebookグループじゃなくてもいいかもしれないなって思って、ね、本当に。
[08:12:35] 僕がそれで言うと、なんか、あの、アシュラはGPTs研究会の子会社っぽい建付けになってるといいかなって思ってて。
[08:22:52] うん、あ、なるほど、確かに。
[08:24:60] ああ、はいはいはい。
[08:25:52] なん、で、なので、まあ、僕とひろ君とかタクミとかはまあGPTs研究会で普段喋ってるし、そこでやるんだから別にちょうどいいから。
[08:31:85] そうそうそう。
[08:35:46] ああ、はいはいはいはいはい。
[08:36:58] 確かに。
[08:37:41] 別で、別で作っちゃうと多分ちょっと散らかるから、GPTs研究会の中でアシュラっていうのを立ち上がりましたみたいなのでちょこちょこつぶやいていく方がいいのかなって。
[08:49:15] 確かに。
[08:49:50] ああ、アシュラからなんとかみたいなイメージですか？
[08:52:68] うん。
[08:53:72] なんか。だから、箱はGPTs研究会の箱の中に。
[08:56:88] はいはいはいはいはい。
[08:57:95] で、まあ、この、ね、得したというかね。
[08:59:71] GPTs研究会アシュラ事業部です。
[09:04:47] うん。
[09:06:17] GPTs研究会アシュラですか？
[09:07:59] 確かね。
[09:08:53] とりあえずGPTs研究会の中にるし、自然と目に触れるし、で、ね、それは、そっちの方が確かに、なんか、箱増えすぎるとね、どれがどれだかわかんなくなっちゃいますもんね。
[09:16:21] うんうんうん。
[09:19:37] かなと思いましたね。
[09:20:31] だってどうせGPTs研究会としてやってるから、ね、毎週水曜日の会もそうだし。うん。
[09:25:31] ああ、確かにそっちの方が
[09:26:48] アシラ会みたいなのが水曜日になるってことすよね。
[09:28:34] そうそうそうそう。
[09:30:19] そう、アシラ会になるって感じですよね。うん。
[09:33:14] 確かに。
[09:33:63] で、どんどん無料でね、お試しできますよって入ってくるってのができると、うん、めちゃくちゃ入りやすいすよね、確かにね。うん。
[09:41:26] いいすね。
[09:41:72] あ、そうしましょう。なんか箱増えると本当管理がえらいことになるんでね。うん。
[09:47:06] ま、というか、使う側も多分わけわかんなくなっちゃいますよね、あれね。うん。
[09:50:80] うーん。
[09:51:30] 僕両方に入ってるから、余計わけわかんなくなっちゃう。
[09:53:50] うん。
[09:55:54] どこ、どこでやるの？って
[09:57:48] うんうん。
[09:58:65] なりそう。
[10:01:46] ま、基本GPTs研究会見ててねって感じで。
[10:03:52] うん、そうですね。
[10:05:46] うん。
[10:07:69] ま、ま、それで余りにもなんかまたちょっと経路変わってきたらまた考えてもいいし、とりあえずスタート段階は、じゃあ、コミュニティはGPTs研究会の中の、なんか、え、投稿か何かのところにこうコメントしてもらうとか、あれ、GPTs研究会自由に投稿はできないけどコメントはできるので、こっち側で投稿はして、え、ユーザーはそこにコメントしてもらうみたいな感じ。うんうん。
[10:11:45] うんうんうん。
[10:13:96] うんうんうんうん。
[10:24:08] うんうんうん。
[10:32:41] アシュラ専用スレッドですとかみたいな。
[10:34:64] うんうん。
[10:36:27] それこそ、あの、水曜日のAIあの課題解決センターやりますみたいなやつみたいに、あそこでどんどん悩み課題ぶち込んどいてもらって、どんどんこっちが勝手に作って、こんなのできますぜってのを出していく。そしたら自然とアシュラの、え、サイトに飛んでって、あ、とりあえず無料お試しできるやった。で、続けたいから継続しようみたいな。ああ、めっちゃいいじゃないすか、それ。
[10:55:92] うんうんうん。
[10:57:33] あ、自然。
[10:58:53] 悩み相談担当をアシュラ君にした方がいいんだな。
[11:02:44] うんうんうん。
[11:06:21] アシュラ君、そうだね。あの、アシュラ君に、とりあえずまずは一時対応とか全部やってもらったら、なんだろう、変な人はじけるし、え、簡単な質問は全部やってくれるしみたいなね。うんうん。
[11:07:44] うんうん。
[11:13:69] うんうんうん。
[11:17:74] ちょっと、そういうの
[11:19:68] その窓口を作るかじゃ。
[11:22:15] うんうん。
[11:23:25] うんと、だから
[11:25:48] だから中華のAPIに対応させることですね、これで。
[11:27:72] そうそうそうそう。
[11:28:90] DeepSeekでいっかもうね。
[11:31:07] うん。
[11:33:40] あ、そうですね。V4をフラッシュで。
[11:35:67] うんうん。
[11:38:39] えっ、じゃあ。
[11:38:64] V4めっちゃいいって、みんな色々とってる。
[11:42:58] その相談さえ、相談
[11:47:49] そのじゃあ、アシュラ君のチャットボットみたいなのもサイトにあって。
[11:52:43] うん。
[11:53:77] サイトでなんか色々質問とかも普段できちゃうし、申し込みもできるようになったいて。
[12:01:83] うんうんうん。
[12:04:36] で、申し込みはフォーム、Googleフォームで多分いいですよね。
[12:10:04] うんうん。
[12:12:75] で、
[12:14:48] 申し込んだら何ができるようになるから、まずは、
[12:24:28] もしかして本当に依頼する時に申し込みさせる感じじゃないすか？
[12:27:94] うん。
[12:32:51] あ、というか。で、申し込んだ人は毎月何に参加できるの？参加もとができるところがないのか今。
[12:41:25] うんうんうん。
[12:41:96] うんうんうんうん。
[12:44:60] そうするとでももう、5月から毎月何かしらの口座はやりますって感じでいいんですかね？
[12:52:19] そうですね。5月から、ま、月1回なのか2回なのか、わかんないですけど、ま、決めたらもう、ね、なんか、毎週何曜日の何時からみたいな、あの、水曜日のね、朝6時半からみたいな、なんか、第一週と第三週の、え、水曜日の何時からとか、なんか決めちゃってもいいと思いますね、そうね。
[12:53:62] うんうんうん。
[13:02:64] うんうんうん。
[13:11:39] うんうんうん。なんか逆に、もうちょっと決めちゃいたいかもしんないすね。
[13:15:93] ね。
[13:16:32] うん。
[13:16:55] そっちのがね、なんか予定も。
[13:17:96] そしたらあの、僕はその建付け的なのはあの、作りやすくなります。
[13:22:90] うんうんうん。
[13:23:44] はい。
[13:24:66] えーっと、どうなんだ、こ、こういうのって何曜日の何時にやるのがみんなはいいんですかね？皆さんはいいんですかね？
[13:33:45] ね。
[13:34:10] 夜派とさ、昼間派が結構分かれるから、ま、それも入ってきた人によって要望によって変えてったりはするんですけど、ま、1個は昼、1個は夜とか、なんかそんな感じで分けてもいいかもしれないですね。
[13:42:33] うんうんうんうんうん。
[13:46:75] なるほど。
[13:47:64] うん。
[13:50:39] あ、夜なら。
[13:50:88] イメージ的には多分、講義、前半ちょっとセミナーやって後半グルコンにするか、あの他のコミュニティとか見てるとそんな感じでやってると多いですよね、なんか。
[14:01:80] あーじゃあ、
[14:04:78] 口座の日と、グルコンの日で、月それぞれいちいちあって。
[14:13:62] あ、そうじゃなくて、あの、1回の開催ごとに講座とグルコンがセットになった。
[14:18:27] ああ、なるほどなるほど。うんうんうん。
[14:20:41] そしたら口座で、ね、学んでちょっとわかんないことすぐサポートで聞けるし、あとグルコンもやってるしみたいな。
[14:26:95] グループ、グルコンってのは、えーっと、グループ、グループコンサル。
[14:31:84] うんうんうん。
[14:32:51] え、なんかブレイクアウトルームみたいなやつですか？とは違うわ。
[14:35:66] いや、もう普通に
[14:36:99] 1対1対他みたいなんで質問。
[14:39:46] あ、質問。
[14:40:00] ああ、
[14:41:64] あ、いきたさん、ここまで何か質問ありますか？っていうあれですか？
[14:44:66] うんうん。
[14:45:34] うん。
[14:46:08] で、そこでみんなでコンサルしてあげて、てやると見てる人も、あ、確かに俺もそんな同じこと聞きたかったみたいなくらい結構役立つという。
[14:54:27] なるほどなるほど。
[14:55:65] うん。
[14:57:13] ああ、いいじゃない。
[14:57:51] 簡単かつ効果的かなってちょっとと思いました。
[15:00:03] そうすると月1で済みますもんね。
[15:02:97] うん。
[15:03:75] うん。
[15:05:78] あ、それをだから月2回やってもいいかなと思ったんですけど。
[15:07:65] なるほど。ああ、なるほどなるほど。
[15:09:40] 確かに。
[15:10:04] ま、そ、回数は回数はちょっとあれですね、本当に。
[15:12:93] え、そ、そうすると
[15:13:34] 多ければ多いほどいいわけでもないんで。うん。
[15:16:16] 毎月の
[15:16:92] 2回やったら、うん。
[15:19:64] えーっと、じゃあ、レギュラー参加みたいなのは有料、無料。
[15:27:66] え、基本有料じゃないすかね。
[15:30:26] ま、それかやり方
[15:31:85] うん。
[15:32:41] 無料でも毎月いくらのコミュ、参加コミュニティですよみたいなノリにしますかね。
[15:39:74] うん。
[15:40:47] ああ。
[15:40:99] で、なんか、イメージ的にはなんか、無料期間とか作ったら、あれ、無料期間。
[15:46:89] そうそうそう。
[15:47:75] 無料期間がもしあれば
[15:49:57] うん。
[15:50:35] 初回は多分、皆さん招待でも無料でも参加できるっていう感じができるんで。
[15:55:30] どっちがいいんすか？単、その1回ごとに取る方がいいのか、サブスク形式そのコミュニティのサブスク形式にした方がいいのかってのは、どっちがいいと。
[16:03:04] 初回無料。
[16:06:53] うん。
[16:07:68] 初回無料って形にすれば、まあ、体験授業みたいに新たにわざわざやる必要はないし。
[16:16:34] そうだね。
[16:16:85] 参加して、雰囲気掴んでくださいね。
[16:20:25] それか、あの、タダッチがよくやってる早割とかですか？
[16:24:60] まあ、
[16:25:29] なるべくシンプルにしちゃった方がいいね、でもね。うん。
[16:29:43] だから多分、でも、元々その
[16:35:36] まあね。
[16:37:37] 本当は今日。
[16:38:00] あ、このアシュラの自体のサービスは、ま、無料、無料版もあって無料で試せるし、有料プランは例えば2週間無料で試せますよみたいな感じで、そしたらセミナーとグルコンも1回は出れるみたいな、なんかそんなイメージ。
[16:44:98] うんうんうん。
[16:56:56] そしたら無料。
[17:04:88] 無料で、どうしようかな？
[17:09:86] 初月無料で入れちゃって手もあるし。
[17:12:35] なんか、僕、初月無料がいいかなと思ってましたね。
[17:16:51] そうですよね。
[17:17:41] で、ツールと口座がセット。
[17:21:64] うんうんうん。
[17:22:20] ツールと口座とグルコンがセットで
[17:25:99] で、1ヶ月試してもらっていい人だけ残ってけば、別に、ね、嫌な人は辞めてった方がいいわけなんで。
[17:32:04] うんうんうん。
[17:33:38] あ、なんかその、前回だとちょっと結構、確か無料、無料で、もうとにかく毎月教えまくって、あの、おでえりが必要なところまで持っていって、なんか、あの、おでえりに必要になったらコンサルって風に持っていこうと思ったんですけど、なんか、と言うよりは、ツールも常に毎月コンスタントにお金を、有料でお金は取っていて、なんでその上でもできなかったことをコンサルを個人で入れる、そっちの方がいいのかな、きっとね。
[17:38:39] うんうんうんうんうん。
[17:54:33] うんうんうん。
[18:09:63] ああ、そうか。
[18:12:12] なんかいいかも。
[18:13:38] うんうんうんうんうん。
[18:14:38] なんか、うん、それだと、なんかずっとお金も発生するし。
[18:19:07] うんうんうん。
[18:20:80] そうそう、で、やっぱお金払うってことは、やっぱ自分でね、投資をしてくので、真剣に学ぶ人が来るわけなんで。
[18:27:14] うんうんうんうんうん。
[18:28:97] やっぱ、なんだろ、くれくれ君みたいな人が来ると本当困るんで。
[18:32:79] うんうんうん。
[18:33:90] えー、そしたら、うん。
[18:36:20] それで月1万1000円かな。
[18:40:19] うん。
[18:40:53] ああ、前だとワンコインで1万5000円っていう案があったって、ありま。
[18:44:48] あ、そうか。ワンコイン。
[18:45:26] だ、1日500円のワンコインができるから1万5000円。
[18:50:66] うんうん。
[18:51:78] うんうんうんうんうん。
[18:53:23] で、税込み1万6500円。
[18:56:60] うん。
[18:57:48] ああ、で、はい。
[18:58:39] ええ、あ、でもそれですね。
[18:58:81] ツールは、毎月ほぼ無制限で使えます。
[19:03:07] うんうんうん。
[19:03:36] で、2回、え、講座やります。そこも、え、もちろん参加してよしみたいな。
[19:09:44] そしたら回数制限とか下手くそに作んなくて、やめたい人まず無料、無料試し入ってね、1ヶ月無料だからつって。
[19:14:87] あ、そっか。
[19:15:37] 今回数制限がいらなくなる音が聞こえましたね。
[19:18:61] ね。
[19:19:10] ああ、回数制限ってのは、あれだ。
[19:20:00] あ、シンプル。
[19:20:80] あの、回数制限ってのは、あれです。ツールの方です。
[19:22:90] そうそうそうそう。
[19:23:80] うん。
[19:25:28] そしたらシンプルですよね。うん。
[19:27:32] もう1個のサービスがあって、とりあえず、あの、無料1ヶ月お試しやってね。よかったら残ってね。以上ですみたいな。
[19:34:65] あ、じゃあそれはもう無料で、もはや開放じゃないってことですか？あれは。
[19:38:39] あ、なんか、月々毎月1万5000円もくれるんだったら全然好きに使ってくれていいよ、これで。
[19:44:26] まあ、確かに、DeepSeekだったら行かないっすもんね、そんな。
[19:48:08] うん。
[19:48:40] 1万5000円以上使えるんだったら使ってみろって感じ。
[19:51:86] あ、確かね、確かね、確かね、確かね。
[19:54:00] DeepSeekで1万5000円って、逆にすごいっすけどね。
[19:57:11] すごいすごい。
[19:58:65] 逆にその人あ、って言っちゃいますけどね。
[20:00:83] うんうん。
[20:01:46] どうされたらそんな行くんですか、あれは。
[20:03:49] そしたらもうワークフロービルダー使い放題だしみたいな。
[20:06:50] うん。てか、そんなにぶん回せるんだったらここで習うこと何もないよ。
[20:10:87] 確かに。
[20:11:40] そうっすね。そうっすね。
[20:13:95] ああ、でもいいね。
[20:15:46] ああ。
[20:15:70] うん。
[20:16:47] で、どんどん過去のアーカイブは、え、そのサイトにも蓄積されてくるし、その、ね、サイト、そのオンライン、なんだろ、セミナーやった内容とかグルコンやった内容を学習したチャットボットがいたら超便利ですよね、だからね。
[20:20:94] うんうん。
[20:29:43] なるほど。
[20:31:69] そして。
[20:32:64] ま、そういう風に、できちゃう。
[20:34:16] だから会員サイトに入ったら、うん。復習ができる。
[20:37:67] 復習もできるし、自分はこういう問題があるんだけどつったら、あ、この時のグルコンでこういう話してるよって教えてくれたりとか、その記事も見れたりするね。
[20:45:62] そしたらどんどん、なんだろ、そのセミナーと講座やったらそれを、え、ブログにして、一対多でどんどんね、世界中に発信もしくしつつ。
[20:54:13] えーと、だからあれっすね、あの、朝のライブ、あの、朝のライブやったら全部完結するみたいなイメージですよね。
[20:57:42] そうそうそう。
[20:59:75] そう、だ、月2回セミナーとセミナーとグルコンやってればもうどんどん悩み課題も集まってきて、で、その2回に出てきた人どんどんツール開発して提供していく。で、どんどん新規が入ってくるっていうループが回ってくると、めっちゃくちゃいいんじゃない、これ。
[21:14:87] ああ、強い。
[21:17:41] ね。
[21:18:31] 資産価値が高くなってくるね。
[21:19:93] うんうんうんうん。
[21:21:00] そこをデータベースにして蓄積してってことですね。
[21:23:71] うんうんうんうん。
[21:24:25] あとこれが増えすぎた時にグルコンでカバーできなくなってくると思うんだけど、まあ、グルコンはグルコンだから、え、個別したい人はもう高額で個別でやってくださいって感じで。
[21:34:57] ああ、そうすね。
[21:37:71] あとそういうね、なんだろ、う、そのセミナーと講座とかグルコンじゃないところでチャットとか、なんだろ、Facebookグループとかに投稿してもらって、で、またそれを、え、セミナーとかグルコンの時にね、あの、あ、特に今回こういう、要望とか悩みが多かったんで、今日は今回セミナーコースをこうしますよとか。あとこんなツールを作っときましたよみたいな。うん。
[21:40:63] うんうんうんうんうん。
[22:00:27] あとはなんだろ、あの、アシュラ君のオンライン講座作っといたんでそれ見といてくださいとかでもいいんじゃないすか。
[22:06:55] うんうんうん。
[22:07:34] なんだろ、人間が話すまでもないようなこと。うん、とか。
[22:10:48] 確かに。
[22:13:30] なるほどな。だからで、どんどん動画とかも上げといて、ショート動画、え、チャット、今、アシュラ君はなんかYouTubeに上げるかどうかちょっと悩んでて、と言うのも、まあ、結構YouTubeなんだは、あの、なんとなーく面白いけど、勝ち下げにも繋がるかなと思ってて。
[22:15:32] うんうんうんうんうん。
[22:21:52] うんうんうん。
[22:31:59] 確かに。
[22:32:31] うん。
[22:32:51] なのであんまり、あの、自分のやつだけのところでは適当に遊んでられるんですけど、まあ、アシュラ君はちょっとどうしようかなと思ってて。
[22:37:89] うんうんうんうん。
[22:41:88] うんうんうん。
[22:42:07] ま、なんかでも、ちょっと思ったんのは、なんかあんまりYouTubeでばらまくというよりはすでに、もうなんか、コミュニティがあるので。
[22:48:07] うんうんうん。
[22:49:59] そこのところの閉じられたところに、えーっと、こんな動画作れますよぐらいの公開のぐらいでいいのかなと思っていて。
[22:56:59] うんうんうんうん。
[22:58:36] なんかそういう風にして見せると多分勝ち下げにならないと思ってるので。
[23:02:44] うんうんうん。
[23:03:00] 確かに。
[23:03:54] じゃあその路線でいいすかね。
[23:05:07] うんうん。
[23:06:40] いいと思います。
[23:06:73] ちょっとそういうので、えーっと、アシュラ君ショート動画シリーズみたいなのとかもサイトにババババババって載せといて、あの、そのサイトの中で見れるような状態にしとくとも。
[23:13:84] うんうんうんうんうん。
[23:18:49] はいはいはい。
[23:19:22] ああ、なるほど。じゃあ、ちょっとそういうので、
[23:22:74] ビルダーに、えーっと、アシュラ君とかのチャットボットとかのページも加え、さらに、えーっと、その動画ギャラリーみたいなの加えて。
[23:33:95] はいはいはい。
[23:34:39] あ、なんとなーくできましたね。
[23:36:58] で、そこから問い合わせの、申し込みのフォームも作っておいて、月額1万6500円。
[23:45:26] うんうん。
[23:45:84] オッケーです。
[23:47:49] いいっすね。
[23:48:47] え、で、個別でやりたい方は。
[23:51:71] うんうんうんうんうん。
[23:52:13] 高いけど。
[23:53:35] ありますっていう。
[23:54:19] うんうんうんうん。
[23:55:58] ですよね。
[23:57:04] で、それはなんか急に持ち込みっていうの、多分個別相談を受けた方がいいかなってのもあったりするんで、ま、ご相談くださいみたいな感じで、ま、あすくでいいすよね。
[24:02:77] うんうんうんうん。
[24:06:01] うんうん。
[24:09:50] どうしてもタクミ先生にお願いしたいんですって人。
[24:11:93] うんうんうんうん。
[24:12:35] 月100万ぐらいしちゃいますけどいいすか？って。
[24:14:81] まず30万ぐらいからですか？
[24:17:84] うんうん。
[24:21:46] うん。でも、そうそう、そういうので。
[24:23:67] あ、あとは例えばそういう友達とか連れてきたいって人は、ま、友達連れてこれるように、ね、あの、初月無料だからってやってる時に、ま、紹介キャンペーンとか紹介報酬とか、ま、その辺も作った方がいいかどうかってことね。
[24:37:79] アフィ、アフィリエイトじゃないですか？
[24:40:71] うんうん。
[24:41:25] ま、代理店制度みたいにしちゃうとか、ま、もう始めは、もう始めは別にもう、みんな善意で広めてってくれさいでいいかもしれないですけどね。あの、変にビジネス、ビジネスしなくて。
[24:50:52] うんうんうんうん。
[24:51:30] あ、なんか、友達いっぱい連れてきてくれたら相談乗るよって。
[24:57:48] あ、それいいね。なんか、友達
[24:59:84] あの3人ごとに個別相談。
[25:02:29] 1回無料。
[25:03:77] 30分相談。
[25:05:43] うんうん。
[25:06:40] あなたは。
[25:07:37] 無料でね、コンサルする。
[25:08:52] うんうん。
[25:10:49] ま、あとは、そ、クローコード実践会の方から送客する場合は、やっぱアフィリエイトがないとあれかもしれないから、あそこは代理店みたいにしちゃってもいいかもしれないけどね。なんか。
[25:19:04] うんうん。
[25:19:44] そっち経由の、その、リンクでもし決まったら。
[25:23:49] ああ、なるほど。
[25:24:26] ちょっと、その。
[25:26:30] 何割バックしても、サブスクだからめんどくさいから、なんか1人紹介したら1万円出しますとか、あの、もちろん、あの、無料、無料期間終わった後だけどねって話。
[25:31:00] うんうんうんうんうん。
[25:36:79] なるほどなるほど。
[25:38:43] うん。
[25:38:64] 確か。
[25:41:35] 多分あの、ヨウヘイがワンサが連れてくると思うんで。
[25:44:81] うんうんうんうん。
[25:45:62] すごいっすね。そっか。なるほど。
[25:48:99] あ、あいく、あの、ヨウヘイにはもうわかりやすくお金を渡してあげると、ま、稼ぐのが好きな人だから、え、1人紹介した1万円だよっつったら、100人ぐらいすぐ紹介してくるそうだから。
[25:58:63] うんうんうんうん。
[25:59:71] 代理店としては優秀かなみたいな。
[26:01:83] はい。
[26:02:50] うんうんうん。
[26:02:85] で、ほら、サブスクだったら、ま、1万円渡したところで別に屁でもないっす。
[26:06:55] うんうんうんうん。
[26:07:33] ね、年間18万だから。うん。
[26:09:95] あと、友達紹介キャンペーンはなんか、もっと柔らかい感じで。
[26:13:95] うんうんうんうん。
[26:14:48] あの、お互い、紹介者もなんか。
[26:16:79] そうですね。
[26:17:33] あの、得し、得しみたいな、得特典つけた方がいいかもしれないですね。
[26:19:80] うんうんうんうん。
[26:24:27] それこそなんか個別相談、あの2人紹介した人とされた人30分ずつ、あの、個別相談やりますよすると、そこで、なんだろ、関係値も深まるし、そこでその、新規の人からは新しい悩みとか聞けるから、積極的にしていいかもしれないですね。
[26:38:42] うんうん。
[26:40:19] うんうん。
[26:41:26] 実質多分その相談っていうのが結局定期的に入ることによってなかなか離脱も防ぐと思うんでね。
[26:48:75] うんうんうん。
[26:50:60] 確かに、いいかもしれない。
