[00:20:10] お疲れ様でした。
[03:46:61] 高校野球はみた？こないだの。
[03:48:54] いや、高校野球は興味ない。プロ野球は興味ある。
[03:51:30] えーと、大リーグはみない？
[03:54:40] たまにみる。
[03:55:40] たまにみる。ああ、そうか。
[03:56:47] 朝暇な時にニュースばっかりやってる時に。
[04:00:54] そうか。どこのファンとかある？
[04:03:68] 巨人です。
[04:04:54] あ、巨人なんだ。なるほどね。
[04:06:78] あ、巨人軍ユニフォームなんだ、それ、もしかして。
[04:09:76] ああ。
[04:10:20] やばい、ごめん。巨人の選手の、名前あんまり分かってない。
[04:14:38] あの、去年までの岡本ぐらいしかちゃんと認識してないんだよな。
[04:17:85] うん。
[04:20:53] すまね。
[04:21:07] もう、岡本選手。
[04:21:84] いいね、いいえ。
[04:23:19] 岡本好きだったからな。
[04:25:28] はいはいはいはいはい。大リーグ行っちゃったよね。
[04:27:54] うん、行ったけど。
[04:30:30] 岡本、ピッチャー。
[04:31:85] えっと、打つ、打つ人。あ、奈良、奈良出身ですよね、あれ。
[04:33:68] 奈良出身ですか。
[04:37:13] 岡本は奈良出身だよね？
[04:38:62] 奈良の人は奈良出身です、多分。
[04:40:99] いや、カープの岡本はピッチャーだけどな。
[04:41:97] いや、カープの、カープの岡本は知らねえ。
[04:43:52] うん。
[04:46:83] あと打つ方の岡本しか知らねえ。
[04:51:85] なるほど、なるほど。
[04:54:10] 奈良県出身ですよ。
[04:55:54] 奈良県出身。
[04:56:69] そうそうそうそう。
[04:57:38] 五條。
[04:58:33] 五條。よく知ってるね。
[04:59:75] そうそう、五條の人だよ、あいつ。
[05:01:79] へえー。
[05:04:23] えーっと、よいしょ。じゃあ、一通りできたというところで、うん。
[05:05:44] じゃあ、なんか、とりあえずよろしくお願いいたします。
[05:14:48] よろしくお願いします。
[05:16:59] で、僕たちはですね、結構なんか、あの、こうやってわいわいわいわい話とかをしたりしながらなんか、色々やりたいこととかを考えてなんか、何やろっかなあってのを考えて、やりたいこと出てきたら、一緒にやる、みたいなことをやってます。
[05:21:38] はい。
[05:33:57] なるほど。
[05:35:59] ま、ちょっと今いきなり野球を実際にやろうはちょっと難しいんだけど。
[05:41:35] 絶対むずい。
[05:42:47] ま、そりゃな。
[05:43:10] むずいよ。
[05:45:00] そう、でも、ま、野球のなんかをつくるとかだったらできるかもしれないな。
[05:49:09] うん。
[05:49:95] そうだね。
[05:50:41] ああ、そりゃ。
[05:50:66] やりたいなあ。
[05:51:41] それは先生と野球。
[05:53:79] うーん。
[05:54:99] 野球ゲーム作るんだったら頑張れば無理じゃなさそうですね。
[05:57:44] 野球ゲームは作れるな。
[05:59:90] 野球ゲーム、YouTubeの動画見ながら作ったことある。
[06:04:37] 作ったことあるんだ。
[06:05:40] 本当、すごい。いいね。
[06:07:56] え、何で作った？
[06:08:75] スクラッチで作った。
[06:09:62] スクラッチか。
[06:10:04] スクラッチか。
[06:10:48] いいね。
[06:12:12] それのなんかもっとなんかあの、本格的なのやろうと思ったら多分作れると思うよ。
[06:17:74] あ、確かに。本格的なの作りたい。
[06:20:31] あの、えーっとね、野球ゲームって言ったら、えーと、パワプロだっけ？
[06:23:59] パワプロ？
[06:24:26] パワプロよくやってる。
[06:25:27] プロスピ？パワプロ？そのへんしか知らないけど。
[06:27:00] プロスピ、パワプロよくやってる。
[06:28:44] あの、課金、じゃねえや、あの、確定演出で、あの、ホームラン飛んだらめっちゃ演出変わるぐらいしか知らないけど。
[06:34:64] あ、確かに、確定演出。
[06:38:53] ユニクロ。
[06:39:13] 会社によってね、プロセッサーとかがあるけどな。
[06:41:96] リアル野球盤とかかな？
[06:45:00] それはゲームじゃん。
[06:47:44] なるほどね。いいね。でも野球ゲームとか結構爽快感があって面白そうだよね。
[06:51:79] そうだね。
[06:52:43] そうですね。
[06:53:23] そうですね。
[06:53:68] まあね。
[06:54:79] しかもRobloxとかにも受けよさそう。
[06:58:24] Roblox、Robloxってご存知？
[07:00:64] 知ってますよ。いつ、やってる、たまにやりますよ。
[07:03:97] たまにやる？
[07:04:54] 前は、あの、遊ぶやつやってて、前はいっぱいやってたんだけど、友達がやらなくなったからみんなやめた。
[07:13:28] ああ、そうなんだ。
[07:14:48] ああ、そうなんだ。
[07:15:38] そうか、そこからはもうやってない、Roblox。
[07:17:96] うん。
[07:18:50] 逆にRobloxで面白いワールド作って友達たちを集めるっていうのもいいかもしれないな。
[07:24:16] ああ、確かに。
[07:26:10] え、みんな、周りは野球はみんな好きなの？
[07:27:71] まあ、見たり、見たり、そうでもない？
[07:29:72] 別に。
[07:31:54] え、今さ、ごめん。単純な質問でごめんね。何が流行ってた、流行ってんの？今って、その、ま、周り、ま、分かる範囲でいいんだけど。
[07:38:59] ブロスタとブロックブラスト流行ってる。
[07:41:86] ブロックブラストって何だっけ？
[07:44:48] ブロックブラストはなんか、なんかテトリスみたいなゲーム。
[07:48:88] ああ。
[07:50:50] あ、スマホゲーなの？今流行ってるの。
[07:52:45] スマホゲーだから。
[07:53:71] スマホゲーなんだ。
[07:54:38] え、音ゲーとかはさすがに流行ってない？
[07:55:60] 音ゲーは全然流行ってない。
[07:58:91] 流行ってない。
[07:59:45] え、YouTubeとかみんな見る？今どき。
[08:03:31] YouTubeは見ます。
[08:04:47] 見るんだ。でもみんな見るのバラバラだよね？見るチャンネルとかって。
[08:07:38] みんな見るのバラバラ。
[08:08:52] だよね。
[08:09:68] 昔、僕らの頃ってある程度少なかったから結構固定されてたんだよね。見るやつ。
[08:15:68] テトリスと何が違うんだ？ブロックブラストは。
[08:20:77] いや、俺まだやったことないから知らないけど。
[08:24:00] ああ、そうか。
[08:24:99] なるほど。
[08:25:29] 友達にブロックブラストインストールしといてって言われたけど、あったけど、まだやってないから。
[08:31:69] うーん。
[08:32:56] うーん。
[08:34:39] ま、そうだよね。
[08:34:73] 結構じゃあ何、学校だ、学校ってか、周りだとあんまりそのこの話をすれば誰でも知ってるみたいなあんまないんだ。今は。
[08:42:85] まあ、なんか。
[08:43:08] みんなやってる。
[08:44:60] みんなやってる。
[08:45:00] 好きなゲーム、やれ、好きなゲームの、話とか、あの、こういうアイテムゲットしたっていうのはみんな、大体分かる。
[08:57:00] ああ、分かるんだ。
[08:58:00] うーん。
[08:59:00] なんか、今どき、もう共通の話し、ないんじゃないのかなってちょっと僕勝手に思ってるんだけど。
[09:03:97] 友達ではYouTubeいっぱい見る人とゲーム、スマホゲームいっぱいやる人がいる。
[09:11:00] ああ、スマホゲーか、今どき。
[09:14:26] そうだね。なるほどね。
[09:16:54] オッケーオッケーオッケー。
[09:19:64] えーと、普段は、えーと、パソコンはよく使うの？それともあまり使わない？
[09:23:67] 普段よく使う。
[09:24:97] よく使う。よく使う。おー、おー、よく使う。
[09:27:94] いいね。
[09:28:60] えーと、パソコンでゲームはするしない？
[09:31:71] する。
[09:32:38] する。
[09:32:78] パソコンゲームもする。
[09:33:63] パソコンのゲームは、えーと、やったら、やったって言ってね。あの、何のゲームするのかなと思って。
[09:39:84] えっ、スクラッチとかやるの？
[09:42:47] あ、スクラッチやるんだ。
[09:43:52] おー。
[09:44:11] プログラミングも前やってたし。
[09:47:59] うん。
[09:48:47] あとゲームと、スクラッチの野球ゲームとかもやる。
[09:52:44] へー。
[09:53:14] は主にプレイする側ってこと？えーと、作ると、作る。
[09:56:91] プレイして、6割か7割ぐらいプレイして、2割3割は作る。
[10:03:83] あ、作るんだ。おー、いいね、いいね、いいね。
[10:07:44] え、結構作るのも好きそうだね、なんかね。
[10:10:73] いや、あんま好きじゃないんです。
[10:12:47] 好きじゃないんだ。
[10:13:38] 好きじゃないんかい。
[10:16:35] なんだ、この流れだったら好きだって言いそうだ。
[10:21:71] なんかスクラッチもMCPありそうなんだよね。
[10:25:54] あ、あるんですか？
[10:26:34] うん、なんか多分。
[10:28:90] ま、確かにあれアプリでありますもんね。
[10:30:60] うん。
[10:31:49] ああ、失礼失礼。話がそれちゃった。
[10:35:46] そう、結構僕たちあのAIを使ってゲームを作るみたいなことを割とやってまして。
[10:41:40] そういうのとかも結構おすすめだよって。
[10:44:11] やりたい。
[10:44:97] やりたい。
[10:45:50] ま、言ったら、えーと、ま、結構これは嘘はついてないんだけど、ま、AIっていうのはなんか、ま、人間と同じような感じで、ま、なんかこれやってね、みたいなことを、ま、AIに向かって、ま、LINEじゃないやつ、こう、ま、言うわけよ、AIにね。
[10:48:29] はい。
[10:59:74] これこれしてみたいね。で、別にやってる間は別に暇なわけであって、あの、なんかすごい沢山要求、要望を送っといて、あと寝てるだけで起きたらゲームできてるとかもある、できるわけよ、事実ね。
[11:02:11] うん。
[11:12:75] そう、だからあと、しかもそんなにプログラミングの知識はいらない。
[11:18:28] 見せれるかなRoblox。
[11:19:35] もできるし。
[11:20:64] なるほど。やってみたいな。
[11:23:44] そうでしょ？
[11:24:26] だとは思う。
[11:26:50] だからね、で、ちょっとそういうところもなんか一緒にやっていけたらなんかちょっと楽しんじゃないかなと思って、思ってるんだよね、僕たちも。
[11:35:86] うん。
[11:37:67] うんうんうん。
[11:40:24] 画面共有でちょっとRoblox動くか分からないけど、最近動かないこと多くて。
[11:47:33] Roblox動かないんだよね。
[11:49:15] RobloxってMacで、Macで動くんですか？
[11:51:24] あ、動くよ。
[11:53:30] Robloxなんか、うーってイメージしかなくて。
[11:56:30] うー。
[11:58:34] パソコンめちゃくちゃ重いからRoblox全然動かないんだよな。
[12:04:47] あ、そうなんだ。
[12:05:90] Roblox動かしたいよね。
[12:09:47] 動かしたい。
[12:10:56] うん。
[12:11:09] だから新しいパソコンが。
[12:14:48] あ、そうか。
[12:15:37] あの今日聞いて、準備できればいいなと。
[12:19:42] お、お。
[12:20:49] あ、そう、新しい、僕たちもね、新しいパソコン買った方がいいと思う。
[12:27:62] 俺も思うよ。
[12:29:94] そうでしょ。
[12:30:57] それでわかった。
[12:34:52] なぎ、なぎとと僕ら二人で後ろのお父さんお母さん説得しようね。
[12:40:91] よし。
[12:42:38] きっと、お父さんお母さんどう思う？
[12:47:04] どう思う？
[12:48:15] なぎとが、あの、喜ばれそうだから用意したと。
[12:53:23] あ、あの、まず今のパソコン何を使ってるか教えて欲しいんだよね。
[12:56:99] Windows。
[12:58:43] あ、うん。
[12:58:93] ま、ね、えーっとね、え、Windowsって11？
[13:04:65] 10。
[13:05:40] 10だよ。
[13:06:58] 10。
[13:07:22] 見てくれるからね、今。
[13:08:44] うん。
[13:09:41] うん。
[13:10:04] 教え教えてくれたらいいか。
[13:12:30] うんうん。
[13:12:96] そうそう。
[13:13:58] 見れたりするから。今がどこかをちょっと知りたくてね。
[13:16:32] ちなみにね、この、こちらの拓海くんはですね、非常にもうパソコン博士でして。
[13:21:39] へえー。
[13:24:00] あの、拓海くんに聞いたらあの、もうパソコンが全部分かるし、あの、何やりたいことができるパソコンは何かっていうのをちゃんと綺麗に教えてくれるから。
[13:30:84] はい。
[13:37:37] あの、あの、ちょっと相談してみてね。
[13:40:34] うん。
[13:41:24] 一応僕軽く、まあ、紹介すると、ま、Windowsは使ってて、あの、Mac、MacっていうAppleのパソコンもどっちも、あの、長らく使ってて、自分のWindowsは自作PCって言って、あの、組み立てて作る、まあ、組み立てて作って、あの、あの、まあ、今も使ってるっていう。
[13:42:00] はい。
[13:57:08] なるほど。
[14:03:00] そうね。あと高校とかでも10個ぐらいパソコンは同じように使ったりもしてて。
[14:07:95] すごい。
[14:08:70] うん。
[14:09:12] 今、僕はパソコンは普段は3台ぐらい使ってるかな。だから、まあ、あの、自分でも使って試して、その上でオススメしてるよっていう感じ。
[14:15:37] はい。
[14:16:85] 素晴らしい。
[14:17:69] 一般。
[14:18:36] パソコン全然知らない人がMacって聞いたら。
[14:21:65] あの、食べ物の方、思い浮かぶ？
[14:23:49] 食べ物の方、思い浮かぶ。
[14:25:22] そうでしょ。
[14:25:72] Macは食べ物と思わずない。
[14:27:71] ちなみに今Windowsかな？Windowsだよね。
[14:30:13] Windows。
[14:30:82] 10。
[14:31:85] どうすれば分かるんだ？なんか今。
[14:32:44] ちょっと今喋ってるから、はい。
[14:35:55] えーと、えーと、本当は画面共有をしてくれるん。
[14:37:48] ああ。
[14:38:81] が一番、ま、いいんだけどね。
[14:41:24] どうやって画面共有するの？
[14:42:61] えーと、なんか、えーと、下の方、なんか今開いて、多分今ってこの通話の画面が映ってると思うんだけど。
[14:46:27] 映ってる。
[14:51:39] そこら、そこらの下の方に、なんか顔のマークとかカメラのマークとかない？
[14:56:32] なんか顔とかなんか、パソコンの見た目上に上矢印のやつ。
[15:02:16] あ、そう。パソコンの上矢印を押して欲しい。
[15:06:29] 僕停止した方がいいかな画面共有。
[15:10:43] で、そしたらなんか、どの画面を共有しますかって出てくるから。
[15:16:79] それでなんか画面全体って、とか、画面全体って押して、画面1って。
[15:28:43] 画面全体。
[15:30:14] で、画面1っての押してもらえれば。
[15:33:65] で、最後、で、最後共有って押す感じ。
[15:36:11] 共有押した。
[15:37:37] 押した？
[15:37:88] そしたら映るはずなんだけど、映んないかな？
[15:39:69] あ、あ、あ、ありがとう。
[15:40:34] 来た来た。
[15:43:24] ああ、来た来た来た来た。
[15:44:00] 来た。
[15:44:88] で、えーっとね、えーと、こっから早くて、えーっとね、下のなんかさ、あ、分かった。左下のあのWindowsのボタン、なんか窓ある？そこ右クリックして。
[15:48:47] やった。
[15:58:63] 右クリック、右クリック、えーとね、多分ね、えーと、右側のあれをクリックする。そしたらタスクマネージャーってあるでしょ。
[16:01:03] やりました。
[16:06:58] やりました。
[16:08:79] タスクマネージャー、タスクマネージャーってのがあるだよ。えーっとね、タスクマネージャー。
[16:12:47] あ、これですか。
[16:13:30] そうそうそうそうそうそうそうそう。
[16:15:68] ついでにこれでね、パソコンの使い方も覚えて。
[16:18:59] ちょっとごめん、ちょっとお茶とってきます。
[16:20:94] よいしょ。
[16:21:49] お茶取ってくるんですね。
[16:22:30] はい。
[16:23:71] で、えーっとね、ちょっとね。
[16:27:54] パソコンいつもやってるちょっとは知ってるけど、これはやったことない。
[16:32:00] えーとね、人のパソコンのスペック知りたい時はこれで同じことするとすぐ見れるよ。
[16:35:66] ああ。
[16:36:26] すげえ。
[16:39:61] なかなか開かないな。重たいね。
[16:42:14] すいません。
[16:42:86] なんかこの重たいのでなんか、なんとななく予想はつくかもしれないけど。
[16:50:23] パソコンの性能とかは詳しくはない？
[16:55:76] あ、出てきた。
[16:56:49] 来た。えーとね、パフォーマンスってのを見たい、僕は。
[17:00:27] パフォーマンス、オーケー。
[17:02:44] それ。
[17:05:43] 開かない。
[17:07:65] 重い。
[17:08:66] あ、来た来た来た来た来た来た。
[17:10:48] CPU。
[17:11:43] はいはいはいはいはいはいはい。ああ、理解しました。理解しました。
[17:16:32] これで今まで。
[17:17:92] 何人ぐらい使ってんのこれ。
[17:23:44] やばいやばいやばいやばいやばい。
[17:26:44] 第4、第4世代やん。
[17:28:90] うん。
[17:30:57] 第4、第4世代でメモリは8です。
[17:33:48] えーと、クロードは動きますか？先生。
[17:36:34] うん。
[17:38:52] 全然重すぎやん。
[17:41:40] 試しにChat GPT入れてみる？
[17:44:83] いや、でもこれ消すのも大変っすよ、これ。多分入れて、これもし変えるだと、消すのは消せるのめっちゃ大変っすよ、これ。
[17:51:24] 重いってこと？
[17:52:13] 重いってことです。
[17:53:57] あの、とか、上手く消えないとかありそうじゃないですか。しかも先生これハードディスクっすよ。ディスク、これ。
[17:58:36] うーん。
[17:59:04] SSDじゃないんだ。
[18:00:54] SSDじゃないっすよ、これ。
[18:02:46] なるほど。
[18:05:39] 14年ぐらい前だな。
[18:09:59] 逆に今までよく壊れませんでしたね。
[18:13:58] なんか、ハードディスクって10年以上経てばなんかたまに壊れたりしますからね。
[18:18:78] 最近俺が使い始めてようやく、ようやくまた使い始めた。
[18:24:99] うんうんうんうんうんうんうん。
[18:27:54] ワープロとしてしか使ってなかった。
[18:29:43] うーん。
[18:30:43] 14、5年前って言ったら僕何歳だ？
[18:32:89] えー、僕まだ多分全然、あの、おそらくあの、
[18:34:36] 喋ってなかった。
[18:41:00] あ、拓海くんまだ喋ってなかった。
[18:43:23] 喋ってなかったかもしれません。
[18:44:26] 俺に関してはまだ生まれてない。
[18:46:89] 多分渚斗くんの今の小5よりもかなりちっちゃかったね、僕ね。
[18:51:71] うん。
[18:52:67] まだ生まれてない。
[18:54:57] あの、これはどちらにしても今後、あの、パソコンはいつか必要不可欠なものになりますので。
[18:58:97] うん。
[19:00:32] あの、何て言うんですかね、あの、まあ、もちろんあの、塾以外でも、あの、当たり前、当たり前ってか、あの、色々なも使えますんで。
[19:08:92] うん。
[19:09:88] どっちにしても、あの、パソコンは、あの、あっていいんじゃないかなって僕は思います。
[19:15:33] 教えてください。
[19:17:74] で、じゃあ、まあ、Windowsがいいよね、きっとね。
[19:22:21] えーと、Windowsって、まずね、パソコン選ぶ上で、えーと、大きく2つまず選択、あの、入り口があるのね。
[19:29:64] 2個。
[19:30:57] で、Windowsっていうパソコン、ま、今のやつのもっと新しいやつって思ってくれればいい。か、えーと、Macっていう、あの、iPhoneって分かるかな？聞いたことある？
[19:38:64] うん。
[19:40:99] iPhoneとかiPodとか聞いたことある？
[19:43:00] 聞いたことある。
[19:44:48] 使ったことはないかもしれないけど。
[19:45:90] 持ってはないけど。
[19:47:49] 多分周りのこの、まあ、あの、友達のお母さんとか、多分誰かはきっと使ってるはず、そういうの。
[19:54:21] 友達みんなあの、iPhoneだけど俺だけAndroid。
[19:58:97] あ、そうなんだ。
[20:00:07] あ、でもそう、そう、そう。
[20:00:87] そのiPhoneのが作ってる、えーと、Macってさっき、あの、食べもんかと思ってた、そのMacっていうパソコンがあるのね。
[20:09:63] 分かる。
[20:10:54] のどっちかになるんだけど、あの、えーっとね、僕らが言ってるAIを使ってとかって、なんか作る、とかっていうので、本当にやるんだったらMacが実はオススメなのよ。
[20:19:69] うん。
[20:20:79] 実は。で、あの、Macがいいのはバッテリーも持つし、あとそのなんかアプリ立ち上げた時に重たいとかもあんまない。から、ま、使ってて快適ではあるんだけどね。
[20:23:44] うん。
[20:32:86] あの、ただ、えーっとね、なんか色んなゲームをダウンロードして色んなゲームしたいっていうんだったら、ま、Windowsの方が、まあ、いいっていう風にはなるんだけど。
[20:44:81] あの、Macはでもその、ま、パソコンとしてはなんか、あの、買って、ま、間違いとか失敗はあんまり少ないパソコンではあるかなっていう。
[20:54:99] なるほど。
[20:55:40] ま、Windowsは今の使ってくれてるパソコンの、ま、もっと、ま、動作も快適でっていうようなイメージで思ってくれればいいかな。
[21:05:85] うん。
[21:06:58] え、じゃ、Macも。
[21:07:35] ちょっと使ったことないから心配。
[21:12:00] ま、使い方は、ま、僕は、あの、Macパソコンは普段2台持ってて、僕の先生も普段Mac使ってるので、ま、使い方自体は全然教えることは、あ、全然できるんだけどね。
[21:14:00] あ、そうなんだ。
[21:17:74] します。
[21:22:90] ま、仮にWindowsだとしても、ま、どちらでも僕は対応できるんですけど。
[21:27:72] うん。
[21:28:16] 一応、ま、別にどっちでもそのAIとかゲーム開発とかは動くけど、若干Macの方がその辺りがサクサク動くようなのはあります。
[21:34:72] うん。
[21:41:88] ま、あと普通にあの、まあ、AI関係なく普段使ってもらうにしても、あの、まあ、完成度として、持ちは、ま、オススメではあるかなっていう。
[21:51:00] もちろんね。
[21:51:48] 処理とかもMacはしやすいしっていうような。
[21:54:40] なるほど。
[21:55:41] そういうところでトータルでの使いやすさで言うと僕らは結構Mac、今後はMacがお勧めかなっていうのはありますね。
[22:03:00] うん。
[22:03:40] まあ、Windowsが決して悪いものでは全くないんだけどね、もちろん。
[22:07:89] あの、ま、あとはそうだな。
[22:08:68] あとはちょっとお金の問題になるから。あとはあの、お金との相談かなっていう。
[22:14:73] あのイメージ。
[22:16:11] あ、いい機種とかあったらそこまで教えてもらうことはできますか？
[22:20:97] ま、もちろんできます。
[22:21:40] ええ。
[22:21:77] ですね。
[22:22:15] あの、リアルな話、ちょっとあの、上限というか、あの、あの、上限を教えていただければそれにあわせて選ぶみたいな感じが僕はやりたいんですけど。
[22:31:73] はい。
[22:35:63] この前先生から、ま、安ければ10、ちょっと今お話してるからね。安ければ15万、高くて25万くらいですかね？した。
[22:37:48] あ、そう。
[22:47:33] ちょっと今パソコンの価格が結構上がってるんで20万ぐらいは覚悟するのが良いと思います。
[22:56:59] そうそうそう。
[22:57:48] え、でもこれ消せないよ。
[22:58:69] あ、消せない。
[22:59:75] あ、消せない。
[23:00:23] もったいなかった。
[23:01:89] じゃあ、どうとしてじゃあ、どこ押せばいいんだ？
[23:04:47] とりあえず、で、あと下の共有を停止をせば一旦これ、画面が止まると思うよ。
[23:07:95] うん。
[23:11:06] あ、いた。
[23:13:69] 消えた。
[23:14:59] あ、消えた？
[23:16:79] 消えた。
[23:17:66] 消えたかな？
[23:19:15] なんかこっちは消えてないけど。
[23:21:50] 消えてないね。消えてないね。
[23:23:44] こっちは消えてないな。
[23:24:26] え、違う、なんかさっき3、さっき3の。
[23:28:10] あ、でなんかこの。
[23:28:77] おばさんの。
[23:30:22] あの、共有を停止って下にない？
[23:32:88] 青い共有を停止ってやつ。
[23:33:66] 青い、青いボタン。
[23:35:10] で多分このぶにょぶにょってなってる。
[23:37:37] あ、大丈夫です。
[23:37:94] あ、これは大丈夫なのか。
[23:39:13] まあいいや。
[23:40:99] 大丈夫。
[23:43:53] えーと、やっぱ整備済み品っすか。ここは天下の。
[23:48:47] まあね、あれば。
[23:51:30] 安い。
[23:51:98] あれば。
[23:54:11] えーっと、Macだったら。
[23:58:43] えーっと、大きさ、今のやつのおおきさってどれぐらいですか？まあ、13インチでいいかなと思ってたんだけど。
[24:06:55] 今のパソコンってどれ、どんな大きさ？
[24:10:48] 分かんない。
[24:11:39] A4サイズくらいですかね？
[24:15:68] A4サイズ。ってことは多分13インチですね、多分これ。
[24:18:72] うん、多分。
[24:20:96] はい。
[24:21:52] これより？
[24:22:15] え、僕のスマホはもっとでかいんじゃないかなと思うけど。
[24:26:99] えーと、パソコンが。
[24:27:81] ちょっとすいません。
[24:28:60] わかんない。
[24:29:00] Windows Aで15年ぐらい前のパソコンだろう。なんか16インチぐらいありそうじゃない？分からないけど。
[24:40:24] インチ。
[24:40:90] うん。
[24:42:37] Macって何と今まで使ってたパソコン。
[24:48:49] あーっと、基本MacであればMacBook Airっていう、ま、ノートパソコンがあるんですけど、基本それがオススメで。
[24:53:93] うん。
[24:56:07] 25万くらい。
[24:58:99] 25万くらいですか？
[25:01:46] そうですね。
[25:02:99] まあ、あとは、大体そうですね。
[25:06:40] 25万、まあ、より、より、まあ、より下、あの、以下だと思っていただければ。
[25:13:46] 以下で。
[25:14:48] 25万以下だと思っていただければいいかなと思うんですが。
[25:19:00] うん。
[25:21:65] えーと、例えば、例えば、24ギガ500、これだな。
[25:25:70] 出てる。
[25:27:94] えーと、ちょっとま、あの、色とかは1回、あの、お気になさらズで1回ちょっと例えばで、えーっと。
[25:32:89] はい。
[25:36:58] ああ、違う。
[25:38:59] これかな？
[25:39:46] 今、ここのあの。
[25:42:99] チャット見れる？
[25:43:80] チャットに右、それですね。
[25:47:38] それ見れたりするかな？
[25:49:09] あれ、消えた。
[25:50:23] あーと、右下のね、あの、なんかコメントマークみたいなのがある。
[25:56:58] あー、そうそう、これ。
[25:58:94] 例えばこれになる。今だったら。
[26:03:59] これ今年出たやつかな。今年の3月とか出て、今先生が使ってるのとほぼ同じ。
[26:07:34] 同じですね。
[26:08:00] 先生って高崎げたばこ先生と、ほぼ同じやつ。
[26:12:12] が、これ。ま、これはもう間違いない。
[26:14:98] うん。
[26:15:70] うん。
[26:16:32] これで失敗してたら僕は土下座します。はい。
[26:19:90] どんな？
[26:20:97] あ、そっか、そっちで押してる。
[26:22:21] こっちでやってる。
