[00:00:52] はい 、 おはようございます。
[00:00:54] おはようございます。よろしくお願いします。
[00:04:12] (聞き取り不明)
[00:04:27] そう、えっと、はじめ。
[00:04:31] すいません、もう始めましょうかね。一応今年度始まっての高崎さんの勉強会が1発目になりますね。あの、年度がうちが6月で。
[00:04:42] ああ、そうなんですね。
[00:04:44] なるので、はい。ちょっと新しいメンバーとかもいると思うんですけど。
[00:04:47] あ、了解しました。
[00:04:49] します。
[00:04:49] はい、じゃよろしくお願いします。
[00:04:51] お願いします。
[00:04:52] 結構、そう、そうですね。それで言うと今日は、なんか何となく特性の理解からその子への関わりっていう、あの、可能性を伸ばすための関わりっていうところで、結構基本が割と網羅された内容になっておりますので、あの、初めての方も、あの、大丈夫だと思います。よろしくお願いします。
[00:05:13] では、えーと、本日はサッカー領域でその子の可能性を伸ばすというところでですね。で、特性を理解して特性に合わせて伸ばす関わりを学ぶ勉強会となっております。
[00:05:25] なんかそのいろんなお子さんとか特性ある子いるんですけど、なんかその、その特性によって関わり方と、その、伸びる関わり方っていうの全部全然違いますので、ぜひそれ、それのを意識しながら聞いてみてください。
[00:05:40] で、本日のゴールなんですけども、ま、子供の特性を見立てることができるようになること。そして特性に合わせた関わりをちゃんと選ぶようになること。
[00:05:50] ね、えっと、そういったところの、えっと、知識を習得した上で、集団サッカー場面でも応用できるようにすること。これらがゴールとなってます。
[00:06:01] で、今日の流れ、ま、まず特性を知って、ま、その特性を考えるワークをやったり、ね、特性別の関わり方を学んで、ね、えっと、どんな風に関わるのかなっていうところをちょっと考える。で、えっと、実際にはどんなことやってこうかというところを目指していくという感じです。
[00:06:17] よ。
[00:06:19] で、まず特性理解からなんで始めるの？というところでですね。
[00:06:27] 結構あの、同じような声かけとかでも、なんか、子供によって届き方が違うっていうようなこと結構ありまして、なんかその、まあ、例えば、なんだろう、えーと、あ、もっと、もっと強いシュートを打つには、こうやってやった方がいいよ、って言ったとして、でも、ま、それがなんか、えーと、ある程度、え、普段からちょっと自分の自信を、自分に自信を持ってる子だったら、えーと、あ、そっか、シュートはこうやってやれば強く打てるんだっていう風に素直に受け取れたりするんですけど、それがちょっと普段ちょっと自分に自信がないとか、やってることが不安だみたいな子が、あ、ちょっとこれ、もっと、シュートこうやってやった方がいいよって言われたら、あ、私が、私が下手なシュート打ってるからだめなんだ。だから注意されたんだ。あ、だ、なので、えーと、いい気持ちでいる人はその言われたことアドバイスと取れるんだけど、えーと、ネガティブな状況にある人はそれを注意とか、指摘とか、そういう風にとがめ、とられ、とらえちゃったりする。でもそれは、えーと、その子の背景には昔なんかそういう何か自分がやってることを咎められたような過去とかがあるのかもしれないしとか。で、そういう子に対してそういうアドバイスは入らない。もうちょっと、えっと、なんか、えっと、もうちょっと、なんか、その、一歩前の段階のところで考えるみたいなところのやり取りが必要になるので、色々と特性理解によって関わりが変わるっていう話になります。
[00:08:21] ま、ちょっと具体例があった方が分かりやすいと思います。
[00:08:26] ま、よく、えっと、特に発達障害と言われるような子たちが、えっと、同時に抱えやすいなんかお困りごと。よく大きく分けて4つ。もちろん他にあるけど、結構この4つはすごい多くて、他のマイナーなのはちょっと少なめになるので、この4つ押さえとくだけでもだいぶ対応方法、あの、明確になると思います。
[00:08:56] で、特にどんなのがあるのってのは、ワーキングメモリーがちょっと弱い子。これってどんな、ま、ちょっとワーキングメモリーって言っちゃうと、あの、なになになになにってなっちゃうかもしれないんですけど、あの、要するに簡単に言うと、パッとその場で言われた時に頭の中にストックしておける情報の量。これをワーキングメモリーと言います。
[00:09:24] えーと、パソコンで、パソコンの、あの、メモリーとかも一緒ですね。のりとしては。で、このワーキングメモリーが、えっと、小さいとどうなるのかっていうと、はい、じゃあ、えーと、まずボールを用意して、えーと、ボールをどこどこに置いて、えーと、誰かとペアを組んで並んでください、みたいな指示を例えば出したとして、今乗って、えっと、4つぐらい指示があったの分かりますかね。なんか、ボールをとってくる、とか、ボールを持ってくる、とか、誰かとペアを組む、とかならぶ、とか。だけど、こういうのが、えーっと、例えばワーキングメモリーが低い子に言っちゃうと、えーと、最初のボールを持ってくるっていうのは理解できるんだけど、その、あ、ボールをとりに行くってのは理解できる、その、あれ、その後何するんだっけ？あれ、あれ、あれ、みたいな風に結構なっちゃったりする。
[00:10:24] あとはなんかこの不注意とか多動とかだと、はい、こっち来てくださいとかって言ったりとかしても、あの、全然話聞いてなくて、えーと、何も言うこと聞かないで1人だけなんか別のことやってるみたいな風になっちゃったりする。
[00:10:40] で、見通しとか実行機能とかっていうところが弱いっていう風になってくると、なんかその、例えば、はい、次じゃシュート練習やった後は5分経ったらパス練習に切り替えますみたいな風に、行動を次に切り替えるっていうところがすごく難しくなっちゃうんですね。なので、えーと、ちょっとそういう時に切り替える合図を与えてあげたりとかする。あとはなんかその急な予定の変更ってなった時に、パニックになっちゃうみたいなタイプも、あの、ASDの傾向があると結構いたりするんですけど、そういう子も、あの、見通しを立てるのが苦手だからパニックになっちゃうんですね。
[00:11:22] っていうようなところです。あとは感覚情緒とかだと結構、あの、大きい音が苦手だったりとか、なんかドーンとか、あーってなったり、ビクッてなったりとか、あの、しちゃったりとか。結構あと、なんかエアコンとか、なんかブオーみたいな音が苦手だったりとか。ちなみに僕も結構この感覚の過敏さはかなり強くて、なんか音であったりとか、あと、感触ですね。なので結構、あの、急に触られると嫌がる子とかもいたりするんですけど、僕も割とそのタイプで、なんか結構感覚が過敏だったりとかすると、あの、ちょっとその、他のなんかそのサッカーとかの時も他のことが気になってわーってなっちゃったりとかしやすいです。
[00:12:13] ま、ちょっとまずは、えっと、どう対処するっていうよりは、その子を見て何にこの子は困ってるのかというところ見る練習をしてけれればと思います。
[00:12:23] じゃあミニゲーム中コーチがパスして走って戻ってと言うと最初の指示しかできず固まってしまいましたと。さあ。A君には何、どんなことが起きていて、どんな特性が関係して、あ、どんな特性が関係しているんでしょうね、それはって言うようなことをちょっと考えてみてください。
[00:12:47] じゃあ今から3分ぐらいなので、じゃあ15分ぐらいまで時間取ります。
[00:12:53] もしよければなんか、あの、新しく入った方とかは、新しく入った方で独自に考えてみて、その新しく入った方が言った意見に対して先輩の方がちょっとフィードバックなどをしていただけるといい感じになると思います。よろしくお願いします。
[00:13:10] なんで、ちょっと当て、当てるのもじゃあちょっと新しめな方が喋ってくれると嬉しいかもしれないですね。はい。
[00:13:20] そういうつもりでいてください。どこの拠点かは分からないですけどね、当たるのは。
[00:13:29] ちょっと一応前のやつも見ますかね。こんな、こんなような特性とかがよく出やすいので、これのどれかですね。
[00:14:12] でもこの指示が複数理解できないとか、あんまり沢山の情報量をストックできない、これは結構発達障害以外にも現代病的な要素もありますんでね。
[00:14:46] スマホばっかり見てるとこうなりますね。
[00:14:53] 脳科学的には。
[00:15:57] (聞き取り不明)
[00:16:22] はい、そんなわけで、じゃあ、どこ、どこがいいかな？
[00:16:32] お、手上げてる。大将待ちさん。じゃあ。
[00:16:38] すげえ。
[00:16:39] 当てます。
[00:16:39] かっこいいな。
[00:16:40] すごい、初めて、この勉強会も初めて1年。初めてじゃないですか？立候補。
[00:16:48] 今年はうちは違いますよ。
[00:16:51] 今年は違いますよ、うちは。
[00:16:53] 素晴らしい。
[00:16:55] (聞き取り不明)
[00:16:57] じゃ、お願いします。
[00:17:00] はい。
[00:17:02] えーと、A君に何が起きているかっていうのは、まあコーチがパスして走って戻ってという、一気に3つの指示を出したことによって、え、2番のどの特性が、あ、特性が関係しているかで、まず1つはワーキングメモリーがもし低い子であれば、まあパスした後に、あ、次は何をすればいいんだっけとこう、ま、迷うというか、慌ててどうしよう、どうしようってなってしまうケースと、もう1つは3番の見通し実行機能っていうところで、まあ走った後に、まあ言われた通りじゃなくて、ま、戻ったりとか、ま、逆に走るところまではいっても、ま、戻ることができないっていうその見通しが、まあ立ちにくい。
[00:17:56] っていう特性が関係していると思いました。
[00:18:00] おお。
[00:18:01] あ、はい、最後です。
[00:18:03] え、6月に入社しました、おか健太と申します。
[00:18:07] 素晴らしい。
[00:18:08] お願いします。
[00:18:09] 岡健太。
[00:18:14] みんなが覚えた。
[00:18:16] な、名前も覚えやすい。
[00:18:18] 素晴らしい。
[00:18:20] いい、はい。で、あの、素晴らしいですね。特に素晴らしかったのが、この、露骨にワーキングメモリーっぽい、けど、結構こういう子って確かに見通しとか実行機能とか、そういうところも弱くて、なんならちょっと不注意とかでもあったりもしますよね。こういう風に、えっと、明らかに1個それっぽいのとかがあって、それもそうなんですけど、それ以外の可能性とかをさぐるってことも本当に大事で、えーと、大体この支援場面っていうのは、1個はっきりワーキングメモリーだけがだめっていうパターンはあんまりなくて、複合的にちょっと、え、まあ、まずベースワーキングメモリーは平均より低いっていうベースがあって、さらに、えっと、ちょっと、えっと、他のところとかに、そういうところで集中もしにくいっていう不注意さもあって、先々を計画的に考えていけるっていう見通しを立てる力もちょっと弱かったりするんですね。っていうところで、あの、そういう複合的なところからその子を理解して、あ、この子は、なので、えっと、ちょっと注意を聞きにくかったり、パッと物を覚えにくかったり、見通しも立てにくかったりっていう、結構困ってること、あんまりなさそうに見えて結構あるんですよ。
[00:19:45] そういう感覚をま、見て、あ、この子結構困ってるなっていうところをちゃんと見て、それが、あの、困りが少なくなるような働きかけをしてあげてほしいというところです。
[00:19:59] あ、でも素晴らしかったですね。立候補と発表。ありがとうございます。素晴らしい。
[00:20:07] でですね、ま、ちょっとその見立てのコツというところで、ま、ちょっとこの、今日はちょっと見立てるとか、えーと、発達特性どんなのがあるのとか、実際に変わるとか、これがちょっと、えっと、全部3つになってるので、ややどれもちょっと薄めにはなるんですけれども、ま、まず見立てっていうところ、で、見立ては見立てでちょっといっぱい見るところは本当はあるんですけど、今日はちょっと少なめ。ま、まずちょっっっと行動を見てみて、あ、その子で、特にその、えーと、どんな行動を見るのかってところで言うと気になる行動ですね。うん。なんか、例えば、さっきのその、パスしてシュートしてみたいな3つ指示を出すみたいなのも、別に普通にサッカー場面でコーチがそういう指示出すのって全然普通だし。逆に言うとそういう、全然普通にやって大丈夫そうなことなのに、なぜか、えーと、あれ、あの子だけ指示、指示通らないなみたいな子がいったりとかするんですね。そういうような時にぜひ観察をしてほしい。そして、なんで、あの、なんでそういう指示が聞けないのかなとか、そういうことを、えーと、考えてみて、えーと、あ、もしかしたらワーキングメモリーがちょっと小さいから、えーと、指示を1つだけ出さないといけないのかもやってみよみたいなのでやってみて、またあれでもうまくいかないな、あ、そもそも注意、注意力もないから僕の話聞いてないのか。あ、じゃあもうちょっと名前呼んで、はい、はい、はーいってやってからやるかとか。そういう風にして、あの、あれやってみた、あ、でもだめだな。じゃあこれ、あの原因を消したこれをやってみた。あれ、だめだなみたいなので繰り返していって、なんか、あの、通る方法を考えるってことをやってくのが支援かなと思ってます。
[00:21:10] で、まあ、結構ここね、あの、自分自身がその相手のこの子をちょっと受け入れられないとすごく思考停止になりやすいところになります。例えば、なんて言うんでしょうね。えーと、じゃ一生、多分サッカーをコーチとして教えるっていうので、ある程度自分自身が例えばサッカーがうまいっていう自負があったとして、今まで学生の時とかにサッカーをやってた時には、結構、なんだろう、筋トレとか練習とかも結構自分なりにちゃんとやってたんだよなっていう自負がある人がいたとする。
[00:23:05] そして、えーと、サッカーを子供たちに教えるってなった時に、え、だるいんだけど、やってらんないんだけど。え、練習とかやんない、やんない。え、走るとかやんない。疲れるからやんない。え、筋トレもやんない。え、ウイレやってる方がいいんだけどみたいな、子供がいたとする。多分そのサッカーを結構やってきた人からすると、その子を見た時に結構、うわ、嫌いだわって思ったり、わ、こいつ全然やんない、やる気ないから別にやらせなくてよくないとか。なんか色々なんか思って、なんか結局その子をどうしてこうっていう気持ちにもあんまりならないと思うんですよね。
[00:23:52] なんかそういうような時に、つい決めつけて、あの、こいつはなんかだめなやつだからサッカーをやってないとか。そういう風に、実は、単絡的な思考に結構、あの、自分が理解できない時って人間は、あの、簡単な結論をつけて単絡的に物事を収めるっていう生き物なんで、結構そういう風になりやすくて。なんか、でも、なるべくそこで、諦めない姿勢というか、えーと、例えばサッカーをやっててめっちゃつまんなそうにやってるんだったら、つまんなそうにやってる理由が絶対にあるはずで。で、その理由を、えっと、解き明かせば、なんか、もうちょっと状況っていい風に変わるはずで。だけどそこ、あ、なんかサッカーがただ嫌いなんだなって終わっちゃうと、えーと、そ、それ、それまでにになってしまうっていうところですね。で、結構困ってる、とかやれてないとかっていうようなところは、実はそれを乗り越えればその子は成長したことになるんで、すごく成長チャンスというところだと思ってます。だからこそなんか、ま、ま、でもちょっとそういうところで、できないとかっていうところで終わらせるんじゃなくて、どうやったらできるようになるかなっていうところ考えてって、考えていってほしいなと思います。
[00:25:15] よ。
[00:25:18] で、例えば特性別でそれぞれさっきの出たやつどんな風に関わるといいでしょうねっていうところで。
[00:25:26] ま、大体、ワーキングメモリーが低い子は、ま、3つとか物事覚えらんないっす。はい。うん。なんで。1個言う、返事聞く、もう1個言う、返事聞く、とか、なんかちょっと余裕があったら何かに書いて示すとか。なんかそういう風に、なんか、言葉は短くするか、えーっと、図とかは整理されて伝えるか。要するにあまり考えないようにして、えーと、考えないようにして、なんか、少ない情報で判断できるようにしてあげるっていうことですね。
[00:26:09] で、結構その、その場での記憶力とかも、あの、弱いので、あの、メモとかに書いてあって確認して振り返れるっていうような状況を作ってやると、あの、その子は結構逆に言うとちゃんとやりやすくなると思います。で、逆にそこで、あ、ちゃんと丁寧にやらなきゃっていう気持ちは結構あるので、あの、そういう環境を整えてあげると丁寧な仕事をするようになります。ま、これは結構会社の場面とかでも、割と、いっぱいわーって言われるとわーってテンパっちゃう人って結構いると思うんですけど、そういうような人とかには1個1個、ま、まずこれやったら、で、次はこれやったらいいよっていう風に順番を示してあげるとかですね。そうやってやるといいと思いますね。
[00:26:54] ま、でも結構このワーキングメモリーは非常に現代のスマホと相性が悪くて、なんかどんどんショート動画とかを見て、パーンと見て、パーンと切り替えるみたいな生活をしてると、あの、脳へのストックがすごく週間的に弱くなるんでワーキングメモリーが弱くなるって言われてます。あとは瞬時の記憶力っていうところで、あの、なんか2段階認証の数字のパスワードとか、6桁とか7桁とかで送られてきたりするやつ。あれ結構皆さん、あの、コピーして貼り付けると思うんですけど、ああいうのをやってると記憶力が弱くなるんで、僕は、あの、2段階認証の桁は、あの、大体あれ7桁から8桁ぐらいなんで、7桁から8桁の数字をパッと覚えられるっていうのは、ま、平均ちょい上ぐらいの知能がある知能水準なんですよ。なので、えーと、常に自分が8から9桁ぐらいの暗、番号を暗記できるっていうことを僕は自分に確認したいんで手入力で打ってます。でもそういうようなことをちょっと日常に入れてかないと、結構スマホとかデジタルディバイスは、あの、ワーキングメモリーを弱くさせます。
[00:28:15] 考えないでスマホに、スマホで見られるんで、頭で覚える必要がないんですよね。
[00:28:23] よ。
[00:28:25] で、あとは不注意傾向が強い子ってのは、えーと、なかなか周りが気になった話が入らないとか、ボールを見失いやすいとか。あと結構会話とかもなんか付いていきにくくなったりとかもしやすいですね。
[00:28:39] そういったところでは問いかけで、あの、どうしたの？とか、直接声をかけたりとか、えーと、特に、もっと不注意が強い子には名前をちゃんと呼んで、あの、なになにくんどしたの？みたいな風に最初に言ったりすると、あ、自分のことだなっていう風に注意が向きやすくなったりします。あとはなんか周りに、なんか、そういういろんな物をあんまり置かないで、えーと、気が散らないようにしてあげるとか。こちらも、まあ、ちょっと指示とか、あの、言葉かけは短く。
[00:29:10] ま、結構短く単発のスパンとした指示っていうのは、えーと、いろんな子供に対して相性がいいです。
[00:29:21] よ。
[00:29:24] あと見通しを立てられない子ってのは、ま、結構次に何をするか分からないで不安になっちゃったりとか、あの、なんか行動何にもできなくなってフリーズしちゃったりとか。逆に、なんか、すんごい、もっちゃ、もったり、もったりゆっくりいろんなことをやってたりとかします。
[00:29:44] でも、そういった子は結構、そういう手順を先に見せるみたいなところを、やって見通しを立てる。今日はシュート、えーと、シュートやってドリブルやって、なんかやるよ。はーい、っていう、ま、紙とかを渡すと、見やすいですけど。あとは最初に、今日は何をやろう、みたいな風に、えーと、目標とかをちゃんと伝えてあげるとか。あと1分ねとか。そういう風に時間で明確にやる、とか。あの、そういうような風にして、えーと、次とか終わりというところを明確にするっていうところとか、活動を単発で区切っていくとか、テンポよく切り替えていく練習をするみたいな風にしてスケジューリングしてくとやりやすくなると思います。
[00:30:32] よ。
[00:30:35] 特性別の関わりと、で、感覚情緒の特性ってところで、ま、これは、まあ、まあ、なるべくでかい音が急になったりとかは、ま、しないようにするっていうところとか。あとは、えーと、ちょっとそういう、えーと、避難場所って言うんですかね。そういったところもちょっとしんどくなったらここにいたらいいんじゃない、とか。そういうようなところを事前に、あの、決めておけるからいいかなと思います。あとは、ま、なんかそういうとこで結構感覚とか情緒が激しい子ってのは勝ち負けとかにも非常にこだわったりとか。そういうところもあるんで。そういうところで、あ、ま、なんかでき、もうちょっと別の視点で、あの、ま、でもそんだけ悔しいってことはそれだけやってたってことだよな、みたいなようなこととかも、ちょっと視点を変えるみたいな関わりなんだと思うんですね。なんか、そういうとこで勝ち、負けじゃなくて、なんか、ここんの部分はでも成長したし、よかったけどね、とか。なんかそういうようなところの別の観点を伝えてやるとかですかね。
[00:31:42] よ。
[00:31:45] で、集団小集団ってところでは全体指示はなるべく短く、とか、ちょっと、ま、特に特性がある子が多いとかであれば、なるべく少なめの指示で単発でポンってやって、またそれをやらせて、次はポンってやらせるっていうような形でやっていくといいと思います。
[00:32:05] なんか役割をそれぞれ決めていったりとか、ルールを決めたりとか、ペアでチーム、ペアチーム、ペアとかチームで、あの、お互いの交流を活発にしたりとか。ま、なんか勝ち負けってところが際立つというよりは、なんか面白くやったら勝ち、とかなんか、そ、そういうような、なんか、えーと、げー、もうちょっとその、ただ勝った負けた悔しいっていう設計じゃなくて、もうちょっと面白み、なんかいったりとしたものが入れられるのかなと思いますね。
[00:32:36] あとは、うん。なんかうまく1人のフォローを全体の中で、な、なんでしょうね。なんかちょっと孤立してる子があったら、うまくちょっと役割を与えて入れてあげるとか。なんかそういうような細かな役割があると思います。で、集団の中でちょっとこう生かすというところをやってけたらというところ。これもサッカー、サッカーをあえてやってるところの1つで、やっぱり集団、集団にいる中で自分がどう振る舞うかっていうところが、結構このサッカー領域でのでかい効果の部分かなと思うので、ぜひそういうところをはっきりできるようにしていきたいですねって。
[00:33:15] よ。
[00:33:22] で、可能性っていうのは、あの、ちょっとその、なんて言うんでしょ。やっぱり褒められた分だけ、ま、めちゃくちゃ単純に言うと褒められた分だけ伸びます。ま、そんなに断言していいのかも分かんないですけど、少なくとま、怒って、怒ってばっかり、注意してばっかりよりは、なんも考えずに褒める方がまだ伸びると思うし、どんどんやっぱりそういうところで、特にサッカーって刻めば刻むほど、なんかその、細かいところで、なんか達成ポイントって、あると思うんですよね。なんかリフティングの数が昨日より1回増えたっていうだけでもそうですし。なんか、ちょっと、当て、狙って打てなかった方向に狙って打てるようになったとか。で、ちょっとそのあたりの細かいサッカー場面での細かいできたポイントが、僕はちょっとあんまり分からないですけど、なんかきっと皆さんだったら、なんかそこのところで、あ、ここ褒められると意外と嬉しいよなっていうポイントってあると思うんですけど、そういうところをどんどん細かく見つけてあげて、なんか、どんな子もできてないっていう感覚になんないで、どんな子も何かはできてるっていう感覚を持たせてあげてほしいなと思ってます。
[00:34:53] で、特にそれの、えーと、コツとして、スモールステップで進めるっていうところはめちゃくちゃ大事で、あの、こういう領域ってのは日々、あの、えーと、ちょっと努力したらやれることをやらせます。
[00:35:14] うーんと、なんだろうな。サッカーのちょっと努力したらできること。ま、パスとかをやっていて、キン、ま、ちょっとそれを、うーんと、今まで、えーと、ボールが来たら、ボールをずっと見て、ボールから目を離すことができなかったけど、シュッ、パスする時だけちょっと相手を見る、とかかな。そういうようなの、ちょっと見る、見て、えーと、少し相手の方にパスがいきやすくなったよ、とか。そういうような些細なようなこととかを刻んでやらせる、みたいな感じだと思います。ちょっとずれてたらすいません。で、なんかその、なるべくその苦手なこと、今できないこと頑張ってやろうよってやらせていくよりも、なんか今できることをもっと得意にさせるっていう感覚の方がいいです。
[00:36:18] これ結構、支援あるあるなんですけど、あの、まあ、例えば親御さんとかもなんか、例えば、この子はちょっと自閉症の傾向があるので、友、友達と関わることがほぼないです。友達と関わるようにさせてくださいなんて言われると、じゃあ友達と関わるようにさせないといけないから、コミュニケーションの練習をしなきゃいけないかなって思うじゃないですか。で、まあ、大体の場面、こうやって、そういう時にコミュニケーションが苦手な子にコミュニケーションの練習をさせるんですけど、結構、でも、じゃあ逆にその子は何、でもとりあえずゲームがめっちゃ好きですってなったとして、した時に、えーと、コミュニケーションをめっちゃやらせるのか、ゲームをめっちゃやらせるのか、どっちってなった時に、僕はゲームをめっちゃやらせます。
[00:37:31] で、そうやって強い、強み、元々ちょっと他の子よりはこっちが得意っていう強みを、もうめっちゃ突き抜けてけば、多分ゲームとかもめっちゃやれば、おそらく、なんか、その子と人に喋りたくなってちょっと喋るようになるとか。そういう効果は出ると思ってて。そっちが先に出るとコミュニケーション能力を引っ張り上げるっていう作用が起こるんですけど。コミュニケーション能力を最初に上げ、そ、あの、練習で上げようとすると、それは、それ、それで上がっても、えーと、あくまでも、自閉症の人が、えーと、コミュニケーションを練習したぐらいにしかならないんですよ。
[00:38:19] それってなんかあんまり、なんか日常場面で結構使う場面が少なくて。でも、なんか逆にゲームとかでボーンって掘り下げて、なんか喋りたいってなって、あ、それ喋りたいんだったらもっと人たって見ないよ、みたいななんとかっていうような、なん、順番が逆になると、なんか、その、喋り、喋り、コミュニケーションの力もより一層、なんか伸びるようになるなって僕は思ってて。ちょっとそういうようなところで、まずは苦手さ気になるけど、強みをとにかく伸ばすっていうところが、いいと思ってます。特にサッカーはそこが出しやすいと思いますね。
[00:38:59] で、あとは主体性を奪わない、これも大事で、ちょっと、なんか、できなさそうな子には、何かをやらせるのをセットでカチャ、セットしちゃいがちなんですよね。あ、これやり、あ、君はこうだからこれやり、やときなよ、みたいな。ま、それはそれでやるんですけど、なるべく、僕は結構そういう時に、あ、これとかもいいと思うし、これとかもいいから、なんかどれか選んでやってみる、みたいな風で、なんか、いくつかその選択肢を提案したりとか、こっちがやってみなよ、までは言わないで、目の、ま、例えば、えーと、シュート練習をこの子にさせたいなって時に、その子の足の蹴りやすそうな位置にボールをポンって置いといたら、多分その子シュートするじゃないですか。なんか、そんなような感じで、なんか、自分がシュートしたって思わせたいんですよね。僕はね、そういう時にね。そうすると、自分で決めてシュートしたってやって、あ、なんか、その、自分で始めた行動ってなんかすごく能動性とか成長に結びつきやすくて。だから、なるべく子供は全部自分の意思で行動したっていう風に僕は、あの、思、思わせたいし、なるべくそうさせるし。なんかその、えーと、こっちがやれって言うんじゃなくて、僕は結構普段なので授業とかも、子供がやることは一切自分で、僕は決めないので。あの、僕はもう徹底して、その時に子供がやりたいことしかやらないし、えーと、やりたいことがないなら何もやらないで座っててって言ってますね。そうやって自分から出てくるものを僕はそれぐらい大事だと思ってます。でも、そうやって自分から出てきたものでそれやり始めるとすごく続きますし、成長します。
[00:41:00] で、そういったところで結構特性ってのが、えーと、出てきたてのレベル1ぐらいの特性って人に迷惑しかかけないんですよ。なんだだけど、その特性とかもうまく自分の強みとか、そういうところと相まってくると、あの、本当に個性っていうところになって。例えばなんかよく言うADHDとかって、えーと、経営者が多いよとかって言ったりするんですけど。それはなんかそういうことで。なんか、ま、例えば、元々のADHDが持ってる特性的には、衝動性が強くて自分の興味のある方向とかにバゴーンと突き進んでしまうと。で、そういったところで、えーと、突き進んでしまって、まあそうすると、あの、えーと、効率の学校みたいな、ああいうテンプレな人間を育てるための教育機関っていうのは、なんかあれですよね。えーと、そういうはみ出していくみたいな、我が道を行くみたいなタイプと非常に相性が悪くて。なので、えーと、学校では問題児とされて。で、そこのところで問題児ですねっていうのしか、なかったら、なくて、それでどんどん支援級とかに行ってってなっちゃうと、本当にただの問題児は問題児のままでしたが。そこのところでなんかでもそのなんかガーっていを、僕がいいと思うよみたいな。なんか別の誰か認めてくれる人がいて、それでそのガーって行く気持ちをその子は失わずに持てたとしたら、えーと、もうちょっと、なんかその、自分のでかいこととかと何か結びついた時にそれがバーンと花開いてってなるんです、なりますよね。そういう風になってるのが、いわゆる、えーと、ADHDの人が負けずにやって経営者になったパターンですね。なんかでもそういう風にして色々な風に、特性っていうのは、なので、僕もかなりADHD持ちなんですけど、なんかそれをなんか僕は自分自身で、あんまり発達障害という風には思ってなくて。まあ、これも確かに、僕がある程度多分やったこととか、ある程度誰かが認めてくれた、褒めてくれた、なんか評価してくれた。多分、それがいくつかあったから、なんか腐らずにそのなんか自分のボゴーンって言うのと、うまくその自分の仕事を結び付けてやれてるけれども。ここがなんかその認められたとかがなければ、ただのボゴーンって行くのだけが残るんで。なんだ、ムカつくって言ってただ人に暴力を振るう、とか。全然そっちには行ってると思います。
[00:43:56] だけどそういうところって、な、なんかそういうので、僕も犯罪者になるっていうようなところも結構側面としては自分であるなと思いますけど。なんかそういうところも、えーと、実は、ま、今までの周りの大人とか。そういうところの関わりとか、自分の特性の使い方は、あとはその特性の社会との関わり方。そういったところで、あの、本当に未来めっちゃ変わってるんだと思います。
[00:44:28] だからぜひね、可能性を伸ばしていきたいというところですね。
[00:44:32] やべ、でも、なんか全然ちょっとあれだな。時間配分ミスったかも。
[00:44:37] ミスったな。ちょっと待ってくださいね。
[00:44:45] まとまっちゃった、今日。ちょ、ちょっと。
[00:44:51] ま、ちょっと今日はその特性を知る背景を見立てて、うん、さん、ワークの2が多分飛ばされとるかもしれん。
[00:45:01] 嘘。
[00:45:02] はい。
