[00:00:07] あ、お帰りなさい。
[00:08:31] あの、でなんか熊対策とかあの、交通機関とかへの対策とかそういうようなえっと対策を考えて市長に直接ピッチして、ま、良かったら、良かったら100万円みたいな感じだったんで、おおおお。
[00:08:47] ま、僕はこれに対してちょっとあのAI人材を大学生、あのテーマの中に大学生を育成してなんちゃらかんちゃらってのがあったんで、まあ大学生とかをえっとAIを教えてAI特待生にしてそのAI特待生たちに市の課題を解決させるみたいな。
[00:08:50] そいういう風なのプログラムとしてやりませんかーって言うの、に言いに行こうと思ってて。
[00:09:14] うん、いいですね。
[00:09:16] で、まあ、そういうので、なのでこういうホルダーの中にこのチラシであるとか、あとはえっと僕はいっつもよくやるのはこういうえっと、市のページを検索してこういう文字をブワって全部コピーして。
[00:09:39] うん。
[00:09:40] えっ、えっとまず内容な、内容をまとめろみたいな事を言ったりとかして、こういうピッチ戦略をまとめるみたい、あ、でこれをちょっとえっと、よ。
[00:09:56] そう、ちょっとね、今日は出してるものがテキストだけで地味かもしんない、あ、あれ？
[00:10:01] こん、開いてるとなんか最近アンチグラビティのUI表示がおかしくて。
[00:10:07] うん。
[00:10:10] 消え、結構こうやってる時消えて、あれ？なんか表示、真っ暗のままだな。
[00:10:17] ちょっと待ってくださいね。
[00:10:21] 1回閉じるか。
[00:10:25] よ。
[00:10:26] アンチグラビティの、え、中で、え、クロードコード、クロードコードがいます？
[00:10:34] その、アンチグラビティいうのはまあ普通にジェミニとかを使ったりします？
[00:10:38] あ、僕はね、使うんですね。
[00:10:42] なんか、それもどうやって使うかってのちょっとご説明しますと。
[00:10:45] あ、ちょっと、じゃ、ちょっと。
[00:10:47] ま、例えばもう、僕はこういう風にして、ここことかにピッチ戦略まとめMDっていうのを作らせて、ここにまずそういうえっと審査基準とか、え、そのピッチのそのイベントの内容とか、ま、後なんだったら市長ピッチなんで市長のホームページとかも調べて読ませてます。
[00:11:10] うん、うん、うん。
[00:11:11] いいですよね。
[00:11:13] 関連するやつもリサーチして読んでくれるから。
[00:11:16] すごい厚みあるなんだろう。
[00:11:18] はい、はい。
[00:11:19] で、そういうの、そういうのからベースにして、えっと、今度はプレゼンの内容とかを作らせて、プレゼンの内容もまた、文字だけでこうやってスライド1はどういう風、こういう風ですかっていうのを全部、えっとスライドにはこうとかってのを作らせたり、あと応募書類っていうのがえっとあるんで、ま、なので作らなきゃいけないのは応募書類、応募書類とどれだっけかな？
[00:11:56] どれだどれだ。
[00:11:59] あ、これか。
[00:12:00] なんかこういった応募書類が、えっとExcelのやつと、今回なんかえっとパワポで2枚画像っていうので、と応募書類と、後合わせ、えっと送れてスライド資料ですね。
[00:12:14] うん。
[00:12:15] なのでなんかその、でこういうなんかExcelとかも埋めるのとかもめんどくさいなってなるんだけどなんか全部内容とかを読ませた上で僕の事業とかやってることとかも読ませた上でえっとExcelの、Excelもこうやって中に入れとくんですよう、フォルダーの中に。
[00:12:36] うん、うん、うん、うん。
[00:12:37] ね、そうやってやって、例えばこのExcelをここにドラッグアンドドロップして、ま、ちょっと今も書いちゃったんで、あの追加では書かないんですけど、えっと内容に沿ってこの書類埋められるだけ埋めてとかって打ってバーってやって作業してできたやつがこれなんですね。
[00:12:58] なのこれえっと結構しっかりと書いてるんですけど。
[00:13:03] いや、ま、あんな書くのもめんどくさいですからね、筆記でやったね。
[00:13:06] はい。
[00:13:07] これ、あの、僕あの1文字も書いてないですこれ。
[00:13:12] うん。
[00:13:12] あのこの状態で出来上がってました。
[00:13:17] だから多分これはクロードコードの機能じゃなくて、えっとクロードコードがえっとPythonでExcelを書く機能を自作してるんですよね多分これ。
[00:13:27] うん、うん、うん、うん、うん。
[00:13:29] で、えっとExcelとかも書いてくれるって感じになってますと。
[00:13:34] で、さらにえっとこういうえっとスライドっぽいのを作りたいよって言う時にはもうひたすらえっと、僕はここにさらにAPIとかももう敷いてるんで、で後最近ナノバナナ2でちょっと画像生成代も安くなったんで調子に乗って使ってるんですけど。
[00:13:53] いいすよね、安くてコスパいい。
[00:13:55] ええ。
[00:13:55] そうなんですよ、半額ぐらいですかなね。
[00:13:58] うん、うん。
[00:13:59] なのでこういうのでもまた内容を作らせて、えっとインフォグラフィックな画像とかを出してとかって言う感じにしてこうやって秋田先進県構想なんてのであの自分の実績とかも載せつつどういう風に発掘してくとかどんどんやっていくみたいなとかいや人材を発掘すれば大丈夫みたいなとかをやれるプレゼンを作った、資料も作ってくれて、あとさらにえっとプレゼン資料も作、作ってはいるんかな。
[00:14:44] あ、まだこプレゼン資料はそしてこれから作ってくって感じですね、これは。
[00:14:48] うん、うん、うん、うん。
[00:14:50] で、まあなんかえっと市長プレゼンで。
[00:14:56] あれこれはなんだっけ？
[00:15:01] ここ、あ、ここにスライドもある。
[00:15:05] スライドもなんか、あ、スライドもある。
[00:15:07] あ、これは、あ、これはまた別のもう1個の方だ。
[00:15:10] えっと、あれ、ややこしい。
[00:15:13] 自分からちゃんと来てますもんね。
[00:15:15] なんかAIが雑作ったみたいな話してないすけどね。
[00:15:18] そうなんすよね。
[00:15:19] これキャラとかもちゃんと入れ入れたりとかして、あれ？
[00:15:23] なんかでもあるかな。
[00:15:24] うん、うん、うん、うん。
[00:15:25] あ、しまった。
[00:15:27] Cで読み込んだら別のやつを読み込んでる。
[00:15:34] うお。
[00:15:35] ちょっと1回あれだ、ちょっとって言おう。
[00:15:38] あ、ちょっとすいません。
[00:15:39] これをちょっともう1回開こう。
[00:15:43] で何でしょうね。
[00:15:46] こういう、なので結構こういうとこでExcelワードいけるんかいってなってなんかそこからブワっとまた、だから結構これで、あれですね行政とかの手続きとかそういうのはやっぱワードとかが多いんですけど、うん、うん、うん。
[00:16:14] だ、そういうのもなんかこないだすごいすぐに終わりましたね。
[00:16:18] NPOの手続きとかもだからこれによってめっちゃ早く終わるようになります。
[00:16:24] 確かにな。
[00:16:25] だから今クワークがね、え、使いやすさと機能が出てきて、このマイクロソフトのクワークが出てきてる。
[00:16:31] そうだ。
[00:16:33] クロード搭載した。
[00:16:34] あ、そうなんですか？
[00:16:35] あれんの、あれ辺が多分一般のオフィスユーザーの人たち多分すごく使いやすいかもしんないですね。
[00:16:41] 多分ね。
[00:16:42] ああ、こ、なんかもうなんか最近逆にこのクロードコードで何でもできるから、なんかあんまり新しいものを追うと言うよりも、クロードコードで何を作るかみたいな感じになってきちゃいます。
[00:16:58] 分かります。
[00:16:59] 僕ももうクロードコードしかやってないです。
[00:17:00] ですよね。
[00:17:01] なんか、あ、そうだ。
[00:17:03] GPTもなんか5.4が出たってとかコーデックスが新しくなったつったから、じゃあクロードコードにそれを触らせてレビューをさせて何が変ったかと。
[00:17:11] ね、自分やりに行かないっていうね。
[00:17:15] 分かる。
[00:17:18] で、もなんかそれでいいですよね、もう。
[00:17:21] うん、そ、それ、そこまで来ちゃってるクロードコードが。
[00:17:24] うん。
[00:17:27] そうなんですよ。
[00:17:27] だからみ、ね、あの、あんま初めの人はクワークの方がやりやすいかなって言うんですけど、でも結局クロードコードになるんですけどね、話は私はしてます。
[00:17:37] あの、クロード、もう壁さえ乗り越えちゃえばこのクロードコードの世界にやんだら出来ないことがほぼないっていう、このね。
[00:17:43] ほんと、ここまでできるのって言うくらいできますよね。
[00:17:45] ほう、そうなんです。
[00:17:47] うん。
[00:17:48] 結構ね、あの。
[00:17:50] ライブが終わったらブログになって、それがSNSになって。
[00:17:54] それで今度ブログを、え、さらに、え、この動画にするってやつができたんで。
[00:17:58] え、そうすると、そのライブや、それがブログになって、そのブログがまた動画になるというね。
[00:18:03] なってるほど。
[00:18:06] まあ、でも、そうですね。
[00:18:08] ライブみたいな、なんかあの、三分的に喋るような感じの所から、1回ブログに整理して、そっからえっと、もう1回動画にすると多分知識とかをちゃんと伝える系に抽出された物には変わりますもんね。
[00:18:23] そうなんです。
[00:18:25] セルフキリ、セルフ切り抜きみたいなことですよね。
[00:18:28] そうそう。
[00:18:30] や、こう、こういう感じでね、朝ライブのやつとか全部こう出来上がって来るようになってて。
[00:18:36] うん。
[00:18:37] で、本当何だろう最近のニュースもだからニュースリサーチしたものを毎朝投稿させてるんですけど、それ、自分です、自分用にニュース作ってもらってる感じですね、これね。
[00:18:47] なるほどなるほど。
[00:18:48] あ、コパイロ、なんか出たんだとか、クロードが、入ってるなんだとか、このニュースを読ませて、でそれを今度え、動画にしてもらうっていう感じで、この分身のAIひろ君と記者のリンちゃんがなんか勝手にラジオ番組作り始めたんですけど、これ。
[00:19:02] そう、確かにちょっとね、対談系次僕もやりたいなと思ってて。
[00:19:08] うん。
[00:19:11] なんか。
[00:19:17] 最近僕もなんかあの、自分で。
[00:19:22] 自分で調べるのめんどくさい事をAIに行って勝手にYouTubeに動画であげさせるってのやってて。
[00:19:28] うん。
[00:19:29] あ、うん、うん。
[00:19:30] それもやります。
[00:19:32] はい。なんかあの、あの。
[00:19:33] いいすよね、あの。
[00:19:36] えっ、量子コンピューターとかってよく分かんないじゃないすか。
[00:19:40] ああ、はいはいはい。
[00:19:41] で、ずっと量子コンピューターって僕よくわかんねーなってずっと持ってたんですよ。
[00:19:47] はいはいはいはい。
[00:19:48] だから、あの、そのさっきのスライド作るAIにあの、量子コンピューターについて分かりやすく説明する動画作ってあげといてって言って機能作らせてあげときました。
[00:20:03] でもちょっとなんかえらいもんで、ちょっと、あ、ちょっとそれもついでに画面共有しますと。
[00:20:10] はい、お願いします。
[00:20:12] あの、YouTubeえっと。
[00:20:23] あ、ちょっとYouTubeで。
[00:20:26] あれだな。
