[00:00:00] すいません。
[06:42:01] で、そうすると、こう、足裏の情報が、こう、やっぱり、こう、足裏から、インプットの質が悪くなるので。
[06:49:15] その足裏が来たら、データ、こう、脳が、危険だ、っていうふうに、勝手に、ご、あの、誤判断をして。
[06:54:78] で、そうすると、脳が、すごく、便利なんですけど、脳が、じゃあ、あれですね、あの、その左側の足を、もっと、力を入れて、バランスを、コロンバないようにしよう、とか。
[07:03:36] 股関節を固めて、こう、できる限り、フラフラしないようにしよう、とか。
[07:07:44] なんか、そんなことをして、最後、こう、あの、ま、言葉悪いです、汚い体になってくると。
[07:12:12] あの、ちっちゃい頃、きれいだったのに、なんか、40、50になると、やたら、こう、ムキムキする女性とかいるんですけど。
[07:17:51] 多分、ああいう方は、こう、体が、こう、悲鳴というか、サインを出してると。
[07:20:17] そんなメカニズムでして。
[07:22:98] で、そのあたりを、今日、ちょっと、ご相談したかったのが。
[07:26:67] あの、今、写真を、こう、撮って、ビフォーアフターって形で、ある程度、こう、我々の、あの、ワークの成果みたいなのを見てて、見てくんですけども。
[07:35:54] あと、それと同時に、こう、写真から、こう、その、先ほど言った、こう、いろんな、こう、脳が勘違いして、いろんな体を、こう、筋トレさせちゃってるところも、実は、そこん、メソッドに当ててくと、わかるような感じになってまして。
[07:48:47] で、そのあたりを、今だと、こう、今、園田さんとか、インストラクターの方が、一件あたり、こう、30分とか、1時間ぐらいかけてですね。
[07:56:88] あの、このあたりの、こう、ところが、膨らんでて、これが、ちょっと、問題だ、っていうのを、こう、手書きというか、システムで、こう、作ってるんですけども。
[08:05:41] ま、それって、でも、あの、ノウハウは、だいたい、こう、汎用化できてるのに、毎回30分1時間って。
[08:11:06] で、それも100、100件以上あったりすると、もう、死にかける、っていうところで、あの、AI活用みたいなのが、すごく、有効ではないかな、みたいなのがありまして。
[08:19:64] はい。
[08:19:93] 今日、ちょっと、あの、以前、田中さんから、ゴルフの、なんか、こう、スイング診断みたいなものを、なんか、あるよ、みたいなの聞いてましたんで。
[08:26:77] はい。
[08:27:07] あの、あのあたりの、ちょっと、今日、可能性を、少し、議論させてもらいながら、こう、ぜひ、お願いできるとこないかな、っていうところを、ちょっと、探ってきたいな。
[08:34:39] あ、じゃ、ちょっと、多分、その、画像認識みたいなのが、結構、大事になってくると思うので。
[08:41:88] だ、ただ、ちょっと、今、聞いてて、気になったのは、その、多分、筋肉の微妙な盛り上がりみたいなのとか。
[08:49:10] 凝り固まりみたいなので、判断するってことですよね。
[08:52:62] ちょっと、なんか、どういった写真ですかね。
[08:56:32] ちょ、ちょっと、なんか、1枚、とか、具体的にですよね。
[08:59:71] なんか見せていただけると。
[09:01:28] なんか、でも、僕の予想だと、かなり、その、AIが、判断しにくそうな素材かな、って感じするんですよ。
[09:10:47] 撮り方にもよりますもんね。
[09:12:65] だから、ちょっと、その、しばらくは、撮った、その写真に対して、人力で文字を、自分で入力する、みたいな、の、100件ぐらいやって、そういうので、データとして学習させる、みたいな作業が、必要になるんじゃないかな、って感じしますね。
[09:33:14] わかりました。
[09:34:04] 園田さん、出せますか？
[09:36:71] 待ってください。
[09:37:71] なんでも。
[09:38:88] 多分、足の、多分、ふくらはぎの、写真とか、そんな感じですか？
[09:44:59] ああ、そ、そうですね。
[09:46:58] なんかなんか、はい。
[09:49:60] なんか、パッと見で言うと、腕なのか足なのかも、ちょっと、判別しにくい、とかに、そうですよね。
[09:56:88] そうだな、と思う。
[09:57:51] でも、だから、全部、電気、電気の体とか。
[10:01:31] でも、あれか。
[10:01:74] 全部足の、足のふくらはぎの写真です、とかっていう、前提条件を加えれば、他のものを探り、探りに行かなくなるから。
[10:13:00] あー、なるほど。
[10:14:62] うーん。
[10:15:37] ああ。
[10:16:34] パッと見分かんない。
[10:19:35] えっと、これ、えっと、左がやる前で、右がやった後。
[10:23:49] そう、そう、そう、そう。
[10:24:28] 右がアフター。
[10:25:52] なんとなく、そう、右の方が、髪型が整ってるのは分かったけど。
[10:30:26] ああ。
[10:31:91] え、わからん。
[10:32:89] え、これ、これ、これ、これ、これ判別できます？
[10:44:81] これ、これ、これ、これ判別できます？
[10:46:42] これは、ちょっと、厳しい気がするな。
[10:49:73] なんなら高いっすよね。
[10:50:66] あ、これはなんだろう。
[10:51:35] その、えっと、足の隙間を見るってことですよね。
[10:55:96] これ、足の、足首の角度を見てますね。
[10:58:63] 足首の角度。
[11:00:87] はい。
[11:02:16] おお、ああ。
[11:06:58] なんか、あれかもな。
[11:10:87] なんか、あの、えっと、画像認識AIとか、そっちのレベルの話になりますね。
[11:17:39] あ、で、多分だけど、なんか、マーカーみたいなのを画像に加える必要がある気がする。
[11:25:46] それで、この線をこうやって、例えば、えっと、多分、足首の角度を、多分、いくつか見るパターンありますよね、これ。
[11:36:74] そうですね、はい。
[11:38:43] えっと、なので、多分、足首、例えば、じゃあ、足首、今の足首の角度を例にとったとしたら、足首の角度、足首の角度を見る時には、足首の角度を見る用のプログラムでやった方がいいと思います。
[11:58:24] うーん。
[11:59:65] なので、その、どこを見るっていうのの、えっと、1個1個、うんうん。
[12:06:40] 用に、あの、こういう、これの時には、こう見て、っていうのを1個1個に作ってく必要はあるかな。
[12:13:28] うーん。
[12:14:48] で、さらに、ちょっと、多分、この足首の角度を見るための、えっと、マーカー画像みたいなのが、なんか、こういうのを、作って、それで、なんか、あの、ここの開きを、要は、ここの開きが変わるわけじゃないですか。
[12:31:37] 足の。
[12:32:64] えっと、そうですね。
[12:33:23] そこも、とか。
[12:34:65] ここも、とか。
[12:35:46] 変わるんですよ。
[12:36:78] そうです、そうです、そうです。
[12:37:73] あの、足首がこうなると。
[12:40:41] そう、ここ、ここが、開かなくなってくるとか。
[12:44:27] ここが凹んでない、とか。
[12:47:11] だから、この人としては、えっと、同じ直立不動を、ビフォーアフターでしたつもりってことですよね。
[12:54:68] あ、そう、そう。
[12:55:54] そうですよね。
[12:56:88] で、だから、多分、そう、ここのマーカーの隙間っていうのを測る。
[13:04:31] ま、だから、多分、あれ、ここで言うと、くるぶしと、くるぶしと、くるぶしの頂点で結んで線を引いて。
[13:15:37] うーん。
[13:16:31] その線の長さを測定する、みたいな形にすれば、えっと、いける。
[13:24:43] うーん。
[13:25:88] なので、ちょっと、その、えっと、例えば、画像が100枚ぐらいあるとしたら、えっと、あ、この画像は足首、この画像は、えっと、なんだろう、ふくらはぎ、この画像は膝、みたいな風に、その、えっと、所定の、合ってるフォルダーに振り分けて、それぞれが、えっと、決まった判別の仕方で動いて、ってやれば、一気にできると思います。
[13:50:09] うーん。
[13:50:90] ちょっと精度がどこまで行けるか、ちょっと、怪しい。
[13:53:71] うんうん。
[13:54:19] これ、あ、すいません、ちょっと技術的なところですけど、これ、すいません、あの、これ、やるとしたら、なんか、ジェミニ的な、そういうよくあるやつになるのか、それとも、完全に画像認識系の自作のどっちになります？
[14:05:85] ええと、多分、ええと、ジェミニとかの画像認識でいけると思う。
[14:10:44] あ、いけます？
[14:12:65] し、多分、そっちの方が精度高いんじゃないかな、今って。
[14:15:68] 一応ファインチューニングするのかな、と思いましたか。
[14:18:22] あ、どうなんだろうね。
[14:18:78] でも、そういうので、普通に、あの、いろんな条件を人力でやってった方が、もしかしたら、精度は安定するのかな。
[14:28:09] 結果的には上がるかとか思いましたか。
[14:30:57] いや、だから、あれだよね。
[14:31:40] あの、あんまりAI判断じゃなくて、そのマーカーとかを入れるとか、そういうのを駆使して、あんまりAI判断しない部分も、結構、多くして、とかってやれば、うんうん。
[14:42:91] かなりいく。
[14:44:28] ま、ま、でも、結局、やってることは、もう、あの、そっちに画像をぶんなげたら、できるよっていう。
[14:51:75] うん。
[14:54:02] なか、中のロジックが、ちょっと、どう作るかは、ちょっと、ちょっとね、その、色々やってみて、精度どうか、あ、これだ、だから、別の方法だ、ってなるけど。
[15:07:33] 多分、それの、それの、方法が、ジェミニとか、そっち系汎用AIで、まず、噛ませて、できるかを試す。
[15:17:74] うん。
[15:18:27] で、あんまりにできないとか。
[15:19:64] あれじゃない？
[15:20:13] これ、GPTの、これも、あれだよね。
[15:22:64] コーデックス呼び出し、GPTで、GPTの範囲内でできそうだよね。
[15:28:43] ああ、そっすね。
[15:29:72] ま、画像認識の精度がどんなもんかぐらいですね。
[15:32:67] でも、GPTって、画像認識、結構、精度高いだろ。
[15:35:68] 今は高いと思いますよ。
[15:36:58] 高いよ。
[15:40:48] うん。
[15:40:74] だから、これもね、ちょっとね、あの、いや、ちゃんとね、いや、分かるんですよ、成果は。
[15:54:69] 成果は、よく見ると分かるんですけど。
[16:00:84] これ、人間しか判別つかないよな。
[16:03:07] これは、でも、AIは、同じ、同じ人だ、って判別をしちゃうよね。
[16:07:69] なんか、よっぽど、ちゃんとした、なんか、こう、なんか、その、さっき、おっしゃってた、ロジックとか、ここが違う、っていう明確な、その、ポイントを、あの、ちゃんと、こう、仕組まないと、できなそうですよね。
[16:19:27] うーん。
[16:20:25] だから、あれじゃないか？
[16:21:84] この、線、これ、多分、おそらく、画像、全部、線引くんですよね。
[16:29:57] えっと、全部ではないんですけど、この、横、横ですね、横は、この、赤の線、青の線、こう、ま、基準点があるんで、それに対して、ひっくり返るって感じです。
[16:39:41] なんか、その、2本だけ、絶対に引く、みたいな、もしかしたら、なんなら、自動で入れさしてもいいかもしれない。
[16:44:60] そう、そう、そう、そう、そう。
[16:46:04] それは入れたいです。
[16:47:33] 多分、そうなんだよ。
[16:48:42] その、画像に、なんか、多分、まず、えっと、頭とか肩とか足とかを判別させて、それを結ぶように線を引くっていうのをつける。
[17:04:41] ふんふんふん。
[17:05:43] で、その線を元に判別させる、っていう、2段階でいく。
[17:12:44] そうすると、えっと、なんか、画像認識っていうところ以外にも、ちょっと別の基準とかを使いながら、判定してくことになるんで、精度も上がりやすくなると思います。
[17:24:66] うんうん。
[17:25:72] うん、結構、作りがいのあるそうなもんですね。
[17:29:91] ですね。
[17:30:57] 作りがいありそうですね。
[17:32:82] 昔、あの、えっと、筑波大が開発した、あの、姿勢解析ソフトを使ってて。
[17:41:25] あ、そういうの、既に、使ってるんですか？
[17:43:55] もう、今、やめたんですけどね。
[17:44:59] あの、私の観点と、その精度、そこが作ってるソフトの観点が違うから。
[17:51:75] ああ、なるほど。
[17:52:95] なんか、あんまり、気持ち悪くって、もう、やめちゃったんですけど。
[17:55:54] じゃあ、ちょっと、その、姿勢解析ソフトの、の、えっと、観点が、園田さんに合えば、理想ってことですか？
[18:08:34] 理想だったんですけどね。
[18:09:68] あの、そ、そのソフト教えてもらっていいですか？
[18:11:03] そのソフト教えてもらっていいですか？
[18:13:20] えっとね、スポティップっていう。
[18:14:48] スポティップ。
[18:16:11] はい。
[18:17:66] なんか関節点を最初に、こう、設定して、その関節を見てる、とかって言ってました。
[18:23:43] え、スポティッププロですか？
[18:24:68] あ、そう、そう。
[18:25:69] ああ、ほう、ほう。
[18:27:54] へえ、動作分析。
[18:28:65] ああ、本当だ。
[18:29:48] ああ、これもありますね。
[18:32:41] そこに書いてあることは、あの、とても良くて。
[18:35:46] これ、関節点を写真を元に、自動で生成は、ぶっちゃけできそうで。
[18:44:03] ほう、ほう。
[18:45:26] だから、これの観点を、そちらの観点に、ま、改造すればいい、っていう、ま、ちょっと極論ですけど。
[18:52:84] ええ。
[18:53:49] なんか、その観点、まとまってたりしますね。
[18:58:05] 多分まだ途中というかまだ、踏ん張ってると見てて。
[19:01:80] ふんふんふん。
[19:02:45] この取り組みの中で、はい、整理したいと思ってました。
[19:05:41] そうですね。
[19:05:95] なんか、多分、えっと、ベースのシステムを作っといて、あとは、どんどん、観点を追加していけば、あの、それが取り入れられた感じにはできるかな、と思うんすよね。
[19:23:79] で、おそらく、この、なんか、姿勢とかの変化みたいなのは、この、関節点を導き出せて、線が結べることができて、その線の位置とかを測定できれば、ほぼ解決する、っていう認識で、大丈夫ですかね？
[19:46:66] うーん。
[19:48:58] まあ、それで、それで、ま、補い、それで補いきれない部分は、多分、追加でできるとは思います。
[19:54:68] うん。
[19:56:04] 多分、ベースでも、かなり、えっと、その、関節点、トントントントンって出して、それ、線引かれて、この、えっと、この線の傾きは、こっちが、こんぐらい、こっちは、こんぐらいです、みたいなことを言えれば、えっと、割とやりたいことの、だいたい、8割ぐらいはできたかな、にはなりますよね、きっと。
[20:20:53] ああ、そうですね。
[20:22:47] で、うーん、そうなんですよね。
[20:24:67] で、あと、あの、静止画が難しいのが。
[20:28:77] うん。
[20:29:43] 自分で、ある程度コントロールできる人も出てきちゃうんですよね。
[20:33:57] ああ、じゃあ、ちょっと、いい姿勢をしちゃう、みたいな。
[20:35:47] そう、そう、そう。
[20:35:86] そう、そう。
[20:36:26] そうなんですよね。
[20:36:58] なので、痩せて、ま、でも、痩せてるか、みたいな体系とかってなった時、やっぱ、ちょっと、お腹は引っ込めちゃう気がしますよね。
[20:45:51] ああ、とかね。
[20:46:17] そうなんですよ。
[20:46:58] やっぱ、あの、綺麗に見せようと思って、無理しちゃう。
[20:49:55] ま、ま、ま、大学でも、それっぽい話は聞きますよ。
[20:51:79] ああ、なるほどね。
[20:52:95] で、その、角度とかだけは、やっちゃうと、なんか、ちょっと失敗しちゃったりとか。
[20:59:36] ま、それは、ま、やっちゃったんですよね。
[21:01:46] だから、なんか、こう、ビフォーアフター、ま、これ、ちょっと、ビフォーだけなんで、あれですけど。
[21:06:50] ビフォーアフターで見せようと思った時に、何を持って、この、変化した、っていうふうに、言うか、みたいな。
[21:13:00] ところは、ちょっと、まだ、明確に、あるようでなくて。
[21:18:18] 結構、でも、具体的な、その、変化の部分って、なんか、そこまでに、なってくると、今度、あの、人が見ても、ちょっと、差を言うのは、難しい、というか。
[21:29:47] うんうん。
[21:30:45] そういうところが、あるんですけど。
[21:33:63] そうですね。
[21:34:11] で、あの。
[21:35:10] うん。
[21:36:03] 人が見てわかる、っていうところは、言語化はできるんで。
[21:40:48] はい。
[21:40:87] そこは大丈夫かなと。
[21:42:15] あと、それが、こう、AIに置き換えた時に、うん。
[21:45:00] 何を見て、その、さっきの関節点だけだと、多分、難しいところがあって。
