[00:00:10] お、お疲れ様です。
[01:03:36] あ、なるほど。
[01:03:38] まあ、そっか年齢も上だしって感じなのかな。
[01:03:43] そう、だから結構あの辺のグループがやってるようなことをみんなが見て良いなーってなってちょっとずつ真似し始めたりしてくると そうですね。
[01:03:58] 多分教室の雰囲気が良くなってくるかなと思いました。
[01:04:04] はい。
[01:04:06] はい。
[01:04:07] ここ、まあ、あの 建築については、見てる子も多かったので、ま、来週、今週かな？
[01:04:22] もしかしたら、また新しい作り始めるってなったら、進歩するかなって思います。
[01:04:30] うん。
[01:04:33] で、まあ、悪かった点については、ちょっと男子グループの方は はい。
[01:04:39] すごいハニして、ああそうですか。
[01:04:42] もうなかったなって。
[01:04:43] 追いかけには応じてくれたんですけど。
[01:04:47] 結構、自分からやるっていう感じではなかったのかなっていうところが1つですね。
[01:04:52] なるほど。
[01:05:00] あと、もう1つは、なんか発表中の建築物だったり、ま、家畜にちょっと被害を与えるような、ちょっと荒らしてる うん。
[01:05:10] 追う人いたので。
[01:05:12] これは何だろう？
[01:05:14] えっと自分達が作ってるやつを自分達で壊してた感じ？
[01:05:21] それとも発表してる えっと
[01:05:27] この所に誰かがわざわざ行って荒らしたりとかしてる感じ？
[01:05:35] そうですね。
[01:05:36] ちょっと、他グループの建築を ですね、最後にあのアノモダンハウスの所とか家畜とか言ったぽいんですけど、家畜を全部殺されてしまったりとか。
[01:05:53] なるほど。
[01:05:53] ていうのがあったらしくて、それでちょっと ま、揉めて、いい感じです。
[01:05:59] そう。
[01:06:00] ほう。
[01:06:04] すいません。
[01:06:05] 今匠先輩が入ろうとしてるらしくて、でも入れないって連絡来たので。
[01:06:13] あ、ああ、すいません。
[01:06:16] 承認だとか。
[01:06:18] 承認してない。
[01:06:21] 承認してない。
[01:06:22] 承認してない。
[01:06:23] すいません。
[01:06:24] はい。
[01:06:24] あ、起きた。
[01:06:28] よいしょ。
[01:06:32] あ、お疲れ。
[01:06:35] はい。
[01:06:36] お疲れ様です。
[01:06:37] あ、すいません。
[01:06:39] あ、ちょっと髪切った？
[01:06:41] いや、あ、ちょっと前に切ったの？
[01:06:45] あ、そうだったっけ？
[01:06:46] あれ？
[01:06:47] あ、そうか。
[01:06:49] あ、あ、確かにそうですね。
[01:06:51] ビデオ通話にしてなかったですね。
[01:06:54] ああ。
[01:06:55] そうですね。
[01:06:57] あの、ああ、そうですね。
[01:06:58] で、学校一人にも気付かれませんでした。
[01:07:01] さすがでしょ？で僕気付く。
[01:07:04] はい、さすがです。
[01:07:05] いつも見てるから。
[01:07:07] 学校で誰も気付かなくって。
[01:07:11] マジ誰も気付かなかった。
[01:07:15] あ、すいません。
[01:07:19] はい。
[01:07:20] すいません。
[01:07:21] 遅れてしまって。
[01:07:22] あ、いえいえ。
[01:07:25] まあ、今は振り返りを。
[01:07:30] あ、オッケーです。
[01:07:31] オッケーです。
[01:07:33] まあ、でもどうなんだろう？
[01:07:40] ねえ。
[01:07:41] その荒らしとかしてるやつとかいるんだったら全然制裁とかは加えちゃっていいですけどね。
[01:07:50] あ、はい。
[01:07:51] なんか制裁。
[01:07:54] そうですね。
[01:07:58] どういう感じの制裁を加えればいいですか？
[01:07:59] 分からないけどえっと奈落の底に飛ばすとか。
[01:08:10] その前にワールドガードとか建築の保護するやつ入れたらどうですかね。
[01:08:15] あ、入れれるんだけどね。
[01:08:16] 管理が大変なんだ。
[01:08:19] ああ。
[01:08:21] あの、僕らは多分できるけど。
[01:08:25] それ全員が管理できるか多分できないから。
[01:08:30] うーん。
[01:08:36] そうなんだよね。
[01:08:40] まあ、そんな感じですね。
[01:08:43] うん。
[01:08:46] 結構でもちゃんとなんか あ、なんかそうゆうことしたらちゃんと制裁下るよって言う教育はした方がいいと思います。
[01:08:54] そうですね。
[01:08:56] うん。
[01:08:56] 全然容赦なくなんかやっちゃっていいんですけどね。
[01:09:03] はい。
[01:09:04] なんか、ちょっと。
[01:09:05] もうもしかしたら、そういうことが起こるかもしれないので、ちょっと様子を見つつ もしなかったら まあやるって形いい？
[01:09:21] はい。
[01:09:21] 感じでいきたいと思います。
[01:09:27] なるほど。
[01:09:35] あ、はい、ありがとうございます。
[01:09:39] この大会は、ま、また3月末とかですかね？
[01:09:44] それに向けて。
[01:09:45] 今週から、作りなおして作ってもらう形で はい。
[01:09:55] 進めていきたいと思います。
[01:10:01] 了解です。
[01:10:04] はい。
[01:10:10] 事業の横展開についてなんですけど。
[01:10:14] こちらちょっとまだ鈴木の方から共有がないので、分かんないですけど。
[01:10:17] そうですか？
[01:10:18] うん。
[01:10:19] はい。
[01:10:21] ちょっと、今日。
[01:10:25] まだ連絡が来てないな。
[01:10:27] 来るかもしれないし、来ないかもしれないみたいな状態です。
[01:10:31] 了解です。
[01:10:34] はい。
[01:10:38] じゃあまあなんとなくまた 最近の作ってる話でもしますかね。
[01:10:46] はい。
[01:10:49] えっと あ、そうなんかジェンスパーク接続できたんでしたっけ？
[01:10:54] あ、そうですね。
[01:10:56] ただちょっとアンチグラビティでなんか。
[01:11:00] はい。
[01:11:00] アンチグラビティのブラウザ機能ってなんか開くブラウザ。
[01:11:05] はいはいはい。
[01:11:07] なんか前承認してもらったブラウザがなんか違うらしくて。
[01:11:12] またアンチグラビティで開くブラウザはまた別の承認が必要みたいな感じになっちゃって。
[01:11:14] ああ。
[01:11:20] なるかも。
[01:11:20] ちょっと自分ので今配信にやって 一旦 先生も。
[01:11:24] はい。
[01:11:25] そうなんですよね。
[01:11:26] 結構ね。
[01:11:28] どうやら、あのログインとかをするときにジェンスパークがそういうの対策をしてるっぽくて。
[01:11:35] なんか1回ログインが外されたりとか。
[01:11:40] なんかそういうのをめっちゃ色々やられるんですよね。
[01:11:48] 後は何、そうだな。
[01:11:57] うーん。
[01:11:58] どうしようか？
[01:11:59] なんか 何していきましょうか？
[01:12:10] 多分そう。
[01:12:13] ここから後はどういう風に、構築とかなんか広げていくかとかっていうそういう話ですね。
[01:12:17] そう、なんとなく多分。
[01:12:20] シンプルにそういう話のフェーズとは違う。
[01:12:24] あ、合ってる合ってる。
[01:12:28] なんとなくそう、こんな感じで 作ることはなんとなく出来そうみたいな感じになってきたと思うんすけど、さあ、何をしようかみたいな感じなんですよね。
[01:12:46] なんかでも取り合えずは。
[01:12:56] なんか。
[01:13:00] もうそのままでも うん、やっぱり伊吹塾とかの集客に繋がりそうなものとかになってくると、我々は助かる。
[01:13:12] すね。
[01:13:14] うん。
[01:13:15] はい。
[01:13:17] で、なんか多分その方が、ある程度利益が出るとか、って言う風な風にはしていきやすいのかな、は今の所思ってます。
[01:13:30] ね。
[01:13:47] で、結構僕は今考えてるのは、ちょっと前にも話したあのマイクラの コマンドツールとかをなんか1つのものに、1つのサイトにまとまってて さらにそれに伊吹塾の名前が載ってるみたいな感じになると、なんか、 うん。
[01:14:10] はなんかマイクラのことめっちゃまとめてる塾あるやんっていうので、なんかちょっとマイクラに詳しい塾のポジションは取れるのかなって思ったんですけど。
[01:14:25] そのあたりとか。
[01:14:27] どうでしょうか？
[01:14:28] まあ。
[01:14:30] あ、そうなんですか。
[01:14:32] 集客ってブログとかですか？やっぱり。
[01:14:35] ブログとかね。
[01:14:37] ノーションのブログとかですか？
[01:14:42] ノーションノーションノートじゃないのか？
[01:14:46] え？
[01:14:46] ノートじゃなくて？
[01:14:49] いや、ノーション、ん？
[01:14:51] あ、ノートでしたっけ？
[01:14:52] ノートかノーション。
[01:14:54] ノートだ。
[01:14:55] ノーションだといろんなメモをまとめるツールみたいなのあるぞ。
[01:15:01] あ、じゃあノートですね。
[01:15:02] あの、こう呼び公開されてるブログみたいなやつは。
[01:15:06] ノートだね。
[01:15:10] ノートの自動投稿とかだと行けそうじゃないですかね。
[01:15:13] ノートの自動投稿行けると思う。
[01:15:15] なんか結構そこ美味しそうですけどね。
[01:15:17] そうで、そうでないんかな？
[01:15:21] うん。
[01:15:23] いや、美味しいと思う。
[01:15:29] し 塾のブログだ、ま、我々で言ったら我々だと伊吹塾のブログは全部そこでいいんじゃないか説はありますけど。
[01:15:37] うん。
[01:15:46] まあ、保守管理は楽ですね。
[01:15:48] うん。
[01:15:50] むしろブロガーとかですか？昔言うと。
[01:15:53] だね。
[01:15:56] なんかね、どうなんだろうな？
[01:15:59] みんなでも同じこと考えますからね、でも。
[01:16:03] なんかでもな なんかそのブログが良いブログが書ける感じが。
[01:16:13] 難しいのかな。
[01:16:15] どうなんだろう？
[01:16:16] 分かりそうですよね。
[01:16:17] 人間がやったか そうじゃないかみたいな。
[01:16:20] うん。
[01:16:22] 逆に人間がいいかという風に活かせると思いますよね。
[01:16:26] 逆にこれから。
[01:16:28] そうなんだよね。
[01:16:38] 何だろうな。
[01:16:42] なんか。
[01:16:56] ちょうどいい手頃なシステムとかないんですかね？
[01:17:03] 何かを作って売るみたいなところだからな。
[01:17:10] まあ、それで言うとLINEアプリを作って売るとかはなんかやりやすいけどね。
[01:17:15] 比較的に確かそう良いですよね。
[01:17:20] うん。
[01:17:21] で、AIで結構簡単には作れるんだよな。
[01:17:25] うーん。
[01:17:52] だよね。
[01:17:53] 後は。
[01:18:02] やっぱ、こうゆう ツールとかをいくらでも作れますよで売っていきたいからなー。
[01:18:11] もうあれか。
[01:18:19] ちょっといいですかね？
[01:18:20] 画面共有します。
[01:18:31] 一応こうやってなんかAIを使ってなんか開発する系の事業は、伊吹ビジネスとしてこうやって作ってはいるんですよ。
[01:18:47] 特にここから問い合わせとかないですけど。
[01:18:51] まだ。
[01:18:55] えー。
[01:19:00] えっと、何だっけ？
[01:19:02] なので、なんか例えばこれがここにそのAIのワークフローとか、LINEアプリを作るとか全部入れ込むことができて。
[01:19:16] で、これがここでめっちゃ問い合わせ来て、仕事来て、あ、じゃあこれ作りましょう。
[01:19:24] 担当した文だけ折半で分けましょうみたいな感じで、やれると、まあ潤いやすさはありそうって思ってます。
[01:19:41] で、僕はこれが一番手軽にお金になるかなって思ってます。
[01:19:58] ま、ここの診断ツールとかも一応つけてますけど。
[01:20:05] ええ。
[01:20:11] で、その診断したプランのやつが出るようにがみれるようになってるみたいなね。
[01:20:20] うーん。
[01:20:34] っていうとこですけど。
[01:20:36] どうですか？
[01:20:38] 今仮にその連絡先なりをウェブサイトに上げて、ま、今からでも、ま、依頼が来たらできるよっていう状況にした時に うん。
[01:20:53] はいはい。
[01:20:55] ま、この状況にしても依頼って、まずすぐには来ないじゃないですか。
[01:20:59] うん。
[01:21:02] そこに候補なりみたいな話ですよね。
[01:21:05] そうなんだよ。
[01:21:06] うん。
[01:21:07] だから依頼が、ま、これに依頼が来るようにするのを考えるって言うのが一番、何をするか考えるで言うと楽かなっていう。
[01:21:20] うん。
[01:21:21] 結局そこは地味な営業になってしまうのかっていう。
[01:21:24] ね。
[01:21:25] あ、だからなんかそれをなんかそれぞれで何やります？みたいなところで、ちょっと色々アクションを起こしてくっていう話にはなってくると思うんですけど。
[01:21:37] 誰が何やってのか。
[01:21:38] そう。
[01:21:39] 例えばこれの情報発信するようなノートの自動ブログをじゃあ誰々作ります。
[01:21:46] うん。
[01:21:47] じゃあInstagramの自動投稿誰々が作りますとか。
[01:21:54] ああ、そうですね。
[01:21:55] もう絶対に人間のお手伝いはどっかで絶対に必要なので、多分、あの、AI作ったまま人間なりいかないとか僕は思うので うん。
[01:22:05] そうですね。
[01:22:06] 多分あの、インスタとかは限界があるんですよね。
[01:22:10] 結局。
[01:22:11] 人間がやらないと多分だめいかないんであれ、人は。
[01:22:15] 確かに。
[01:22:15] や が 作っ て ん だっ たら 触る 必要 ない じゃ ない です か 。
[01:22:17] で も なん か もう ちょっと この サイト 自体 に 実際 に 作っ た もの と か できる こと みたい な システム みたい な こと を もっと 具体 的 に 書い て いけ ば それ ら の こと が インスタ に は 投稿 さ れ やすく は なる 気 が する ん だ よ な 。
[01:22:33] うん 。
[01:22:34] なん か 、 そう です ね 。
[01:22:37] それ は そう です ね 。
[01:22:38] あの AIシステム作れます。
[01:22:44] あ 、 そう です ね 。
[01:22:45] で も 、 な の で 、 宣伝 と か を やっぱり AI に さ せ さ せ ちゃう と 、 なん か 、 人間 が 触れる よう な ところ って 言う ん です か ね 。
[01:22:55] うん 。
[01:22:55] で 、 もう なん か ところ は 多分 人間 が さ れ たら いい か も しれ ない です 。
[01:23:00] で 、 もう 明確 に なん か その AI ワークフロー と か LINE アプリ と か そう いう ちょっと えっと 売れ 線 に なり そう な もの を 目立つ よう に バババッ と 配置 し て それ で じゃあ どう やっ て 広報 し て いく か と か を 考え て いく か 。
[01:23:20] うん 。
[01:23:21] それ で。
[01:23:27] なん か みんなが稼ぎたい金稼げるマシンになるといいんだけどこれが。
[01:23:36] じゃあちょっちょっと実績があればいいんですけどね。
[01:23:37] 導入実績みたいな。
[01:23:43] 料金形態なんですか？
[01:23:49] 一応でもね 普通にこうゆうような企業への相談とか導入みたいなのを僕はなんか普通に やってるから、そうゆう事例とかをちょっともう載せちゃって。
[01:23:57] ああ、そうですよね。
[01:23:59] それがいいと思います。
[01:23:59] うん、そうだよね。
[01:24:02] で、あと具体的に今まで作ったものとかも載せちゃって。
[01:24:06] そうですね。
[01:24:07] うん。
[01:24:09] やっぱり信赖なので一番は。
[01:24:12] うん。
[01:24:13] そうゆうところで。
[01:24:19] ちょっとじゃあもうちょいあれなのかな？
[01:24:31] 1回も多分今全部機械的に見えすぎたら詐欺っぽく見えるんですよね。
[01:24:36] ここ大丈夫みたいになる。
[01:24:39] なん か 嘘 っぽい ページ だ よ ね 。
[01:24:43] なん か いか に も 怪しい サイト だ と 思う ん です よ 。
[01:24:46] 怪しいとゆ う か 、 ちゃんと 作 り 込 ま れ てる 分 は 怪しい ん だ よ な 。
[01:24:54] じゃあ。
[01:24:58] やってみる？巧君ホームページ直し。
[01:25:02] 直す。
[01:25:03] 直すとい う か 。
[01:25:05] どう な ん です か ね 。
[01:25:08] どう 言わ れ が いい ん だろう 。
[01:25:11] 作り直し？
[01:25:12] 作り直し手 も 違う 気 が する ん です よ ね 。
[01:25:16] 全然 書 い て ない 間違 っ て ない の で 。
[01:25:18] ま 、 もう ちょっと あと 具体 的 結構 この 辺 の 開発 と か の 部分 が かなり 実 は 具体 的 に 作っ た もの と か 事例 を 出せる から ああ、そう です ね。
[01:25:30] それ で いい と 思い ます 。
[01:25:30] それ を ね 多分 ここ の 下 と か に うん 、 AI 開発 支援 プラン が それ に 当たる ん だ けど 、 多分 で 多分 で リアル な 画像 が あっ た 方 が いい です よ ね 。
[01:25:43] 内容 は これ で いい ん です よ 。
[01:25:45] 構成 とか に し て も 。
[01:25:47] だね 。
[01:25:47] 基本 良く て 、 そこ は 多分 問題 ない と 思う ん です けど 、 あまり に も なん か あの 嘘 っぽ すぎる の で うん 。
[01:25:55] が 事例 が ある ん で あれ ば 事例 を 入れ て 、 その リア ルっ ぽい 写真 を 入れ て け 多分 大丈夫 だ と 思い ます 。
[01:26:02] まあね。
[01:26:03] だ から 多分 そんな に 難しい こと な ない か な だ から 何 を 載せる か を だけ 考えれ ば うん 。
[01:26:09] 別 に 問題 は ない から 。
[01:26:10] 足音のっかったみたいなそうゆうの。
[01:26:14] あれ は なん か伊吹塾の方には載ってんだよね。
[01:26:17] うん。
[01:26:19] どうなんだろう。
[01:26:22] そう、難しくて。
[01:26:26] ここ に で も リアル な 写真 が 載っ て き て リアル っぽい リアル の あれ が 載れ ば 多分 信用 性 は 上がる の で 、 絶対 に 。
[01:26:34] そ し たら 多分 確実 に 問題 ない か な と いう 風 に 。
[01:26:39] 今 多分 僕 の 偽物 が そこ に コピー で いっぱい 載 っ て だけ じゃ ない です か 。
[01:26:46] で 、 僕 に 萎える 人 が い ない の で 終わり 。
[01:26:48] まあ ね 。
[01:26:49] じゃ ちょっと まあ じゃ ちょっと 僕 は じゃあ これ の 中身 を 少し 整理 しよう か な 。
[01:26:53] ただ、これいいんですけど、もちろんそれでいいと思うんですけど、多分第3者のなんか例えば鈴木さんとか、それこそ本田さんとかでよかったじゃないですか、そうゆう方に あの素直にこれ評価してもら うっ て いう フェーズ が やっぱり 1 回 挟ん で いい ん じゃ ない か なっ て いう よう な 気 は し ます けど 、 いかが です か ?
[01:27:10] 多分 僕 ら に 見る と 、 僕 ら に 見る と 絶対 偏る ん で 。
[01:27:13] うん 。
[01:27:14] じゃあ、一旦ちょっとこのホームページをえっとえっとナルテック連絡用にリンクを共有 多分どうし て も 多分、 あの僕ら は 多分 どうし て も 考え が 偏っ て 変 な 方向 に 行く の で あの ある 程度 の こと は あの なん か ね 。
[01:27:32] 多様 な 指 は あっ た 方 が いい て いき ます 。
[01:27:36] じゃあちょっとえっとさっき あのリンクをあのLINEにおくりした のでちょっとまた前にやった時みたいにあ の ちょっとこのページに対してちょっとご意見なんかをちょっとまたまとめて頂いて それ で ちょっと 改めて内容精査して言って って 感じ に し て いく の は いかが でしょ う か 。
[01:27:57] もし ここ の お かり まし た 。
[01:27:59] サービス で なかっ た 作る に し て も まあ 参考 に は なり ます か ね 。
[01:28:03] あの 、 AI で ラク に も 限界 やっぱ ある ん で そう だ よ ね 。
[01:28:10] で 、 特に なんか こういう AI の ワークフロー とか AI を 組み込ん だ システム とか あと は LINE アプリ と か そう いう これ ら が 結構 メイン 商品 に な るって 感じ か な 。
[01:28:17] それ は いい と 思う ん です よ ね 。
[01:28:25] 発信 AI を 使う と やっぱり 発信 に 、 あの 、 や 商品 売れ ない ん です けど 、 AI に 発信 に 直接 で 使っ て しまう と やっぱり 、 YouTube と か で も コメント やっぱ 冷め て ます もん ね 。
[01:28:36] A だ みたい な 。
[01:28:37] やっぱり そこ で こう ガクッ と こう 印象 が 下 さ が り っ て いう まあ そう な の か ね 。
[01:28:41] なん か 、 あの 、 なん か 中身 と か サービス 売る 分 に は 別 に 問題 ない と 思う ん です よ 。
