[01:21] こんにちは。
[06:54] そうなんです。昨日ね、ちょっと、あの、その関係でちょっとダウンロードリンクが壊れたりとかって、ちょっと壊れて、止まってました。申し訳ございません。
[07:07] でですね、ちょっと今、阿修羅の一覧ページをですね、大幅に直しました。
[07:13] おお。
[07:13] なので、ちょっとそれを紹介しつつってとこですね。
[07:18] えっと、ちょっと今までですね、あの、阿修羅があまりに、あの、ノーガードで自由すぎたっていうところで、一応ちょっと簡単に、あの、他の会員じゃない人は使わないでね、みたいな簡単な注意書きは入れさせて頂いてます。
[07:38] はいはい。
[07:39] で、入れ方としても、もうすごいシンプルで、最初にコーデックスを入れるだけっていう形式にもしました。
[07:49] うんうんうん。
[07:49] コーデックスのアプリですね。それが、チャット、ま、要は、ChatGPTのアプリをダウンロードすれば、もうそれだけで阿修羅は使えます。
[08:02] で、この阿修羅のハブアプリっていうのをダウンロードできる形式にしまして、ちなみに他のやつもこれMacとかWindowsってので、あの、それぞれでインストールする形に、形式にしました。
[08:17] うんうんうん。
[08:17] で、元ファイルがをいろいろ直接いじりたいよって人はZipでもできますが、このMacでインストール、Windowsでインストールの時点で、元ファイルもダウンロードされるんで、これらがおすすめです。
[08:30] うんうんうん。
[08:32] で、まあ、例えばですね、じゃあ、LPメーカーの、これをMacでインストールってのをポチッと押すと、あ、あとは。
[08:46] あれ？
[08:52] あいたたた。
[08:54] あ、ちょっと。
[08:57] うんと。
[08:59] 昨日やったから。はい、これでインストーラーをインストールすると、えっと、ま、どっかで、あれ？
[09:13] その、あ、これか。この、えっと、Zipファイルが出てるんで、ああ。
[09:25] だぶ、えっと、Zipファイルを、えっと、クリックすると、ダブルクリックするとフォルダが開いて、その中に、えっと、これですね。阿修羅たまて箱っていうのが入ってます。
[09:40] おお、たまて箱ができてる。
[09:42] はい。で、この阿修羅たまて箱アプリ、これアプリです、もう。なので開くと、こういうものがうんうんうん。
[09:54] あって、例えば、あの、LPメーカーが欲しかった、あ、もうあの、全ての奥義がここから閲覧できるようになってまして、
[10:07] うんうんうん。
[10:08] で、LPメーカーをポチッと押すと、
[10:15] なんてお手軽に。
[10:17] ん？
[10:19] そう、かなりお手軽に見られますね。
[10:20] かなりお手軽になったと思います。
[10:23] それでイン。
[10:24] 今までの、ね、インストールだとダウンロードしてそれをコーデックスにね、やってとか、
[10:33] 色々設定して、で、コーデックスを開いて、みたいなこと色々しないといけない。
[10:37] あ、で、今LPメーカーがインストール完了したんですけど、そしたら、これでハイコーデックスで開くっていう、もうインストール完了したらこの、これが出るんで、ハイコーデックスで開くを。
[10:52] そうすると、もうややこしくない。えっと、多分コーデックス起動するまで行くよな。
[11:01] ああ、これでは、あ、今これ起動してるんで。
[11:11] あ、開いたね。で、多分これ開いてるフォルダがここを見てください。
[11:17] うんうんうん。
[11:18] LPメーカーになってるんで、じゃあこれで、えっと、このツールで、
[11:32] 押すと今。
[11:35] このツールで、いけてるLP作ってとかって言えばできちゃう。
[11:50] 何なら。
[11:51] 入れて、入れ始めたんですけど、めちゃくちゃ簡単に。
[11:55] もうなんかでもこれだけです。
[11:58] これ。
[11:58] ああ、快適ですね。
[11:59] あれこれでもう作り始めてるLPのメーカーとプロジェクト状況を確認してLP作ります。
[12:05] はいはい。
[12:06] うにゃうにゃうにゃ、にゃにゃにゃ、にゃにゃにゃってやってるんでやり始められるよっていうのが、大幅アップデートの内容です。
[12:17] すごい。いや、これね、Mac用のアプリとかWindows用のアプリって、そうっすね。こうやってちゃんとインストーラーで、しかもちゃんとなんか認証も取れて、あの、よくね、あの、出ちゃうじゃないですか。
[12:29] あ、ああああ。
[12:30] これ。
[12:30] これ、ああ、これ。
[12:31] はいはい。
[12:31] あ、そうですね。
[12:32] ね。
[12:34] あれも突破して、ちゃんと認証も取れてるとかですね。
[12:39] そうです。なんか、あの、えっと、そう、なのでわざわざ、アップ、これのためにAppleデベロッパーとかの登録はしました。
[12:49] うんうんうん。
[12:50] なので、でも逆に言うと、ちゃんとした開発者って感じになったんで、あの、ちゃんとアプリをリリースできるようにまでなってしまったんで、
[12:59] おお。
[13:00] あの、リリースした感じになってますね。
[13:05] でもこれによって多分Windowsの方はちょっとまだ試してないんですけど、おそらく同じような挙動をするんじゃないかなと思います。
[13:14] うんうんうん。
[13:16] おお、すごい。
[13:17] マネーならなんか。
[13:20] うん。
[13:20] ちょっとUIも立ち上げたかったんで、ちょっとUI。
[13:28] うん、うんなんだけど。
[13:33] うん。
[13:36] うんうん。
[13:37] うん。UIを、設定していると思う。
[13:48] うん。
[13:49] これ。
[13:51] これ。
[13:53] なべさん、おはようございます。
[13:55] すいません。ありがとうございます。
[13:57] 今日は阿修羅秘奥義の最新アップデート特集をしておりますので、え、阿修羅秘奥義ですね。え、前試したけど上手くからかわ使いこなせないなって方も、今日の見ていただくと、あ、こんな簡単に使えるんだっていうのが、え、わかると思うんで。
[14:14] うんうんうん。
[14:14] コーデックス。
[14:14] はいはいはい。
[14:15] で、ビジネスの現場で使いこなしたいなって人は、もうかなり、え、実用的な秘奥義いっぱいやりますので。
[14:25] この3ヶ月で考えたら超絶進化しましたね、増えたし。
[14:28] あ、そうそう。あ、出てる。
[14:33] 早い早い。
[14:38] はい。
[14:39] これ。
[14:39] あれ？これ。
[14:41] あ、それ。
[14:41] あ、そうですね。またちょっと、なので、あの、ぜひちょっとこれは皆さんに体験してもらいたいので、また体験会を開催しようかなと思っております。
[14:53] うん。
[14:54] 前、入って使わないまま30年過ぎちゃってやめちゃった人も、もう1回ちょっと復活。
[14:59] そうですね。
[15:01] ね。
[15:01] ちょ、ちょっと、前までは、ちょっとこの使う、使えるようにするまでが難しすぎて、
[15:11] うん。
[15:13] あれだったんすけど、あの。
[15:16] またじゃあ。
[15:17] よいしょ。
[15:18] はい。
[15:19] 誰でも。
[15:19] ダウンロード、コーデックス起動、ファイル選択、作業。そうなんすね。もう、あの玉手箱ちゃん。
[15:26] はい。
[15:26] ね、もうポチポチ押すだけなんで、多分できない人1人もいないんじゃないかなと。
[15:32] 多分、もうすでに、あの、そう、コーデックスがダウンロード、あ、ま、ChatGPTのアプリがダウンロードしてあれば、今と同じ挙動になるはずです。
[15:42] うんうんうん。
[15:47] いや、うちの奥さんも、こういう秘奥義あるよって話してて、あの、ストックレポート、株をとにかく早く見せろって言われて、それ入れとこうかなと。
[15:58] ふふ。
[16:00] 株をやってるんで、株のやつをストックレポート。
[16:03] え、ちょっとそれで、あの、ストックレポートに関しては、ま、僕自身が、あの、株めちゃくちゃ素人なんで、なんかぜひね、あの、株を結構やられてる方と一緒にやってなんか育てたいっていう。結構阿修羅の中には育てていきたい奥義もいっぱいやりますんで、ぜひね。
[16:27] うん。
[16:27] 育てれる人は一緒に育てたいので手を上げていただきたいです。
[16:34] あ、そうそう。だからLPだったらLPとかね。インスタならインスタとか。やっぱその世界で住んでる人、やってる人がやっぱ1番いいっすよね。その。
[16:43] そうなんすよ。
[16:44] 使っ。
[16:44] うん。
[16:45] なんかその。
[16:46] 質問会。
[16:48] やりましょう。はい。
[16:49] やりましょう。ちょっと実際多分、なんか、えっと、あ、画面共有こっちにしようかな。あ、ちょっと待ってくださ。え、えっと。
[17:01] あれ。
[17:02] ちょっと今最近ね。
[17:07] あ、Chromeのタブを共有しといて。そうするとこれで顔見ながらしゃべれるな。
[17:16] はい。
[17:17] お。
[17:17] あ、これね。
[17:18] はい。
[17:19] 株式を育てたいです。
[17:20] お。
[17:21] ちょっと鍋さんもぜひやっていただきたいですね。
[17:23] 今ね。
[17:24] あ、何が稼ごうぜとかね。ありましたからいろいろね。
[17:26] そう。なんかやっぱり外貨稼ぎっていうのだと、ある程度投資とかもやったりとかして元手を増やしつつ、あとは外国仕事を取って、外貨も取る。そしてその外貨も投資に回すみたいにしてくと、あの、日本にいながら外貨が稼げるんじゃないかなってずっと思ってるんですけど、なかなかあの、ちょっと腰が重くなってますそっちは。
[18:07] そうなんです。やっぱそれぞれの皆さんが目の前のね、え、熱があるところにこの阿修羅の秘奥義使ってく、あるいは阿修羅の秘奥義をカスタムしていく、あるいはまた要望出していただいて高崎さんに作ってもらう。で、それを実際に使って現場で使ってもらいながら、ああじゃないこうじゃないっていうのを磨いてもらうと最高ですよね。
[18:26] うん。
[18:27] あ、で、それで言うと結構、あの、作ってって言われてたやつもいくつか作ったりはしてますね。
[18:37] あ、ね。
[18:37] そうね。
[18:38] カタログ。
[18:38] カタログ。
[18:39] カタログ。
[18:39] そうね。カタログで、カタログ別に。
[18:40] カテゴリー別にね、見れたりとかする。
[18:41] カテゴリー別にね、見れたりとかする。
[18:42] そうね。
[18:43] うんうんうん。
[18:44] なので、このスタディ先生とか、あ、で、このですね、詳しくっていうところで、あの、できるポイントとかも中身見やすくなってますし。
[18:55] あ、もう。
[18:56] これが今、これは、ま、資料をアップロードするとAIがうまく音声対話しながら勉強を家庭教師してくれるみたいなやつですね。
[19:06] あ。
[19:06] もう今、夏休みの宿題書き講習だから、今高崎さんにうちの息子に。
[19:12] はい。
[19:12] また、ちょっとでも。
[19:13] あ。
[19:13] はいはいはい。
[19:14] いり込み必要か。
[19:15] なるほど。
[19:16] で、ま、一応こんな、こんな感じでサンプル例として。なので、ま、全部、全部のやつサンプルとか内容とか見れるように。
[19:25] うんうんうんうん。
[19:27] ほら。
[19:27] 確かに。
[19:32] こういうのとかね、全部こうめっちゃ分かりやすい。
[19:35] サンプルも玉手箱で、見ながらこれをインストールボタンがついてるイメージで玉手箱に見てくれるとなんかきっと嬉しいんですけど。
[19:46] あ。
[19:46] ああ、そっか。玉手箱にも詳しくと、えっと、サンプルが確認できるっていうのが。
[19:55] うんうんうんうん。
[19:55] そのままでポチって押したら入る。
[19:57] うんうんうんうんうん。
[19:59] が、多分直感的じゃないですかね、多分これ見てる人は。
[20:02] ああ、じゃあ玉手箱のUIを、はいはいはい。えっと、わかった。じゃあっていうのね。もうこうやって最近はナウで直せますから。
[20:15] ナウで。
[20:16] まずこうね、あ、なんか普段ちょっと僕がどうやって阿修羅作ってんの？っていうのとかを言われるんで、ついでにそれも今実演しますと、
[20:29] いいですね。
[20:30] ま、だいたい今は、この、あ、じゃあこの阿修羅のUIのんが、ええと、このUIの画面の、あ、こっちじゃねえや。
[20:41] あ、しかもなんだ。
[20:44] えっ、これね、えっと、阿修羅の一覧の、ページのUIや資料をしている謎に、えっと、玉手箱の、えっと、UIを完全に合わせて、えっと、直感的に、直感的にシームレスに玉手箱に移行してダウンロード体験ができるようにしてって、今ひろ君が言ったやつをそのまま言うだけ。
[22:08] で、あとは、こっちのスト屋敷に戻ってきて、お話をしてればできる。
[22:24] 画面は見なかったですけどね。
[22:26] あ、そうかそうかそうか。えっと、やってた画面はこっちでしたがいとります。
[22:35] ね。
[22:36] 高崎さんがね、あの、あんなにたくさん乗ってるレア映像が。
[22:44] ここで今、えっと、さっきの、はい。
[22:49] 今、今、画面全体になってますかね。
[22:51] 全体なってます。
[22:52] はい。
[22:52] さっきの、えっと、この阿修羅一覧ページを、えっと、スクショしました。
[23:04] で、スクショした。さっき、このスクショを貼って、ひろ君が言った、阿修羅の一覧のページのUIや資料している謎にたまて箱のUI完全に合わせて、直感的にシームレスにたまて箱に移行してダウンロード体験ができるようにしてってのをバンと打って、今打ってるのが今です。
[23:24] うんうんうんうん。
[23:25] で、今作業ニョリニョリやってますね。
[23:28] 本格。
[23:28] つまり、こうやってほしいことをシンプルにそのまま言うだけって。
[23:33] はい。
[23:33] ね、画面キャプチャして送るっていう。
[23:36] 不思議なことにじゃあそれも自分でやってみようってとなっていき一人で作業し始めると、あれ、何もやることが分からないってなぜかみんななるっていう不思議なことが起こります。
[23:51] うんうんうんうん。
[23:52] そう。
[23:55] うん。
[23:58] うん。
[24:01] お、なんかタロットルネって出てきた。
[24:03] あ。
[24:04] 出ちゃいました。
[24:05] 昨日ちょっと、なんか。
[24:10] 占い、なんかとりあえずあれですね。昨日なんかアプリ、AIの作業時間を増やしたがために、あの、方位取りとタロット占いは、そう、作業時間増やすっていう目的だけで作ってって言わ、言って作らせときました。
[24:38] そういうことですか。
[24:39] はい。
[24:40] なんか阿修羅くんの、あの、絵が出てきて、タロットカードが。
[24:46] はい。
[24:48] 阿修羅、そう、阿修羅タロットにしろって言ったはずです。
[24:53] うんうんうん。
[24:54] カードのデザインがすごくクオリティが高い。
[24:57] 是非。ちょっと。
[25:07] おお。
[25:09] 資産形成。
[25:10] これ、いいっすね。こういうのね。
[25:13] そっか。
[25:13] で、資産形成。
[25:14] なんか、やらしさに振り切った資産形成勉強会いいかもしれないですね。
[25:24] ああ、逆にね。
[25:26] そう。
[25:27] 超分かりやすく、怪しい。
[25:31] 名前でしましょうよ。
[25:33] あの、多分儲かる阿修羅投資セミナー。
[25:41] ね。なんか怪しい投資詐欺のセミナーっぽい感じのね。
[25:45] ふふ。
[25:46] あのバナーとかには逆、怪しいぞ大丈夫か？って文字入れて。
[25:53] 逆に。
[25:55] 自己責任でお願いします。
[25:58] きそう。
[25:59] きそう。
[26:00] あ、で、なんかちょっと意外と多分株式投資をAIで攻略してみようよ。あけっぴろげにみんなでワイワイやりながらやるってのは結構面白い回だと。
[26:15] 面白い。
[26:15] AIにやらせてみるっていう、言う通り買ってみて運営してみる。
[26:20] で、じゃあどうします？これ買います？みんな。ちょ、ちょっと、じゃ、もう、じゃあちょっと10株ぐらい試しに買ってみるか、みたいなのって、こう、なんかノリでワイワイやるってのは結構いいかもしれないだと。
[26:35] ね、いいかもしれない。
[26:36] やっぱあれですよね。お金と健康とか人間関係、この三大。三大テーマ、うん。の、え、メガニッチと言われてるね。だからお金の今回は株とか健康の今回はダイエットとか。
[26:51] 確かに。
[26:52] 人間関係のなんか異性からモテたいですみたいな、もうめちゃくちゃ欲ゴリゴリのところから入ってくと、AI使ってこんな攻略できるんだって、自分の本当の仕事も全部これできるじゃんってやっぱになってくるんじゃないですかね。なんか分かりやすいからね。
[27:07] はい。
[27:07] を作って、まあ、なんか仕事っぽいことばっかりAIでやってるんですけど、意外とそれを突き詰めた結果、なんかその、えっと、生活っぽい部分も結構AIが入ってきていて、
[27:28] うんうんうんうん。
[27:29] そっちもいいぞっていうか、むしろそっちいいぞっていうの結構言いたいかもしれないですね。
[27:35] 確かにな。
[27:36] 暮らし生活だから、日々目の前に現場がある課題を解決してくから、すごく実用的だし。で、そこで培ったAI活用のやつってビジネスの現場でそのまま転用できるじゃないですか。
[27:50] ほんとにそうですね。
[27:51] で、あとちゃんとかなんか目に見えてなんか生活が良く、ま、例えば僕はAIに仕事を任せて、エクササイズ、エクササイズの時間がだいぶ取れるようになったので、ま、てか、元々運動が嫌いなので、そのエクササイズの時間なんかいらねえよって思ってたんですけど、
[28:10] うんうんうんうん。
[28:11] ま、なんか、いざ自転車を漕ぎ始めると結構これが本当に良くてですね。
[28:17] ああ、いいですね。
[28:18] うん。なんか。
[28:21] で、も、なので、なんか最初は、その、たまたま自分の仕事を全部自動化した結果、まあ、暇だし自転車でも漕いでるかぐらいのノリだったんですけど、
[28:34] うんうんうんうん。
[28:34] なんかその自転車で漕ぐが意外とでかくなってきて自分の中で。
[28:39] すごい。
[28:41] なんか、あ、運動しないとまずいまずいみたいにもなってきていて。
[28:47] そっちがむしろ。
[28:48] うん。
[28:49] 本というかスタンスがね。自転車乗ってる方が普通デフォルトになってきちゃうね。
[28:54] なんか、ね、なんか、今逆にその、今度逆転現象が起こって、あ、じゃあ自転車の時間を長く取るにはどうしたらいいのになってくるんですよ。
[29:03] はいはいはい。
[29:04] 逆。
[29:05] うん。
[29:05] 本題がそっちになってくる。
[29:06] で、そうすると、あ、じゃあ、えっと、AIにちまちまとしたなんとかって何なの？って聞いたらすぐ帰ってく。なんとかですって帰ってくるようなことさせてると終わっちゃう、終わっちゃうから、あ、じゃあもっと規模のでかいこと、あ、で、規模のでかいことやなんか時間かかることさせると時間かかる。じゃあそれをさせようってなってどんどんどんどんアプリとかばっかり作るようになるんですよ。
[29:35] いや、そう。そのの、あの、自転車漕ぐ時間を増やすためにAIにいかに長時間動かすかという指示を出すための、え、結局この学びが深まるし、しかもそれで実際に成果物がこうやって、もう出来上がって、出回るわけじゃないですか。
[29:51] はい。
[29:52] だから、ほんと自転車を乗るってことによってまたアイディア降ってくる。
[29:54] そう。
[29:54] ああ、新しい経験刺激があって。
[29:57] そう。
[29:57] これ、ほんとそうなんですよね。
[29:58] ええ。
[29:58] うん。
[30:00] うん。
[30:01] うん。
[30:01] やっぱずっと作業してると人間ってだめで。
[30:05] うん。
[30:06] で、AI作業でもそれ一緒なんすよ。
[30:09] うんうんうん。
[30:10] なんか、AIに何かをずっとさせてるっていうのでも、結局はその何をずっとさせよう、人間が考えないといけなくて、なんか、あの、頭がなんか余裕がなくなってっちゃうんすけど、そこをやっぱり、やっぱ、ま、自転車とか歩くとかでいいと思うんですけど、
[30:28] うんうんうん。
[30:29] その辺を入れることによって、やっぱり脳がリフレッシュされて、そのま、自転車漕ぎながら何の、次何のプロンプト出そうかなって思いながら漕ぐんですよ。
[30:42] そうすると結構整理されてっていい感じになるっていう。
[30:47] なるほど。
[30:47] しかも自転車っていいのは、なんだろう、あっ、と思いついた瞬間に止まればすぐできるっていう。
[30:52] 止まれる。
[30:53] 脇道寄せてなんか、本当に僕どこでも、あの、岩とかに座る。
[31:03] 面白い。
[31:04] 弁当食えながらの。
[31:05] 僕の職場岩とかなんで。
[31:07] うんうんうん。
[31:09] でも、ね。
[31:11] ちょっとその、あ、そうだ、1個、あの、お伝え忘れてたさっきの阿修羅たまて箱でのいい機能があって。
[31:20] ちょっとそれも。
[31:21] そう。
[31:22] その、やっぱり時間を。
[31:24] うん。
[31:26] 時間を何て言うんだ？多く作業をさせるには、あの、たくさん作業をさせればいいじゃないですか。
[31:35] うんうんうん。
[31:36] なので、あ、えっと。
[31:42] よいしょ。
[31:45] この複数の奥義を組み合わせて使うボタン。
[31:51] ここが上に実はありまして。
[31:53] おお。
[31:53] これもうちょっとでも分かりやすくててもいいな。
[31:56] うんうんうん。
[31:57] これ、これが実はですね、めっちゃ神機能なんで。
[32:02] 例えばこれとLPと、ま、じゃあスライドでいいか。
[32:07] うんうんうん。
[32:10] あ、これをまずインストールしといて、それを組み合わせしてじゃあ一発でなんだろう、組み合わせもコーデックスにやらせちゃうみたいな感じなんすか。
[32:19] あ、そういうことです。これ、ま、後でにしといて、ま、なので今LPとスライドは導入されてますよ。
[32:25] うんうんうん。
[32:26] で、この状態でコーデックスで開くの一番上をポチッと押すと、
[32:31] はい。
[32:31] デスクトップ、あれ？
[32:39] あ、これは阿修羅を、阿修羅の対象フォルダが作られて、その中にインストールした奥義、たまってくんすよ、こうやって。LPメーカーとかスライドメーカーって。
[32:51] うんうんうん。
[32:51] なので、えっと、ま、ま、ややこしいことは言わないけど、とりあえずそれを、そのさっきの一気に実行ボタンを開くと、
[33:01] はい。
[33:01] こっちのフォルダも開くし、
[33:03] はい。
[33:03] 阿修羅も、あ。
[33:04] あ、で、そうすると。
[33:05] はい。
[33:05] LPのね、LPメーカーとスライドメーカーは導入されてるってなってるんで。
[33:07] はい。
[33:07] ええ。
[33:08] はい。
[33:09] そうそう。で、それで実行して、LPメーカーとスライドメーカーがそれぞれ開くっていう。
[33:11] はい。
[33:11] あ、そうですね。
[33:12] うん。
[33:12] なるほど。
[33:13] で、同時に動かせるので。
[33:15] はい。
[33:16] LPとスライドとかだと。
[33:17] はい。
[33:18] なんか。
[33:19] うん。
[33:20] で。
[33:21] LPとスライドをしっかり作り込んで作ると、結構な時間が2つ作るってなったら。
[33:22] はい。
[33:22] うん。
[33:23] はい。
[33:24] うん。
[33:25] かかると思いますけど。
[33:27] はい。
[33:28] うん。
[33:29] はい。
[33:30] うん。
[33:31] LPとスライドをしっかり作り込んで作ると、結構な時間が2つ作るってなったら。
[33:32] はい。
[33:32] うん。
[33:33] はい。
[33:34] うん。
[33:35] ま、あとはほっとくだけって感じですね。
[33:36] おお。
[33:37] あとLPとスライドをしっかり作り込んで作ると、結構な時間が2つ作るってなったら。
[33:38] はい。
[33:38] うん。
[33:39] はい。
[33:40] うん。
[33:41] かかると思いますけど。
[33:42] はい。
[33:43] うん。
[33:44] はい。
[33:45] うん。
[33:46] ま、あとはほっとくだけって感じですね。
[33:47] おお。
[33:48] だからこの間に自転車が旅に出るわけです。
[33:50] うん。
[33:50] それで自転車行く。
[33:52] うん。
[33:52] あとね、この阿修羅を複数やるってのが最も簡単に、えっと、作業時間を増やせるんですよ。
[33:54] うん。
[33:54] はい。
[33:54] うん。
[33:55] うん。
[33:56] はい。
[33:57] うん。
[33:58] うんうんうん。
[33:59] まあ、スライド1個作ってって言ったら画像生成で20枚ぐらいは絶対やるんで。
[34:00] うん。
[34:00] はい。
[34:00] うん。
[34:01] うん。
[34:02] はい。
[34:03] うん。
[34:04] はい。
[34:05] うん。
[34:06] はい。
[34:07] うん。
[34:08] はい。
[34:09] はい。
[34:10] うん。
[34:11] はい。
[34:12] うん。
[34:13] はい。
[34:14] うん。
[34:15] はい。
[34:16] うん。
[34:17] はい。
[34:18] うん。
[34:19] うん。
[34:20] はい。
[34:21] はい。
[34:22] うん。
[34:23] うん。
[34:24] うん。
[34:25] うん。
[34:26] はい。
[34:27] はい。
[34:28] うん。
[34:29] はい。
[34:30] うん。
[34:31] はい。
[34:32] うん。
[34:33] はい。
[34:34] うん。
[34:35] はい。
[34:36] うん。
[34:37] はい。
[34:38] うん。
[34:39] はい。
[34:40] うん。
[34:41] はい。
[34:42] うん。
[34:43] はい。
[34:44] うん。
[34:45] はい。
[34:46] うん。
[34:47] うん。
[34:48] うん。
[34:49] うん。
[34:50] うん。
[34:51] うん。
[34:52] うん。
[34:53] うん。
[34:54] うん。
[34:55] うん。
[34:56] うん。
[34:57] うん。
[34:58] うん。
[34:59] うん。
[35:00] うん。
[35:01] うん。
[35:02] うん。
[35:03] うん。
[35:04] うん。
[35:05] うん。
[35:06] うん。
[35:07] うん。
[35:08] うん。
[35:09] うん。
[35:10] うん。
[35:11] うん。
[35:12] うん。
[35:13] うん。
[35:14] うん。
[35:15] うん。
[35:16] うん。
[35:17] うん。
[35:18] うん。
[35:19] うん。
[35:20] うん。
[35:21] うん。
[35:22] うん。
[35:23] うん。
[35:24] うん。
[35:25] うん。
[35:26] うん。
[35:27] うん。
[35:28] うん。
[35:29] うん。
[35:30] うん。
[35:31] うん。
[35:32] うん。
[35:33] うん。
[35:34] うん。
[35:35] うん。
[35:36] うん。
[35:37] うん。
[35:38] うん。
[35:39] うん。
[35:40] うん。
[35:41] うん。
[35:42] うん。
[35:43] うん。
[35:44] うん。
[35:45] うん。
[35:46] うん。
[35:47] うん。
[35:48] うん。
[35:49] うん。
[35:50] うん。
[35:51] うん。
[35:52] うん。
[35:53] うん。
[35:54] うん。
[35:55] うん。
[35:56] うん。
[35:57] うん。
[35:58] うん。
[35:59] うん。
[36:00] うん。
[36:01] うん。
[36:02] うん。
[36:03] うん。
[36:04] うん。
[36:05] うん。
[36:06] うん。
[36:07] うん。
[36:08] うん。
[36:09] うん。
[36:10] うん。
[36:11] うん。
[36:12] うん。
[36:13] うん。
[36:14] うん。
[36:15] うん。
[36:16] うん。
[36:17] うん。
[36:18] うん。
[36:19] うん。
[36:20] うん。
[36:21] うん。
[36:22] うん。
[36:23] うん。
[36:24] うん。
[36:25] うん。
[36:26] うん。
[36:27] うん。
[36:28] うん。
[36:29] うん。
[36:30] うん。
[36:31] うん。
[36:32] うん。
[36:33] うん。
[36:34] うん。
[36:35] うん。
[36:36] うん。
[36:37] うん。
[36:38] うん。
[36:39] うん。
[36:40] うん。
[36:41] うん。
[36:42] うん。
[36:43] うん。
[36:44] うん。
[36:45] うん。
