[00:00] ああ、聞こえる？
[02:30] ホンダさんライン。
[02:31] あ、はい、はい。
[02:32] ただホンダさん自体がどういうことやりたいかみたいなのがあると、結構エンジニアを極めていきたいみたいなのがあると思うんですよ。
[02:40] そうですね。
[02:41] うん、うん、うん、うん。
[02:41] だからそういうのも含めて、まあ、だとしたら本当にいわゆる、えっと、高崎さんとか、あの、高崎さんのチームとか、それ以外のやつらが、まあ、8、9割までは完成させるので、最後の、本当に仕上げだったりとか、セキュリティのチェックであるとか、そういうのを、例えばうちの会社のクオリティにちゃんと合わせると。
[03:04] はい。
[03:05] とか、全国に展開できるように、ちゃんとクオリティコントロールをするみたいな仕事は、多分まさにエンジニアリングの部分なのかなって書いてあるんですけど。
[03:13] そういったところも含めてと。
[03:15] たらたらと。
[03:16] で、あと、当社の今の実はDX関連のメインの仕事は、メディカルのDX。
[03:22] はい。
[03:22] で、えっと、大病院向けに、あの、まあ、メインはRPAを使って、えっと、情報を引っ張ってきて、それを自動化していくみたいなことをやってます。
[03:32] で、それ、それをやることによって、まあ、今まで大手ベンダーさんがもう凄まじい値段でやってたやつが、もう年間数百万でできるって。
[03:41] めちゃめちゃ喜んでいただいてるっていう。
[03:43] そんな感じです。
[03:49] どうでしょうか？
[03:51] はい。ここまでで何かあれば。
[03:54] そうですね。高崎先生がラインヤフーとしてうんうんうんうん。
[03:59] そうですね、ラインヤフーの力を借りるというところなので、僕がやりたいのは。
[04:05] はい、はい、はい。
[04:07] 今の仕事に関してはどうですか？
[04:10] あの、仕事もなんか、その、どうしていくのか。
[04:13] いや、要は、使われ方が2つあって、えっと、副業もOKだって話なので、単に副業でやってきますってのもありますし。
[04:22] はい。
[04:22] えっと、それとも、今回人気があるじゃないですか。
[04:26] はい。
[04:27] 期間でしょ。
[04:28] そこ、まあ、一応2年間でやめるで一回区切りをつけてやめようかなっていう風に思ってる段階ではあるんで。
[04:34] ってことはそれがいつ3月？
[04:36] そうです、来年の3月。
[04:37] 来年の3月。
[04:38] で、そこまでやってそこで1回区切りでやめて、そうすると自分自身でやられるっていう選択肢もあるだろうし、こっち側にジョインするって選択肢もあるでしょうし。
[04:47] はい。
[04:47] その辺りも含めて。
[04:48] そうですね。まあ、その意向も。
[04:50] うん、うん。
[04:51] 承知しました。
[04:53] じゃあ、まあ、それまでお互いにどの形がいいかっていうのを一緒にやりながら見極めていくって形がいいですかね。
[04:59] はい。
[05:01] おお。
[05:02] って感じで高崎さんどうでしょうか。
[05:03] あ、とてもいいと思います。
[05:05] はい。
[05:06] で、あのホンダさんて非常にあの、ですね、あの、なんていうでしょう。
[05:11] 僕らとやり取りをしていた中でも、なんか僕が雑にベベンって作ったものを、何がダメかを言ってもらうっていうのを結構メインでやってもらっていて。
[05:20] いいね、いいね。
[05:21] そういうところで、あの、まあ、僕が結構雑にガガガガって行きやすいんですけど、そういうところのあの、荒らした地面を整頓していく。
[05:31] そういうのが非常に得意かなと僕はホンダさんを見てて思ってます。
[05:35] なるほど、なるほど。
[05:37] で、今さ、120時間とか、100時間か120時間とかって、どうやって時間確保してるんですか？
[05:42] そうっすね。あれ副業するつもりで作ったやつで。
[05:45] はい、はい。
[05:46] そうっすね。まあ、平日は、まあ、常務3時間ぐらいは取れっかなと。
[05:51] え、えっと、何時までなんだっけ？仕事は今。
[05:53] 仕事は9時から6時。
[05:54] 6時。
[05:55] なんで、まあ、風呂とか。
[05:56] はい。
[05:57] 9時とかまでやれれば、まあ3時間ぐらいは自由時間作れるかなっていう。
[06:03] プライベートゼロじゃん。
[06:04] ゼロじゃん。
[06:07] で、土日やります。
[06:08] そうですね。
[06:09] 全ブッパ。
[06:11] はい。
[06:13] でも、そうっすね。
[06:14] うん。ちょっと今は厳しい。
[06:15] そうっすね。
[06:16] はい。
[06:17] 1時間とか、まあ、マックス2時間じゃない、それで考えると。
[06:20] そうっすね。
[06:22] で、あと、まあ、あとだから、2時間だとしたら月10時間の、月、月じゃない、えっと、2時間だとしたら月、あ、好きで、2時間で40時間。
[06:38] はい。
[06:38] で、まあ、土日、そっすね。
[06:40] 土日もやります。
[06:41] 土日もやる。
[06:42] 予定がない日もやる。
[06:43] やる。
[06:44] 予定がない日はやります。
[06:46] はい。見つけてやります。
[06:47] 40時間ぐらいからスタートした方が楽なんじゃないすか？お互い。
[06:51] うん。
[06:52] はい。
[06:56] うん。
[06:56] っていう感じかな。
[06:59] おお。
[06:59] なんかイメージつきます？だから高崎さんが、あの、作ってきたやつの最後、高崎さんとか高崎さんのチーム作ったやつを、最後どういう風に、えっと、チェックするかとかっていうのを決めてもらって。
[07:12] はい。
[07:12] で、そのクオリティに合わせてやるみたいなのを、うちのエンジニアが最初をすり込みして。
[07:16] はい。
[07:17] それをクオリティコントロールとか、あとは、まあ、場合によっては作っていただくことも決めて。
[07:21] はい。
[07:22] やってくみたいな感じがいいのかな。
[07:24] うん、うん。
[07:24] 高崎さんどんなイメージ？
[07:26] そうですね。なんか、あの、色々その、アプリのクオリティを上げるっていう時には、やっぱりいくつかの視点を持った目線が必要だなと思ってまして。
[07:40] うん、うん。
[07:40] あのホンダさんはなんかちょうど僕と、あの違う目線をお持ちだから。
[07:45] なんか。
[07:45] うん、うん、うん。
[07:46] 結構、えっと、僕らがバーンと作る、なんとなくそれにホンダさんがフィードバックをもらう、またちょっと仕上げるみたいなのを繰り返すような流れができれば、結構スムーズにうまくいくかなと思ってます。
[08:00] はい、はい。
[08:03] あとホンダは普段、あの、僕と、僕とあの、僕以外の伊塾のメンバーとかとも、あの、触れ合ったりしていますんで、結構。
[08:11] 知らない。
[08:11] こっちの、あの、こっちの方の、あの、関係は割と、うまく行きやすいと思います。
[08:17] そういう連携は。
[08:18] はい。
[08:19] わかりました。
[08:22] うちのその佐藤ゆやとかうまくやり取りしてもらえればいいなと思ってて。
[08:27] うん、うん、うん。
[08:28] で、えっと、LINEヤフーのプロジェクトに加えて、多分そのメディカルのDXのノウハウの方が、多分エンジニアリング要素は強くなるんで。
[08:36] うん。
[08:37] おそらくそのホンダさんの今の話からすると、そっちも関わっていただいた方が面白いし、多分今のすぐすぐの40時間確保するんだったら、その仕事も入れないと多分40時間いかないんじゃないかなと思って。
[08:49] なるほど、なるほど。
[08:50] あとは、業務環境。
[08:53] 要は、クルドコードを使ったりとか、コードX使ったりとか、まあ、わかんない、何を今使いたいかわかんないんですけど、その辺の環境ってあります？
[09:02] 個人ではまあクルド使ってやります。
[09:05] はい。
[09:06] 今MAXプランですか？
[09:07] はい。
[09:08] フェイブルプロです。
[09:09] あ、プロか。
[09:09] ああ、はい。
[09:11] そう、今ね、フェイブル5が出てるんでね、やっぱMAXプランにすると楽しいっすよとか言っ。
[09:16] 余計な話になっちゃった。
[09:18] いや、そうだよな。
[09:20] 4、あれ2倍じゃなくて4倍だもんね。
[09:22] 値段2倍で、容量4倍だもんね。
[09:25] そうですね。
[09:26] 俺も多分そろそろ、俺も今実はMAXプランじゃないんですよ。
[09:29] あ、そうなんすか。
[09:30] 個人の使ってるやつは。
[09:32] やっぱね、MAXから見える世界ってのがありますんでね。
[09:36] なんか上から見たね。
[09:37] 上から見た。
[09:39] で、僕はなんかやっぱり、みんなをこのMAXの世界の住人にしたいんすよ。
[09:44] うん、うん、うん。
[09:45] みんなでMAXの世界の住人で、になって、そういう楽しい話をしたいんすよ。
[09:54] あった。
[09:55] いや、これはね、マジでMAXプランにした方がいいなと俺も思ってます。
[09:59] でも多分ホンダさんはこれから積極的な開発が必要になるから、まあちょっとMAXプランとかを誰かが用意してあげるといいかなとは思ってます。
[10:10] うん。
[10:11] で、欲を言うならMAXプラン、えっと、クルドコードのMAXプランと、あの、チャットGPTのプラン。
[10:18] ありがとうございます。
[10:19] この2つですね。
[10:20] いやいや。
[10:21] 11時半から。
[10:21] そうなんですね。
[10:22] 承知しました。
[10:23] よろしゅう。
[10:24] やります。
[10:24] 待ってます。
[10:25] もしかしたら、開いたん。
[10:26] 開いたんね。
[10:27] あ、違うか、開いてない。
[10:29] 11時半から営業だと声かけてください。
[10:31] なるほど。
[10:32] はい、はい、はい、はい、はい。
[10:35] うん。
[10:37] あ、何か気になることとかってありますか？
[10:39] 特に。
[10:42] そうっすね。まあ、そっすね、メディカルのRPA使えとる。
[10:44] うん、うん。
[10:46] RPAって聞いたことあります？
[10:48] RPAは1回ライブで見ちゃって。
[10:50] ああ。
[10:51] えっとね、あの、うちで使ってるRPAがビズロボっていうやつなんすけど。
[10:57] はい。
[10:57] 承知しました。
[10:58] はい。
[10:59] オープンって会社が持ってる、ビズロボっていうのを今使ってるんで。
[11:03] はい。
[11:03] それは、あの、そのRPAがメディカルで一番、あの、実績が高いんですよ。
[11:08] はい。
[11:08] で、ちょっと簡単に、今時なんでAIじゃなくてRPAを使ってるかっていう話って聞いたことありましたっけ？
[11:15] あ、僕には、僕は聞いてないですね。
[11:19] て、思いません？なんで今時RPAじゃなくて、なんでAIじゃなくてRPA。
[11:25] で、実はAIが出てきた時に、もうRPAやめてやろうかと思、AIも使ってるんですよ。
[11:31] はい。
[11:32] 使ってるんだけど、RPAをやめてない理由。
[11:36] うーん、僕、はでも結構、1つ、あの、RPA的な処理を意図的に普段、あの、作るシステムの中で、ここはRPA的な処理にしようって切り替えたりすることがあるんで、なんとなくアタリはつきます。
[11:51] ああ、そっか。
[11:52] あの、まず安定するっていうのと。
[11:54] うん、そうですね。
[11:55] で、それと、もう1個実は大きい要素があって、この後、あの、パケット代が多分爆増するんですよ、これ。
[12:02] そう考えて。
[12:03] そうですね。
[12:04] で、その爆増したパケット代ってコストになるので、この後、パケット代が払えないから今のシステム使えないっていうAIのシステムになるなと思っていたので。
[12:15] はい。
[12:15] やれる限りRPAで構築して、必要なとこだけAI噛ますっていうのが今仕組みにして。
[12:21] 僕もなので最近は、あの、APIを一切使わないのと。
[12:26] うん。
[12:26] あと、基本的にモデルも、えっと、無料のやつとかだけで回せるような、あのシステム構築を同時にやってますね。
[12:36] はい、はい、はい、はい。
[12:37] おそらく多分それが正解だと思ってます。
[12:40] で、で、そっちの、なんかその、トランプの機嫌で使えなくなるとかが本当に嫌いがするんですよ、僕は。
[12:46] うん、うん、うん。
[12:47] だから、だからもう、で、もう、システムを作っていくに走ってますね。
[12:53] うん、うん、うん。
[12:55] どう、どうすか、その辺。
[12:56] はい。
[12:57] RPAで。
[12:59] でもRPAって。
[13:01] そのビズロボの仕組みをAIに作らせるはめっちゃできそうじゃないですか？
[13:05] ああ、そう、できると思う。
[13:06] あのね、あれって結局ロボットを作んなきゃいけないんすけど。
[13:09] はい。
[13:10] ロボット作んのが意外と面倒くさくて。
[13:12] そうですよね。
[13:13] で、それを実はAI使ってロボット制作ツールをうちで作ったんですよ。
[13:18] ああ、はい、はい、多分できると思いますね。
[13:20] はい。
[13:21] ま、ちょっと何かそんな感じで今うまく組み合わせてやってる。
[13:26] うん。
[13:26] はい。
[13:32] はい。
[13:36] そう、そういうのを。
[13:38] マジで本格的に一気に行きたいそうなので、あの、まず、えっと、ハピネッツとLINEの連携と秋田市と、あの、LINEの連携っていうのは決まりましたっていう。
[13:51] おお。
[13:52] やった。
[13:54] 何をすればいいんですか？
[13:56] で、ハピネッツ、LINEヤフーからハピネッツの、スポンサード費用も大量にせしめたのが昨日。
[14:03] おお。
[14:06] マージン入ってきます。
[14:07] へえ。
[14:10] すいません。
[14:11] え。
[14:13] なんかそれだと僕はハピネッツの試合を、見ながらLINEでビール注文したらビール運んできてくれるようにして欲しいんですけどね。
[14:22] いや、そうそう。
[14:22] それね、マジでやりたくて。
[14:24] それ個人都合で勝手にシステム作って導入していいっす。
[14:28] いやいやいや。
[14:29] なんか多分全然もう、えっとロジックは頭の、結構これは、えっと勝手に作っちゃおうかなぐらいに思ってたんで、ロジックは頭にできてて。
[14:39] そう。
[14:39] いや、あの、そう、そういうことをどんどんやっていきたいなと思ってるんですけど。
[14:44] はい。
[14:44] それをやる時に、結局ただで作ってきますみたいなことやってると全然良くなくて。
[14:49] そうですね、もちろん。
[14:50] で、そこの部分を、あの、LINEヤフーにスポンサーしてもらうみたいなことを思いまして、キーボードもできますし。
[14:56] はい。
[14:56] もう一個、えっと、補助金もちょっと使う話しようかなと。
[15:01] うん、うん、うん。
[15:02] で、一番簡単なのは専門家派遣。
[15:05] はい。
[15:06] 使ってそれを仕事にしてくみたいなのはやりやすいかなと。
[15:10] でもあの専門家派遣で、実際に手動かして作る、あの専門家が手を動かして作っちゃうっていう方になっちゃうと。
[15:20] うん。
[15:20] なんか色々言われませんあれ。
[15:23] あ、そうなんだ、言われるんだ。
[15:25] あくまでもアドバイスがメインでって言う。
[15:28] なるほど、なるほど。
[15:30] 結構。
[15:31] プロンプトアドバイスもらえばいいんじゃない。
[15:33] うん、プロンプ、なので、えっと、全部自動で作るツールを作っといて。
[15:40] うん。
[15:40] で、えっと、はい、これを言ってくださいって言わせて。
[15:47] あ、あ、あ、そしたら、こっちはサポートしかしてませんよ。
[15:51] でもサポート代でお金は頂きます、はできるかもしれないです。
[15:55] はい、はい、はい、はい。
[15:58] なんかそんなんでいいし。
[16:00] あと、あとはさ、なんかもう、あの、こっち側でも作っちゃって、月々で回収していくってやり方もアリかなと思って。
[16:08] ああ、はあはあ、そう。
[16:09] パック、LINEパックみたいな感じ。
[16:12] そうそうそうそうそう。
[16:14] あの、公式アカウントの一番安い、確か5000円じゃん。
[16:17] うん、そうですね。
[16:19] で、それにプラス5000円で1万、月1万円で公式アカウントの、あの、簡単な回収と、ま、作るのとか回収とやりますみたいな。
[16:28] うん、うん、うん。
[16:30] そうですね。それで。
[16:33] そうすると、じゃあなんとなく、毎月継続利用しやすいようなタイプのサービス。
[16:40] うん。
[16:41] のテンプレートがいくつか。
[16:42] そう、だから本当は、本当はまあ、売上になるようなものがいいし。
[16:45] 場合によっては業務で使えるような。
[16:47] まあ、今構想してるようなのもあるじゃないですか、18票をLINEでできるようにするみたい。
[16:52] うん。
[16:53] あんなんも、あの、すごい良いと思って。
[16:56] あれはもう1回作り始めたら、やめらんないし、まあ月1万払ったら、非常に逆にいいと思う。
[17:04] うん。
[17:04] そうですよね。
[17:05] だ、そういう注文、注文予約、ポイント、まあ、ポイントはちょっとお客さんメインになっちゃうけど、注文とか予約とか、そういうのはかなり相性良いと思ってんですよ。
[17:15] うん、うん、うん。
[17:18] で、なんとなくちょっとそういうところから、えっと、なんか美容室の予約とかそういうのも、なんかホットペッパーに課金できないような人とかがライトに使えるようなLINEのアプリがどんどんあってとかだといいなと思ってます。
[17:35] ホットペッパーのような。
[17:38] あ、ホット、例えばホットペッパーで、あれ乗せてて、予約とか集客とかやってると、毎月、あの、乗せる代がかかっちゃったりとかする。
[17:47] はい、はい、はい、はい。
[17:48] そういうのとか、そのところに僕結構穴があると思ってて。
[17:52] うん、うん。
[17:53] でもね、ホットペッパーって、あれ広告宣伝なんですよ。
[17:56] そうなんです。
[17:57] なので。
[17:58] その部分が難しさが。
[18:00] だからそこを、AIによってめっちゃ爆速でSNSとかをやるような別手段を授けるっていうので。
[18:09] なんか、そしたらカッパげないかなと思ったんですけど。
[18:15] うん。
[18:17] なんか結局それで、でも、こっちに切り替えて、さらにそのLINEからインスタの投稿とかも作れますとかになってたりして。
[18:28] ああ、はい、はい、はい。
[18:31] それも面白い。
[18:32] そうっすね。そしたらちょっとその、広告っていうのがカバーできるかもしんなくて。
[18:38] インスタとか、最近なんだっけ、スレッド。
[18:41] うん。
[18:42] がなんか結構いいって話も言ってた。
[18:45] あ、そうなんですね。
[18:48] 確かに。
[18:49] なんか妻もスレッズいいって言います、確かに。
[18:52] あ、そうなんだ。
[18:54] なんか、ま、多分予想、予想というか、いわゆるFacebookってクローズドコミュニティじゃないですか。
[19:02] うん、そうですね。
[19:02] スレッズは、あの、FacebookとXの間だと思って。
[19:08] うん、そうなんですよね。
[19:09] なんか、確か元々、あの、Xが治安荒れた時にスレッズがポンって出てきたんで。
[19:15] ああ、そうなんすか。
[19:16] なんかちょっと一時的に、あの、避難、避難所みたいな位置付けにもなってましたよね。
[19:21] ああ、そうなんすか。
[19:22] まだ、と言いながら全く使えてないんですけど。
[19:24] ま、僕も、あの、嫌いなんで登録すらしてないんですけれども。
[19:28] 嫌い、嫌い。
[19:29] 何が嫌い？
[19:30] あの、SNSがやっぱりね、どうしてね、で、あの、スレッズとかもなんかちょっと、新しく出てきたやつだったから、もう、増やす、SNSは増やしません、増やしませんってなってる時に出てきた。
[19:43] ああ。
[19:44] はい。
[19:45] そして今Instagramも結構ね、色々出てきてるからね。
[19:48] うん。
[19:50] ここからここまで歩いてきて何分かかる？
[19:52] 歩いて10分ぐらい。
[19:54] 歩いて10分。
[19:55] 近っ。
[19:56] 近っ。
[19:59] え、ってことは運転免許持ってないのに東野田に住んでるって無謀なチャレンジしてる。
[20:03] え、ホンダさんそうなんすか？
[20:05] 持ってないです。
[20:06] え、僕も僕もって言う。
[20:09] そう。
[20:09] すごい。
[20:10] え、それは何すか？やっぱりポリシーですか？
[20:14] いや、違います。
[20:15] 普通に持ってなくて今から取ってきます。
[20:17] はい。
[20:18] 今から取ってんだよ。
[20:19] 一緒に行こうよ。
[20:20] えらい。
[20:24] いや、僕がちゃんとね。
[20:26] 意思を持たないと。
[20:28] いや、そろそろ諦めた方がいいよ、マジで。
[20:30] いや、まだ大丈夫、あの、大丈夫ですよ。
[20:34] 子供が大きくなってくるとマジで無理だから。
[20:37] ああ、そうなんすかね。
[20:38] なるほど。
[20:39] それはちょっと、むむって。
[20:43] でも、もう今から免許取っとけば、あの、子供が大きくなる頃には自動運転になってるから。
[20:49] なるほど。
[20:50] ライセンスだけ取っといた方がいいっすよ。
[20:52] ライセンスいらなくらなるまではいかないから。
[20:54] 確かに。
[20:56] それはそうですね。
[20:57] そっか。
[20:59] 自動運転を見越して免許だけ取っとく。
[21:02] そうそうそうそうそう。
[21:03] どうですか？
[21:05] いや、でも、モチベが。
[21:13] まあ。
[21:13] え、じゃ、奥さん免許持ってるの？
[21:15] あ、持ってますよ。
[21:16] 奥さんの車載の横に乗る。
[21:18] 乗りますよ。
[21:19] 最悪だな。
[21:21] あ、でも、あの、それは結構、結婚する時とかにも最初から言ってたんで。
[21:27] だって俺は横に乗るよ。
[21:29] あ、僕は絶対免許は取らないって。
[21:32] よく結婚してくれたな。
[21:34] やっぱり溢れてる魅力が。
[21:37] いやいや、違う、奥さんがあの、神なだけだ。
[21:39] 感謝した方がいいと思います。
[21:40] あ、そうっす。
[21:42] それを置いても。
[21:44] それを置いても、溢れる魅力が。
[21:48] うん。
[21:50] そう、じゃ、えっと、いつぐらいからスタートできます？
[21:54] まあ、じゃあ逆にいつからでも。
[21:56] あ、そうっすか。
[21:57] いつからでも。
[21:58] わかりました。
[22:04] ちょっと業務委託の固定でスタートからって感じはしてるんで。
[22:09] はい。
[22:09] それでやって、えっと、まあ、一応1日2時間、1時間半。
[22:19] はい。
[22:20] 多分2時間できなくね？
[22:22] そうっすね。最近ちょっと忙しい。
[22:24] 忙しい。
[22:25] ああ、そうなんだ。
[22:25] えっ、どうします？1時間半、1時間、2時間。
[22:31] まあ、2時間で。
[22:33] 嫌です。
[22:34] いや、本当に最初から無理しない方がいいよ。
[22:36] はい。
[22:37] 1時間半で1時間。
[22:39] 確かにね、ちょっと逆に1時間って言われてもなんか仕事って難しくないすか？
[22:44] 1時間半だったら、ワンクールでちょうど良くない？
[22:48] ああ、まあ、そうか。
[22:49] 継続して。
[22:51] 1時間半だったら。
[22:52] 1時間半か2時間かなとは思いましたね。
[22:57] うん。
[23:01] うん。
[23:02] 3時間マジでやめた方がいいよ。
[23:04] 3時間は。
[23:05] 3時間だと。
[23:07] な、3時間とかにするんならちょっと多分、あの、ナルテックの方をなんか少し削れませんかみたいな交渉とかを入れる必要が出てくる気がしますね。
[23:24] え？
[23:25] あれ？
[23:27] いやいや、無理でしょう。
[23:28] やめた方がいいよ、その交渉。
[23:30] あ、そうっすね。
[23:31] あ、聞こえる？
[23:32] あ、聞こえます。
[23:33] なんかね、そうね、携帯が、携帯が熱くなってきた。
[23:36] あら。
[23:39] うん。
[23:39] まだまだ大丈夫です。
[23:40] まだ大丈夫。
[23:42] わかりました。
[23:43] じゃあ、えっと、1.5×4×4、あ、じゃ5×4だから、月30時間からスタート。
[23:54] はい。
[24:00] っていう感じです。
[24:00] だから、これ別にあの、あれです、厳密に1.5時間じゃなくて1時間でもいいし、その辺はなんか好きである程度調整していただければなっていう感じで。
[24:13] で、なんか何やってるかだけメモしといてもらって。
[24:16] ちょっと、あの、私はいいんすけど、社内のなんか、あの、なんとなくの、こんなことやってくれてんだよっていうのを言う材料も作って。
[24:23] はい。
[24:24] つつ、そうなんだろう。
[24:28] はい。
[24:30] とりあえず、時給2000円ぐらいからスタートして。
[24:35] うん、うん。
[24:37] 月6万。
[24:41] ぐらいからスタートして結果見てちょっと対応。
[24:44] はい。
[24:48] もうすぐできんならすぐできるで7月からスタートします？
[24:54] うん、は、あ、はい。
[24:56] はい。
[24:56] はい。
[24:57] あ、はい、あ、僕じゃないか。
[25:00] はい、はい、はい、よい、よい。
[25:02] スタートしちゃいましょうか。
[25:04] そうですね。はい。
[25:06] もうなんかホンダさんもなんかもう今すぐ行きますって感じっぽいんで大丈夫だと思います。
[25:10] 本当っすか？
[25:10] はい。
[25:11] 今ちょっと忙しいんて感じだけど大丈夫？
[25:13] いや、でも、あの、あの、多分、そう言うので、ちょっと次の準備とかが並行して始まってくのはすごく良いんじゃないかなと思いました。
[25:23] 確かに、確かに。
[25:24] うん。
[25:24] え、ホンダさんなんかどうなんすか？他に特に就活とかって今まだなんか決まってる。
[25:29] 何もないっす。
[25:31] あんまないっすよね。
[25:32] うん。
[25:32] はい。
[25:33] だからこういう話あった方が嬉しいすよね。
[25:36] そうですね。
[25:37] あ、あ、あ、よかったよかった。
[25:39] 僕が、僕結構勝手に嬉しいかなと思ってやっちゃったところあるんで。
[25:45] はい。
[25:46] あの、勝手にちょっとやったところあったんで、あんま確認してなかったなとそういえば。
[25:51] 結構多分、あの、楽しいと思います。
[25:56] 秋田県内でクシに面白いプロジェクトだと思ってるんですけど。
[25:58] 承知してます。
[25:59] だと思います。
[26:00] うん。
[26:01] で、おそらく今それやるってなってること以外にもどんどんこれからも、これもどうだろう、これもどうだろうって、どんどん次から次へと面白挑戦が降りかかってくると思います。
[26:14] なんか、さすがですね。なんか理解されてるんすか？
[26:17] うん？
[26:18] 理解されてるんですか、そのあたりを。
[26:20] 多分そんな気がしてます。
[26:22] ああ、うん、そうですね。
[26:24] はい。
[26:25] なんか、こ、これ、これが始まってると、なんかこれがきっかけになって、どんどん多分色々広がってくと思うんで。
[26:33] うん。
[26:33] そこのところに僕もホンダさんいてくれると安心感あるなって思ってます。
[26:38] チェキ、チェキ。
[26:39] そうですね。
[26:40] あ、ていうのを勝手に思って、勝手に寺田さんに、なんか紹介しちゃったみたいな感じになっちゃいました。
[26:47] なんかね、もう本当に位の一番に名前上がってたんですよ、本当にホンダさんの名前がね。
[26:53] 誰かそんな人いないすかって言ったら、もうそれはもうホンダさんです。
[26:59] 一番ぴったりな気がしますね。
[27:01] はい。
[27:03] 奥のないところで出てきて、プレゼンテーション。
[27:07] そう、確かにそこ不安なんだよなと。
[27:10] はい。
[27:12] はい。
[27:14] はい。
[27:16] えっと、平日の時間取れるタイミングって、あります？
[27:22] 平日、時間取れるタイミング。
[27:24] 例えばお昼でもいいんですけど。
[27:26] はい。
[27:27] 何かその、恒例、えっと、いや、というのは、うちの、私とか、あの、高崎さんは別にね、夜中だろうが何だろうが、早朝だろうが何でもいいんですけど。
[27:38] 僕らあの、正月か、あ、ミーティングしてましたからね。
[27:42] ま、いいか。
[27:44] なんですけど、あの、うちの社員とかともミーティング、打ち合わせとかが、平日の、ま、チャット上で去年やりたいなと思ったんですけど。
[27:53] はい。
[27:53] とは言えなんか多分、1週間に1回なんか月に1回なんだか、ぐらいは、えっと、30分でもいいので、オンラインでできたからなと思ってんですけど。
[28:04] はい。
[28:04] そうすると、なんか聞いてくれるタイミングってあります？
[28:07] 一番お昼が、一番やりやすいです。
[28:08] お昼は行ける。
[28:10] ま、フレックスだもんね。
[28:11] あとね。
[28:11] うちのね、終業時間て8時なんすよ。
[28:14] あ、はい、はい。
[28:14] 8時はいける。
[28:15] 8時も大丈夫です。
[28:16] あ、本当っすか。
[28:17] はい。
[28:17] 8時で、8時半までやって、9時に会社ってできます。
[28:20] あ、はい。
[28:21] 大丈夫ですか？
[28:22] 昼に抜け出してそこでやってるの結構微妙だと思うんで。
[28:25] うん。
[28:26] 根本8時がいいと思ってて。
[28:27] はい。
[28:28] 定例を週の1回8時30分だけ取って。
[28:31] どっか、どっか空いてる。
[28:32] はい。
[28:33] 何曜日がいいとかあります？
[28:34] 何曜日。
[28:35] えっと、そうですね。
[28:37] まあ、月曜で。
[28:38] はい。
[28:39] 月曜日、火曜日、水曜日。
[28:41] えっと、ごめんなさい。
[28:41] 僕ら、多分、月火はダメなの。
[28:43] はい。
[28:43] 水、木、金。
[28:45] じゃ、水、水で。
[28:47] はい。
[28:48] 高崎先生8時、水曜日8時って行ける感じすか？
[28:51] あ、僕もですか？
[28:52] あ、ちょっと待ってください。
[28:54] 油断してました。
[28:55] ちょっと待って。
[28:56] 油断しないで。
[28:57] はい、えっと、水8？
[28:58] 水8でも行けそうだと思いますね。
[29:00] ちょっと待ってくださいね。
