[00:00:00] （背景ノイズ）
[00:34:03] （タイピング音）
[00:55:07] （タイピング音）
[01:05:07] （タイピング音）
[02:00:10] （タイピング音）
[02:30:26] （タイピング音）
[02:56:06] （タイピング音）
[12:58:65] 話者A: できましたね、はい。
[12:59:75] 高崎さん: あそこもなんか秋田大学の学生とかはただになるんすよ。で、こないだなんか匠が秋田に遊びに来てて、足音に一緒に出たハルトってやつが秋田大学に進学したんすよ。で、3人でアッシュできたから行こうぜって言ったら、ハルトだけただになって、匠はただにならなかったっていう。
[13:22:50] 話者A: 怒ってそうっすね。
[13:23:40] 高崎さん: はい。
[13:25:52] 話者A: なんか、めっちゃ怒ってるのが想像つきますね。
[13:27:75] 高崎さん: そうなんすよ。なんか、だから、あー、ここでもかってい。
[13:32:84] 話者A: そうなんすよね。
[13:33:88] 話者A: はい。まあ、そんな感じで、いや、そうなんすよ。だから今回会場リッシュもちょっと一つ視野としてあったんですよね。なんかアクセスいいじゃないですか。
[13:41:35] 高崎さん: はいはいはい。
[13:42:26] 高崎さん: 結構で、何回か使いましたけど、かなり使いやすくていいです。あの、麦茶、麦茶がいつでも飲めますし。
[13:48:86] 話者A: へー。はい。
[13:51:52] 話者A: ただ、ちょっと我々あの重し持ってるんで、ちょっとその金で一旦、はい、ちょっと重しでさせてもらおうかなっていう感じでした。はい。
[13:58:80] 高崎さん: そうなんすよね。
[14:00:89] 話者A: そうですね。で、今年のちょっと変更点、ごめんなさい、ばーって言っちゃいますね。えーと、はい。
[14:07:93] 話者A: えーと、開発支援金なんですけど、まあこれ高崎さんには直接影響しないんですけど、前ちらっと話してた内容で固まりまして、プロ、未踏と同じで時給決めてプログラム期間中の開発に要する人件費の計上と、国内旅費と、プログラム事務局の定める生成AIサービス利用料の参加科目に関しては、基本的には、あの、この100万円の中で使ってもらえますよっていう、これをベースにしてますと。ただ、例えば、あの、台湾のプロジェクトとかあったじゃないですか、去年。
[14:18:88] 高崎さん: うんうん。
[14:38:81] 高崎さん: なるほど。
[14:43:52] 高崎さん: ありましたね。
[14:45:62] 話者A: あの、台湾とかだったら、ま、これ国内旅費なので出ないんですけど、ま、プロジェクトでどうしても必要な経費っていうのは、一応その、申請してもらえたら、ま、判断しますっていう形。
[14:55:60] 高崎さん: なるほど、なるほど。
[14:56:65] 話者A: はい。ただ、なんか、あの、結構ですね、あの、ま、ゆづきくんとかはあのプラウドとかをなんか、そう、既婚プロジェクトで必要だっていうので買ってもらったんですけど、他は、他のプロジェクトでなんか、予算がちょっと5万円ぐらい余ったからApple Watch買いたいんですけどみたいな結構噴出してたんです。
[15:15:33] 高崎さん: だめですよ。ちゃんとあの、事業とうまく結びつけないと。
[15:18:61] 話者A: そうそうそう。そうなんすよ。
[15:20:46] 高崎さん: Apple Watchなんか結びつけれそうですけどね。
[15:24:60] 話者A: ま、でもApple Watchってちょっとやっぱ汎用的です。なんか、その、ウェアラブル端末。だか、そういえば富士通ホンダさんのあのオンテナみたいに、なんか、ウェアラブル的な感じで必要なんだだったらまだわかるんですけど。
[15:37:68] 高崎さん: 正確な脈、正確な脈拍の計測とかを、えーと、僕なら事業に入れ、サービスに組み込みますね。欲しかったら。
[15:47:33] 話者A: そうそうそう。だからなんかそういうのできるんだったらいいんですけど、基本的にはもう汎用的なやつはもう全部NGにして、えーと、もう自分で欲しいんだったら自分で人件費で計上して買ってください。
[15:57:95] 話者A: 形に。
[15:58:69] 高崎さん: なんかそっちのほうがいい気がしますよね。なんか、欲しいもんがある、よしやべえ、作業ガーってやるぞ、買えたって。なんか、分かりいい気がする。
[16:08:92] 話者A: そうなんすよ。なので、一応それでいこうかなと思ってるのと、で、生成AIサービス利用料はなんかもう無制限でOKじゃなくて、これ、あの、めっちゃ細かいんですけど、インボイスに対応してる生成AIは基本申請OK。だから例えば分かりやすく言うとクロードとかGPTとかは大丈夫なんすけど。
[16:30:60] 話者A: えーと、ジェンスパークとかは、あの、もし使いたいんだったら申請してねっていうところと、あと、もう、めんどくさいんだったら人件費で自分で好きなやつ試しなさいと。
[16:39:79] 高崎さん: まあ、確かに。
[16:40:53] 話者A: はい。もうそういう感じに一応しようかなと思ってて。高崎さんにはなんかアカウント付与しろとご要望いただいたんですけど。
[16:47:86] 話者A: うーん、ちょっと難しいな。
[16:50:39] 高崎さん: じゃあ、えーと、AIの、決めるっていうのはしないってことですね、こっちから。
[16:55:59] 話者A: 決めないです、決めないです。
[16:57:82] 高崎さん: はい。でも多分進めるので、えーと、でもクロードコードが今はお勧めですみたいなこと言うのはOKですかね。
[17:04:80] 話者A: 全然OKです。OKです。
[17:06:84] 高崎さん: 多分今の情勢だと、うん。やっぱりでも多分この、あ、そうそうそう。ここっすね。
[17:16:57] 高崎さん: なんかだからあれだな、ちょっとその、えーと、開発するっていうところはもちろんだけど、えーと、クロードコードでパワーアップして、なんかすごいやっぱりプロジェクトとして優れたものにするとか、勝てるプロジェクトにするとか、稼げるプロジェクトにするとかみたいななんかちょっとそう言う、えー、なんか、あの、言ってしまえばちょっとこの足音って採択された時点で100万円もらえることは割と確定してるじゃないですか。
[17:48:82] 話者A: はい。
[17:49:78] 高崎さん: なんで、まあ、言ってしまえば別に、あの、クリエイターのプライドが許すなら手抜いてうまいこと経費だけかかりましたって言って100万円だけをせしめることは可能じゃないですか。
[18:02:83] 話者A: うんうん。
[18:04:64] 高崎さん: でもなんかそうじゃなくて、なんか、あの、その100万円を使ってよりいいものを作りたいっていう気持ちにさせたくて。
[18:15:68] 話者A: そうですね。
[18:17:34] 高崎さん: だからなんかちょっと僕はだから、勝てーみたいな。クロードコードでみんな勝つんじゃーみたいな。
[18:26:77] 話者A: うんうん。
[18:28:48] 高崎さん: 方面の勉強会というか講習会にちょっとしたいなと思ってます、今んとこ。
[18:33:63] 話者A: ありがとうございます。あの、一応なんかクロードコードをなんかこう、要はもうクロードコード中毒に、ま、僕もクロードコード中毒なんですけど、クロードコードがないと何もできないってなるとプログラム終了後のなんか責任問題みたいなところにちょっと発展するので。だからイメージとしては、バイブコーディング講座って立て付け、これは崩さないです。これは崩さないんですけど、その中で今回はクロードコードを使ってやってみましょうみたいな。
[18:43:75] 高崎さん: うん。
[18:54:68] 高崎さん: はい。
[19:01:29] 話者A: とか、あと、正直なところもうコデックスとか、ま、色々多分自分たちで使ってる人もいると思うので。
[19:11:39] 高崎さん: はいはいはい。
[19:11:80] 話者A: ま、そういった観点でも、まあ、一旦は、まあ、今回高崎さんにはもうやりやすいクロードコードでやってもらって、はい、いいかなと思ってるんですけど。その点でもね、はい。
[19:22:92] 高崎さん: まあなんかちょっと、そ、そのところも、あの、共通する部分っていうのがあるんで。
[19:29:72] 話者A: そうっすよね。
[19:30:77] 高崎さん: はい。まあ、なんかね、えーと、違うのは同時処理能力だけなんすよ、多分。で、同時、同時処理能力がクロードコードが一番高いんで。
[19:38:76] 話者A: うんうんうん。
[19:44:66] 高崎さん: あの、同じことで雑な指示出してもクロードコードのほうがなんか繋がったプログラムが作られやすいってのはあって。
[19:54:78] 話者A: そうっすよね。いや、確かにそうだと思います。
[19:57:48] 高崎さん: なので、まあ、別にコデックスでじゃあクロードコードでバンバン開発する人とコデックスでなんとか頑張りますっていう人だったら、まあ、えーと、元のプログラミング力がコデックスを使ってる人のほうが高いのであればコデックスでも戦える気がします。
[20:15:37] 話者A: そうっすよね。あの、そうなんすよ。うちのエンジニアも同じこと言ってて、なんか、あの、僕みたいな非エンジニアとかはクロードコードでアレなんですけど、もう別にコードとかそもそもそういうこう開発に精通した人は、実はなんか、あの、コデックスとかのほうがなんか、あの、綺麗なコード書いてくれたりするんだよねみたいな話は結構社内で飛び交ってて。
[20:28:86] 高崎さん: うん。
[20:35:54] 高崎さん: あ、そうですね。コデックスはなんか結構そういう点でのなんか整え役みたいなところの評判が結構いいんすよ。
[20:42:95] 話者A: そうっすよね。だからなんか秋田大学のあの理系な学生たちいるじゃないですか、例年。あの類はもしかしたらもうコデックスとかで自分でなんか勝手にやってねみたいな感じでもいいかもしれないですね。
[20:54:66] 高崎さん: まあ、ただ、ただちょっとコデックスだと、えーと、開発、ちょっと開発の規模が縮小する印象は。要は、えーと、巨大なシステムが、巨大なんか、アプリを完成度を高めるのは別に、単発のアプリの完成度を高めてくっていう作業はコデックスもアンチグラビティもクロードコードも変わんないんすよ。
[21:03:68] 話者A: うんうんうん。
[21:19:62] 話者A: はい。
[21:21:49] 高崎さん: ただクロードコードの場合はシステムとシステムを繋げた巨大ななんか動くもの、謎の動くものを作れる。
[21:30:75] 話者A: うんうん。
[21:32:64] 話者A: なるほど、なるほど。
[21:33:55] 高崎さん: で、その謎の動くものを作れるっていうのを、例えばアプリ開発の合間合間のところにその巨大なシステムを入れ込んで、例えば、えーと、システムに出す画像とかの素材を作る担当にめちゃくちゃ何回もブラッシュアップしたものを入れ込むとか、そういうこともできるんすよ。
[21:52:41] 話者A: なるほど。
[21:53:93] 話者A: そうっすよね。
[21:55:54] 高崎さん: なので、えーと、クロードコードを入れなくても各単体のことを作業で手作業で実装してくっていうことはできるんですけど、そういったものを複合的に動かす司令塔がいない状態でやんないといけなくなります。
[22:12:87] 高崎さん: で、その司令塔がいると、あの、司令塔にメインのことはやらせて、自分はプラプラ出かけてれば大体成立します。
[22:20:94] 話者A: へー。
[22:23:66] 話者A: ま、今回は、ま、どちらかというと、なんかその自動化してというよりは、まあ、あの、酒田市さんの言葉で言うんだったら、ま、その5ヶ月間で生産性上げようぜっていう観点では全然やっぱ押していただきたいなと思ってます。
[22:36:99] 話者A: だからやっぱ品質のところはでもやっぱりあの、今後その未踏とかにも応募していくっていう観点言うと。
[22:42:47] 高崎さん: でも、その自動化っていうところを目指してるんじゃなくて、いろんなシステムを繋いで巨大なシステムを作るっていう観点を見につけて欲しいんすよ。
[22:51:77] 話者A: うんうんうんうん。
[22:52:68] 高崎さん: 要はそれぐらい今まで作れなかったシステムじゃなくて、もう個人で、個人で超ハイパーエンジニアが何ヶ月何年もかけて作るようなシステムを個人で素人が1ヶ月で作れるようになってるのが今なんすよ。
[23:08:70] 話者A: そうっすよね。うん。
[23:10:49] 高崎さん: なので、で、それをするには多分めっちゃ自動化するいろんなAPI引っ張ってくる、データベースも引っ張ってくる、全部を繋げるみたいな、これをやってもらえると多分そのシステムを作るっていう視野が広がる。
[23:26:62] 高崎さん: で、そういった広い視野を持った開発ができるAIを使える若いものを育成したいっていう感じ。
[23:35:75] 話者A: オッケーです。あの、一旦、まあ、あの、最後お話しようと思ってたんですけど、えーと、8月の、まあ、プログラム開始なので、えーと、まあ、秋田の方は柔軟にできるんですけど、群馬の方って、あの、NTT東日本の群馬支店メンバーで、ちょっと、あの、高崎さんもお会いしたことないメンバーってところもあるので、ちょっとできればなんかこんな講座やりますよみたいな、ちょっと、あの、事前紹介だけさせてもらいたくて。
[23:59:74] 高崎さん: ぜひぜひ。あの、全然、あの、そこのミーティングに参加もしますし、説明もします。
[24:05:78] 話者A: ありがとうございます。ちょっと、なので、7月とかかな、あの、ま、全然早くできたら早くできたらいいんすけど、なんか、あの、7月上旬ぐらいに、なんか、あの、可能であれば、こういう、こうしでいこうと思ってますみたいなところの、ちょっと事前紹介だけさせてもらえたらありがたいなと思っていて、はい。
[24:23:20] 高崎さん: 分かりました。
[24:24:43] 話者A: すいません。なので、ちょっと、そのスケジュール感でいかせいただきたいなと思ってます。
[24:27:89] 高崎さん: 了解です。
[24:28:80] 話者A: はい。
[24:30:27] 話者A: あとは、えーと、前までは7月のこの下旬ぐらいまで一次選考だったんですけど、結局去年、ま、高崎さんとかもそうですし、先行エントリーと一般エントリーの2つがあって。
[24:45:90] 高崎さん: あー、ありましたね。
[24:47:65] 話者A: で、結果先行エントリーって半分ぐらい採択されたんすよ。
[24:50:50] 高崎さん: うんうん。
[24:51:65] 話者A: ゆづきくんとか、あと、長谷山くんとかなんすけど。
[24:56:69] 話者A: で、やっぱ先行エントリーで来る人のほうが質が高いので。
[24:59:60] 高崎さん: なるほど。
[25:01:76] 話者A: 6月末にしました、今回は。
[25:03:77] 高崎さん: 分かりました。
[25:04:88] 話者A: はい。ただ、そこでロックとか7しか採択されなかったら二次採択っていうような形で、あの、一応7月19日までやろうかなと思ってますね。
[25:16:32] 話者A: はい。
[25:17:49] 高崎さん: 一応今それにむけてメンバーを育成しています。
[25:23:59] 話者A: 怖いですこれあれですね、本当もうあれですよ。もう高崎さんのみに公開しますからね、このスケジュール。
[25:29:97] 高崎さん: ありがとうございます。
[25:30:89] 話者A: はい。ま、でもまだ変わってるかもしれないですけどね、公開時と。はい。でも、ま、一応そういう感じでいこうと思ってるんで。
[25:35:89] 高崎さん: 分かりました。
[25:36:86] 話者A: はい。で、前話してた通りなんかイフ塾をなんか、あの、追加しろって話あったんすけど、応募してもらうっていう観点だったので、一旦ちょっとこういう感じに、はい。
[25:45:94] 高崎さん: 分かりました。
[25:46:94] 話者A: なりそうですっていうところ。うん。
[25:49:50] 話者A: あとはまあ若干まあ、あんまりプログラムに関係ないかもしれないっすけど、酒田にある、えーと、大学？
[25:56:80] 高崎さん: 酒田の大学。
[25:57:48] 話者A: はい、大学とかにも、チラシとか置くかもしれないぐらいかなっていう。
[26:03:45] 高崎さん: いいですね。
[26:04:95] 高崎さん: あとはあそこか、酒田とかだとあそこがありません？あの、酒田駅のあたりにライトハウスっていう、なんか、えーと、ライトハウスだっけな、ライトニングハウスだっけな。なんか、そういうコワーキングスペースみたいなところがあるんです。
[26:13:99] 話者A: はい。
[26:23:87] 話者A: はい。
[26:24:59] 高崎さん: 結構そこ、あの、企業、若手の起業家系の人とか集まったりとか、あの、学生さんとかも結構集まったりするんで、割と足音とかと相性いいと思います。
[26:38:64] 話者A: なるほど、ありがとうございます。
[26:40:47] 高崎さん: 前ちょっと酒田の会社で、あの、カウンセラーとかやってたことあって、結構酒田は知ってます。
[26:46:44] 話者A: へー、なるほど。ありがとうございます。ちょっと酒田、まあ正直秋田イノベーションプログラムなんで秋田の、そうそうそう。あ、ただそこのライトハウス抑えとくと大体酒田は割と、あの、割と大体そこ抑えときゃ大丈夫ぐらいな感じです。
[26:54:95] 高崎さん: はい。
[27:01:99] 話者A: あ、ありがとうございます。
[27:03:77] 高崎さん: 多分そこに、あの、すごい、その、山形県の、あの、そこを多分、あの、山形県の、その、起業家の、その、ベンチャーとかを応援する活動系の、偉い人とかがそこをやってるはずです。なので、多分大体そこに全部繋がってます。
[27:21:40] 話者A: うんうん。
[27:23:57] 話者A: ありがとうございます。
[27:25:75] 高崎さん: はい。
[27:26:73] 話者A: じゃあちょっとこんな感じで一応今年は行きたいなと思ってて。
[27:29:42] 高崎さん: わかりました。
[27:30:52] 話者A: はい。よろしくお願いします。で、高崎さん、あれ、はい。
[27:35:60] 高崎さん: 高崎、あの、えーと、群馬はオンラインですか？
[27:40:48] 話者A: はい。今からちょっと群馬のお話もさせていただきたいなと思ってたので、はい、すいません。活動支援金オッケー。で、えーと、群馬に関してもちょっとLPがありまして、ちょっとお見せしますね。
[27:44:97] 高崎さん: はい。
[27:55:76] 話者A: はい。これもう本邦初公開なんですけど。はい。
[27:58:81] 高崎さん: お、すごい。
[27:59:08] 話者A: あ、あ、ごめんなさいね。あの、あれです。あの、スキルズで、あの、移植しただけなんで。
[28:03:77] 高崎さん: はいはいはいはい、やめてくださいね。
[28:05:46] 話者A: はい、やめてくださいね。あの、指摘するのは。一応あの高崎ハップ、EOC事業支援プログラムという形でD-CROSS高崎っていう形です。で、これは、えーと、足音って、まあ、理系も、元々結構いるじゃないですか。でも今回、あの、やっぱり高崎経済大学という、ま、文系の大学との、やっぱり連携なんですよね。
[28:13:95] 高崎さん: うんうん。
[28:28:90] 高崎さん: うんうん。
[28:30:26] 高崎さん: 確かに。
