もちろん、音声ファイルの文字起こしを承ります。

[00:14] （聞き取り不明）
[00:25] （聞き取り不明）
[00:43] （聞き取り不明）
[00:54] （聞き取り不明）
[01:06] （聞き取り不明）
[01:14] （聞き取り不明）
[01:21] （聞き取り不明）
[01:31] （聞き取り不明）
[01:40] （聞き取り不明）
[09:56] 話者B: あ、そうそう、これで値段が、なんか今使えて追加料金なしで使えるよっていうので。
[10:01] 話者A: ほう。
[10:02] 話者B: 6月23日以降は、あの、クレジット、要はAPIになっちゃっぽいんですよ。
[10:07] 話者A: うわあ。
[10:08] 話者B: だから今のうちにガンガン試しとかないと安心して試せない。
[10:14] 話者A: へえ、なんかこれすごい改悪っぽいっすね。結局なんかAIってこの
[10:18] 話者B: えー。
[10:20] 話者A: 多分、料金気にしないといけないシステムになると敗北すると思ってます、なんか。
[10:27] 話者B: いやー、これ、最近、アンソロピック稼ぎに入ってますよね、かなり。
[10:32] 話者B: まあ、かねかったのかもしれないけど。
[10:33] 話者A: でもどうなんだろう、最終的にその
[10:37] 話者A: クレジットのモデルになるとユーザーが離れる気がするんすよね。
[10:42] 話者B: ねえ、だから一般ユーザーだいぶ置いてきぼりになる気がしますよね。うん。
[10:48] 話者B: あと危ない質問だけ返させる、うん。
[10:51] 話者A: なるほどね。ま、でも試してね、あの、見て、あ、これでなんか違いが、分かりやすいですね。
[10:54] 話者B: うん。
[10:57] 話者A: うーん。ミトス5の方が違う。
[11:00] 話者B: うん。
[11:02] 話者B: 一部の安全装置を解除ってこっち、こっちがやりたいんですけどね、本当に。
[11:05] 話者A: はい。
[11:06] 話者A: ね。いかにAIなんて安全装置を自分だけ解除するかっていうのが大事な作業なんですか。
[11:15] 話者B: うんうんうん。
[11:17] 話者B: そこが肝なのに、みたいなね、感じします。
[11:20] 話者A: てか、そもそも安全装置なんていらんのに。
[11:23] 話者B: うんうんうん。
[11:24] 話者A: 倫理はこっち決めるんでって言うところはありますね。
[11:29] 話者B: そう。
[11:30] 話者B: やっぱ中国のAIオープンソースでローカルでガリガリやってっちゃうとかね。
[11:35] 話者A: うん。
[11:36] 話者B: うん。あの辺がこれから、うん。それもやっぱ強いすよね。はい。ってことで、ちょっとミトス5ではないんですけど、え、フェイブル5が出たので、皆さんも是非、え、普通にスラッシュで、え、できるので、え、是非試してみていいかなと。
[11:41] 話者A: うん。
[11:57] 話者B: はい。さっき動かしてたんですけど、うん、どんな感じで動いてんのかな。
[12:04] 話者B: あ、このね、フェイブル5え、をなんかモードになってますね。はい。
[12:12] 話者A: へー。
[12:12] 話者B: で、トークンがそうなので、えっと今ウルトラコードで走らせてみようかなと思ってるんですけど。
[12:17] 話者A: なるほど。
[12:18] 話者B: はい。はい。
[12:20] 話者B: どれくらい燃えるか実験もやって。
[12:22] 話者A: うん。
[12:23] 話者A: いや、そうだな。ちょっとこれで。
[12:26] 話者A: クロドで、でも。
[12:28] 話者A: やだな。クレジット性になったらめっちゃやだな。
[12:32] 話者B: そうなんすよ。だから今のうちに試しておきつつ、でもここにはまっちゃうと怖いなっていうね。破産しちゃいますよ。
[12:38] 話者A: そうなんすよね。
[12:41] 話者B: あ、おはようございます。おはようございます。
[12:43] 話者A: おはようございます。
[12:44] 話者B: おはようございます。
[12:46] 話者B: ね。
[12:48] 話者B: あまりに性能が分かりませんけどね。
[12:50] 話者A: あまりにもね。
[12:52] 話者B: ありがとうございます。
[12:53] 話者B: あ、高崎さんもAI実践会。
[12:54] 話者A: あ、ありがとうございます。
[12:57] 話者B: ね。
[12:58] 話者B: 飾れたこ素敵です。
[13:00] 話者A: 飾ってるつもりですけどね。
[13:03] 話者A: あれ？おかしいな。
[13:06] 話者B: はい。てことで、今日ね、あの、高崎さんのまさに作ってたCodex App Serverのね、Ashraで提供してるサービスなんですけど、この件についてちょっと色々、え、やりたいなと思ってたんですけど。
[13:18] 話者B: はい。今日どんな感じでやってきますか？
[13:20] 話者A: あ、そうですね。なんかそもそもちょっとCodex App Serverって、えっと、もう1回なあに？って説明しようかなっていうところと。
[13:31] 話者B: はいはいはい。
[13:33] 話者A: あと意外と、なんか、あの、色々どんどん作ってみて、えっと、みんなに共有できるぞっていうところで、あの、公開とかしてるんですけど、意外と共有とか、えっと、共有された後の操作にもかなりコツがいるんで、ちょっと説明いるかなと、っていうところですね。
[13:53] 話者B: なるほど。
[13:55] 話者A: で、ちょっとやっぱり。
[13:58] 話者A: あの、作ったものをパッとそのまま使えるぞっていう前提にされるとちょっと厳しくて。
[14:09] 話者B: うんうん。
[14:10] 話者A: なんか、その公開されてるものをAIでさらに読み込んで、色々となんかそのカスタマイズしてくとか、修正してくみたいなところありきでやって欲しいなって思うんですね。
[14:22] 話者B: うんうん。
[14:23] 話者A: で、結構そのAI時代のもってのはそういう風にある程度まで作ってあるものちょっと自分でカスタマイズして、自分なりに使いやすく使うっていう方が、あの、いろんなものを多く良く使えるかなと思うんで、そういうことにみんなで慣れていこうっていうのを押し進めていきたいなと思っておりまして。
[14:44] 話者B: はいはい。
[14:47] 話者A: で、まずはちょっとですね、えっと、改めてCodex App Serverの定義をちょっとジェミニに聞いて出してみたっていうとこですね。
[15:01] 話者B: ほう。
[15:03] 話者A: で、まあ、えっと、簡単に言うと対話型GUIアプリを作るためのプロコであるって感じで、まあ、なんのこっちゃってとこですね。ま、要するにでも。
[15:17] 話者A: えっと、なんか一個、実行したい。実行するか。
[15:23] 話者A: えっと、っと、っとっと。
[15:28] 話者A: ちょっと待ってくださいね。
[15:31] 話者A: なんか。
[15:34] 話者A: あーなんか開いてないか。ちょっと待ってくださいね。
[15:37] 話者B: これはいまなんか画面共有できてた方がいいんですか？
[15:40] 話者A: あ、今ちょっと、なんか。
[15:43] 話者A: そのあれ、そうですね。はい。
[15:47] 話者A: なんかなんか1個立ち上げようと思って。何がいいかな。スライドでいいか。
[15:53] 話者A: あ、スライド。
[16:00] 話者A: この辺りの、結局。
[16:05] 話者A: この辺りの使い始めとか、その辺りがあんまり便利じゃないっていうところがCodex App Serverの僕1個欠点だと思ってまして。
[16:15] 話者B: いや、本当ですよね。そこさえっていうね。
[16:18] 話者A: あ、本当だ。
[16:19] 話者B: 惜しいとこですね。
[16:20] 話者A: あ、これアプデしない、した方がいいやつだけど、とりあえずは。
[16:26] 話者A: えーっと、起動で。例えばこうやってなんか。
[16:33] 話者B: あ、今画面が、えっと、ジェミニの。
[16:35] 話者A: あ、そっか。えーっと、ちょっと待ってください。
[16:40] 話者A: 画面共有が、じゃあもう全部でやるか。
[16:51] 話者A: まあ、こういう感じで、いつものようにクロドコードを、えっと、その、やって、開きたいやつを開いて、起動コマンドをクリップボードにコピーしてなんて言うと。
[17:08] 話者A: 起動コマンドをそのままコピーした状態にまでまはしてくれると。
[17:14] 話者B: うんうんうん。
[17:18] 話者B: あ、そっか。このクリップボードに入った状態で、すぐサクッと。
[17:25] 話者A: そうですね。そうすると楽なんですけど、まあ、
[17:30] 話者A: これですら楽に見えないですよね、多分。
[17:33] 話者A: まず。
[17:34] 話者B: まあ、やったことないですからね。
[17:35] 話者B: 確かに、確かにね。もうターミナルが出てきてる時点でも相当きついかもしれない。
[17:39] 話者A: えっと、今何をしたかっていうと、このCodex App Serverは便利ではあるんですけど、起動する時には、最初こういう真っ黒なこのターミナルっていうところとかに入っては、えっと、こういうコマンドを打たないといけないんですけど、まあ、打つか。
[18:07] 話者B: ちなみにこのね、ビックリマークみたいなのつけて、このやると、なんかでも動くというテクニックを今使ってますね。
[18:16] 話者A: また裏技をしてしまった。
[18:19] 話者B: はい。
[18:20] 話者A: そう。
[18:23] 話者A: これで、えっと、多分これで開くかな？あ。で、こういう風に、えっと、コマンドを立ち上げるとURLが出てきて、そのURLを開くと、こうやってアプリが、作ったアプリが開く。
[18:39] 話者B: うんうん。
[18:39] 話者A: で、クロドコードとかで作ってるアプリだけど、こうやって画面にUIとかを作るみたいなことも自由にできるっていうのが、えっと、Codex App Serverの特徴ですと。
[18:52] 話者B: うんうん。
[18:53] 話者A: で、えっと、こういう、えっと、AIを組み込んだ、えっと、誰かの作ったアプリっていうのは、あの、普通はAPI代っていう、えっと、AIを、の仕組みを呼び出すとか、いろんな他のアプリを呼び出すのには、APIっていうのを組み込み、そのAPI代を、えっと、作った人か、使う人どっちかが払わないといけないみたいな風な仕組みになりやすいんですけど。
[19:28] 話者A: それを、えっと、Codex App Serverだと、えっと、お互いのチャットGPTのサブスクの範囲を使って、そういう画像生成であるとか、いろんな生成をしてくれるので、え、通常例えば、どっちがお金払うのとかが色々難しくなるから、アプリとかを使う場合ってなんか、毎月有料課金とかになったりするんですけど。
[20:00] 話者A: そういうのをもうそれぞれで勝手に払おうよっていう風にして、えっと、余計なお金とかが発生しないようにして、色々アプリとして配布することができる。それがCodex App Serverでございますと。
[20:15] 話者B: はい。だから本当にね、核、この革新性はすごくいいですよね。だから、本当今までAPI代があるからなかなか配れなかったみたいなアプリがどんどん配れるし、ね、チャットGPTユーザー多いし、そのサブスクの中で処理できる独自アプリができるので、GPTsとはまた全然別格の、もう、クロドコードみたいなAIエージェントを搭載したアプリが、え、ユーザーにこちらの提供者側のAPI代を気にせず提供できるというね。うん。ただ、あのさっきのコマンドを打つとこだけクリアすれば、まあやったら簡単なんで。やったら簡単なんで。
[20:21] 話者A: うんうん。
[20:54] 話者A: まあ、あとね、多分、そもそも多分このAPIやらなんやらがちょっと良くみんなに伝わってないんで、えっと、何がすごいかが伝わりにくいんですけど、ま、めっちゃ、ま、要するにこれをやると、僕が作った仕組みを皆さんも、えっと、プラスの課金なく、えっと、さも自分が作ったかのように使うことができるっていうのなんで、僕はそれを理由して色々、えっと、システムを作って、えっと、こんな風に、えっと、いろんなツールを作って勝手に配布してますよっていう話ですね。
[21:38] 話者B: はい。
[21:39] 話者B: これがね。
[21:42] 話者A: はい。そう、それで今日、で、こう、ただこれらをこうやってガンガン便利でこれって作ってどんどん、あの、配布をすることができるんですけど、で、こういうのを作るのには、さっきお話しをしたクロドコードのやつとかを使うと、めっちゃ作りやすいですってところですね。
[22:02] 話者B: うんうんうん。
[22:04] 話者B: そう、昨日もちょど、あの、実践会の初日、14日間チャレンジの初日だったんですけど。
[22:12] 話者B: え、GitHub自分ので、あの、え、事業の棚卸しをして、その事業に合うAI化するものを決めて、それに合うGitHubのなんかアプリというかツールを、え、探して、導入して、え、使ってみようみたいなとこなんですけど、皆さんできてたんですね。うん。で、この高崎さんのツールも、この原点なとこ行くとGitHubが見れるので、ま、ここ、このソースを参考にして自分の、え、自分の独自仕様にちょっとしたいなとかね。はい。
[22:45] 話者A: うん。
[22:46] 話者B: そういうのも、うん。
[22:49] 話者A: で、こういうとこから、コードから、ダウンロードZIPなんてやるとね。
[22:55] 話者B: うん。
[22:56] 話者A: もう実は、僕のやつは全部自分のところにダウンロードができるようになりますんでね、ってとこですね。
[23:02] 話者B: うんうん。
[23:03] 話者A: あとはもう、でも結構なんかこれ、コマンドで共有できるって言って、言っていました、言っていて、まあ、例えばじゃあ。
[23:15] 話者A: えっと、何がいいかな？また。
[23:18] 話者A: LPとかでいいか。
[23:20] 話者A: これでポチーンってやるんですけど、結構このコマンドで共有もなんか色々ちょっと、そんなにやりやすくはなっていなくてですね。
[23:30] 話者A: なんか。
[23:33] 話者A: えっと、例えばさらに。
[23:43] 話者A: で、ターミナル開いて、コマンドコピーして、実行ってやると色々できるんですけど。
[23:56] 話者A: お。
[23:59] 話者A: なんかもう僕は。
[24:03] 話者A: デスクトップにこうやってフォルダーとかも作られちゃうような仕様にしちゃいました。で、
[24:09] 話者B: うんうん。
[24:11] 話者A: で、ぜひなんか皆さんとかがこうやって使う場合は、このできたフォルダーを。
[24:17] 話者A: もう、こんな風にいつものターミナル開いてるやつで開いてもらって、これでクロドコードをこうやって立ち上げてもらって。
[24:30] 話者A: なんか。
[24:36] 話者A: このツール機能してみたんだけど動かない、直して。
[24:51] 話者A: ま、今動くんでちょっと直されちゃうと困るんでやんないですけど。基本これ。
[24:59] 話者A: このなんかダウンロードしてきて、このツールを。
[25:06] 話者A: ダウンロードして、配布されてるものをダウンロードして、結構でも、えっと、こういうのって、あの、皆さんの環境に合わせて動くようにするのってめっちゃ大変で。
[25:21] 話者A: だからその、皆さんの環境、どの環境でも動くようなようにするまで作りこんで配布すると、配布する速度がめっちゃ遅くなるんですよ。なのであんまりしたくなくて。で、だけどそういう中途半端なものでも読み込み、ダウンロードして、えっと、このクロドコードとかに読み込ませて、ツール起動してみたんだけど動かない直して、なんてことを言うと、修正してくれますと。
[25:52] 話者A: で、それで自分の環境に合わせて動くみたいなことやってくれたりするんで、こういう操作を覚えていくと。
[26:02] 話者A: え、クロドコードのできるってのは、何がで、やれるようになってくのにはとてもいいんじゃないかなって思ってるんですよ、って話なんすね。
[26:12] 話者B: うんうんうん。
[26:14] 話者B: いや、でも本当ね、ここまで、あの、いきなりここにね、話を聞いた人はちょっとわからないかもしんないんですけど、今のあの段階ですね。だから、本当に自分の環境ローカルのところに、え、入れて、その、それに対して聞いて、聞くだけでクロドコードはほぼなんでもやってくれるので。
[26:34] 話者B: あの、それ、あ、それができるんだ。あとは今みたいに当てずっぽに聞くんじゃなくて、このホルダーを指定して開いてやると、その特定のフォルダだけ見るので、え、非常に制度高く、あの、いろんな仕事がやってくれるかなと思うんで。うん。このやり方覚えてもらうと、もう今度、なんか困ったらこのフォルダについてだよって言えるので、焦点が合うので。はい。
[26:56] 話者A: うん。
[26:56] 話者B: あの、覚えておいてください。はい。
[26:59] 話者A: あの、何でも突き詰めるとこれじゃないですか。
[27:03] 話者B: うんうん。
[27:04] 話者A: うん。だからもう、あの、これできればなんかもう極論、あの、エラーとか出ても怖くないんですよ。
[27:13] 話者B: うんうんうんうん。
[27:14] 話者A: そうそうそう。
[27:16] 話者A: だから是非ね、このなんかその、世の中に配布されてるものを、えっと、引っ張ってきて、AIに読ませて、自分の合う形に直させて、自分で使う。
[27:33] 話者A: これをぜひなんか世の中皆さん会得して欲しいんですね、って僕すごく思ってます。
[27:42] 話者B: うん。
[27:43] 話者A: これをただ今日は言いたいっていう。
[27:46] 話者B: いや、でも本当そうなんですよ。ここ本質かもしんないですね。だから、本当にこのね、今え、クロドコードがバージョンアップしたよとか、最新のAI Codexがこうなったよとかってうわーってやってんすけど、そじゃなくて、地上戦でやってかないと絶対これ使い物ならないすよ。
[28:02] 話者B: その時に自分のやってるプロジェクト、あとはこういう風に導入、高崎さんの例えばツールを入れた、で、それを自分のこのプロジェクトに、え、使いたいんだけど、どうしたらいいの？って聞くだけで、このツールとこのプロジェクトについて考えてくれるので。で、こういうエラーが出たよとか。
[28:20] 話者B: もう、え、それを言ってやり取りするだけで、解決できない問題ほとんどなくて、あとは判断できるかどうかのレベルになってくるので。
[28:28] 話者B: その判断のレベルを上げてくために自分が学習しなくちゃいけないってのは変わらないってのはあります。ま、あとは別に判断できなくても自分ね、責任取れるならやっちゃってもいいし、うん、あとは背負えるかって話ですね。うん。
[28:42] 話者B: で、クロドコードは相当賢いので、アホみたいな危ないことは基本的にはやんないんですけど。責任を持つのは、あの、自分たちなので、あの、そこだけの話ですかね、本当に。
[28:53] 話者A: そうすね。なので作っていこうと思えば作れないシステムはないので、思い描ければどんどん、どんどん深みにはいけるんですけどね。
[29:03] 話者B: うん。
[29:03] 話者A: で、もっと読み込ませて、ああ、あーやって、こうやって、こうやってって言ってけばそれは実現していくんで。
[29:12] 話者B: うん。
[29:13] 話者A: だんだけどそれをどこまで、あの、その物事にこだわってない人はここら辺でいっかって止まるんだけど、それにこだわりを持ってる人や思いを持ってる人はまだだ、まだだ、まだだでどんどん、どんどん突き進んでく。で、その思いが強ければ強いほど突き進む、深みまで突き進んでいける。
[29:30] 話者B: うんうん。
[29:37] 話者B: うんうん。
[29:38] 話者A: 行くか行かないかはあなた次第ってところですね。
[29:42] 話者B: そう。そこを追求できる人は超絶これから伸びていくと思うので。だから自分でやったら簡単だし、AIが言われたからやったとかって言っちゃうと止まっちゃうんですけど。いや、もうテコでもこっちゃ動かんぞという感じで。全部向こうにやらせるみたいな感じで。やり尽くす、手を尽くしてもらうみたいな、姿勢で本当にいくのが、あの、実はそれがたった5分で終わることなんだけど、その1日かけて仕組みができたおかげで1年間、毎日5分がなくなるみたいな、この積み重ねでどんどん楽になってく、手放していけるので。はい。
[30:22] 話者B: で、あとはもう、さっ、あの、前半でご紹介したみたいにモデルがどんどん進化してきて賢く、え、なってくるのはもう変わらないので。で、安く賢くなってくるかもしんないし、あの、ね、フェイブル5みたいに、なんか知んないけど、え、API課金になってくるという謎のね、え、また、え、なんかビジネス的に結構ゲームチェンジが行われてくるってのは出てくると思うんですけど。大抵の作業そんなに、なんだろう、最新モデル使わなきゃできないことって、ほぼないので。
[30:46] 話者A: あ、そうですね。
[30:47] 話者B: なんなら、なんなら、ジェマ4の無料でもできんじゃないかとかが、ほぼ出てきてるので。
[30:52] 話者A: うん。
[30:53] 話者B: はい。だんだんローカルのLMMでもいいんじゃないか時代が多分、す、もう来るんじゃないかと思っていて。
[30:58] 話者A: うん。
[30:59] 話者B: あ、そうそう。まさにね、それさん、おはようございます。それさんのホームね。
[31:04] 話者B: そう、ローカルLMMも僕もちょっと色々入れてはしてますけど。
[31:08] 話者B: そうと賢くなってるし、もう実用度十分あるかなと思ってるので。
[31:13] 話者B: はい。
[31:13] 話者B: それよりは、目の前の自分の課題をAI使って解決し尽くすという能力が、え、大事なので。あの、チャットGPTと対話してる場合じゃなくって、クロドコードに、え、ゆだねる、仕事させるというところを是非、え、1日1個でもやらせることできたら、2回目は楽になるので。
[31:35] 話者B: うん。
[31:36] 話者A: うん。
[31:36] 話者B: で、そのやり方はさっき、高崎さん紹介してくださったようなフォルダに、え、分けて、フォルダを指定してくっていうのが、本当コツになってくるので。
[31:44] 話者A: フォルダを指定してどんどん、どんどん蓄積したデータもそのフォルダの中に溜めていって、考えることは毎回そのフォルダ全体で考えさせる。
[31:55] 話者A: そうすると、知識、そこに対しての知識量が毎回やればやるほどどんどん勝手に増殖していって、えっと、やっていくことが深まっていくって感じです。
[32:06] 話者B: うんうん。
[32:07] 話者B: はい。
[32:08] 話者A: だけど、それは基本的にファイルとフォルダを読み込ませるをやればずっとできるんで、それをやって欲しいって感じですね。
[32:15] 話者B: はい。
[32:16] 話者B: そう。これは本当にね、あの、やってかないと今の話もなんか今いちピンとこないとは思うんですけど。色々手を尽くしてやってくと、あ、そういうことだったのか。だからうまく動かなかったんだ、っていう風に、まずやっぱ手を動かして触ってくってことなんで、このライブを見ながらもね、ぜひ触りながら、あと質問とかコメントね、あの、あったらぜひコメントで教えていただければと思うんですけど。うん。
[32:42] 話者B: あ、そう。Ashraのだからね、サービスもちょっと、え、ご紹介できればと思うんですけど、あの、
[32:47] 話者A: そうですね。
[32:47] 話者B: そのApp Serverでできることとかね、あとは、うん、なんかありますか？あ、さっか、さっきちらっとみた、追加されました？なんか新しく。
[32:55] 話者A: あ、実はですね、こないだなんか結構日々こうやってのはどんどん足してはいますて、あ、これとか面白いかも。ECメーカー。
[33:07] 話者B: あ、今画面が共有されてないですね。
[33:09] 話者A: あー。
[33:11] 話者A: 面白いな。画面共有。
[33:13] 話者B: ECメーカー気になったんですよ。まだやってないんですよ。
[33:15] 話者A: で、僕、あんまこれちょっとまだ試してな、試せてなくて。
[33:19] 話者B: あ、そうなんすね。
[33:20] 話者A: ま、でも多分。
[33:21] 話者B: ECってあのEC
[33:22] 話者A: ECサイトですね。あの、うんうん。
