[00:00:09] ふう。
[00:04:55] や、僕も、僕はなんか最近はあれですね。
[00:05:00] ちょっとプレゼン大会とかがあったりとかして、それがちょっと忙しかったりとかしたんすけど、なんか。
[00:05:05] 優勝、優勝されます。
[00:05:07] あ、一応そうなんです。
[00:05:08] ありがとうございます。
[00:05:13] その一応でも、やっぱ僕は僕らしくというところで、そのプレゼン大会も今回フルにAIを使って、おお。
[00:05:21] やってきたんですけど、それでも、なんか、AI使うとAIっぽいプレゼンになるんじゃないかって思いがちななんですけど、結構。
[00:05:33] そこがなんか、あれっすよね。
[00:05:34] あの、僕はなんかAIを使ってるのに、なんかAIを使ってなんか、よりすごいものを作ったぞを目指して、やれたらいいなと思ってて。
[00:05:46] なんか、AIで作ってるのにAIで作ってないっぽくなんか、しかも人間がすごく頑張って作ってすごいものを作ったっぽくできるような感じって言うんですかね。
[00:05:58] なるほど。
[00:05:58] いや、全く、ピッタリ。
[00:06:00] で、ちなみどんな、あの、あれですか？
[00:06:03] こう、どういう大会だったんですか？
[00:06:06] あの、あ、ネクスト、ネク、なんかそう、ネクスト。
[00:06:09] ちょっと一応簡単にじゃあ、なんとなく。
[00:06:12] えっと、ぜひ。
[00:06:16] Facebookに大体、あ、えっと、Facebookとかに大体の、なんか、あれ、これは僕のFacebookですが、あれ、これじゃなくて、ああああああ。
[00:06:59] なんかこんな感じのご様子なんですけども、なんか、えっと、イオっていうなんか企業家の皆さんが集まるコミュニティみたいなのがあって、そこが、うん、うん。
[00:07:11] やってる、東北の企業家を発掘しようみたいなのに出てきました。
[00:07:16] はい。
[00:07:18] で、なんか結構、あれっすね、えっと、で、なんか例えば作った資料とかもちょっと見せようかな、じゃあ。
[00:07:29] へえ。
[00:07:29] こうなって、今回は、ちょっと待ってくさん、今開きますね。
[00:07:38] えっと、そう、なんか。
[00:07:41] で、結構ね、あの、その、プレゼンしたとこでもなんか、AIで作ってるっぽいのに、AIで作ってないっぽくてすごいて言われたんで、おお。
[00:07:58] いないで通ります。
[00:07:59] はい、そうですね。
[00:08:04] そこはやっぱこの、結構資料、ま、才能爆発教育みたいな感じで、ええ。
[00:08:12] やってきたんですけど、こうやって、ま、最初、ま、でもこうやって、ま、漫画とかも細かく入れたりとか、そういうのも、えっと、こういう声が全部ナノバナナプロでやってるんですけど、ま、なんか自分っぽいキャラクターとかを入れてとか、そういうのやってったり、あと、そう。
[00:08:37] なんか、なんだろう？
[00:08:38] で、なんか結構なので漫画ベースというか、そういう感じで、えっと、生徒とか自分のキャラクターとかをうまく取り入れてデザインを整えてみたいなことひたすらやるんですけど、うん。
[00:08:55] 僕は今回は、えっと、これ、あ、画面共有とかもちょっと、なんか、うん。
[00:08:59] えっと、ノートブックLMと、ジェミニとGoogleスライドをめっちゃ行ったり来たりしてスライドを作ってったんすよ。
[00:09:06] ああ、ほう。
[00:09:12] で、最初に、えっと、なのでなんて言うんでしょうね。
[00:09:16] ちょっと待ってくださいね。
[00:09:17] 結構、でも、こういうこういうような作り方いいよってことをちょっと皆さんにお伝えしたくて。
[00:09:24] うん。
[00:09:25] なんか、ま、真似できるかは置いといてなんですけど。
[00:09:31] うん。
[00:09:33] えっと、僕はなのでとりあえずこの、ま、とりあえずはこういうスライドを作るワークフローみたいなの1個作ってあってですね。
[00:09:47] うーんと、で、えっと、今回のスライドを作ったな、このイフ塾のネクスト10みたいなやつの中に作っていて、なんかまずノートブックLMで、作るためにまあ15枚以内ぐらいに収める、もしくは15枚以上になる場合15枚ずつで内容を作って、って言うので、まあ最初に、やや内容みたいなのここでダーって作ってていうのやっていて、そこからノートブックLMに移って、なんかそれでノートブックLMに移って、多分あれかな。
[00:10:55] えっと、この、多分イフ塾なんかこれな気がする。
[00:11:02] なんか多分最初こんな感じなんですよ。
[00:11:05] うん、うん、うん、うん。
[00:11:07] えっと、多分大体の最初のプレゼンの資料はこんな感じで、結構内容とかも割と違うんですけど、ま、大体こんなのでノートブックLMで全体像を作って、うん。
[00:11:25] で、さらに今度1枚1枚を、あ、また今度さらにこれを内容をもっとこうしてああしてってのやってる、また変えてって言うので、今度1枚1枚、なんか、ジェミニとかでさっきのスライドをどんどんどんどん。
[00:11:43] うん、うん、うん。
[00:11:43] 地道に1枚ずつ。
[00:11:57] なんかちょ、あ、これじゃないな。
[00:12:00] だいぶ前だな。
[00:12:02] うーん。
[00:12:04] 分かんなくなりますよね、これね。
[00:12:05] はい。
[00:12:05] カットしてないですね。
[00:12:08] 匠、匠って名前だしね、なんか。
[00:12:11] 過去のやつを、あ、えっと、匠くんを、あ、そうそう。
[00:12:16] これね、匠くんを偽匠くんを作って、それをアニメ化してこの、で、さっきのスライドとかに、このキャラとかを追加して、もっとこうしてみたいなのをやって、こういうの作ってってます。
[00:12:34] はい、はい、はい。
[00:12:35] で、なんか大まかに大体配置ができたってなったりしたらなんかこの、Googleスライドの最近追加された多分これ有料じゃないと追加されてないのかな。
[00:12:46] なんか、うん。
[00:12:47] このスライドの見栄えを良くするってめっ。
[00:12:49] ああ、ありますね。
[00:12:50] スライド、Googleスライドのね。
[00:12:53] これがめっちゃ便利なんすよ。
[00:12:56] うん、うん、うん。
[00:12:58] なんか、えっと、極論えっと、じゃあなんだろうな。
[00:13:14] なんかこれで。
[00:13:16] 生徒の変換とかってやって、ああ、これしまう。
[00:13:27] えっと、ああ、なんか、生徒の変換とかやってこれ、この画像とかを、結構このGoogleスライドのスライド機能、スライド修正機能がなんかね、すごいいいんですよ。
[00:13:40] なんか、ほんとに なん、なんでもやってくれるというか、なので結構、うん。
[00:13:43] 多分、そしてここが多分おそらく、もうちょっとどんどん進化してくると思うんで、なんか、うん。
[00:13:50] で、昨日ちょっとこの話してたんですけど。
[00:13:52] あ、マジっすか。
[00:13:52] あの、えっと、コンサルタントをしてるんですけど、多分Googleスライドに落としてからその、そこの部分で、はい。
[00:14:01] やるって言うのが本当に、え、めちゃくちゃ噛み機能だよねって話をしてい。
[00:14:07] そうなんすよ。
[00:14:07] 例えばこう、うん。
[00:14:09] なんか適当に文字と画像とか配置して、このスライドの見栄えを良くして生徒がめっちゃ成長してる感じのを示すスライドにして、割と多分この雑、雑に貼ったのに、この雑指示で多分整え、割と整えてくれるんすよね、多分。
[00:14:42] うん、うん。
[00:14:44] すごいですよね。
[00:14:48] すごい。
[00:14:50] 素材をほんとにまな板の上に並べてこんな感じでやってくれよってそうそう、で、その画像の背景とかをなんかうまく調整したりとかも結構やってくれるんで。
[00:15:02] うん、うん、うん。
[00:15:03] あ、ほらほら。
[00:15:05] なんかビフォーアフターみたいに、多分内容指定してないけど、ビフォーアフターズみたいなの作ってくれたりとか、結構ここもちょっとさらに、で、で、僕はこのできた画像を、えっと一旦、背景にして、あ。
[00:15:24] 元なつくす。
[00:15:25] そうすると綺麗な感じになる。
[00:15:26] うん。
[00:15:27] で、さらにこれをなんか。
[00:15:33] 文字はめっちゃ装飾して左の画像の背景は高校にしてとかってやると多分やってくれる。
[00:15:45] おお。
[00:15:47] この機能意外と知られてないね、これね。
[00:15:48] ちょっと多分有料でしか出ないから、認知度もちょっと低いんですけど、はい。
[00:15:51] でも多分Googleの、なんだろう、プログ、3,000円ぐらいのやつにすれば多分使える気がします。
[00:15:57] でけど、これがね。
[00:15:59] ああ。
[00:16:00] あとこれビジネスで使えるよね、ちょっと使えますよね、ちょっとね。
[00:16:04] あの、ジェミニとかノートブックLMでスライド作成すると右下に透かしが出るじゃないですか。
[00:16:10] そうすね、うん。
[00:16:10] あの、この機能だと、な、なぜか透かしも消せるんですよ、実は。
[00:16:16] ね。
[00:16:17] 不思議ですね。
[00:16:18] あの、不思議なんすよ。
[00:16:20] あのね、透かし消してって直接言うんですけど、僕は最近。
[00:16:24] うん、うん、うん。
[00:16:25] それ、あ、ほら、なんか、雑コラしか無かったような画像が。
[00:16:30] はい。
[00:16:30] でもう。
[00:16:31] ああ、すごいいい。
[00:16:32] めっちゃいい感じっぽいスライドになるっていう。
[00:16:37] いやあ、なんか、この短期間で作り上げたと思えないぐらい作り込ま。
[00:16:40] で、これにもうちょっとさらに、なんか例えばこう、ここのスライドとか、なんか僕あの、うん、うん。
[00:16:45] うん。
[00:16:47] 東北から日本へビューンって発進してくぞって言うので、えっと、ま、なんとなくこう行くぞって言う時、僕、あの、いっつも、あの銀、銀河鉄道が好きなんすよ、僕。
[00:16:58] はい、はい、はい、はい。
[00:16:59] なんで行くぞって時、銀河鉄道をちょっとモチーフに毎回出すんですよ。
[00:17:06] はい、はい、はい。
[00:17:06] もう宇宙にこう、こうっててく。
[00:17:08] そう、そう、そう。
[00:17:09] で、それをちょっと出すためにこうやって今、銀河鉄道スライドに取り入れてるんですけど、ああ、なるほど。
[00:17:15] 良く見ると銀河鉄道が線路でプシュンって走ってるじゃないすか。
[00:17:18] うーん。
[00:17:19] うん、うん。
[00:17:20] これとか、これとかも最初元々鉄道の写真とか貼って、あ、そう。
[00:17:25] って言うとこから始まってますからね。
[00:17:27] あ、そう。
[00:17:28] それで何回も、えっと、いい感じに書いていい感じに書いてって言うので、だんだん馴染んでくんすよ。
[00:17:33] うん、うん、うん。
[00:17:34] なんかこの、なんだろう？
[00:17:36] 元から、この素材がこうなりましたってビフォーアフターのしようです。
[00:17:41] あ、そうですね。
[00:17:42] なんか。
[00:17:43] 女性がおこする前とした後のビフォーアフター、すごい人いるじゃないですか、動画とかにいくんですけど、なんかそんな感じしますね。
[00:17:49] うん。
[00:17:49] え、これがみたいな。
[00:17:51] そうなんすよ。
[00:17:52] 結構でも、それをなんか、こういうのとかも実は、最初は元々は真ん中にサンキューってただ文字で書いてるだけだったりするんすよ。
[00:18:00] なるほど、なるほど。
[00:18:00] はい、はい、はい。
[00:18:01] それはでも筆記体でゴールドにしてゴージャスにしてみたいなのとかを、うん。
[00:18:06] 入れたりするとこうなる。
[00:18:08] 確かに、ここの位置にこれを入れたいよねって具体だけポチって置いて、うん。
[00:18:12] はい、はい、はい。
[00:18:13] あと仕上げを本当に任せられるって言うか、ね、ま、ガチャですけど。
[00:18:17] うん。
[00:18:18] なんでも色々してきてるし、で、スライドだからその上に自分で書きできるから、あ、そうなんすよ。
[00:18:22] スライドっってがいいすよね。
[00:18:24] うん。
[00:18:26] うん。
[00:18:27] だ、結構こういうちょっと、えっと、キャラとキャラを組み合わせて肩車させるとか、意外とやりにくいんですけど、確かに、うん。
[00:18:34] こういうのとか、なのでもう何回も、この2つのキャラをひたすら読み込ませて、えっとジェミニとかで綺麗な肩車になるように、うん、うん。
[00:18:43] この、この肩車してるだけの素材が作られるようにして1回貼って、さらにまた貼った上で見栄えを整えてみたいなにやると、えっと、絵の中に時こ、えっと、素材が溶け込むんすよ。
[00:18:56] はい、はい。
[00:18:57] あれ、そうすると意図するものができます。
[00:18:58] はい。
[00:18:59] めっちゃできます。
[00:19:00] あ、なのでそうするともうほぼ、えっと、え、なのめっちゃ時間もかかるし手間もかかるんですけど、うん。
[00:19:10] でも僕は絵が描けないんですけど、思った通りの絵は描ける。
[00:19:14] すごい。
[00:19:16] いや、これ何気にすごいことだと思ったのが、さっき、ね、あのロードとかジェミニで凄い図解とか、あの、それで作れるじゃないですか。
[00:19:24] うん。
[00:19:25] でもう、うん、うん、うん。
[00:19:26] 自分の意図するものはなかなかできないけど、自分の意図する形の内容と見た目に、え、仕上げる事ができる方法じゃないですか、これ。
[00:19:34] はい。
[00:19:34] はい、そう、そうです。
[00:19:36] うん。
[00:19:36] そこがさっきのプレゼン大会でも優勝されたって言うのも、まさにそこの部分もあるなと思って、で、あともくんも優勝おめでとうございます。
[00:19:44] ありがとうございます。
[00:19:45] そう、で、なんか、で、さらについでに言うと、あの、えっと練習、これ、僕1番苦手なのがプレゼンなんですよ。
[00:19:56] うん、うん、うん、うん。
[00:19:57] あの。
[00:19:58] 今言ったように僕、多分資料を作るのはうまいんすよ。
[00:20:01] うん。
[00:20:02] で、昔からそうで、なんか資料貧乏と言うか、なんて言うん。
[00:20:08] ああ。
[00:20:09] あの、そこ、そこのだけすごいインクプレゼンがあったっていうか。
[00:20:13] はい。
[00:20:14] そう、プレゼンは練習してないみたいな。
[00:20:16] あ、あ、で、なんかあの結構僕良く前の会社人時代とかにあったのが、プレゼン資料めっちゃ気合入れて作って、なんかゲームとかで作ってるんすよ、僕。
[00:20:26] うん、うん。
[00:20:26] プレゼンをするためだけのゲームを毎回作ったりとかして、で、そのゲームを進めてくとプレゼンになってるみたいなのとかを結構昔から作ってたんすよ。
[00:20:36] うわあ。
[00:20:36] なるほど、なるほど。
[00:20:38] なんか例えばRPGで作ったりとか、うん。
[00:20:41] アクションゲームですキャラが進んでって、マリオみたいに進んでって、ブロックをカーンってやるとプレゼンの説明の資料が出る、出るとか。
[00:20:49] はい、はい、はい、はい。
[00:20:50] なんかそういうようなことを、こう、そういう小細工に走りがちで。
[00:20:55] ちょっと。
[00:20:56] ありがとう。
[00:20:56] 好きですよね、あれね。
[00:20:58] はい。
[00:20:58] て言うより、ま、その時のマイブームがを止められないんで。
[00:21:02] はい。
[00:21:03] あのマイブームをやりながらプレゼン資料を作るとそうなっちゃうんすよ、いっつも。
[00:21:06] なるほど。
[00:21:07] で、いっつもその、そういうのでプレ、だから結構それってなんかもうプレゼンの形になるだけですごいって言う感じなんすよ。
[00:21:15] うん、うん、うん。
[00:21:16] で、そこ、いっつも毎回満足しちゃってて、うん、うん、うん。
[00:21:19] 今回もありえない手段でプレゼン作ったわ。
[00:21:26] それで満足しちゃってたんですけど、なんかそれを今回あのメンタリングとか受けてて、「あ、高崎さん、あの頑張るとこ違うよ。」って言われて。
[00:21:37] うん。
[00:21:38] ああ。
[00:21:39] あ、そうなん。
[00:21:40] あ、高崎さんなんか勝つための努力を今、毎回全くしてないよって言われて。
[00:21:47] うん、うん。
[00:21:48] あ、そうなんだって言うことに、目から鱗が落ちまして、今回なのでちゃんと練習もしたんすよ。
[00:21:54] おお、さすが。
[00:21:55] で、その練習の仕方が分からなすぎて、え、ジェミニにひたすら聞いたんですけど、はい。
[00:22:00] うん、うん。
[00:22:01] またそのジェミニのね、あの回答がすごく秀逸だったんすよ。
[00:22:06] ほう。
[00:22:07] なんか、すごい、あれなのすよね。
[00:22:10] なんかいつの間にか、どこだっけかな、なんかちょっと待ってくださいね。
[00:22:14] これもその相談の様子が、うーんとね、あ。
[00:22:20] あった、あった。
[00:22:21] プレゼン優勝の、ための脱台本。
[00:22:26] 脱台本練習っていうタイトルでで、え、すごい。
[00:22:28] えっと、まあずっと相談とかも、その出題度のこと相談したら、こちらのプレゼンプレゼン4分で質疑応答3分で時間ぴったりに行い大会で優勝したいですと。
[00:22:39] で、メモには台本現行を全て入力していますが、ただそれを読むだけだと臨場感があるようにより台本見ずに喋った方が優勝を狙えると思っています。
[00:22:50] しかしシナリオ通りに喋ること、時間ないの収めることが僕はめっちゃ苦手です。
[00:22:54] プレゼンが明後日にありますが、それまでにどうやって練習すると優勝できますか？っての聞いたんですけど、で、本気で狙いに行きましょうって言うとこで、えっと、まずここで、うん。
[00:23:08] マジでって言ってくの、高崎さんの強みである聴覚優位と苦手とされる時間管理、台本通りの暗記を踏まえ、残り3日で優勝するための脱台本練習メニューを提案します。
[00:23:19] まずここで僕が聴覚優位であるってことを把握してるのが結構すごくて、ほう。
[00:23:25] おお。
[00:23:26] 言ったっけって言う感じなんすよね、まず。
[00:23:30] うん。
[00:23:32] あとはなんか。
[00:23:32] なるほど、もう。
[00:23:33] はい。
[00:23:34] だか、あの、なので、えっと、僕がもう聴覚優位であるっていうことを確定していて、で、なので、音とかキーワードとかリズムとかで覚えましょうみたいな感じめっちゃ言ってくるんすよ。
[00:23:51] うん、うん。
[00:23:52] で、あとさらに、えっと、なんか、ADHDの特性として長時間集中するより短い刺激の繰り返しが有効ですみたいなこと言っできていて、おお。
[00:24:03] すごいね。
[00:24:03] ほんとにパーソナルトレーナーですね。
[00:24:05] そう、あれ、ADHDって言ったっけ？って思って、まず。
[00:24:11] で、えっと、あれさらに、えっと、明後日って最初言って、言ってたんだけど、僕、まあADHD的な感じで、良く見たら明後日だったんで。
[00:24:20] 明後日って言ってた。
[00:24:22] あ、ごめん明後日だったって途中で言っていて、あ、それで、「あ、でもむしろ短期決戦のがADHDの過集注を味方に付けやすいんで大丈夫です。」って。
[00:24:30] すごい。
[00:24:32] すごいと。
[00:24:33] で、まずちゃんとそれで読んで、音をちゃんといい音源を作ってくださいって言われたんで、音源を作ってそれをひたすらずっと、あの僕仙台旅行中だったんで、この時、 うん。
[00:24:46] ずっとそれを聴いてなんとなく内容覚えて、その後に今度キーワードっていうのを決めろって言われたんで、スライドごとにキーワード決めて、で、実はスライドのキーワードに、キーワードになってるところ、実はこれ色変えてるんですよ。
[00:25:00] はい、はい、はい。
[00:25:01] あ、で、これも、あの、スライド編集機能でやったんですけど、キーワードがこれとこれとこれだから、それの3つは色変えてっての、例えばこれ、学校に馴染めなかったって言うのと、子供をカウンセリングで救えなかったっていうのと、子供がやりたいことを成長するこれが、えっと、スライドの3つのキーワードなんすよ。
[00:25:17] はい、はい。
[00:25:18] なんでそれをパッと僕スライド見て分かるようになっていて、それに対してちょっとアドリブっぽく喋る練習をずっとしました。
[00:25:24] なるほど、なるほど。
[00:25:25] で、そういうのでスラスラと何回もやって、アドリブっぽく全部喋って4分以内に収まるっていうのを、えっと、5回ぐらい連続で、えっと、うん。
[00:25:37] 4分以内に収まって喋れるようにできたんで、これでいけるっしょみたいな。
[00:25:40] そんな感じですね。
[00:25:42] すごい。
[00:25:43] そんな細かい事も出来るんですね、そう。
[00:25:45] 細かいことやろうと思えばっていう感じですね。
[00:25:49] うーん。
[00:25:49] でも、なんでわざわざ、えっと、こうなって来た時に、えっと、じゃあ自分でやった方が早くない問題は出るんです。
[00:25:59] もちろん。
[00:26:00] なんだけど、自分でやるよりも絶対にクオリティは高いし、結構こういううまく爆発とかを融合させた文字とかを、えっと、うん。
[00:26:13] 自分で僕は書くのは
