[00:00] （ノイズ）
[14:24] 話者B: こうなってます。
[14:27] 話者B: あれ？
[14:30] 話者B: どうなんだろう。
[14:36] 話者B: あ、こっちか、本当トライアルで。
[14:39] 話者B: あれ、違うな。
[14:40] 話者B: あれ、でもこうなって。
[14:44] 話者B: なんかこれだけだと足りない気がするな。
[14:47] 話者A: うん。
[14:52] 話者B: あれ。
[14:57] 話者B: ここのメールの方にもFacebookの案内は来てて欲しいすもんね。
[15:03] 話者B: ってことですよね。
[15:04] 話者A: うん、うん。
[15:05] 話者B: ですよね。
[15:09] 話者B: なんか。
[15:10] 話者A: あとはなんだろう。
[15:11] 話者A: 多分迷子になる人が出てきそうな気がするんで、僕。
[15:13] 話者A: Facebookグループで、色々投稿もしてこうと思うんですけど。
[15:17] 話者A: とりあえずアシュラに入って、さっきのなんだろう、流れみたいなページも。
[15:23] 話者A: 普通に会員ページのなんか、会員ページのトップページみたいな。
[15:27] 話者A: 今、会員ログインって押すと、あの、ワークフローに行っちゃうんじゃないですか。
[15:30] 話者B: はい。
[15:31] 話者A: これをなんか。
[15:33] 話者A: このページにした方がいいのかなとか。
[15:35] 話者A: あるいは。
[15:36] 話者B: 会員ページに。
[15:37] 話者A: あるいは窓口ページというか。
[15:38] 話者B: 今会員、え、今どこからの話ですか？
[15:41] 話者B: 会員ページは？
[15:43] 話者A: あの、会員ログインってボタンが、ヘッダーメニューにあるじゃないですか。
[15:47] 話者B: あ、はい、これ、これですよね、上の、はい、はい、はい、はい。
[15:50] 話者A: そうそうそう。
[15:51] 話者A: これ押すとワークフローに行っちゃうので。
[15:53] 話者B: あれ、ほんとだ。
[15:54] 話者A: うん。
[15:55] 話者A: これがなんか。
[15:56] 話者B: うん、どこに行くべきだ？
[15:59] 話者A: どこに行くべきかとかが分かんなくなるんですよ、本当に。
[16:05] 話者A: これ押したら、それこそ、アシュラと話すワークフロービルダー。
[16:09] 話者A: アシュラ火扇。
[16:11] 話者A: みたいな感じに。
[16:11] 話者B: ああ、アシュラ、こ、こ、ここか。
[16:14] 話者B: ここに行けばいいのかな？
[16:17] 話者B: いや、ここの。
[16:22] 話者B: 会員ログインはあれか。
[16:24] 話者B: サインアップ画面みたいなのにいけばいいんですか？
[16:27] 話者A: そっか、そっか。
[16:28] 話者A: あ、確かに。
[16:29] 話者A: で、サインインしてる人は会員サイトに入ってて、ツールが選択画面が出てくるみたいな。
[16:36] 話者B: ああ、そうですね。
[16:38] 話者A: で、多分、このワークフローした時も。
[16:41] 話者A: あの、使い方が分からないと思うんで、えー。
[16:44] 話者A: ツール。
[16:45] 話者A: の画面の中に動画を埋め込んじゃって。
[16:48] 話者A: その中で使い方も見ながらなんか触れたら便利かなとか。
[16:52] 話者B: うん、うん、うん、うん。
[16:53] 話者A: うん。
[16:55] 話者B: そう、で、なんかちょっと実はこのワークフローとか、あと、ヒオウギを使ううんぬんで。
[17:03] 話者B: なんかとりあえずエラー出た。
[17:06] 話者B: でもエラーをAIに聞いた。
[17:09] 話者A: うん、うん。
[17:10] 話者B: それで修正させたみたいな、それの練習自体もして欲しいですよね、はっきり言って。
[17:16] 話者A: そうですね。
[17:17] 話者A: なんかそれも、まずこれをやります、こうなったらこれをやりますみたいなね。
[17:22] 話者B: なんか多分みんなエラー出たらうわってなっちゃうんだけど。
[17:26] 話者B: そこをエラーありきにしときたいんですよね。
[17:30] 話者A: うん、うん。
[17:31] 話者B: 正直、あの、エラー出ないように作るとかは、もう。
[17:36] 話者A: 環境によりますからね、ローカルだからもう。
[17:39] 話者B: 全然現実的じゃないし。
[17:41] 話者A: うん、うん、うん。
[17:42] 話者A: うん。
[17:44] 話者B: どうなんだろうな。
[17:46] 話者B: なんかそもそもWindows全部動かないとかありそうだし。
[17:51] 話者A: コマンド違う説ありますよね。
[17:53] 話者B: 違う説あるよね。
[17:57] 話者A: 全然ありますよ。
[17:58] 話者B: Windowsでやるとこれどうなんだ？
[18:01] 話者B: あの。
[18:02] 話者A: 多分普通にエラー履いて、赤文字で終わりません？
[18:05] 話者B: 分かんない。
[18:06] 話者A: やってみましょうか。
[18:07] 話者B: え？
[18:08] 話者B: そもそもこれって他の人がコマンド入力したら、デスクトップになんかダウンロードされたりとかすんの？
[18:18] 話者A: とか、あれか、インストーラー、やっぱ作っちゃった方がいいんすかね？
[18:20] 話者A: ダウンロードしてアプリインストールしてもらってとか。
[18:24] 話者B: いや、それも結局あれすよね。
[18:25] 話者B: あのMac版とWindows。
[18:28] 話者A: あ、違う、違う、違う、違う。
[18:30] 話者B: だから2個、2個作って。
[18:32] 話者A: で、でも環境がないと多分、環境のエラーが出るんですよね。
[18:35] 話者B: そうなんですよ。
[18:36] 話者B: 結局あの赤文字出て終わるんで。
[18:39] 話者B: え、そのWindowsのインストーラーをMacでは作れるんですか？
[18:44] 話者A: あ、コマンドは作れるんじゃないですか。
[18:46] 話者A: 作れる。
[18:47] 話者B: 作れますね。
[18:48] 話者A: 動くか動作検証してないですけど。
[18:50] 話者B: 動作検証できなくても、あの、あれはできますよね。
[18:53] 話者B: あの。
[18:54] 話者B: えっと、コマンドは作れます。
[18:56] 話者B: なるほど。
[18:57] 話者B: ちょっとじゃあその。
[18:59] 話者B: 配布とか使い方、ま、要はなので配布とか使い方をどんどん検討して。
[19:08] 話者B: それで。
[19:11] 話者A: 結構テストで、あの、コーデックスアプリの、あの、インストーラーのアプリ作ったんですけど。
[19:17] 話者B: うん。
[19:17] 話者A: えっと。
[19:20] 話者A: こういう風に、なんか、状況も出るようにして、もらったんすね。
[19:23] 話者A: なんか、アップサーバーの状態と、えー、認証。
[19:27] 話者A: で、これがだからログイン、ログアウトとかこっからできるようにもして。
[19:31] 話者B: うん。
[19:32] 話者A: えー、で、それがへったらこの動くみたいな仕組み。
[19:36] 話者B: ふーん。
[19:37] 話者A: うん。
[19:38] 話者A: で、これはインストーラーで入れてるので、普通にローカルアプリとして動くみたいな。
[19:43] 話者B: ふん、ふん、ふん、ふん、ふん。
[19:44] 話者B: ああ、なるほど。
[19:45] 話者B: えっと、結びつける、ログインするGPTとかを。
[19:52] 話者B: ちゃんと認証うまく住んでるよ、というか、その認証ボタン自体がついてるってことか。
[19:59] 話者A: 普通にアプリケーションがっつり作って、普通に作っちゃうってことですよね、もう。
[20:04] 話者A: そう。
[20:04] 話者A: だから、ま、逆に、普通にだからコーデックスアップサーバーで、デスクトップアプリ、普通にローカルアプリにして、インストーラーつけて作ってっていうのと、あと。
[20:14] 話者A: 環境とか認証状況が分かるようにしてくれって言ったんですけど。
[20:17] 話者A: そしたら、ま、これできてきたんで、あ、そっか、これでもいいのかなと思って、こういう風に。
[20:21] 話者A: だから、起動した時にエラーがあると、ここにだからログインしてくださいとか、あの、サーバーが起動していませんとか、それこそ、Node.jsインストールしてくださいとか出てきたら。
[20:29] 話者B: ああ、いいですね。
[20:30] 話者A: ああ、いいですね。
[20:31] 話者A: 親切かなと思って。
[20:32] 話者A: うん。
[20:33] 話者A: そしたら、この分かんなかった、キャプチャ貼って、えっと、クロードコードとかに投げれば、やってくれるじゃないですか、多分。
[20:38] 話者B: うん。
[20:39] 話者A: うん。
[20:40] 話者A: っていうアプリがあったら使いやすくなる。
[20:42] 話者B: これ、コーデックスアップサーバーを、えっと、誰かに使わせたいっていう場合に、もしかして、コーデックスが必要になるから、その上でNode.jsとかも必要になりますか？
[20:58] 話者A: いや、分かんないです。
[20:59] 話者A: なんか。
[00:59] 話者A: 環境、使うアプリによって出てくるのかなと思って。
[02:02] 話者B: いや、コーデックス使うんだったらもうNodeは確定じゃないですか、基本的に。
[02:06] 話者B: コーデックスって使う時はNodeは必要。
[02:09] 話者A: え、基本クロードと一緒です。
[02:10] 話者A: あの、必ず入ります。
[02:12] 話者B: あ、そうなんだ。
[02:13] 話者A: あの、Gitも必要です。
[02:14] 話者B: あ。
[02:15] 話者B: なるほどね。
[02:16] 話者A: あの、本当にコマンドが違うだけです。
[02:17] 話者A: 本当にコマンドが違うだけです、最後の。
[02:19] 話者A: じゃあ、もう基本クロードコードと思っていいんじゃない？
[02:21] 話者A: あ、そうです。
[02:22] 話者A: あ、もう基本クロードコードとセイムです。
[02:24] 話者B: クロードコードの、あの、アプリ版とかを使う場合ってNodeとか必要なんすか？
[02:29] 話者A: え、多分勝手にインストールされるんですよ、多分、あれ、ない場合って。
[02:33] 話者B: そうなんだ。
[02:34] 話者A: だと思います。
[02:35] 話者A: と僕は認識していました。
[02:36] 話者B: じゃあ、クロードコードのアプリを、えっと、インストールすれば、Node.jsの手続きしなくていいの？
[02:45] 話者A: ええと、あの、Web版で使ってる人を除きます、多分。
[02:49] 話者B: Web版で使ってる人は除い。
[02:50] 話者A: えっ、Web版じゃなくて、えっと、多分、クロードコード、えっと、アプリ版って。
[02:54] 話者B: アプリ版、アプリ版、はい。
[02:55] 話者A: えっ、アプリ版って。
[02:57] 話者A: えっ、2種類あるんですよ。
[02:58] 話者B: 別アプリを入れるっていうことをやる、やることによって、あの、Node.jsとかGitを入れなきゃいけないっていう手続きをスキップできるなら、鼻からそれを入れますって、みんなに言った方が楽じゃないって思ったのよ。
[03:11] 話者A: えっとですね。
[03:13] 話者A: 確かに。
[03:13] 話者A: えっと、ちゃんと使ったことはないんですけど。
[03:16] 話者B: だ、これででも、これ1個入れといてくださいで、あの手続きスキップできるなら、めっちゃ楽になりません？
[03:23] 話者A: えっと。
[03:24] 話者A: 環境整うからね。
[03:25] 話者A: これ、えっと、これ2種類あって。
[03:27] 話者A: はい、はい。
[03:27] 話者A: えっ、クラウドで使う、えっと、GitHubをつないでクラウドで作るか、ローカルなんですけど、多分ローカルでやる場合は、多分Nodeを求められます。
[03:34] 話者A: ただ、えっと、クラウドでやる場合は、やっぱ要らないので、Nodeとかが多分。
[03:39] 話者A: うん。
[03:39] 話者A: なので、えっと、そのNode Gitは。
[03:43] 話者A: えっと、入れられないですよ。
[03:45] 話者A: ある意味。
[03:46] 話者B: ああ、そっか、そのサーバー上で代わりに多分向こうがやってくれてるん。
[03:50] 話者A: そうです、そうです、そうです、そうです、そうです、そうです、そうです。
[03:53] 話者B: ああ。
[03:53] 話者B: え、でもそれで代わりに言いますって言ったら、こっちで、あ、そっちで勝手にやってくれるんなら。
[04:00] 話者A: 僕試したことないんで分かんないんですけど。
[04:04] 話者B: ね、難しいね。
[04:05] 話者B: すでにね、入った状態になっちゃってるもんね。
[04:09] 話者A: ちょっと分かんないですね。
[04:11] 話者A: それ入れなきゃいけないのか、入れなくてもいいのか。
[04:15] 話者A: エラーが出るのか出ないのかちょっと分かんないです。
[04:17] 話者B: うん、ま、いっか。
[04:18] 話者B: まあ、でも、うん。
[04:21] 話者B: そう、そういうので常々楽な。
[04:24] 話者B: ここが楽になる方法はないんかは、ずっと持ってて。
[04:28] 話者A: うん。
[04:31] 話者A: ちゃんと使ってて、スマホからやりたいなと思った時に。
[04:36] 話者A: えっと。
[04:38] 話者A: なんだっけ？
[04:38] 話者A: テールスケールだっけ？
[04:39] 話者A: えーと。
[04:40] 話者B: ああ、はい、はい。
[04:41] 話者A: 普通にここでやると、自分の認証してるやつだけHTTPSで、この。
[04:48] 話者A: 繋がる。
[04:49] 話者A: ので、外からスマホでもここでできるよね。
[04:52] 話者A: ローカルアプリをそのまま。
[04:55] 話者A: 外部からも扱える。
[04:56] 話者A: ま、もちろん自分しか使えないですけど。
[04:57] 話者B: うん、うん。
[04:58] 話者A: これも1ついいなと。
[05:00] 話者B: なるほど。
[05:01] 話者A: うん。
[05:02] 話者A: ま、使い方ですけどね。
[05:03] 話者A: あと。
[05:04] 話者A: えっと、アシュラライブで紹介したのが、ま、これを結局、ここを埋められない人もいるので。
[05:09] 話者A: はい。
[05:10] 話者A: えー。
[05:11] 話者A: とりあえずなんか作りたい時はもう、このブラウザのAIに、やってもらう。
[05:16] 話者B: ふん、ふん、ふん、ふん。
[05:18] 話者A: なんで、なんかね。
[05:21] 話者A: えっと、ラーメン。
[05:23] 話者A: 屋さん、か。
[05:24] 話者A: ラーメン、てい。
[05:27] 話者A: あ、そう、これオープンパス4.8になりましたね。
[05:29] 話者B: ああ、なりました。
[05:30] 話者B: すごい。
[05:30] 話者B: なりました。
[05:31] 話者B: ああ、2コ。
[05:32] 話者A: バージョンバラバラだな。
[05:33] 話者B: 2個増すわ。
[05:35] 話者A: 2個増す。
[05:35] 話者A: なんか、もうちょっととか言ってましたよ。
[05:37] 話者A: なんか数週間ぐらいでなんとかって言ってましたよ。
[05:42] 話者A: うん。
[05:43] 話者A: まあ、ただ超高いんで、すぐ容量食いそうっすけどね、あの人。
[05:47] 話者A: 出ても。
[05:48] 話者B: ね。
[05:49] 話者A: あと。
[05:49] 話者A: 多分3回打ったら終わりとか。
[05:51] 話者A: うん。
[05:52] 話者A: エージェントのあの、100体ぐらい同時に動かすなんかやつが出てましたね、4.8でもね。
[05:57] 話者B: へえ。
[05:57] 話者A: マジっすか。
[05:58] 話者A: タブエージェントを勝手に作って。
[06:00] 話者B: はい、はい、はい、はい、はい、はい、はい、はい。
[06:03] 話者A: いやー、どうなるんすかね。
[06:05] 話者A: うん。
[06:06] 話者A: ちょっと恐ろしいこと。
[06:08] 話者A: このなんだろう、インパクトありそうだなと思ったのは、あの。
[06:11] 話者A: AIを、AIでLP作るツールを、こうやってAIで作ることもできるんすよって言うと。
