[00:25] 接続 し まし た。
[01:31] これはまだ先生は喋れないと
[04:54] 参加しやすいような感じ
[04:58] にしてま
[04:59] す。
[05:00] で、ま、一応内容としては、1時間の講義と1時間のグルコン。
[05:05] っていう感じになってて
[05:08] で、ま、最近クローコードを、ま、我々としては、えっと
[05:14] ずっと押していたんですが
[05:16] 最近コーデックスもいいぞってことで
[05:20] で
[05:23] ワンチャン、しばらくはちょっと、コーデックスの方が
[05:29] えっと、メインコンテンツに、ま、でもクローコードは結局使うんですけど
[05:34] クローコードを使ってコーデックスのアプリを作るっていうのが、結構主流になるかもしんないなっていうとこですね。
[05:42] それが1点
[05:43] はい。
[05:43] 詰まって
[05:45] で、もう一個が、えっと
[05:49] 人材、前からやってた人材開発助成金っていうところで
[05:54] ええと、話は進めて、話というか準備を進めていたんですけど
[06:00] ちょっと根っこのところで、実はちょっと、えっと
[06:04] 我々がなんか法人格としてのキャリアがないっていうところが、ちょっと引っかかりそうだなっていうのは懸念点で合って
[06:12] はい。
[06:14] ま、でも、ちょうどいいことに、なんか、えっと
[06:18] とあるローカルパワーさんという会社が、ちょっと高崎さん、こういうの一緒にやりませんかってことを言って来たもので
[06:26] で、えっと、名前をちょっで、色々と調べたら
[06:30] あれですね。えっと、法人格があって、ちゃんと教育とかをやってますみたいに言ってる会社が
[06:38] ええと、外部講師として僕らを雇うって、口座と研修をやらせるっていうのは、オッケーらしいんですよ。
[06:45] はい。
[06:46] なので、で、今、ちょっとそれぞれ、えっと、そのローカルパワーとかの書類を作ってるところなので
[06:52] ちょっとその辺の、えっと
[06:55] 提出手続きを実際にちょっとやってみて、ま、ちょっとまず、ここを
[07:00] 最初の会社のところで、えっと、通せるかっていうところを実験していく。
[07:07] ま、とりあえずは、今どっちも、えっと、講座も研修も
[07:12] 走らせてみて、えっと
[07:17] ま、多分、ま、とりあえずは、えっと、まず実験台ってことで、どっちも僕がメインでやる感じにはなると思うんで
[07:26] ま、僕としては、えっと、そのメインで僕がやってる時に
[07:31] ええと、勝手にちょっと参加もしてもらっておいて、見ておいてくれて、えっと、そういう講座ができるようになっておいてくれると助かるっていう
[07:41] 感じですね。
[07:47] で、ちなみに、えっと、補足すると、えっと、コーデックスの
[07:51] 中でのコーデックス
[07:54] アップサーバーっていう新しく最近出た機能が、えっと、今まで僕がよく作っていた
[08:02] ええと、ワークフローみたいな、ワークフローがあるじゃないですか。なんか例えば
[08:07] ノートに自動投稿するみたいな、ようなやつとか
[08:11] はい。
[08:12] そういうのが、えっと
[08:14] 今までは、あの、APIを介して使ってたから
[08:20] なんていうか、あの
[08:23] 僕が作ったやつで、APIも組み込んだ状態で共有しちゃうと、API使われまくって僕が破産するっていう超デカリスクがあったわけですよ。
[08:34] はい。
[08:34] だけど、今回のそのコーデックスアップサーバーは、そういうコーデックスで組んだ、えっと、ワークフローみたいなのに
[08:43] で、コーデックスとかチャットGPTの機能を呼び出してるっていう状態だったら、その
[08:48] チャットGPTとかの機能の部分は、チャットGPTのサブスクの範囲で
[08:55] ええと、できちゃうっていう
[08:58] なので、それ、それ、限定だけ、そのチャットGPTのやつだけでワークフロー組んだら
[09:04] どんどん共有して、めっちゃ自動化されたやつが誰でも、そのスキルがなくてもできちゃうっていうやつです。
[09:12] あ、そうなんですね。
[09:14] はい。で、結構試してみた感じ、個人で使う分には、あの、3000円ぐらいの、あの、サブスクのプランで
[09:22] 結構十分なくらい色々できます。
[09:27] なので、今まではちょっとそのワークフローのめっちゃすごいやつを使うには
[09:31] あの、クローコードでマックスプランにして自作して自分で使ってっていうのが、せいぜい関の山だったんですけど
[09:39] それを今度は、クロー、あ、ええと、いろんな人に配布して
[09:44] それで、しかも使う人側は、えっと、チャットGPTのサブスクプランだけで使えちゃうっていう
[09:53] なんでクローコードのマックスプランとかをいちいち契約しなくても、まあ
[09:58] 自分では作れなくても、そのワークフローみたいなのを体感したりとか、日常業務に使うってことはできます。
[10:06] ま、カスタマイズはできないですけどね。
[10:11] で、なのでそういうのが多分かなり、えっと、例えばちょっとスライドを作るとか、書類を作るみたいな
[10:18] あの、ちょこちょこある仕事っぽいようなことをアプリ化してあげて
[10:23] 集まった人に、ええと
[10:26] 配ったりとかして、あ、会員のうちはこのツールとかもいくらでも使い放題だし、なんなら作ってほしいもん作ってあげますよみたいなの言って
[10:36] ずっと会員のままでいさせるっていう感じの
[10:42] で、月額が16500円って感じです。
[10:49] あ、っていうのが
[10:50] まあまあ
[10:51] 何十人か入ればもう儲けもんですよ。
[10:53] で、今すでに15人ぐらいのウェイティングの申し込みが今日だけであります。
[10:59] あ、そうなんですね。
[11:01] はい。
[11:03] なので、結構順調っていうところで
[11:07] まあ、なので仕事っていうところで言うと、こういうところの
[11:11] 前後の準備っていうとことか、教材の準備、講座の準備
[11:17] ま、実際に講座をするうんぬんかんぬんっていうところが仕事になってくるかなっていうところで
[11:27] それはま、研修の方も一緒ですね。
[11:31] やる相手が違うってことですよね、要は。
[11:33] ああ、そうそうそうそう。
[11:37] でも結構こういうと、これだったらかなり
[11:41] ええと、複数人でぶん回せるっていう風になると、同時にいくつも受けてぶん回すってできるんで、結構
[11:48] いい金になるはずです。
[11:53] で、ま、そして人数多くても分けれますしね。
[11:55] そうそうそうそうそう。
[12:02] まあでも明確に仕事はしてほしい。
[12:05] うん。
[12:07] うん。
[12:09] ちゃんと仕事をすればした分だけは分配がいくかなっていう仕組みにはできるかなと思いますね。
[12:17] うん。
[12:30] ま、でもこうやって、多分我々は
[12:35] いろんな企業に入り込んだりとか
[12:39] いろんなそういう事業者とかと繋がったりとかして
[12:44] 入り口のAIの使い方を教えてやって、ホイホイホイってやって、我々は我々でなんかやってるっていう風になると理想的。
[12:54] まあ、イメージ
[12:57] こうだっていうとこっていうよりかは多分、クラとかホンダさんとかは
[03:00] その最初のそのセットアップとかっていうのが多分絶対時間かかるじゃないですか、最初って。
[03:05] そこを多分
[03:06] ちょっとあれだよね。だからクロー、やっぱりクローコードの、えっと、インストールマニュアルとか欲しいね。人、普通に全部。
[13:15] マニュアルとかなんなら
[13:19] そこを多分マニュアルだけじゃ絶対できないんで、人によっては。
[13:23] そこを多分、あの、会員限定でそれやるっていう枠とかを、ま、僕がやるなり
[13:30] すれば多分
[13:30] ああ、そうだね。あの、だから要はクローコード入れようかい
[13:36] とか、あとコーデックス入れようかいとか
[13:38] ログインとか
[13:39] そうそうそう。僕もね、イメージでね、そこ、そこね、なんかね、あの
[13:44] 若手インストラクタータクミくんみたいなのが出てくるイメージなのよ、僕も。
[13:49] で、ま、あとプラス先生のサポートしてるぐらいのイメージですね。
[13:53] その最初のとこと先生のところのサポートでコードのところばっかり先生やってるってのが理想ですよね。
[13:58] その、難しいその
[14:00] とこで
[14:01] ま、あと、なんかその、月2回やる講座も、いずれはなんかどっちかは誰かがやってほしいとかはあります。
[14:16] で、も、そんなイメージだな。でも、なんか結構ね。だから楽しく緩く、しかもちゃんと集客あってってできそうだから
[14:23] 今いい感じなんだよな。
[14:26] 多分先生が嫌がるところを僕らがやるっていうのが
[14:30] いいですよね。
[14:32] 先生は出動しなくてもいいしみたいな
[14:34] 僕ね、あの、講義でね、一つ弱点があって、同じ講義ができないっていうのがあるんだ。
[14:40] はい。だから同じとことか、ええと
[14:44] 嫌がるところを多分周りが潰すっていう
[14:47] 仕組みが多分、一番役割的にははまれるからちょうどいいっていう。
[14:52] だから、偏りが出ない
[14:55] とか、その辺も踏まえて
[14:58] ってことま、僕だったら、パソコン
[15:00] どれがいいすかみたいな
[15:07] オッケーだね。
[15:10] あ、GPTズ研究会の講座もそうですし、あの、企業向け研修もです。
[15:16] だ、ここもあれですよね。だから最初の導入の部分とかは多分先生は何度も同じことできないって話ですよね。
[15:22] なんか
[15:23] もう、なん、もう
[15:25] 言ったじゃん、前、別の人にだけどって思っちゃう。
[15:30] で、多分、だ、企業向けだったらどうなんですか？現地とかも有り得るわけですか？
[15:34] 結構ワンチャン有り得る。
[15:36] てなったら多分現地サポートいりません？
[15:39] いる。
[15:40] 降りますよね、多分。あの、一人で先生回せてたら多分しんどいですよね。
[15:44] どうなんだろうな。まあ、なんか
[15:46] 30人ぐらいで一方的に喋って、ちょっとはい、あと手動かしてくださいとかだったら、まあ、なんとか慣れる。
[15:52] ああ、まあ、ギリセーフですけど。
[15:53] 大人ならね。あんまり別にキャ、し、ご、し、ごを、し、喋、ペラペラ喋ったりとかはしないだろうな
[16:01] 何だ、あの固まったとかクローとかやり出したら、絶対固まったとか、そっち消えです。
[16:06] でもあれだよね、企業で研修でさ、一つのWiFiで一気にみんなで動かしてってやったらどうなるんだろうね。
[16:13] とか、本当にあの、あの、クローコードだったら、あの、NP、あの、Nodeがインストールできないとかっていうパターンとか
[16:19] ありそう。
[16:20] ああ、そっか。だ、確かにそこの
[16:24] ええ、なんかその研修の時、そのセットアップはセットアップ会で分けたいよね、正直。
[16:29] けど、なんかそこでも多分、一人でしんどいですよね、多分。あの、あっちもこっちもエラー、エラー、エラー、エラーとか。
[16:36] 確かにその、初期セットアップ班というかがいるんだよな。
[16:40] あとはその、あの、支援のなんかあった時に
[16:44] あの、見に行くやつ
[16:47] 多分、あの、あの、ま、初心者講座とかで一方的に言うだけならなんら問題ないんですけど
[16:54] 一人で、あの、その辺の
[16:57] あの、コードのやつになってきたら、ちょ、ちょっと踏み込んできたなってなったら
[17:01] そう、だから
[17:03] Geminiゲテテケぐらいだったらいいんだけど。でもどうなんだろうな。
[17:07] ですよね。
[17:12] アングラぐらいから出てきそうなんですけど。
[17:16] でも結構最近企業はクローコードニーズが高い気がするな。
[17:21] 高いですね。
[17:26] いや、クローコード使
[17:29] てよって思うもんね。
[17:34] うん。使えないとなんか話できないよってなってきちゃうからな。
[17:41] 今AI触ったことないっていう人って、さすがに減ってきてると思いますけどね。
[17:45] うん。
[17:46] あ、ちょっとやべ、充電、ちょっと
[17:55] その辺の多分何を、お願いするだのっていうのを、多分一回整えて、またここで話すっていうイメージなのかなって思ってます。
[18:05] はい。
[18:07] 充電で消えてしまった。
[18:11] あ、離れると声聞こえない
[18:14] あ、今聞こえ、あ、今、今ちょっと聞こえてました。
[18:17] よいしょ。
[18:19] なので、そう、えっと
[18:24] ちょっと、なので、20日とかの、その講座の時は
[18:28] あの、雰囲気は見ていってほしいなっていうのは、思あります。
[18:34] あ、わかりました。
[18:36] あと8時なんですけど、空いてますか？
[18:38] 8時はちょっと厳しいかもしれないですね。
[18:42] 開けてくださいよ。
[18:44] はい、わかりました。
[18:48] はい。
[18:50] そうすね。ちょっと、ラジオ的になっちゃうかもしれないですけど。
[18:53] あ、なんか聞いてくれたり、なんか別に喋ってくれとかではなく、見ていってほしいっていう感じです。
[19:01] あ、それだったら大丈夫かなと思いますので。
[19:04] なんか、あの
[19:08] そう、それで、なんていうでしょうね。
[19:11] 後々で、ああ、あの、講座であんな感じでこうだったんですけど、こうなんですよって
[19:18] 言うのが、めんどいってなる、やすい、なるんで絶対僕は。
[19:28] かな、こんな感じで
[19:31] うん。
[19:35] とりま
[19:37] あ、で、今ちょっとそういうところで、えっと、その
[19:41] 講座の方はアシュラの方は、えっと、サイトもなんかちょっと
[19:47] 作ってて、作っててというか、もう大体できてて
[19:52] なんかシステマティックな部分も、大体
[19:56] なんか結構色々、有料じゃないとちゃんと入れないようにとかを
[20:01] ま、元々のここのページの
[20:04] はい。
[20:04] えっ、AI講座だったところが
[20:09] えっ、アシュラに変わっていて
[20:12] すごい。
[20:13] すごい。
[20:14] あれ、これ、あ、これまだ見せてなかった。そういえばちゃんと行ってなかった。
[20:17] 見せてなかったです。ちゃんと
[20:18] 例えば勝手にやってたわ。
[20:22] あ、で、こうやってウェイティングリストとかもあるし
[20:27] えっ、伴走するコミュニティですよ見たいなっってあって、で
[20:33] えっと
[20:35] ここのチャットボットのAIアシュラくんと話すとかは、えっと
[20:41] Googleのログ、有、あ、Googleの無料ログインをしてると
[20:47] はい、入って使うことができるようになってて
[20:53] で、このワークフロービルダーっていうワークフローを作るやつっていうのも、これ有料会員登録をしてる
[21:04] メールアドレスであれば
[21:07] えっ
[21:09] こっち
[21:11] あれ？
[21:13] なんで？なんか今多分さっき編集しちゃったからちょっとバグってるかも。
[21:18] こっちで登録すれば、あ、そうだ今登録しないとできないのか。
[21:23] これで決済して登録すると、ま、30日無料なんで後でキャンセルすれ
[21:29] ば、あの、請求は発生しないんで
[21:35] あ
[21:37] あ、イフ塾でやっちゃったかな、もしかして。
[21:44] キャンセルでいいんじゃないですか？
[21:46] いや、ま、どっちでもいいんだ。なんかとりあえず
[21:52] それで
[21:55] そう、そうするとログインができるようになるよ、ちょっと見せたいだけ。
[22:16] あ、なんかそれ、多分増えてますよ。
[22:19] うん。
[22:21] あ、あの、メアド間違ってますね。
[22:24] あれ？あ、本当だ。
[22:27] うりゃあ。行けたー。すごい。
[22:34] 有料会員登録をすると、それ、その後に自動でデータベースにメアドが保存されて、そのメアドと入力したメアドが合ってると有料ページにいける。
[22:45] ふーん。
[22:47] で
[22:49] えっと、今のがワークフローのビルダーで、もう一個アシュラくん火扇ぎっていうのがあって
[22:57] こちらも自動でメアドを判別してあればいける。
[23:03] で、ここにはさっき言った
[23:08] コーデックスアップサーバーっていうアプリの
[23:12] 秘伝コマンドが書いてあって
[23:15] それぞれMacとWindowsのやつコマンドコピーしてターミナルで実行すると
[23:20] えっ、LPとかを自動で作るワークフローとか、スライドを自動で作るワークフローとかが
[23:26] 起動して、えっと、色々作ったりとか誰でもできます。課金なしで。
[23:37] はい。
[23:40] ていうので、結構いい感じにシステムがうまく繋がって、ちゃんと課金と有料とっていうのがうまく繋がって作れてきたっていうのが
[23:50] 今の
[23:53] 感じですけど、どうでしょうか？
[24:11] こっから拡張してきた時に、多分役割が出てくるっていうイメージですよね。
[24:16] うん。
[24:19] ちょっと今ね、なかなかこういう元のやつを、しかも2軸同時で別路線で作ってるってとこなので
[24:28] 細かく頼む部分はちょっと出にくいですよね。
[24:41] ま、あと企業の方は書類が
[24:44] 書類の提出のやつがね、だるいけど、結局ちょっと僕がある程度全部説明できないといけない領域にまではもう来たから
[24:55] あとはやんない。
[24:56] その、あれ、入れたやつってある程度入ってたんですか？
[24:59] ある程度多分合ってると思う。僕もね、あの、AIに合ってるって聞いてるだけだから、本当に合ってるかが分かってない。
[25:07] でも
[25:08] 一応、え、何も入ってなかったとかってことはなさそうですか？
[25:11] ああ、ないないない。
[25:13] し、あと記入してる事項も大丈夫だと思うし。
[25:18] で
[25:18] 分かるところは分かる。分からないとこは自分で集めてみたいなこと言ったはずなんで。
[25:23] で、あの、相手の会社とかで記入が必要なとこだけで全部リストとかも作ったから。
[25:30] オッケーです。オッケーです。オッケーです。
[25:32] ま、でもちょっとそれぐらいかな。っていうのをちょこちょことまた進めていったり。ま、実際
[25:40] ま、実際に20日に講座の一発目があるんで、それの資料も作んないとだなって感じなので。
[25:47] そんな感じですね。
[25:54] なんでなんか資料とかも、こんな方向性でっていうので作ったりしたら、なんか
[26:01] どんどんそれぞれ講座やる人が作ったりとか、なってくるといいかな。で、それぞれの講座をやってったりとかになってもいいなと思ってますし。
[26:10] うん。
[26:15] かな。
[26:19] ですね。
[26:22] うん。
[26:24] ま、大体そんな感じでいいような気がしますけど、ハルピーさん、久しぶりに聞いてどうすか？なんか変なとこあります？
[26:33] そこ意味わかんねえとか言ってくれたらいいんだけど。
[26:36] ま、アシュラ、アシュラ、名前ダサい問題は置いといて
[26:41] ちょっとちょっとそこ以外で見てくれ。仕組みの部分で見てくれ。
[26:45] そこは置いといて頂いて
[26:47] そうそう。
[26:48] うんすね。ちょっと今聞いて付いていくので精一杯で。
[26:54] うん。
[26:54] ちょっとね、システムごりっと入れたのとね、2個ぐらい同時に走ってるって話があるんで
[27:01] 情報量はちょっと多めでした。
[27:05] なんか企業の方は一回、一回忘れて、参加者としてこれに参加するってなったら
[27:11] 講座の方かな。だからね。
[27:13] どう？どう思う？っていう。
[27:16] 講座の方。ああ。
[27:18] アシュラの方。
[27:22] ん？アシュラの方？
[27:23] 講座がアシュラなんですよ。
[27:29] あー、と
[27:32] あれっすね。月に2回やる。
[27:34] あ、そうそうそうそう。
[27:37] なんかスクロールできんくない？なんで？
[27:41] マックもそのサイトちょっと今開きながら
[27:46] ざらっと見た感じ、聞いた感じは、特に違和感ないんですけれども
[27:53] うーん。
[27:55] なんかこれなんでスクロールできないんだ？Windowsだとスクロールできない？
[28:00] あれ？これスクロールできないですね。あれ？僕壊れたのか？
[28:04] ページ自体がってこと？
[28:06] はい。あのWindowsで上下すると動かないですね、この人。
[28:10] え？ちょっと画面共有して。
[28:13] あの、表示は問題なくされてるんですが。
[28:15] ああ、だからスクロールができない、あ、固まっちゃってる感じになるってこと？
[28:20] あの、いや、この、これしても何も動かないっていう
[28:26] へえ。
[28:27] 上下は？あの、キーで押してもダメ？
[28:32] あ、そもそも多分、ここにサイドバーがないんで、そもそもなんか認識されてないんじゃないですかね、これ。
[28:38] へえ。
[28:40] え、なんか他のWindowsの人もそうなる？
[28:44] いや、僕Windowsですけど問題なく動きますね。
[28:48] あ、あ、すいません。あ、なおりました。
[28:50] あ、直った。
[28:51] え、失礼しました。
[28:52] はい、なんでもないです。
[28:53] なんでもないです。
[28:55] そうね。ま、でもちょっとそんな感じで
[29:00] あとはどんどん人を増やす
[29:05] ま、ちょっとね、しばらくちょっと、20日の前までには
[29:09] 一旦またヒロくんとかともメールで確認しながらみたいな感じだし
[29:16] うん。
[29:16] 結構あの、言ってくれてたこととかも全部もう反映させたつもりだから
[29:21] うん。
[29:23] なので
[29:26] サンクスメッセ、登録するとサンクスメッセージみたいなのが出て
[29:32] もうそれでなんかあの、これで登録してくんじゃみたいな風に全部アシュラくんが案内する。
[29:38] といいですねって言ってたやつも全部反映される。
[29:42] うん。
[29:45] かな。
[29:46] よし。
[29:49] そんなとこですか。
[29:49] なのでちょっとまたあのウェイティングとかで案内するような案内をホンダさんとかにも送るので
[29:54] それでなんかちょっと口座に参加してみてみてくださいって感じです。
[29:59] はい。
[30:02] オッケー。
[30:03] はい。
[30:04] じゃあ、ちょっとそうだね。で5時からあれだけど。
[30:09] えっと
[30:10] 多分先生家に帰ったんじゃないですか。多分。
[30:11] うん、ちょっとあとあれだね。
[30:13] あの、ちょっと買い物をしたくて、晩御飯。
[30:16] ああ、なるほど。
[30:18] 少しちょっと、遅れたりとか、歩きながらになったりするかも、授業が。
[30:24] ああ、分かりました。
[30:25] はい。
[30:26] なんかよろしく頼み、お頼み申す。
[30:29] はい。
[30:30] はい、じゃあね。
[30:32] じゃあ終わりましょっか。今。
[30:34] また後ほど。
[30:35] はい、ホンダさんお疲れ様です。
[30:37] あ、ありがとうございます。はい。
[30:38] はい。
[30:45] あ、あれ？
[30:49] じゃあ
[30:49] あ、あれ？
[30:52] 切れてない。
[30:54] あ、はい。
[30:55] はい。
[30:56] はい。
